174_84280_000000_000000	CHAPTER THE TWELFTH	CHAPTER THE TWELFTH	true	12.435	13.81	22.27736
174_84280_000016_000001	I give myself, and if I can I will give you, to the destruction of jealousy and of the forms and shelters and instruments of jealousy, both in my own self and in the thought and laws and usage of the world.	I give myself, and if I can I will give you, to the destruction of jealousy and of the forms and shelters and instruments of jealousy, both in my own self and in the thought and laws and usage of the world.	true	676.67	695.37	21.071463
174_84280_000017_000000	THE END	THE END	false	695.37	698.76	15.556986
174_84280_000018_000000	Popular Copyright Novels	Popular Copyright Novels	false	698.76	698.76	
174_84280_000019_000000	AT MODERATE PRICES	AT MODERATE PRICES	false	698.76	698.76	
174_84280_000020_000000	Ask your dealer for a complete list of A. L. Burt Company's Popular Copyright Fiction	Ask your dealer for a complete list of a l Burt Company's Popular Copyright Fiction	false	698.76	699.12	22.142813
174_84280_000021_000000	Abner Daniel _Will N. Harben_ Adventures of a Modest Man _Robert W. Chambers_ Adventures of Sherlock Holmes _A.	Abner Daniel underscore Will n Harben underscore Adventures of a Modest Man underscore Robert w Chambers underscore Adventures of Sherlock Holmes underscore A.	false	699.12	699.54	18
174_84280_000021_000001	Conan Doyle_ After House, The _Mary Roberts Rinehart_ Ailsa Paige _Robert W. Chambers_ Air Pilot, The _Randall Parrish_ Alton of Somasco _Harold Bindloss_ Andrew The Glad _Maria Thompson Daviess_ Ann Boyd _Will N. Harben_ Anna the Adventuress _E.	Conan Doyle underscore After House, The underscore Mary Roberts Rinehart underscore Ailsa Paige underscore Robert w Chambers underscore Air Pilot, The underscore Randall Parrish underscore Alton of Somasco underscore Harold Bindloss underscore Andrew The Glad underscore Maria Thompson Daviess underscore Ann Boyd underscore Will n Harben underscore Anna the Adventuress underscore E.	false	699.54	700.5	21.634668
174_84280_000021_000002	Phillips Oppenheim_ Armchair at the Inn, The _F.	Phillips Oppenheim underscore Armchair at the Inn, The underscore F.	false	700.5	700.68	-20
174_84280_000021_000003	Hopkinson Smith_ As the Sparks Fly Upward _Cyrus Townsend Brady_ At the Mercy of Tiberius _Augusta Evans Wilson_ At the Moorings _Rosa N. Carey_ Aunt Jane of Kentucky _Eliza Calvert Hall_ Awakening of Helena Richie _Margaret Deland_ Bandbox, The _Louis Joseph Vance_ Bar 20 _Clarence E. Mulford_ Bar 20 Days _Clarence E. Mulford_ Barrier, The _Rex Beach_ Battle Ground, The _Ellen Glasgow_ Bella Donna _Robert Hichens_ Beloved Vagabond, The _William J. Locke_ Ben Blair _Will Lillibridge_ Beth Norvell _Randall Parrish_ Betrayal, The _E.	Hopkinson Smith underscore As the Sparks Fly Upward underscore Cyrus Townsend Brady underscore At the Mercy of Tiberius underscore Augusta Evans Wilson underscore At the Moorings underscore Rosa n Carey underscore Aunt Jane of Kentucky underscore Eliza Calvert Hall underscore Awakening of Helena Richie underscore Margaret Deland underscore Bandbox, The underscore Louis Joseph Vance underscore Bar twenty underscore Clarence e Mulford underscore Bar twenty Days underscore Clarence e Mulford underscore Barrier, The underscore Rex Beach underscore Battle Ground, The underscore Ellen Glasgow underscore Bella Donna underscore Robert Hichens underscore Beloved Vagabond, The underscore William j Locke underscore Ben Blair underscore Will Lillibridge underscore Beth Norvell underscore Randall Parrish underscore Betrayal, The underscore E.	false	700.68	704.07	20.296413
174_84280_000021_000004	Phillips Oppenheim_ Beulah (Illustrated Edition) _Augusta J. Evans_ Bob Hampton of Placer _Randall Parrish_ Bob, Son of Battle _Alfred Ollivant_ Brass Bowl, The _Louis Joseph Vance_ Broad Highway, The _Jeffery Farnol_ Bronze Bell, The _Louis Joseph Vance_ Buck Peters, Ranchman _Clarence E. Mulford_ Butterfly Man, The _George Barr McCutcheon_ By Right of Purchase _Harold Bindloss_ Cabbages and Kings _O.	Phillips Oppenheim underscore Beulah (Illustrated Edition) underscore Augusta j Evans underscore Bob Hampton of Placer underscore Randall Parrish underscore Bob, Son of Battle underscore Alfred Ollivant underscore Brass Bowl, The underscore Louis Joseph Vance underscore Broad Highway, The underscore Jeffery Farnol underscore Bronze Bell, The underscore Louis Joseph Vance underscore Buck Peters, Ranchman underscore Clarence e Mulford underscore Butterfly Man, The underscore George Barr McCutcheon underscore By Right of Purchase underscore Harold Bindloss underscore Cabbages and Kings underscore O.	false	704.07	709.23	21.811293
174_84280_000021_000005	Henry_ Calling of Dan Matthews, The _Harold Bell Wright_ Call of the Blood, The _Robert Hichens_ Cape Cod Stories _Joseph C. Lincoln_ Cap'n Eri _Joseph C. Lincoln_ Cap'n Warren's Wards _Joseph C. Lincoln_	Henry underscore Calling of Dan Matthews, The underscore Harold Bell Wright underscore Call of the Blood, The underscore Robert Hichens underscore Cape Cod Stories underscore Joseph c Lincoln underscore Cap'n Eri underscore Joseph c Lincoln underscore Cap'n Warren's Wards underscore Joseph c Lincoln underscore	false	709.23	714.6	-20
