1988_147956_000000_000000	III	three	false	4.08	28.38	20.16851
1988_147956_000003_000006	He was a weaver by trade; had been a skilled workman on tapestries and upholstery materials. He had brought his fiddle with him, which would n't be of much use here, though he used to pick up money by it at home.	He was a weaver by trade; had been a skilled workman on tapestries and upholstery materials. He had brought his fiddle with him, which would n't be of much use here, though he used to pick up money by it at home.	false	170.51	184.03	19.94862
1988_147956_000004_000000	"If they're nice people, I hate to think of them spending the winter in that cave of Krajiek's," said grandmother.	"If they're nice people, I hate to think of them spending the winter in that cave of Krajiek's," said grandmother.	true	184.91	191.68	20
1988_147956_000004_000001	"It's no better than a badger hole; no proper dugout at all.	"It's no better than a badger hole; no proper dugout at all.	true	191.9	196.09	20
1988_147956_000004_000002	And I hear he's made them pay twenty dollars for his old cookstove that ain't worth ten."	And I hear he's made them pay twenty dollars for his old cookstove that ain't worth ten."	true	196.31	202.21	17
1988_147956_000005_000000	"Yes'm," said Otto; "and he's sold 'em his oxen and his two bony old horses for the price of good work-teams.	"Yes'm," said Otto; "and he's sold 'em his oxen and his two bony old horses for the price of good work teams.	true	203.15	211.99	19.772667
1988_147956_000005_000001	I'd have interfered about the horses--the old man can understand some German--if I'd 'a' thought it would do any good.	I'd have interfered about the horses-the old man can understand some German-if I'd 'a' thought it would do any good.	true	212.3	219.57	20.555956
1988_147956_000005_000002	But Bohemians has a natural distrust of Austrians."	But Bohemians has a natural distrust of Austrians."	false	219.57	223.21	19.78057
1988_147956_000006_000000	Grandmother looked interested.	Grandmother looked interested.	true	223.43	225.19	23.101946
1988_147956_000006_000001	"Now, why is that, Otto?"	"Now, why is that, Otto?"	true	225.74	227.8	22.312428
1988_147956_000007_000000	Fuchs wrinkled his brow and nose.	Fuchs wrinkled his brow and nose.	true	228.14	230.4	19.242794
1988_147956_000007_000001	"Well, ma'm, it's politics.	"Well, ma'm, it's politics.	true	230.4	232.99	23.80925
1988_147956_000007_000002	It would take me a long while to explain."	It would take me a long while to explain."	true	233.27	236.74	24.093214
1988_147956_000008_000000	The land was growing rougher; I was told that we were approaching Squaw Creek, which cut up the west half of the Shimerdas' place and made the land of little value for farming.	The land was growing rougher; I was told that we were approaching Squaw Creek, which cut up the west half of the Shimerdas' place and made the land of little value for farming.	true	237.2	248.14	20.978828
1988_147956_000008_000001	Soon we could see the broken, grassy clay cliffs which indicated the windings of the stream, and the glittering tops of the cottonwoods and ash trees that grew down in the ravine.	Soon we could see the broken, grassy clay cliffs which indicated the windings of the stream, and the glittering tops of the cottonwoods and ash trees that grew down in the ravine.	false	248.84	259.84	19.945818
1988_147956_000008_000002	Some of the cottonwoods had already turned, and the yellow leaves and shining white bark made them look like the gold and silver trees in fairy tales.	Some of the cottonwoods had already turned, and the yellow leaves and shining white bark made them look like the gold and silver trees in fairy tales.	false	260.27	268.66	20.544195
1988_147956_000009_000000	As we approached the Shimerdas' dwelling, I could still see nothing but rough red hillocks, and draws with shelving banks and long roots hanging out where the earth had crumbled away.	As we approached the Shimerdas' dwelling, I could still see nothing but rough red hillocks, and draws with shelving banks and long roots hanging out where the earth had crumbled away.	true	270.23	281.77	19.981054
1988_147956_000009_000001	Presently, against one of those banks, I saw a sort of shed, thatched with the same wine-colored grass that grew everywhere.	Presently, against one of those banks, I saw a sort of shed, thatched with the same wine colored grass that grew everywhere.	true	282.38	290.77	20.051077
1988_147956_000009_000002	Near it tilted a shattered windmill-frame, that had no wheel.	Near it tilted a shattered windmill frame, that had no wheel.	true	291.44	296.11	19.053844
1988_147956_000009_000003	We drove up to this skeleton to tie our horses, and then I saw a door and window sunk deep in the draw-bank.	We drove up to this skeleton to tie our horses, and then I saw a door and window sunk deep in the draw bank.	true	297.14	304.33	21.070946
1988_147956_000009_000004	The door stood open, and a woman and a girl of fourteen ran out and looked up at us hopefully.	The door stood open, and a woman and a girl of fourteen ran out and looked up at us hopefully.	true	305.69	311.98	22.79267
1988_147956_000009_000005	A little girl trailed along behind them.	A little girl trailed along behind them.	true	312.44	314.74	18.88233
1988_147956_000009_000006	The woman had on her head the same embroidered shawl with silk fringes that she wore when she had alighted from the train at Black Hawk.	The woman had on her head the same embroidered shawl with silk fringes that she wore when she had alighted from the train at Black Hawk.	true	315.35	322.57	19.561285
1988_147956_000009_000007	She was not old, but she was certainly not young.	She was not old, but she was certainly not young.	true	323.06	326.77	20.772125
1988_147956_000009_000008	Her face was alert and lively, with a sharp chin and shrewd little eyes.	Her face was alert and lively, with a sharp chin and shrewd little eyes.	true	326.96	332.02	20.295969
1988_147956_000009_000009	She shook grandmother's hand energetically.	She shook grandmother's hand energetically.	true	332.36	334.93	21
1988_147956_000010_000000	"Very glad, very glad!" she ejaculated.	"Very glad, very glad!" she ejaculated.	true	335.45	338.65	22.095428
1988_147956_000010_000001	Immediately she pointed to the bank out of which she had emerged and said, "House no good, house no good!"	Immediately she pointed to the bank out of which she had emerged and said, "House no good, house no good!"	true	338.81	345.61	20.569431
1988_147956_000011_000000	Grandmother nodded consolingly.	Grandmother nodded consolingly.	true	346.25	348.13	20
1988_147956_000011_000001	"You'll get fixed up comfortable after while, Mrs. Shimerda; make good house."	"You'll get fixed up comfortable after while, mrs Shimerda; make good house."	false	348.29	354.6	21.699049
1988_147956_000012_000000	My grandmother always spoke in a very loud tone to foreigners, as if they were deaf.	My grandmother always spoke in a very loud tone to foreigners, as if they were deaf.	true	354.6	359.77	21.360159
1988_147956_000012_000001	She made Mrs. Shimerda understand the friendly intention of our visit, and the Bohemian woman handled the loaves of bread and even smelled them, and examined the pies with lively curiosity, exclaiming, "Much good, much thank!"--and again she wrung grandmother's hand.	She made mrs Shimerda understand the friendly intention of our visit, and the Bohemian woman handled the loaves of bread and even smelled them, and examined the pies with lively curiosity, exclaiming, "Much good, much thank!"--and again she wrung grandmother's hand.	true	360.32	377.38	20.116318
1988_147956_000013_000000	The oldest son, Ambroz,--they called it Ambrosch,--came out of the cave and stood beside his mother.	The oldest son, Ambroz,--they called it Ambrosch,--came out of the cave and stood beside his mother.	true	378.92	386.41	20.237501
1988_147956_000013_000001	He was nineteen years old, short and broad-backed, with a close-cropped, flat head, and a wide, flat face.	He was nineteen years old, short and broad backed, with a close cropped, flat head, and a wide, flat face.	true	386.57	394.24	22.87852
1988_147956_000013_000002	His hazel eyes were little and shrewd, like his mother's, but more sly and suspicious; they fairly snapped at the food.	His hazel eyes were little and shrewd, like his mother's, but more sly and suspicious; they fairly snapped at the food.	true	394.64	402.46	21.155136
1988_147956_000013_000003	The family had been living on corncakes and sorghum molasses for three days.	The family had been living on corncakes and sorghum molasses for three days.	true	403.46	407.89	16.034952
1988_147956_000014_000000	The little girl was pretty, but An-tonia-- they accented the name thus, strongly, when they spoke to her--was still prettier.	The little girl was pretty, but An tonia- they accented the name thus, strongly, when they spoke to her-was still prettier.	false	409.64	417.64	22.056568
1988_147956_000014_000001	I remembered what the conductor had said about her eyes.	I remembered what the conductor had said about her eyes.	true	418.22	421.36	18.797974
1988_147956_000014_000002	They were big and warm and full of light, like the sun shining on brown pools in the wood.	They were big and warm and full of light, like the sun shining on brown pools in the wood.	true	422.21	428.53	17
1988_147956_000014_000003	Her skin was brown, too, and in her cheeks she had a glow of rich, dark color.	Her skin was brown, too, and in her cheeks she had a glow of rich, dark color.	true	428.72	433.63	16.626091
1988_147956_000014_000004	Her brown hair was curly and wild-looking.	Her brown hair was curly and wild looking.	true	434	436.48	16
1988_147956_000014_000005	The little sister, whom they called Yulka (Julka), was fair, and seemed mild and obedient.	The little sister, whom they called Yulka (Julka), was fair, and seemed mild and obedient.	false	437.09	443.8	20.298672
1988_147956_000014_000006	While I stood awkwardly confronting the two girls, Krajiek came up from the barn to see what was going on.	While I stood awkwardly confronting the two girls, Krajiek came up from the barn to see what was going on.	false	444.89	452.83	19.509731
1988_147956_000014_000007	With him was another Shimerda son.	With him was another Shimerda son.	true	452.87	454.84	19.080133
1988_147956_000014_000008	Even from a distance one could see that there was something strange about this boy.	Even from a distance one could see that there was something strange about this boy.	true	455.21	459.43	20.213417
1988_147956_000014_000009	As he approached us, he began to make uncouth noises, and held up his hands to show us his fingers, which were webbed to the first knuckle, like a duck's foot.	As he approached us, he began to make uncouth noises, and held up his hands to show us his fingers, which were webbed to the first knuckle, like a duck's foot.	true	459.89	470.56	20.414085
1988_147956_000014_000010	When he saw me draw back, he began to crow delightedly, "Hoo, hoo-hoo, hoo-hoo!" like a rooster.	When he saw me draw back, he began to crow delightedly, "Hoo, hoo hoo, hoo hoo!" like a rooster.	false	471.02	478.48	14.250295
1988_147956_000014_000011	His mother scowled and said sternly, "Marek!" then spoke rapidly to Krajiek in Bohemian.	His mother scowled and said sternly, "Marek!" then spoke rapidly to Krajiek in Bohemian.	false	479.21	485.56	22.750477
1988_147956_000015_000000	"She wants me to tell you he won't hurt nobody, Mrs. Burden.	"She wants me to tell you he won't hurt nobody, mrs Burden.	false	486.71	489.82	19
1988_147956_000015_000001	He was born like that.	He was born like that.	true	490.43	491.86	24.914667
1988_147956_000015_000002	The others are smart.	The others are smart.	true	491.87	493.065	23.391512
1988_147956_000015_000003	Ambrosch, he make good farmer." He struck Ambrosch on the back, and the boy smiled knowingly.	Ambrosch, he make good farmer." He struck Ambrosch on the back, and the boy smiled knowingly.	true	493.065	499	20.673208
1988_147956_000016_000000	At that moment the father came out of the hole in the bank.	At that moment the father came out of the hole in the bank.	true	500.03	502.87	23.963106
1988_147956_000016_000001	He wore no hat, and his thick, iron-gray hair was brushed straight back from his forehead.	He wore no hat, and his thick, iron gray hair was brushed straight back from his forehead.	true	502.88	508.54	21.536634
1988_147956_000016_000002	It was so long that it bushed out behind his ears, and made him look like the old portraits I remembered in Virginia.	It was so long that it bushed out behind his ears, and made him look like the old portraits I remembered in Virginia.	true	508.91	514.72	14
1988_147956_000016_000003	He was tall and slender, and his thin shoulders stooped.	He was tall and slender, and his thin shoulders stooped.	true	515.63	519.46	18.30538
1988_147956_000016_000004	He looked at us understandingly, then took grandmother's hand and bent over it.	He looked at us understandingly, then took grandmother's hand and bent over it.	true	519.83	524.2	19
1988_147956_000016_000005	I noticed how white and well-shaped his own hands were.	I noticed how white and well shaped his own hands were.	true	524.6	527.65	19
1988_147956_000016_000006	They looked calm, somehow, and skilled. His eyes were melancholy, and were set back deep under his brow.	They looked calm, somehow, and skilled. His eyes were melancholy, and were set back deep under his brow.	true	528.29	536.08	20.010017
1988_147956_000016_000007	His face was ruggedly formed, but it looked like ashes--like something from which all the warmth and light had died out.	His face was ruggedly formed, but it looked like ashes-like something from which all the warmth and light had died out.	true	536.72	544.33	20.904802
1988_147956_000016_000008	Everything about this old man was in keeping with his dignified manner.	Everything about this old man was in keeping with his dignified manner.	false	544.94	548.89	19.953285
1988_147956_000016_000009	He was neatly dressed.	He was neatly dressed.	true	549.32	550.75	21.12039
1988_147956_000016_000010	Under his coat he wore a knitted gray vest, and, instead of a collar, a silk scarf of a dark bronze-green, carefully crossed and held together by a red coral pin.	Under his coat he wore a knitted gray vest, and, instead of a collar, a silk scarf of a dark bronze green, carefully crossed and held together by a red coral pin.	false	551.03	563.83	21.384542
1988_147956_000016_000011	While Krajiek was translating for Mr. Shimerda, Antonia came up to me and held out her hand coaxingly.	While Krajiek was translating for mr Shimerda, Antonia came up to me and held out her hand coaxingly.	false	564.5	571.18	22.420622
1988_147956_000016_000012	In a moment we were running up the steep drawside together, Yulka trotting after us.	In a moment we were running up the steep drawside together, Yulka trotting after us.	true	571.43	576.34	21.874258
1988_147956_000017_000000	When we reached the level and could see the gold tree-tops, I pointed toward them, and Antonia laughed and squeezed my hand as if to tell me how glad she was I had come.	When we reached the level and could see the gold tree tops, I pointed toward them, and Antonia laughed and squeezed my hand as if to tell me how glad she was I had come.	false	577.49	587.32	21.525278
1988_147956_000017_000001	We raced off toward Squaw Creek and did not stop until the ground itself stopped--fell away before us so abruptly that the next step would have been out into the tree-tops.	We raced off toward Squaw Creek and did not stop until the ground itself stopped-fell away before us so abruptly that the next step would have been out into the tree tops.	true	588.11	598.39	22.583778
1988_147956_000017_000002	We stood panting on the edge of the ravine, looking down at the trees and bushes that grew below us.	We stood panting on the edge of the ravine, looking down at the trees and bushes that grew below us.	true	599.18	604.63	17
1988_147956_000017_000003	The wind was so strong that I had to hold my hat on, and the girls' skirts were blown out before them.	The wind was so strong that I had to hold my hat on, and the girls' skirts were blown out before them.	true	605.18	611.53	18.984444
1988_147956_000017_000004	Antonia seemed to like it; she held her little sister by the hand and chattered away in that language which seemed to me spoken so much more rapidly than mine.	Antonia seemed to like it; she held her little sister by the hand and chattered away in that language which seemed to me spoken so much more rapidly than mine.	false	612.08	621.85	19.827223
1988_147956_000017_000005	She looked at me, her eyes fairly blazing with things she could not say.	She looked at me, her eyes fairly blazing with things she could not say.	true	622.4	626.68	20.192297
1988_147956_000018_000000	"Name?	"Name?	true	628.04	628.725	22.277615
1988_147956_000018_000001	What name?" she asked, touching me on the shoulder.	What name?" she asked, touching me on the shoulder.	true	628.725	632.17	18.4384
1988_147956_000018_000002	I told her my name, and she repeated it after me and made Yulka say it.	I told her my name, and she repeated it after me and made Yulka say it.	false	632.3	637.26	20.167469
1988_147956_000018_000003	She pointed into the gold cottonwood tree behind whose top we stood and said again, "What name?"	She pointed into the gold cottonwood tree behind whose top we stood and said again, "What name?"	true	637.26	645.19	21.260666
1988_147956_000019_000000	We sat down and made a nest in the long red grass.	We sat down and made a nest in the long red grass.	true	645.35	648.46	20.095364
1988_147956_000019_000001	Yulka curled up like a baby rabbit and played with a grasshopper.	Yulka curled up like a baby rabbit and played with a grasshopper.	true	648.86	652.78	22.34963
1988_147956_000019_000002	Antonia pointed up to the sky and questioned me with her glance.	Antonia pointed up to the sky and questioned me with her glance.	true	653.39	657.04	21.926636
1988_147956_000019_000003	I gave her the word, but she was not satisfied and pointed to my eyes.	I gave her the word, but she was not satisfied and pointed to my eyes.	false	657.29	661.72	19.555761
1988_147956_000019_000004	I told her, and she repeated the word, making it sound like "ice." She pointed up to the sky, then to my eyes, then back to the sky, with movements so quick and impulsive that she distracted me, and I had no idea what she wanted.	I told her, and she repeated the word, making it sound like "ice." She pointed up to the sky, then to my eyes, then back to the sky, with movements so quick and impulsive that she distracted me, and I had no idea what she wanted.	true	662.24	677.38	21.477835
1988_147956_000019_000005	She got up on her knees and wrung her hands.	She got up on her knees and wrung her hands.	true	678.11	680.65	18
1988_147956_000019_000006	She pointed to her own eyes and shook her head, then to mine and to the sky, nodding violently.	She pointed to her own eyes and shook her head, then to mine and to the sky, nodding violently.	true	680.99	687.4	18.918835
1988_147956_000020_000000	"Oh," I exclaimed, "blue; blue sky."	"Oh," I exclaimed, "blue; blue sky."	true	687.83	691.69	17.315058
1988_147956_000021_000000	She clapped her hands and murmured, "Blue sky, blue eyes," as if it amused her.	She clapped her hands and murmured, "Blue sky, blue eyes," as if it amused her.	false	691.82	698.86	18.106417
1988_147956_000021_000001	While we snuggled down there out of the wind she learned a score of words.	While we snuggled down there out of the wind she learned a score of words.	true	699.71	703.36	18.82574
1988_147956_000021_000002	She was quick, and very eager.	She was quick, and very eager.	true	703.61	705.79	21.071033
1988_147956_000021_000003	We were so deep in the grass that we could see nothing but the blue sky over us and the gold tree in front of us.	We were so deep in the grass that we could see nothing but the blue sky over us and the gold tree in front of us.	true	706.04	712.48	18.72956
1988_147956_000021_000004	It was wonderfully pleasant.	It was wonderfully pleasant.	true	713.03	714.82	19.474651
1988_147956_000021_000005	After Antonia had said the new words over and over, she wanted to give me a little chased silver ring she wore on her middle finger.	After Antonia had said the new words over and over, she wanted to give me a little chased silver ring she wore on her middle finger.	true	715.88	722.98	17
1988_147956_000021_000006	When she coaxed and insisted, I repulsed her quite sternly.	When she coaxed and insisted, I repulsed her quite sternly.	true	723.68	727.36	23.57234
1988_147956_000021_000007	I did n't want her ring, and I felt there was something reckless and extravagant about her wishing to give it away to a boy she had never seen before.	I did n't want her ring, and I felt there was something reckless and extravagant about her wishing to give it away to a boy she had never seen before.	true	727.46	736.12	20.683222
1988_147956_000021_000008	No wonder Krajiek got the better of these people, if this was how they behaved.	No wonder Krajiek got the better of these people, if this was how they behaved.	false	736.79	741.07	22.539936
1988_147956_000022_000000	While we were disputing about the ring, I heard a mournful voice calling, "An-tonia, An-tonia!" She sprang up like a hare.	While we were disputing about the ring, I heard a mournful voice calling, "An tonia, An tonia!" She sprang up like a hare.	false	741.83	751.6	20.691175
1988_147956_000022_000001	"Tatinek, Tatinek!" she shouted, and we ran to meet the old man who was coming toward us.	"Tatinek, Tatinek!" she shouted, and we ran to meet the old man who was coming toward us.	true	751.88	757.75	24.242638
1988_147956_000022_000002	Antonia reached him first, took his hand and kissed it.	Antonia reached him first, took his hand and kissed it.	true	758.87	762.64	20.47301
1988_147956_000022_000003	When I came up, he touched my shoulder and looked searchingly down into my face for several seconds. I became somewhat embarrassed, for I was used to being taken for granted by my elders.	When I came up, he touched my shoulder and looked searchingly down into my face for several seconds. I became somewhat embarrassed, for I was used to being taken for granted by my elders.	true	762.86	773.62	18.973877
1988_147956_000023_000000	We went with Mr. Shimerda back to the dugout, where grandmother was waiting for me.	We went with mr Shimerda back to the dugout, where grandmother was waiting for me.	true	774.47	779.08	19.204618
1988_147956_000023_000001	Before I got into the wagon, he took a book out of his pocket, opened it, and showed me a page with two alphabets, one English and the other Bohemian.	Before I got into the wagon, he took a book out of his pocket, opened it, and showed me a page with two alphabets, one English and the other Bohemian.	true	779.36	789.34	17.857742
1988_147956_000023_000002	He placed this book in my grandmother's hands, looked at her entreatingly, and said with an earnestness which I shall never forget, "Te-e-ach, te-e-ach my An-tonia!"	He placed this book in my grandmother's hands, looked at her entreatingly, and said with an earnestness which I shall never forget, "Te e ach, te e ach my An tonia!"	false	789.68	800.61	21.128395
1988_147956_000024_000000	IV	i v	false	800.61	800.97	4
1988_147956_000025_000000	ON the afternoon of that same Sunday I took my first long ride on my pony, under Otto's direction.	ON the afternoon of that same Sunday I took my first long ride on my pony, under Otto's direction.	false	800.97	804.42	2
1988_147956_000025_000001	After that Dude and I went twice a week to the post-office, six miles east of us, and I saved the men a good deal of time by riding on errands to our neighbors.	After that Dude and I went twice a week to the post office, six miles east of us, and I saved the men a good deal of time by riding on errands to our neighbors.	false	804.42	806.28	21.37976
1988_147956_000025_000002	When we had to borrow anything, or to send about word that there would be preaching at the sod schoolhouse, I was always the messenger.	When we had to borrow anything, or to send about word that there would be preaching at the sod schoolhouse, I was always the messenger.	false	806.28	807.69	-20
1988_147956_000025_000003	Formerly Fuchs attended to such things after working hours.	Formerly Fuchs attended to such things after working hours.	false	807.69	808.23	-20
