8842_302196_000000_000000	Images of the original pages are available through Internet Archive/American Libraries.	Images of the original pages are available through Internet Archive/American Libraries.	false	1.8	11.25	18
8842_302196_000011_000003	He did not, of course, leave his version exactly as it had come at first: on the contrary, he took counsel with friends (Alfred Tennyson among the number), toned down crudities and juvenilities, and worked to make the whole thing impressive and artistic--for in such matters he was much more chargeable with over-fastidiousness than with laxity.	He did not, of course, leave his version exactly as it had come at first: on the contrary, he took counsel with friends (Alfred Tennyson among the number), toned down crudities and juvenilities, and worked to make the whole thing impressive and artistic-for in such matters he was much more chargeable with over fastidiousness than with laxity.	false	118.7	135.79	13
8842_302196_000011_000004	Still, the work, as we now have it, is essentially the work of those adolescent years--from time to time reconsidered and improved, but not transmuted.	Still, the work, as we now have it, is essentially the work of those adolescent years-from time to time reconsidered and improved, but not transmuted.	true	136.16	144.21	15
8842_302196_000012_000000	Some few years after producing his translation of the _Vita Nuova_, Rossetti was desirous of publishing it, and of illustrating the volume with etchings from various designs, which he had meanwhile done, of incidents in the story.	Some few years after producing his translation of the underscore Vita Nuova underscore, Rossetti was desirous of publishing it, and of illustrating the volume with etchings from various designs, which he had meanwhile done, of incidents in the story.	false	144.21	154.93	11
8842_302196_000012_000001	This project, however, had to be laid aside, owing to want of means, and the etchings were never undertaken.	This project, however, had to be laid aside, owing to want of means, and the etchings were never undertaken.	true	155.09	160.63	13
8842_302196_000012_000002	It was only in 1861 that the volume named _The Early Italian Poets_, including the translated _Vita Nuova_, was brought out: the same volume, with a change in the arrangement of its contents, was reissued in 1874, entitled _Dante and his Circle_.	It was only in eighteen sixty one that the volume named underscore The Early Italian Poets underscore, including the translated underscore Vita Nuova underscore, was brought out: the same volume, with a change in the arrangement of its contents, was reissued in eighteen seventy four, entitled underscore Dante and his Circle underscore.	false	160.76	176.67	16
8842_302196_000012_000003	This book, in its original form, was received with favour, and settled the claim of Rossetti to rank as a poetic translator, or indeed as a poet in his own right.	This book, in its original form, was received with favour, and settled the claim of Rossetti to rank as a poetic translator, or indeed as a poet in his own right.	true	176.67	185.65	16
8842_302196_000013_000000	For _The Early Italian Poets_ he wrote a Preface, from which a passage, immediately relating to the _Vita Nuova_, is extracted in the present edition.	For underscore The Early Italian Poets underscore he wrote a Preface, from which a passage, immediately relating to the underscore Vita Nuova underscore, is extracted in the present edition.	false	185.9	193.57	11
8842_302196_000013_000001	There are some other passages, affecting the whole of the translations in that volume, which deserve to be borne in mind, as showing the spirit in which he undertook the translating work, and I give them here:--	There are some other passages, affecting the whole of the translations in that volume, which deserve to be borne in mind, as showing the spirit in which he undertook the translating work, and I give them here:--	true	193.97	203.47	14
8842_302196_000014_000000	"The life-blood of rhythmical translation is this commandment--that a good poem shall not be turned into a bad one.	"The life blood of rhythmical translation is this commandment-that a good poem shall not be turned into a bad one.	true	203.87	210.19	15
8842_302196_000014_000001	The only true motive for putting poetry into a fresh language must be to endow a fresh nation, as far as possible, with one more possession of beauty.	The only true motive for putting poetry into a fresh language must be to endow a fresh nation, as far as possible, with one more possession of beauty.	true	210.41	219.04	15
8842_302196_000014_000002	Poetry not being an exact science, literality of rendering is altogether secondary to this chief law.	Poetry not being an exact science, literality of rendering is altogether secondary to this chief law.	true	219.26	224.95	13
8842_302196_000014_000003	I say _literality_,--not fidelity, which is by no means the same thing.	I say underscore literality underscore,--not fidelity, which is by no means the same thing.	false	225.02	229.21	16
8842_302196_000014_000004	When literality can be combined with what is thus the primary condition of success, the translator is fortunate, and must strive his utmost to unite them; when such object can only be obtained by paraphrase, that is his only path.	When literality can be combined with what is thus the primary condition of success, the translator is fortunate, and must strive his utmost to unite them; when such object can only be obtained by paraphrase, that is his only path.	true	229.43	241.84	16
8842_302196_000014_000005	Any merit possessed by these translations is derived from an effort to follow this principle....	Any merit possessed by these translations is derived from an effort to follow this principle....	true	242.09	247.03	15
8842_302196_000014_000006	The task of the translator (and with all humility be it spoken) is one of some self-denial.	The task of the translator (and with all humility be it spoken) is one of some self denial.	true	247.1	253.24	21
8842_302196_000014_000007	Often would he avail himself of any special grace of his own idiom and epoch, if only his will belonged to him: often would some cadence serve him but for his author's structure--some structure but for his author's cadence: often the beautiful turn of a stanza must be weakened to adopt some rhyme which will tally, and he sees the poet revelling in abundance of language where himself is scantily supplied. Now he would slight the matter for the music, and now the music for the matter; but no, he must deal to each alike.	Often would he avail himself of any special grace of his own idiom and epoch, if only his will belonged to him: often would some cadence serve him but for his author's structure-some structure but for his author's cadence: often the beautiful turn of a stanza must be weakened to adopt some rhyme which will tally, and he sees the poet revelling in abundance of language where himself is scantily supplied. Now he would slight the matter for the music, and now the music for the matter; but no, he must deal to each alike.	true	253.25	283.3	18
8842_302196_000014_000008	Sometimes too a flaw in the work galls him, and he would fain remove it, doing for the poet that which his age denied him; but no, it is not in the bond."	Sometimes too a flaw in the work galls him, and he would fain remove it, doing for the poet that which his age denied him; but no, it is not in the bond."	true	283.34	292.69	17
8842_302196_000015_000000	It may be as well to explain here a very small share which I myself took in the _Vita Nuova_ translation.	It may be as well to explain here a very small share which I myself took in the underscore Vita Nuova underscore translation.	false	292.82	298.09	11
8842_302196_000015_000001	When the volume _The Early Italian Poets_ was in preparation, my brother asked me (January 1861) to aid by "collating my _Vita Nuova_ with the original, and amending inaccuracies." He defined the work further as follows: "What I want is that you should correct my translation throughout, removing inaccuracies and mannerisms.	When the volume underscore The Early Italian Poets underscore was in preparation, my brother asked me (january eighteen sixty one) to aid by "collating my underscore Vita Nuova underscore with the original, and amending inaccuracies." He defined the work further as follows: "What I want is that you should correct my translation throughout, removing inaccuracies and mannerisms.	false	298.25	315.82	14
8842_302196_000015_000002	And, if you have time, it would be a great service to translate the analyses of the poems (which I omitted). This, however, if you think it desirable to include them.	And, if you have time, it would be a great service to translate the analyses of the poems (which I omitted). This, however, if you think it desirable to include them.	false	315.89	324.58	17
8842_302196_000015_000003	I did not at the time (on ground of readableness), but since think they may be desirable: only have become so unfamiliar with the book that I have no distinct opinion." On January 25th he wrote: "Many and many thanks for a most essential service most thoroughly performed.	I did not at the time (on ground of readableness), but since think they may be desirable: only have become so unfamiliar with the book that I have no distinct opinion." On january twenty fifth he wrote: "Many and many thanks for a most essential service most thoroughly performed.	false	324.98	340.29	18
8842_302196_000015_000004	I have not yet verified the whole of the notes, but I see they are just what I needed, and will save me a vast amount of trouble.	I have not yet verified the whole of the notes, but I see they are just what I needed, and will save me a vast amount of trouble.	false	340.29	346.17	14
8842_302196_000015_000005	I should very much wish that the translation were more literal, but cannot do it all again.	I should very much wish that the translation were more literal, but cannot do it all again.	true	346.17	350.13	13
8842_302196_000015_000006	_My_ notes, which you have taken the trouble of revising, are, of course, quite paltry and useless."	underscore My underscore notes, which you have taken the trouble of revising, are, of course, quite paltry and useless."	false	350.13	355.33	17
8842_302196_000016_000000	In order that the reader may judge as to this question of literality, I will give here the literal Englishing of the Sonnet at p. 38, and the paragraph which precedes it (I take the passage quite at random), and the reader can, if he likes, compare this rendering with that which appears in Dante Rossetti's text:--	In order that the reader may judge as to this question of literality, I will give here the literal Englishing of the Sonnet at p. thirty eight, and the paragraph which precedes it (I take the passage quite at random), and the reader can, if he likes, compare this rendering with that which appears in Dante Rossetti's text:--	false	355.85	371.74	15
8842_302196_000017_000000	"After the departure of this gentlewoman it was the pleasure of the Lord of the Angels to call to His glory a lady young and much of noble[1] aspect, who was very graceful in this aforesaid city: whose body I saw lying without the soul amid many ladies, who were weeping very piteously.	"After the departure of this gentlewoman it was the pleasure of the Lord of the Angels to call to His glory a lady young and much of noble[one] aspect, who was very graceful in this aforesaid city: whose body I saw lying without the soul amid many ladies, who were weeping very piteously.	false	371.87	387.36	14
8842_302196_000017_000001	Then, remembering that erewhile I had seen her keeping company with that most noble one, I could not withhold some tears. Indeed, weeping, I purposed to speak certain words about her death, in guerdon of my having at some whiles seen her with my lady.	Then, remembering that erewhile I had seen her keeping company with that most noble one, I could not withhold some tears. Indeed, weeping, I purposed to speak certain words about her death, in guerdon of my having at some whiles seen her with my lady.	false	387.36	401.22	16
8842_302196_000017_000002	And somewhat of this I referred to in the last part of the words which I spoke of her, as manifestly appears to him who understands them: and then I composed these two Sonnets--of which the first begins, 'Weep, lovers'--the second, 'Villain Death.'	And somewhat of this I referred to in the last part of the words which I spoke of her, as manifestly appears to him who understands them: and then I composed these two Sonnets-of which the first begins, 'Weep, lovers'--the second, 'Villain Death.'	false	401.22	413.64	14
8842_302196_000018_000000	[1] _Gentile._ The word means "noble" rather than (in its modern shade of meaning) "gentle." "Genteel" would sometimes apply, but has ceased to be admissible in serious writing.	[one] underscore Gentile.underscore The word means "noble" rather than (in its modern shade of meaning) "gentle." "Genteel" would sometimes apply, but has ceased to be admissible in serious writing.	false	413.64	413.76	-1
8842_302196_000019_000000	"Weep, lovers, since Love weeps,--hearkening what cause makes him wail: Love hears ladies invoking pity, showing bitter grief outwardly by the eyes; because villain Death has set his cruel working upon a noble heart, ruining that which in a noble lady is to be praised in the world, apart from honour.	"Weep, lovers, since Love weeps,--hearkening what cause makes him wail: Love hears ladies invoking pity, showing bitter grief outwardly by the eyes; because villain Death has set his cruel working upon a noble heart, ruining that which in a noble lady is to be praised in the world, apart from honour.	true	413.76	430.2	16
8842_302196_000019_000001	Hear how much Love did her honouring; for I saw him lamenting in very person over the dead seemly image: and often he gazed towards heaven, wherein was already settled the noble soul who had been a lady of such gladsome semblance."	Hear how much Love did her honouring; for I saw him lamenting in very person over the dead seemly image: and often he gazed towards heaven, wherein was already settled the noble soul who had been a lady of such gladsome semblance."	false	430.2	443.56	16
8842_302196_000020_000000	It would be out of place to enter here into any detailed observations upon the _Vita Nuova_, its meaning, and the literature which has grown out of it.	It would be out of place to enter here into any detailed observations upon the underscore Vita Nuova underscore, its meaning, and the literature which has grown out of it.	false	443.81	450.4	11
8842_302196_000020_000001	I will merely name, as obvious things for the English reader to consult, the translation which was made by Sir Theodore Martin; the essay by Professor C. Eliot Norton; the translations published by Dr. Garnett in his book entitled _Dante, Petrarch, Camoens, 124 Sonnets_, along with the remarks in his valuable _History of Italian Literature_; Scartazzini's _Companion to Dante_; and the publications of the Rev. Dr. Moore, the foremost of our living Dante scholars.	I will merely name, as obvious things for the English reader to consult, the translation which was made by Sir Theodore Martin; the essay by Professor c Eliot Norton; the translations published by dr Garnett in his book entitled underscore Dante, Petrarch, Camoens, one hundred twenty four Sonnets underscore, along with the remarks in his valuable underscore History of Italian Literature underscore; Scartazzini's underscore Companion to Dante underscore; and the publications of the reverend Dr. Moore, the foremost of our living Dante scholars.	false	450.56	476.95	14
8842_302196_000021_000000	W. M. ROSSETTI.	w m ROSSETTI.	true	477.47	478.74	15
8842_302196_000022_000000	_August 1899._	underscore august eighteen ninety nine.underscore	false	478.74	480.99	21.367796
8842_302196_000023_000000	_INTRODUCTION._	underscore INTRODUCTION.underscore	false	480.99	483.15	20.46011
8842_302196_000024_000000	The _Vita Nuova_ (the Autobiography or Autopsychology of Dante's youth till about his twenty-seventh year) is already well known to many in the original, or by means of essays and of English versions partial or entire.	The underscore Vita Nuova underscore (the Autobiography or Autopsychology of Dante's youth till about his twenty seventh year) is already well known to many in the original, or by means of essays and of English versions partial or entire.	false	483.15	494.98	12
8842_302196_000024_000001	It is therefore, and on all accounts, unnecessary to say much more of the work here than it says for itself.	It is therefore, and on all accounts, unnecessary to say much more of the work here than it says for itself.	true	495.11	501.94	16
8842_302196_000024_000002	Wedded to its exquisite and intimate beauties are personal peculiarities which excite wonder and conjecture, best replied to in the words which Beatrice herself is made to utter in the _Commedia_: "Questi _fu tal_ nella sua vita nuova."[2] Thus then young Dante _was_.	Wedded to its exquisite and intimate beauties are personal peculiarities which excite wonder and conjecture, best replied to in the words which Beatrice herself is made to utter in the underscore Commedia underscore: "Questi underscore fu tal underscore nella s u a vita nuova."[two] Thus then young Dante underscore was underscore.	false	502.28	518.7	17
8842_302196_000024_000003	All that seemed possible to be done here for the work was to translate it in as free and clear a form as was consistent with fidelity to its meaning; and to ease it, as far as possible, from notes and encumbrances.	All that seemed possible to be done here for the work was to translate it in as free and clear a form as was consistent with fidelity to its meaning; and to ease it, as far as possible, from notes and encumbrances.	false	518.7	529.68	14
8842_302196_000025_000000	[2] "Purgatorio," C. xxx.	[two] "Purgatorio," c x x x.	false	529.68	530.145	0
8842_302196_000026_000000	It may be noted here how necessary a knowledge of the _Vita Nuova_ is to the full comprehension of the part borne by Beatrice in the _Commedia_.	It may be noted here how necessary a knowledge of the underscore Vita Nuova underscore is to the full comprehension of the part borne by Beatrice in the underscore Commedia underscore.	false	530.145	538.23	13
8842_302196_000026_000001	Moreover, it is only from the perusal of its earliest and then undivulged self-communings that we can divine the whole bitterness of wrong to such a soul as Dante's, its poignant sense of abandonment, or its deep and jealous refuge in memory.	Moreover, it is only from the perusal of its earliest and then undivulged self communings that we can divine the whole bitterness of wrong to such a soul as Dante's, its poignant sense of abandonment, or its deep and jealous refuge in memory.	true	538.23	551.26	13
8842_302196_000026_000002	Above all, it is here that we find the first manifestations of that wisdom of obedience, that natural breath of duty, which afterwards, in the _Commedia_, lifted up a mighty voice for warning and testimony.	Above all, it is here that we find the first manifestations of that wisdom of obedience, that natural breath of duty, which afterwards, in the underscore Commedia underscore, lifted up a mighty voice for warning and testimony.	false	551.57	563.05	14
8842_302196_000026_000003	Throughout the _Vita Nuova_ there is a strain like the first falling murmur which reaches the ear in some remote meadow, and prepares us to look upon the sea.	Throughout the underscore Vita Nuova underscore there is a strain like the first falling murmur which reaches the ear in some remote meadow, and prepares us to look upon the sea.	false	563.51	571.3	11
8842_302196_000027_000000	Boccaccio, in his Life of Dante, tells us that the great poet, in later life, was ashamed of this work of his youth.	Boccaccio, in his Life of Dante, tells us that the great poet, in later life, was ashamed of this work of his youth.	true	571.88	578.17	16
8842_302196_000027_000001	Such a statement hardly seems reconcilable with the allusions to it made or implied in the _Commedia_; but it is true that the _Vita Nuova_ is a book which only youth could have produced, and which must chiefly remain sacred to the young; to each of whom the figure of Beatrice, less lifelike than lovelike, will seem the friend of his own heart.	Such a statement hardly seems reconcilable with the allusions to it made or implied in the underscore Commedia underscore; but it is true that the underscore Vita Nuova underscore is a book which only youth could have produced, and which must chiefly remain sacred to the young; to each of whom the figure of Beatrice, less lifelike than lovelike, will seem the friend of his own heart.	false	578.18	596.2	14
8842_302196_000027_000002	Nor is this, perhaps, its least praise.	Nor is this, perhaps, its least praise.	true	596.69	599.2	18
8842_302196_000027_000003	To tax its author with effeminacy on account of the extreme sensitiveness evinced by this narrative of his love, would be manifestly unjust, when we find that, though love alone is the theme of the _Vita Nuova_, war already ranked among its author's experiences at the period to which it relates.	To tax its author with effeminacy on account of the extreme sensitiveness evinced by this narrative of his love, would be manifestly unjust, when we find that, though love alone is the theme of the underscore Vita Nuova underscore, war already ranked among its author's experiences at the period to which it relates.	false	599.33	615.16	14
8842_302196_000027_000004	In the year 1289, the one preceding the death of Beatrice, Dante served with the foremost cavalry in the great battle of Campaldino, on the eleventh of June, when the Florentines defeated the people of Arezzo.	In the year twelve eighty nine, the one preceding the death of Beatrice, Dante served with the foremost cavalry in the great battle of Campaldino, on the eleventh of June, when the Florentines defeated the people of Arezzo.	false	615.44	626.67	14
8842_302196_000027_000005	In the autumn of the next year, 1290, when for him, by the death of Beatrice, the city as he says "sat solitary," such refuge as he might find from his grief was sought in action and danger: for we learn from the _Commedia_ (Hell, C. xxi.) that he served in the war then waged by Florence upon Pisa, and was present at the surrender of Caprona.	In the autumn of the next year, twelve ninety, when for him, by the death of Beatrice, the city as he says "sat solitary," such refuge as he might find from his grief was sought in action and danger: for we learn from the underscore Commedia underscore (Hell, c x x i.) that he served in the war then waged by Florence upon Pisa, and was present at the surrender of Caprona.	false	626.67	645.27	15
8842_302196_000027_000006	He says, using the reminiscence to give life to a description, in his great way:--	He says, using the reminiscence to give life to a description, in his great way:--	false	645.27	649.96	18
8842_302196_000028_000000	"I've seen the troops out of Caprona go On terms, affrighted thus, when on the spot They found themselves with foemen compass'd so."	"I've seen the troops out of Caprona go On terms, affrighted thus, when on the spot They found themselves with foemen compass'd so."	false	650	658.03	16
8842_302196_000029_000000	(CAYLEY'S _Translation_.)	(CAYLEY'S underscore Translation underscore.)	false	658.25	660.42	18.473389
8842_302196_000030_000000	A word should be said here of the title of Dante's autobiography. The adjective _Nuovo_, _nuova_, or _Novello_, _novella_, literally _New_, is often used by Dante and other early writers in the sense of _young_.	A word should be said here of the title of Dante's autobiography. The adjective underscore Nuovo underscore, underscore nuova underscore, or underscore Novello underscore, underscore novella underscore, literally underscore New underscore, is often used by Dante and other early writers in the sense of underscore young underscore.	false	660.42	672.3	15
8842_302196_000030_000001	This has induced some editors of the _Vita Nuova_ to explain the title as meaning _Early Life_.	This has induced some editors of the underscore Vita Nuova underscore to explain the title as meaning underscore Early Life underscore.	false	672.3	678.48	17.832588
8842_302196_000030_000002	I should be glad on some accounts to adopt this supposition, as everything is a gain which increases clearness to the modern reader; but on consideration I think the more mystical interpretation of the words, as _New Life_ (in reference to that revulsion of his being which Dante so minutely describes as having occurred simultaneously with his first sight of Beatrice), appears the primary one, and therefore the most necessary to be given in a translation.	I should be glad on some accounts to adopt this supposition, as everything is a gain which increases clearness to the modern reader; but on consideration I think the more mystical interpretation of the words, as underscore New Life underscore (in reference to that revulsion of his being which Dante so minutely describes as having occurred simultaneously with his first sight of Beatrice), appears the primary one, and therefore the most necessary to be given in a translation.	false	678.48	701.8	14
8842_302196_000030_000003	The probability may be that both were meant, but this I cannot convey.[3]	The probability may be that both were meant, but this I cannot convey.[three]	false	701.96	713.85	17.315596
