5694_64025_000000_000000	VIRGINIA, FAREWELL	VIRGINIA, FAREWELL	false	0	0	
5694_64025_000006_000004	We saw some little commotion among those who surrounded him, but we did not know at the time that he was dead.	We saw some little commotion among those who surrounded him, but we did not know at the time that he was dead.	true	248.93	254.68	19.663185
5694_64025_000006_000005	The fact was kept from the troops.	The fact was kept from the troops.	true	255.02	256.99	28.783192
5694_64025_000007_000000	About noon a courier dashed up and ordered us to go forward and support General Bragg's center.	About noon a courier dashed up and ordered us to go forward and support General Bragg's center.	true	257.93	262.57	20
5694_64025_000007_000001	We had to pass over the ground where troops had been fighting all day.	We had to pass over the ground where troops had been fighting all day.	true	262.79	266.35	19.672544
5694_64025_000008_000000	I had heard and read of battlefields, seen pictures of battlefields, of horses and men, of cannon and wagons, all jumbled together, while the ground was strewn with dead and dying and wounded, but I must confess that I never realized the "pomp and circumstance" of the thing called glorious war until I saw this.	I had heard and read of battlefields, seen pictures of battlefields, of horses and men, of cannon and wagons, all jumbled together, while the ground was strewn with dead and dying and wounded, but I must confess that I never realized the "pomp and circumstance" of the thing called glorious war until I saw this.	false	267.74	288.58	18
5694_64025_000008_000001	Men were lying in every conceivable position; the dead lying with their eyes wide open, the wounded begging piteously for help, and some waving their hats and shouting to us to go forward.	Men were lying in every conceivable position; the dead lying with their eyes wide open, the wounded begging piteously for help, and some waving their hats and shouting to us to go forward.	false	289.49	300.88	21.836832
5694_64025_000008_000002	It all seemed to me a dream; I seemed to be in a sort of haze, when siz, siz, siz, the minnie balls from the Yankee line began to whistle around our ears, and I thought of the Irishman when he said, "Sure enough, those fellows are shooting bullets!"	It all seemed to me a dream; I seemed to be in a sort of haze, when siz, siz, siz, the minnie balls from the Yankee line began to whistle around our ears, and I thought of the Irishman when he said, "Sure enough, those fellows are shooting bullets!"	true	301.25	316.51	20.853354
5694_64025_000009_000000	Down would drop first one fellow and then another, either killed or wounded, when we were ordered to charge bayonets.	Down would drop first one fellow and then another, either killed or wounded, when we were ordered to charge bayonets.	false	318.02	324.58	21.4664
5694_64025_000009_000001	I had been feeling mean all the morning as if I had stolen a sheep, but when the order to charge was given, I got happy.	I had been feeling mean all the morning as if I had stolen a sheep, but when the order to charge was given, I got happy.	true	325.19	331.96	20.288366
5694_64025_000009_000002	I felt happier than a fellow does when he professes religion at a big Methodist camp-meeting.	I felt happier than a fellow does when he professes religion at a big Methodist camp meeting.	true	331.97	336.825	17
5694_64025_000009_000003	I shouted.	I shouted.	true	336.825	337.89	19.835451
5694_64025_000009_000004	It was fun then.	It was fun then.	true	337.89	339.09	17
5694_64025_000009_000005	Everybody looked happy.	Everybody looked happy.	false	339.09	340.575	30.967999
5694_64025_000009_000006	We were crowding them.	We were crowding them.	true	340.575	341.835	19.815521
5694_64025_000009_000007	One more charge, then their lines waver and break.	One more charge, then their lines waver and break.	true	341.835	345.3	18
5694_64025_000009_000008	They retreat in wild confusion.	They retreat in wild confusion.	true	345.3	347.59	21.867931
5694_64025_000009_000009	We were jubilant; we were triumphant.	We were jubilant; we were triumphant.	true	347.66	350.01	22.777935
5694_64025_000009_000010	Officers could not curb the men to keep in line.	Officers could not curb the men to keep in line.	true	350.01	352.86	21
5694_64025_000009_000011	Discharge after discharge was poured into the retreating line.	Discharge after discharge was poured into the retreating line.	true	352.86	356.43	15
5694_64025_000009_000012	The Federal dead and wounded covered the ground.	The Federal dead and wounded covered the ground.	true	356.43	359.23	17.827534
5694_64025_000010_000000	When in the very midst of our victory, here comes an order to halt. What! halt after today's victory?	When in the very midst of our victory, here comes an order to halt. What! halt after today's victory?	true	359.99	368.74	25.502392
5694_64025_000010_000001	Sidney Johnson killed, General Gladden killed, and a host of generals and other brave men killed, and the whole Yankee army in full retreat.	Sidney Johnson killed, General Gladden killed, and a host of generals and other brave men killed, and the whole Yankee army in full retreat.	true	369.08	378.06	23.357267
5694_64025_000011_000000	These four letters, h-a-l-t, O, how harsh they did break upon our ears. The victory was complete, but the word "halt" turned victory into defeat.	These four letters, h a l t, O, how harsh they did break upon our ears. The victory was complete, but the word "halt" turned victory into defeat.	false	378.06	394.57	22.322678
5694_64025_000012_000000	The soldiers had passed through the Yankee camps and saw all the good things that they had to eat in their sutlers' stores and officers' marquees, and it was but a short time before every soldier was rummaging to see what he could find.	The soldiers had passed through the Yankee camps and saw all the good things that they had to eat in their sutlers' stores and officers' marquees, and it was but a short time before every soldier was rummaging to see what he could find.	false	395.96	407.44	18
5694_64025_000013_000000	The harvest was great and the laborers were not few.	The harvest was great and the laborers were not few.	true	408.23	411.85	23.963392
5694_64025_000014_000000	The negro boys, who were with their young masters as servants, got rich. Greenbacks were plentiful, good clothes were plentiful, rations were not in demand.	The negro boys, who were with their young masters as servants, got rich. Greenbacks were plentiful, good clothes were plentiful, rations were not in demand.	true	412.82	421.6	19.697624
5694_64025_000014_000001	The boys were in clover.	The boys were in clover.	true	422.03	423.52	23.768564
5694_64025_000015_000000	This was Sunday.	This was Sunday.	true	424.49	426.1	21.054567
5694_64025_000016_000000	On Monday the tide was reversed.	On Monday the tide was reversed.	true	427.1	429.85	19.122616
5694_64025_000017_000000	Now, those Yankees were whipped, fairly whipped, and according to all the rules of war they ought to have retreated.	Now, those Yankees were whipped, fairly whipped, and according to all the rules of war they ought to have retreated.	false	431.27	438.25	19.570898
5694_64025_000017_000001	But they didn't.	But they didn't.	true	438.89	439.87	23.809092
5694_64025_000017_000002	Flushed with their victories at Fort Henry and Fort Donelson and the capture of Nashville, and the whole State of Tennessee having fallen into their hands, victory was again to perch upon their banners, for Buell's army, by forced marches, had come to Grant's assistance at the eleventh hour.	Flushed with their victories at Fort Henry and Fort Donelson and the capture of Nashville, and the whole State of Tennessee having fallen into their hands, victory was again to perch upon their banners, for Buell's army, by forced marches, had come to Grant's assistance at the eleventh hour.	true	440.72	457.39	22.423481
5694_64025_000018_000000	Gunboats and transports were busily crossing Buell's army all of Sunday night.	Gunboats and transports were busily crossing Buell's army all of Sunday night.	true	458.15	462.64	21
5694_64025_000018_000001	We could hear their boats ringing their bells, and hear the puff of smoke and steam from their boilers.	We could hear their boats ringing their bells, and hear the puff of smoke and steam from their boilers.	true	462.98	468.07	19.792915
5694_64025_000018_000002	Our regiment was the advance outpost, and we saw the skirmish line of the Federals advancing and then their main line and then their artillery.	Our regiment was the advance outpost, and we saw the skirmish line of the Federals advancing and then their main line and then their artillery.	true	468.92	477.88	20.606249
5694_64025_000018_000003	We made a good fight on Monday morning, and I was taken by surprise when the order came for us to retreat instead of advance.	We made a good fight on Monday morning, and I was taken by surprise when the order came for us to retreat instead of advance.	true	478.61	484.75	18
5694_64025_000018_000004	But as I said before, reader, a private soldier is but an automaton, and knows nothing of what is going on among the generals, and I am only giving the chronicles of little things and events that came under my own observation as I saw them then and remember them now.	But as I said before, reader, a private soldier is but an automaton, and knows nothing of what is going on among the generals, and I am only giving the chronicles of little things and events that came under my own observation as I saw them then and remember them now.	true	485.45	500.83	18.419956
5694_64025_000018_000005	Should you desire to find out more about the battle, I refer you to history.	Should you desire to find out more about the battle, I refer you to history.	true	501.32	505.75	22.132805
5694_64025_000019_000000	One incident I recollect very well.	One incident I recollect very well.	true	507.08	509.5	23.28052
5694_64025_000019_000001	A Yankee colonel, riding a fine gray mare, was sitting on his horse looking at our advance as if we were on review.	A Yankee colonel, riding a fine gray mare, was sitting on his horse looking at our advance as if we were on review.	true	509.72	516.49	18.662851
5694_64025_000019_000002	W. H. rushed forward and grabbed his horse by the bridle, telling him at the same time to surrender.	w h rushed forward and grabbed his horse by the bridle, telling him at the same time to surrender.	true	516.95	522.7	20.673418
5694_64025_000019_000003	The Yankee seized the reins, set himself back in the saddle, put the muzzle of his pistol in W. H.'s face and fired.	The Yankee seized the reins, set himself back in the saddle, put the muzzle of his pistol in w h's face and fired.	true	522.8	529.36	17
5694_64025_000019_000004	About the time he pulled trigger, a stray ball from some direction struck him in the side and he fell off dead, and his horse becoming frightened, galloped off, dragging him through the Confederate lines.	About the time he pulled trigger, a stray ball from some direction struck him in the side and he fell off dead, and his horse becoming frightened, galloped off, dragging him through the Confederate lines.	true	529.58	540.07	18
5694_64025_000019_000005	His pistol had missed its aim.	His pistol had missed its aim.	true	540.29	542.65	26.088366
5694_64025_000020_000000	I have heard hundreds of old soldiers tell of the amount of greenback money they saw and picked up on the battlefield of Shiloh, but they thought it valueless and did not trouble themselves with bringing it off with them.	I have heard hundreds of old soldiers tell of the amount of greenback money they saw and picked up on the battlefield of Shiloh, but they thought it valueless and did not trouble themselves with bringing it off with them.	true	544.58	555.22	18.99936
5694_64025_000021_000000	One fellow, a courier, who had had his horse killed, got on a mule he had captured, and in the last charge, before the final and fatal halt was made, just charged right ahead by his lone self, and the soldiers said, "Just look at that brave man, charging right in the jaws of death." He began to seesaw the mule and grit his teeth, and finally yelled out, "It arn't me, boys, it's this blarsted old mule.	One fellow, a courier, who had had his horse killed, got on a mule he had captured, and in the last charge, before the final and fatal halt was made, just charged right ahead by his lone self, and the soldiers said, "Just look at that brave man, charging right in the jaws of death." He began to seesaw the mule and grit his teeth, and finally yelled out, "It arn't me, boys, it's this blarsted old mule.	false	556.46	579.87	20
5694_64025_000021_000001	Whoa!	Whoa!	false	579.87	580.26	19
5694_64025_000021_000002	Whoa!"	Whoa!"	true	580.26	581.79	22
5694_64025_000022_000000	On Monday morning I too captured me a mule.	On Monday morning I too captured me a mule.	false	581.79	586.03	24.388044
5694_64025_000022_000001	He was not a fast mule, and I soon found out that he thought he knew as much as I did.	He was not a fast mule, and I soon found out that he thought he knew as much as I did.	true	586.4	591.22	21.36948
5694_64025_000022_000002	He was wise in his own conceit.	He was wise in his own conceit.	true	591.5	593.74	21.919697
5694_64025_000022_000003	He had a propensity to take every hog path he came to.	He had a propensity to take every hog path he came to.	true	594.47	597.82	22.049288
5694_64025_000022_000004	All the bombasting that I could give him would not make him accelerate his speed.	All the bombasting that I could give him would not make him accelerate his speed.	false	597.98	601.87	22
5694_64025_000022_000005	If blood makes speed, I do not suppose he had a drop of any kind in him.	If blood makes speed, I do not suppose he had a drop of any kind in him.	true	602.24	606.64	21.236683
5694_64025_000022_000006	If I wanted him to go on one side of the road he was sure to be possessed of an equal desire to go on the other side. Finally I and my mule fell out.	If I wanted him to go on one side of the road he was sure to be possessed of an equal desire to go on the other side. Finally I and my mule fell out.	true	607.34	615.76	19.978125
5694_64025_000022_000007	I got a big hickory and would frail him over the head, and he would only shake his head and flop his ears, and seem to say, "Well, now, you think you are smart, don't you?" He was a resolute mule, slow to anger, and would have made an excellent merchant to refuse bad pay, or I will pay your credit, for his whole composition seemed to be made up the one word--no.	I got a big hickory and would frail him over the head, and he would only shake his head and flop his ears, and seem to say, "Well, now, you think you are smart, don't you?" He was a resolute mule, slow to anger, and would have made an excellent merchant to refuse bad pay, or I will pay your credit, for his whole composition seemed to be made up the one word-no	false	616.07	637.75	22.384811
5694_64025_000022_000008	I frequently thought it would be pleasant to split the difference with that mule, and I would gladly have done so if I could have gotten one-half of his no. Me and mule worried along until we came to a creek.	I frequently thought it would be pleasant to split the difference with that mule, and I would gladly have done so if I could have gotten one half of his no Me and mule worried along until we came to a creek.	false	638.18	650.05	23.144072
5694_64025_000022_000009	Mule did not desire to cross, while I was trying to persuade him with a big stick, a rock in his ear, and a twister on his nose.	Mule did not desire to cross, while I was trying to persuade him with a big stick, a rock in his ear, and a twister on his nose.	false	650.36	657.28	21
5694_64025_000022_000010	The caisson of a battery was about to cross.	The caisson of a battery was about to cross.	true	657.71	660.13	18.004965
5694_64025_000022_000011	The driver said, "I'll take your mule over for you." So he got a large two-inch rope, tied one end around the mule's neck and the other to the caisson, and ordered the driver to whip up.	The driver said, "I'll take your mule over for you." So he got a large two inch rope, tied one end around the mule's neck and the other to the caisson, and ordered the driver to whip up.	false	660.44	670.78	21.682459
5694_64025_000022_000012	The mule was loath to take to the water.	The mule was loath to take to the water.	true	671.24	673.6	24.533157
5694_64025_000022_000013	He was no Baptist, and did not believe in immersion, and had his views about crossing streams, but the rope began to tighten, the mule to squeal out his protestations against such villainous proceedings.	He was no Baptist, and did not believe in immersion, and had his views about crossing streams, but the rope began to tighten, the mule to squeal out his protestations against such villainous proceedings.	true	673.79	685	23.168152
5694_64025_000022_000014	The rope, however, was stronger than the mule's "no," and he was finally prevailed upon by the strength of the rope to cross the creek.	The rope, however, was stronger than the mule's "no," and he was finally prevailed upon by the strength of the rope to cross the creek.	true	685.4	692.61	22.586613
5694_64025_000022_000015	On my taking the rope off he shook himself and seemed to say, "You think that you are mighty smart folks, but you are a leetle too smart." I gave it up that that mule's "no" was a little stronger than my determination.	On my taking the rope off he shook himself and seemed to say, "You think that you are mighty smart folks, but you are a leetle too smart." I gave it up that that mule's "no" was a little stronger than my determination.	false	692.61	706.36	23.7752
5694_64025_000022_000016	He seemed to be in deep meditation.	He seemed to be in deep meditation.	true	707.03	709.27	22.543188
5694_64025_000022_000017	I got on him again, when all of a sudden he lifted his head, pricked up his ears, began to champ his bit, gave a little squeal, got a little faster, and finally into a gallop and then a run.	I got on him again, when all of a sudden he lifted his head, pricked up his ears, began to champ his bit, gave a little squeal, got a little faster, and finally into a gallop and then a run.	true	709.94	720.61	20.204473
5694_64025_000022_000018	He seemed all at once to have remembered or to have forgotten something, and was now making up for lost time. With all my pulling and seesawing and strength I could not stop him until he brought up with me at Corinth, Mississippi.	He seemed all at once to have remembered or to have forgotten something, and was now making up for lost time. With all my pulling and seesawing and strength I could not stop him until he brought up with me at Corinth, Mississippi.	false	720.74	742.98	22.260496
