2412_153954_000001_000000	CHAPTER VII: FIRST IMPRESSIONS	CHAPTER seven: FIRST IMPRESSIONS
2412_153954_000004_000004	I was dazzled as I saw one after the other, of whom I could only feel that each was the loveliest I had ever seen.	I was dazzled as I saw one after the other, of whom I could only feel that each was the loveliest I had ever seen.
2412_153954_000004_000005	Even in middle age they were still comely, and the old grey-haired women at their cottage doors had a dignity, not to say majesty, of their own.	Even in middle age they were still comely, and the old grey haired women at their cottage doors had a dignity, not to say majesty, of their own.
2412_153954_000005_000000	The men were as handsome as the women beautiful.	The men were as handsome as the women beautiful.
2412_153954_000005_000001	I have always delighted in and reverenced beauty; but I felt simply abashed in the presence of such a splendid type--a compound of all that is best in Egyptian, Greek and Italian.	I have always delighted in and reverenced beauty; but I felt simply abashed in the presence of such a splendid type-a compound of all that is best in Egyptian, Greek and Italian.
2412_153954_000005_000002	The children were infinite in number, and exceedingly merry; I need hardly say that they came in for their full share of the prevailing beauty.	The children were infinite in number, and exceedingly merry; I need hardly say that they came in for their full share of the prevailing beauty.
2412_153954_000005_000003	I expressed by signs my admiration and pleasure to my guides, and they were greatly pleased.	I expressed by signs my admiration and pleasure to my guides, and they were greatly pleased.
2412_153954_000005_000005	I could fill many pages with a description of their dress and the ornaments which they wore, and a hundred details which struck me with all the force of novelty; but I must not stay to do so.	I could fill many pages with a description of their dress and the ornaments which they wore, and a hundred details which struck me with all the force of novelty; but I must not stay to do so.
2412_153954_000006_000000	When we had got past the village the fog rose, and revealed magnificent views of the snowy mountains and their nearer abutments, while in front I could now and again catch glimpses of the great plains which I had surveyed on the preceding evening.	When we had got past the village the fog rose, and revealed magnificent views of the snowy mountains and their nearer abutments, while in front I could now and again catch glimpses of the great plains which I had surveyed on the preceding evening.
2412_153954_000006_000001	The country was highly cultivated, every ledge being planted with chestnuts, walnuts, and apple-trees from which the apples were now gathering.	The country was highly cultivated, every ledge being planted with chestnuts, walnuts, and apple trees from which the apples were now gathering.
2412_153954_000006_000002	Goats were abundant; also a kind of small black cattle, in the marshes near the river, which was now fast widening, and running between larger flats from which the hills receded more and more.	Goats were abundant; also a kind of small black cattle, in the marshes near the river, which was now fast widening, and running between larger flats from which the hills receded more and more.
2412_153954_000006_000003	I saw a few sheep with rounded noses and enormous tails. Dogs were there in plenty, and very English; but I saw no cats, nor indeed are these creatures known, their place being supplied by a sort of small terrier.	I saw a few sheep with rounded noses and enormous tails. Dogs were there in plenty, and very English; but I saw no cats, nor indeed are these creatures known, their place being supplied by a sort of small terrier.
2412_153954_000007_000000	In about four hours of walking from the time we started, and after passing two or three more villages, we came upon a considerable town, and my guides made many attempts to make me understand something, but I gathered no inkling of their meaning, except that I need be under no apprehension of danger.	In about four hours of walking from the time we started, and after passing two or three more villages, we came upon a considerable town, and my guides made many attempts to make me understand something, but I gathered no inkling of their meaning, except that I need be under no apprehension of danger.
2412_153954_000007_000001	I will spare the reader any description of the town, and would only bid him think of Domodossola or Faido.	I will spare the reader any description of the town, and would only bid him think of Domodossola or Faido.
2412_153954_000007_000003	In fact, one of them was plainly very much out of health, and coughed violently from time to time in spite of manifest efforts to suppress it.	In fact, one of them was plainly very much out of health, and coughed violently from time to time in spite of manifest efforts to suppress it.
2412_153954_000007_000004	The other looked pale and ill but he was marvellously self-contained, and it was impossible to say what was the matter with him.	The other looked pale and ill but he was marvellously self-contained, and it was impossible to say what was the matter with him.
2412_153954_000007_000005	Both of them appeared astonished at seeing one who was evidently a stranger, but they were too ill to come up to me, and form conclusions concerning me.	Both of them appeared astonished at seeing one who was evidently a stranger, but they were too ill to come up to me, and form conclusions concerning me.
2412_153954_000007_000006	These two were first called out; and in about a quarter of an hour I was made to follow them, which I did in some fear, and with much curiosity.	These two were first called out; and in about a quarter of an hour I was made to follow them, which I did in some fear, and with much curiosity.
2412_153954_000008_000001	He looked me all over for about five minutes, letting his eyes wander from the crown of my head to the soles of my feet, up and down, and down and up; neither did his mind seem in the least clearer when he had done looking than when he began.	He looked me all over for about five minutes, letting his eyes wander from the crown of my head to the soles of my feet, up and down, and down and up; neither did his mind seem in the least clearer when he had done looking than when he began.
2412_153954_000008_000002	He at length asked me a single short question, which I supposed meant "Who are you?" I answered in English quite composedly as though he would understand me, and endeavoured to be my very most natural self as well as I could.	He at length asked me a single short question, which I supposed meant "Who are you?" I answered in English quite composedly as though he would understand me, and endeavoured to be my very most natural self as well as I could.
2412_153954_000008_000003	He appeared more and more puzzled, and then retired, returning with two others much like himself.	He appeared more and more puzzled, and then retired, returning with two others much like himself.
2412_153954_000008_000005	They felt my pulse, they looked at my tongue, they listened at my chest, they felt all my muscles; and at the end of each operation they looked at the chief and nodded, and said something in a tone quite pleasant, as though I were all right.	They felt my pulse, they looked at my tongue, they listened at my chest, they felt all my muscles; and at the end of each operation they looked at the chief and nodded, and said something in a tone quite pleasant, as though I were all right.
2412_153954_000008_000006	They even pulled down my eyelids, and looked, I suppose, to see if they were bloodshot; but it was not so.	They even pulled down my eyelids, and looked, I suppose, to see if they were bloodshot; but it was not so.
2412_153954_000008_000009	As soon as it was ended, they proceeded to overhaul my swag and the contents of my pockets.	As soon as it was ended, they proceeded to overhaul my swag and the contents of my pockets.
2412_153954_000008_000010	This gave me little uneasiness, for I had no money with me, nor anything which they were at all likely to want, or which I cared about losing.	This gave me little uneasiness, for I had no money with me, nor anything which they were at all likely to want, or which I cared about losing.
2412_153954_000008_000011	At least I fancied so, but I soon found my mistake.	At least I fancied so, but I soon found my mistake.
2412_153954_000009_000001	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.
2412_153954_000009_000002	But by and by they came to my watch, which I had hidden away in the inmost pocket that I had, and had forgotten when they began their search.	But by and by they came to my watch, which I had hidden away in the inmost pocket that I had, and had forgotten when they began their search.
2412_153954_000009_000003	They seemed concerned and uneasy as soon as they got hold of it.	They seemed concerned and uneasy as soon as they got hold of it.
2412_153954_000010_000000	I remember that when they first found it I had thought of Paley, and how he tells us that a savage on seeing a watch would at once conclude that it was designed.	I remember that when they first found it I had thought of Paley, and how he tells us that a savage on seeing a watch would at once conclude that it was designed.
2412_153954_000011_000001	He spoke to me solemnly and sternly for two or three minutes.	He spoke to me solemnly and sternly for two or three minutes.
2412_153954_000012_000001	The larger specimens had a case to themselves, and tickets with writing on them in a character which I could not understand.	The larger specimens had a case to themselves, and tickets with writing on them in a character which I could not understand.
2412_153954_000012_000005	As I said before, all were marred and broken.	As I said before, all were marred and broken.
2412_153954_000013_000000	We passed many cases, and at last came to one in which there were several clocks and two or three old watches.	We passed many cases, and at last came to one in which there were several clocks and two or three old watches.
2412_153954_000013_000001	Here the magistrate stopped, and opening the case began comparing my watch with the others.	Here the magistrate stopped, and opening the case began comparing my watch with the others.
2412_153954_000013_000002	The design was different, but the thing was clearly the same.	The design was different, but the thing was clearly the same.
