7850_286674_000000_000000	THE DRAGON-FLY CHILDREN AND THE SNAPPING TURTLE	THE DRAGON FLY CHILDREN AND THE SNAPPING TURTLE	true	26.355	29.56	24.793524
7850_286674_000009_000002	She was often impatient, and said she could never go anywhere without one of the larvae tagging along.	She was often impatient, and said she could never go anywhere without one of the larvae tagging along.	true	301.49	307.66	25.41925
7850_286674_000010_000000	"I tell you what let's do," said another Nymph.	"I tell you what let's do," said another Nymph.	true	308.09	310.96	24.855448
7850_286674_000010_000001	"Let's all go together to the shallow water where he suns himself, and let's all stand close to each other, and then, when he comes along, let's stick out our lips at him!"	"Let's all go together to the shallow water where he suns himself, and let's all stand close to each other, and then, when he comes along, let's stick out our lips at him!"	true	311.03	322.18	22.970758
7850_286674_000011_000000	"Both lips?" asked the larvae.	"Both lips?" asked the larvae.	false	322.64	325.92	24.089674
7850_286674_000012_000000	"Well, our lower lips anyway," answered the Nymph.	"Well, our lower lips anyway," answered the Nymph.	true	325.92	329.05	27.113869
7850_286674_000012_000001	"Our upper lips are so small they don't matter."	"Our upper lips are so small they don't matter."	true	329.15	331.48	23
7850_286674_000013_000000	"We'll do it," exclaimed all the Dragon-Fly children, and they started together to walk on the pond-bottom to the shallow water.	"We'll do it," exclaimed all the Dragon Fly children, and they started together to walk on the pond bottom to the shallow water.	true	332.57	340.78	25.118963
7850_286674_000013_000001	They thought it would scare the Snapping Turtle dreadfully.	They thought it would scare the Snapping Turtle dreadfully.	true	341.12	344.02	24.950407
7850_286674_000013_000002	They knew that whenever they stuck out their lower lips at the small fishes and bugs, they swam away as fast as they could.	They knew that whenever they stuck out their lower lips at the small fishes and bugs, they swam away as fast as they could.	true	344.24	351.25	23.63937
7850_286674_000013_000003	The Giant Water-Bug (Belostoma), was the only bug who was not afraid of them when they made faces.	The Giant Water Bug (Belostoma), was the only bug who was not afraid of them when they made faces.	true	351.56	357.61	24.732761
7850_286674_000013_000004	Indeed, the lower lip of a Dragon-Fly child might well frighten people, for it is fastened on a long, jointed, arm-like thing, and has pincers on it with which it catches and holds its food.	Indeed, the lower lip of a Dragon Fly child might well frighten people, for it is fastened on a long, jointed, arm like thing, and has pincers on it with which it catches and holds its food.	true	357.71	370.33	25.200134
7850_286674_000013_000005	Most of the time, the Dragon-Fly child keeps the joint bent, and so holds his lip up to his face like a mask.	Most of the time, the Dragon Fly child keeps the joint bent, and so holds his lip up to his face like a mask.	true	370.85	377.7	25.444477
7850_286674_000013_000006	But sometimes he straightens the joint and holds his lip out before him, and then its pincers catch hold of things.	But sometimes he straightens the joint and holds his lip out before him, and then its pincers catch hold of things.	true	377.7	384.49	22.996517
7850_286674_000013_000007	He does this when he is hungry.	He does this when he is hungry.	true	384.59	386.38	19.208754
7850_286674_000014_000000	When they reached the shallow water, the Dragon-Fly children stood close together, with the larvae in the middle and the Nymphs all around them. The Snapping Turtle was nowhere to be seen, so they had to wait.	When they reached the shallow water, the Dragon Fly children stood close together, with the larvae in the middle and the Nymphs all around them. The Snapping Turtle was nowhere to be seen, so they had to wait.	true	387.23	399.31	24.15255
7850_286674_000014_000001	"Aren't you scared?" whispered one larva to another.	"Aren't you scared?" whispered one larva to another.	true	399.89	403.51	23.81371
7850_286674_000015_000000	"Scared?	"Scared?	true	404.12	404.925	26
7850_286674_000015_000001	Dah!	Dah!	true	404.925	405.435	24.83693
7850_286674_000015_000002	Who's afraid," answered he.	Who's afraid," answered he.	true	405.435	407.56	20.658094
7850_286674_000016_000000	"Oh, look!" cried a Nymph.	"Oh, look!" cried a Nymph.	true	407.99	409.83	25.52302
7850_286674_000016_000001	"There go some grown-up Dragon-Flies over our heads.	"There go some grown up Dragon Flies over our heads.	false	409.83	412.96	20.96231
7850_286674_000016_000002	Just you wait until I change my skin once more, and then won't I have a good time!	Just you wait until I change my skin once more, and then won't I have a good time!	true	413	417.85	22
7850_286674_000016_000003	I'll dry my wings and then I'll----"	I'll dry my wings and then I'll----"	false	417.98	420.12	18
7850_286674_000017_000000	"Sh-h!" said one of the larvae.	"Sh h!" said one of the larvae.	false	420.12	423.04	18
7850_286674_000017_000001	"Here comes the Snapping Turtle."	"Here comes the Snapping Turtle."	false	423.11	425.17	22
7850_286674_000018_000000	Sure enough, there he came through the shallow water, his wet back-shell partly out of it and shining in the sunlight.	Sure enough, there he came through the shallow water, his wet back shell partly out of it and shining in the sunlight.	true	425.66	433.09	23.595308
7850_286674_000018_000001	He came straight toward the Dragon-Fly children, and they were glad to see that he did not look hungry.	He came straight toward the Dragon Fly children, and they were glad to see that he did not look hungry.	true	433.4	439.69	22.532478
7850_286674_000018_000002	They thought he might be going to take a nap after his dinner. Then they all stood even closer together and stuck out their lower lips at him.	They thought he might be going to take a nap after his dinner. Then they all stood even closer together and stuck out their lower lips at him.	true	439.85	448.45	22.556013
7850_286674_000018_000003	They thought he might run away when they did this.	They thought he might run away when they did this.	true	448.55	450.79	21.749273
7850_286674_000018_000004	They felt sure that he would at least be very badly frightened.	They felt sure that he would at least be very badly frightened.	false	450.89	535.74	21.030186
