3000_15664_000000_000000	In the afternoon we reached Strawberry Valley and fell asleep.	In the afternoon we reached Strawberry Valley and fell asleep.	false	0	2.43	21.97168
3000_15664_000013_000000	Regaining the low ground at the base of the mountain and holding on in your grand orbit, you pass through a belt of juniper woods, called "The Cedars," to Sheep Rock at the foot of the Shasta Pass.	Regaining the low ground at the base of the mountain and holding on in your grand orbit, you pass through a belt of juniper woods, called "The Cedars," to Sheep Rock at the foot of the Shasta Pass.	false	658.34	670.63	24.807238
3000_15664_000013_000001	Here you strike the old emigrant road, which leads over the low divide to the eastern slopes of the mountain.	Here you strike the old emigrant road, which leads over the low divide to the eastern slopes of the mountain.	true	670.85	676.96	21.859688
3000_15664_000013_000002	In a north-northwesterly direction from the foot of the pass you may chance to find Pluto's Cave, already mentioned; but it is not easily found, since its several mouths are on a level with the general surface of the ground, and have been made simply by the falling-in of portions of the roof.	In a north northwesterly direction from the foot of the pass you may chance to find Pluto's Cave, already mentioned; but it is not easily found, since its several mouths are on a level with the general surface of the ground, and have been made simply by the falling in of portions of the roof.	false	677.42	696.39	23.770792
3000_15664_000013_000003	Far the most beautiful and richly furnished of the mountain caves of California occur in a thick belt of metamorphic limestone that is pretty generally developed along the western flank of the Sierra from the McCloud River to the Kaweah, a distance of nearly four hundred miles.	Far the most beautiful and richly furnished of the mountain caves of California occur in a thick belt of metamorphic limestone that is pretty generally developed along the western flank of the Sierra from the McCloud River to the Kaweah, a distance of nearly four hundred miles.	true	696.39	713.77	22.10695
3000_15664_000013_000004	These volcanic caves are not wanting in interest, and it is well to light a pitch pine torch and take a walk in these dark ways of the underworld whenever opportunity offers, if for no other reason to see with new appreciation on returning to the sunshine the beauties that lie so thick about us.	These volcanic caves are not wanting in interest, and it is well to light a pitch pine torch and take a walk in these dark ways of the underworld whenever opportunity offers, if for no other reason to see with new appreciation on returning to the sunshine the beauties that lie so thick about us.	true	714.2	732.64	22.253298
3000_15664_000014_000000	Sheep Rock is about twenty miles from Sisson's, and is one of the principal winter pasture grounds of the wild sheep, from which it takes its name.	Sheep Rock is about twenty miles from Sisson's, and is one of the principal winter pasture grounds of the wild sheep, from which it takes its name.	true	733.49	743.25	24.129892
3000_15664_000014_000001	It is a mass of lava presenting to the gray sage plain of Shasta Valley a bold craggy front two thousand feet high.	It is a mass of lava presenting to the gray sage plain of Shasta Valley a bold craggy front two thousand feet high.	true	743.25	752.35	22.429155
3000_15664_000014_000002	Its summit lies at an elevation of five thousand five hundred feet above the sea, and has several square miles of comparatively level surface, where bunchgrass grows and the snow does not lie deep, thus allowing the hardy sheep to pick up a living through the winter months when deep snows have driven them down from the lofty ridges of Shasta.	Its summit lies at an elevation of five thousand five hundred feet above the sea, and has several square miles of comparatively level surface, where bunchgrass grows and the snow does not lie deep, thus allowing the hardy sheep to pick up a living through the winter months when deep snows have driven them down from the lofty ridges of Shasta.	false	752.78	774.43	22.357336
3000_15664_000015_000000	From here it might be well to leave the immediate base of the mountain for a few days and visit the Lava Beds made famous by the Modoc War. They lie about forty miles to the northeastward, on the south shore of Rhett or Tule [7] Lake, at an elevation above sea level of about forty-five hundred feet.	From here it might be well to leave the immediate base of the mountain for a few days and visit the Lava Beds made famous by the Modoc War. They lie about forty miles to the northeastward, on the south shore of Rhett or Tule [seven] Lake, at an elevation above sea level of about forty five hundred feet.	false	775.01	794.59	23.403683
3000_15664_000015_000001	They are a portion of a flow of dense black vesicular lava, dipping northeastward at a low angle, but little changed as yet by the weather, and about as destitute of soil as a glacial pavement.	They are a portion of a flow of dense black vesicular lava, dipping northeastward at a low angle, but little changed as yet by the weather, and about as destitute of soil as a glacial pavement.	true	794.9	808.39	22.72529
3000_15664_000015_000002	The surface, though smooth in a general way as seen from a distance, is dotted with hillocks and rough crater-like pits, and traversed by a network of yawning fissures, forming a combination of topographical conditions of very striking character.	The surface, though smooth in a general way as seen from a distance, is dotted with hillocks and rough crater like pits, and traversed by a network of yawning fissures, forming a combination of topographical conditions of very striking character.	true	808.85	825.49	25.642868
3000_15664_000015_000003	The way lies by Mount Bremer, over stretches of gray sage plains, interrupted by rough lava slopes timbered with juniper and yellow pine, and with here and there a green meadow and a stream.	The way lies by Mount Bremer, over stretches of gray sage plains, interrupted by rough lava slopes timbered with juniper and yellow pine, and with here and there a green meadow and a stream.	true	825.89	839.86	23.233027
3000_15664_000016_000000	This is a famous game region, and you will be likely to meet small bands of antelope, mule deer, and wild sheep.	This is a famous game region, and you will be likely to meet small bands of antelope, mule deer, and wild sheep.	true	840.47	848.2	23.923752
3000_15664_000016_000001	Mount Bremer is the most noted stronghold of the sheep in the whole Shasta region.	Mount Bremer is the most noted stronghold of the sheep in the whole Shasta region.	true	848.48	853.18	20
3000_15664_000016_000002	Large flocks dwell here from year to year, winter and summer, descending occasionally into the adjacent sage plains and lava beds to feed, but ever ready to take refuge in the jagged crags of their mountain at every alarm.	Large flocks dwell here from year to year, winter and summer, descending occasionally into the adjacent sage plains and lava beds to feed, but ever ready to take refuge in the jagged crags of their mountain at every alarm.	true	853.55	867.825	22.845934
3000_15664_000016_000003	While traveling with a company of hunters I saw about fifty in one flock.	While traveling with a company of hunters I saw about fifty in one flock.	true	867.825	872.44	25.804083
3000_15664_000017_000000	The Van Bremer brothers, after whom the mountain is named, told me that they once climbed the mountain with their rifles and hounds on a grand hunt; but, after keeping up the pursuit for a week, their boots and clothing gave way, and the hounds were lamed and worn out without having run down a single sheep, notwithstanding they ran night and day.	The Van Bremer brothers, after whom the mountain is named, told me that they once climbed the mountain with their rifles and hounds on a grand hunt; but, after keeping up the pursuit for a week, their boots and clothing gave way, and the hounds were lamed and worn out without having run down a single sheep, notwithstanding they ran night and day.	false	872.69	894.07	21.299976
3000_15664_000017_000001	On smooth spots, level or ascending, the hounds gained on the sheep, but on descending ground, and over rough masses of angular rocks they fell hopelessly behind.	On smooth spots, level or ascending, the hounds gained on the sheep, but on descending ground, and over rough masses of angular rocks they fell hopelessly behind.	true	894.56	905.11	23.161077
3000_15664_000017_000002	Only half a dozen sheep were shot as they passed the hunters stationed near their paths circling round the rugged summit.	Only half a dozen sheep were shot as they passed the hunters stationed near their paths circling round the rugged summit.	true	905.48	912.67	23
3000_15664_000017_000003	The full-grown bucks weigh nearly three hundred and fifty pounds.	The full grown bucks weigh nearly three hundred and fifty pounds.	true	913.04	917.08	23.993805
3000_15664_000018_000000	The mule deer are nearly as heavy.	The mule deer are nearly as heavy.	true	917.63	919.78	21.405754
3000_15664_000018_000001	Their long, massive ears give them a very striking appearance.	Their long, massive ears give them a very striking appearance.	true	919.97	923.77	22.065945
3000_15664_000018_000002	One large buck that I measured stood three feet and seven inches high at the shoulders, and when the ears were extended horizontally the distance across from tip to tip was two feet and one inch.	One large buck that I measured stood three feet and seven inches high at the shoulders, and when the ears were extended horizontally the distance across from tip to tip was two feet and one inch.	true	924.08	936.55	23.500706
3000_15664_000019_000000	From the Van Bremer ranch the way to the Lava Beds leads down the Bremer Meadows past many a smooth grassy knoll and jutting cliff, along the shore of Lower Klamath Lake, and thence across a few miles of sage plain to the brow of the wall-like bluff of lava four hundred and fifty feet above Tule Lake.	From the Van Bremer ranch the way to the Lava Beds leads down the Bremer Meadows past many a smooth grassy knoll and jutting cliff, along the shore of Lower Klamath Lake, and thence across a few miles of sage plain to the brow of the wall like bluff of lava four hundred and fifty feet above Tule Lake.	false	936.83	956.35	23.444529
3000_15664_000019_000001	Here you are looking southeastward, and the Modoc landscape, which at once takes possession of you, lies revealed in front.	Here you are looking southeastward, and the Modoc landscape, which at once takes possession of you, lies revealed in front.	true	956.54	964.57	25.42075
3000_15664_000019_000002	It is composed of three principal parts; on your left lies the bright expanse of Tule Lake, on your right an evergreen forest, and between the two are the black Lava Beds.	It is composed of three principal parts; on your left lies the bright expanse of Tule Lake, on your right an evergreen forest, and between the two are the black Lava Beds.	false	964.88	977.05	23.830563
3000_15664_000020_000000	When I first stood there, one bright day before sundown, the lake was fairly blooming in purple light, and was so responsive to the sky in both calmness and color it seemed itself a sky.	When I first stood there, one bright day before sundown, the lake was fairly blooming in purple light, and was so responsive to the sky in both calmness and color it seemed itself a sky.	true	977.54	990.51	21.966988
3000_15664_000020_000001	No mountain shore hides its loveliness.	No mountain shore hides its loveliness.	true	990.51	992.95	22.029905
3000_15664_000020_000002	It lies wide open for many a mile, veiled in no mystery but the mystery of light.	It lies wide open for many a mile, veiled in no mystery but the mystery of light.	true	993.35	999.46	23.768726
3000_15664_000020_000003	The forest also was flooded with sun-purple, not a spire moving, and Mount Shasta was seen towering above it rejoicing in the ineffable beauty of the alpenglow.	The forest also was flooded with sun purple, not a spire moving, and Mount Shasta was seen towering above it rejoicing in the ineffable beauty of the alpenglow.	true	999.98	1010.8	24.294098
3000_15664_000020_000004	But neither the glorified woods on the one hand, nor the lake on the other, could at first hold the eye.	But neither the glorified woods on the one hand, nor the lake on the other, could at first hold the eye.	true	1011.17	1017.28	23.355995
3000_15664_000020_000005	That dark mysterious lava plain between them compelled attention.	That dark mysterious lava plain between them compelled attention.	true	1017.65	1021.84	25
3000_15664_000020_000006	Here you trace yawning fissures, there clusters of somber pits; now you mark where the lava is bent and corrugated in swelling ridges and domes, again where it breaks into a rough mass of loose blocks.	Here you trace yawning fissures, there clusters of somber pits; now you mark where the lava is bent and corrugated in swelling ridges and domes, again where it breaks into a rough mass of loose blocks.	true	1022.42	1036.21	24.283537
3000_15664_000020_000007	Tufts of grass grow far apart here and there and small bushes of hardy sage, but they have a singed appearance and can do little to hide the blackness.	Tufts of grass grow far apart here and there and small bushes of hardy sage, but they have a singed appearance and can do little to hide the blackness.	true	1036.67	1047.22	23.959583
3000_15664_000020_000008	Deserts are charming to those who know how to see them--all kinds of bogs, barrens, and heathy moors; but the Modoc Lava Beds have for me an uncanny look.	Deserts are charming to those who know how to see them-all kinds of bogs, barrens, and heathy moors; but the Modoc Lava Beds have for me an uncanny look.	false	1047.59	1058.98	23.335878
3000_15664_000020_000009	As I gazed the purple deepened over all the landscape.	As I gazed the purple deepened over all the landscape.	false	1059.14	1062.52	29.373148
3000_15664_000020_000010	Then fell the gloaming, making everything still more forbidding and mysterious.	Then fell the gloaming, making everything still more forbidding and mysterious.	true	1062.71	1067.98	22.923557
3000_15664_000020_000011	Then, darkness like death.	Then, darkness like death.	true	1068.41	1071.16	25.12431
3000_15664_000021_000000	Next morning the crisp, sunshiny air made even the Modoc landscape less hopeless, and we ventured down the bluff to the edge of the Lava Beds. Just at the foot of the bluff we came to a square enclosed by a stone wall.	Next morning the crisp, sunshiny air made even the Modoc landscape less hopeless, and we ventured down the bluff to the edge of the Lava Beds. Just at the foot of the bluff we came to a square enclosed by a stone wall.	true	1071.56	1085.56	24.859966
3000_15664_000021_000001	This is a graveyard where lie buried thirty soldiers, most of whom met their fate out in the Lava Beds, as we learn by the boards marking the graves--a gloomy place to die in, and deadly-looking even without Modocs.	This is a graveyard where lie buried thirty soldiers, most of whom met their fate out in the Lava Beds, as we learn by the boards marking the graves-a gloomy place to die in, and deadly looking even without Modocs.	true	1085.93	1100.14	22.670116
3000_15664_000021_000002	The poor fellows that lie here deserve far more pity than they have ever received.	The poor fellows that lie here deserve far more pity than they have ever received.	true	1100.27	1104.94	20.26745
3000_15664_000021_000003	Picking our way over the strange ridges and hollows of the beds, we soon came to a circular flat about twenty yards in diameter, on the shore of the lake, where the comparative smoothness of the lava and a few handfuls of soil have caused the grass tufts to grow taller.	Picking our way over the strange ridges and hollows of the beds, we soon came to a circular flat about twenty yards in diameter, on the shore of the lake, where the comparative smoothness of the lava and a few handfuls of soil have caused the grass tufts to grow taller.	false	1105.37	1123	22.268349
3000_15664_000021_000004	This is where General Canby was slain while seeking to make peace with the treacherous Modocs.	This is where General Canby was slain while seeking to make peace with the treacherous Modocs.	true	1123.46	1128.64	21
3000_15664_000022_000000	Two or three miles farther on is the main stronghold of the Modocs, held by them so long and defiantly against all the soldiers that could be brought to the attack.	Two or three miles farther on is the main stronghold of the Modocs, held by them so long and defiantly against all the soldiers that could be brought to the attack.	true	1129.19	1138.84	21.741566
3000_15664_000022_000001	Indians usually choose to hide in tall grass and bush and behind trees, where they can crouch and glide like panthers, without casting up defenses that would betray their positions; but the Modoc castle is in the rock.	Indians usually choose to hide in tall grass and bush and behind trees, where they can crouch and glide like panthers, without casting up defenses that would betray their positions; but the Modoc castle is in the rock.	true	1139.21	1153.72	22.872458
