7850_111771_000000_000000	ULYSSES SIMPSON GRANT.	ULYSSES SIMPSON GRANT.	true	23.895	26.29	25.392473
7850_111771_000008_000003	Sherman advanced upon Atlanta, and the success of his famous march to the sea is well-known.	Sherman advanced upon Atlanta, and the success of his famous march to the sea is well-known.	true	291.32	297.34	18.906523
7850_111771_000009_000000	The capture of Lee was a far more difficult undertaking.	The capture of Lee was a far more difficult undertaking.	true	297.95	301.27	25.92578
7850_111771_000009_000001	After various flanking movements and costly assaults, the problem of taking Lee narrowed itself down to a siege of Petersburg.	After various flanking movements and costly assaults, the problem of taking Lee narrowed itself down to a siege of Petersburg.	true	301.58	309.97	27.92168
7850_111771_000009_000002	Grant perceived that his only hope lie in literally starving the Confederate army out by cutting off all resources as far as practicable.	Grant perceived that his only hope lie in literally starving the Confederate army out by cutting off all resources as far as practicable.	true	310.13	319.39	23.582233
7850_111771_000009_000003	Lee attempted to draw off attention toward Washington, but General Sheridan drove Early out of the Shenandoah Valley, devastating the country to such an extent that it was impossible to forage an army there should Lee attempt such a maneuver again.	Lee attempted to draw off attention toward Washington, but General Sheridan drove Early out of the Shenandoah Valley, devastating the country to such an extent that it was impossible to forage an army there should Lee attempt such a maneuver again.	true	320.15	335.44	24.899145
7850_111771_000009_000004	Time wore away, and on the 9th of April, 1865, Grant captured the Confederate army under Lee, thus virtually ending the war.	Time wore away, and on the ninth of April, eighteen sixty five, Grant captured the Confederate army under Lee, thus virtually ending the war.	true	335.93	346.3	26.047255
7850_111771_000010_000000	On July 25, 1866, he was made general of the United States army; the rank having been created for him, he was the first to hold it.	On july twenty fifth eighteen sixty six, he was made general of the United States army; the rank having been created for him, he was the first to hold it.	true	347.18	357.25	28.574457
7850_111771_000010_000001	At the next Republican Convention, Grant was nominated for President on the first ballot, and was elected over Seymour, and was re-elected a second term by an increased majority.	At the next Republican Convention, Grant was nominated for President on the first ballot, and was elected over Seymour, and was re-elected a second term by an increased majority.	true	357.8	368.53	25.243986
7850_111771_000011_000000	When his public services were finished he started in company with his wife, son Jesse, and a few friends.	When his public services were finished he started in company with his wife, son Jesse, and a few friends.	true	369.26	375.7	27.04797
7850_111771_000011_000001	They set sail from Philadelphia on the 17th of May, 1877.	They set sail from Philadelphia on the seventeenth of May, eighteen seventy seven.	false	375.92	380.89	25.673473
7850_111771_000011_000002	They visited nearly all the countries of Europe, and part of those of Africa and Asia.	They visited nearly all the countries of Europe, and part of those of Africa and Asia.	true	381.32	386.8	23.294302
7850_111771_000011_000003	On this trip the Grant party were the guests of nearly all the crowned heads of those foreign countries, everywhere receiving the most exalted honors it has ever been the pleasure of an American to enjoy, and on his return to the United States they were the recipients of an ovation in many of the principal cities of this country.	On this trip the Grant party were the guests of nearly all the crowned heads of those foreign countries, everywhere receiving the most exalted honors it has ever been the pleasure of an American to enjoy, and on his return to the United States they were the recipients of an ovation in many of the principal cities of this country.	true	387.29	406.63	23.723034
7850_111771_000012_000000	His success seems to have been the outgrowth of hard study and ability to perform the most exhaustive labor without fatigue.	His success seems to have been the outgrowth of hard study and ability to perform the most exhaustive labor without fatigue.	true	407.3	415.3	27.903673
7850_111771_000012_000001	The scenes of his later days were clouded with the intrigues of a stock gambler, but the stain that the Grant-Ward failure seemed likely to throw on the spotless reputation of General Grant was wiped away when the facts were brought to light, and a new lustre was added to his fame by the self-sacrifice shown in the final settlement.	The scenes of his later days were clouded with the intrigues of a stock gambler, but the stain that the Grant Ward failure seemed likely to throw on the spotless reputation of General Grant was wiped away when the facts were brought to light, and a new lustre was added to his fame by the self sacrifice shown in the final settlement.	true	415.43	435.49	26.256897
7850_111771_000013_000000	General Grant proved to be a writer of no low order, and his autobiography is a very readable book.	General Grant proved to be a writer of no low order, and his autobiography is a very readable book.	true	436.01	442.27	27.860464
7850_111771_000013_000001	On July 23rd, 1885, the General surrendered to a loathsome cancer, and the testimonials of devotion shown the honored dead; and the bereaved family throughout the civilized world, indicated the stronghold upon the hearts of the people held by the dead General.	On july twenty third eighteen eighty five, the General surrendered to a loathsome cancer, and the testimonials of devotion shown the honored dead; and the bereaved family throughout the civilized world, indicated the stronghold upon the hearts of the people held by the dead General.	true	442.61	459.9	24.605988
7850_111771_000014_000000	STONEWALL JACKSON.	STONEWALL JACKSON.	false	459.9	460.17	-20
7850_111771_000015_000000	The true name of this most remarkable man was Thomas Jonathan Jackson; few people, however, would recognize by that name to whom was referred. At the battle of Bull Run, when the Confederates seemed about to fly, General Bee suddenly appearing in view of his men, pointing to Jackson's column exclaimed: "There stands Jackson like a stone-wall." From that hour the name he received by ordinance of water was supplanted by that received in a baptism of fire.	The true name of this most remarkable man was Thomas Jonathan Jackson; few people, however, would recognize by that name to whom was referred. At the battle of Bull Run, when the Confederates seemed about to fly, General Bee suddenly appearing in view of his men, pointing to Jackson's column exclaimed: "There stands Jackson like a stone wall." From that hour the name he received by ordinance of water was supplanted by that received in a baptism of fire.	false	460.17	466.5	26.672241
