1919_142785_000001_000000	PICKLED CUCUMBERS.	PICKLED CUCUMBERS.
1919_142785_000070_000001	This sauce or gravy is used for many dishes, and with most people is a general favourite.	This sauce or gravy is used for many dishes, and with most people is a general favourite.
1919_142785_000071_000000	FENNEL SAUCE FOR MACKEREL.	FENNEL SAUCE FOR MACKEREL.
1919_142785_000073_000001	Simmer for a minute or two, and serve in a tureen.	Simmer for a minute or two, and serve in a tureen.
1919_142785_000078_000001	It is very generally cultivated in gardens, and has much improved on its original form.	It is very generally cultivated in gardens, and has much improved on its original form.
1919_142785_000078_000002	Various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in soups, although it is more usually confined, in English cookery, to the mackerel sauce as here given.	Various dishes are frequently ornamented and garnished with its graceful leaves, and these are sometimes boiled in soups, although it is more usually confined, in English cookery, to the mackerel sauce as here given.
1919_142785_000079_000000	FISH SAUCE.	FISH SAUCE.
1919_142785_000083_000000	FORCEMEAT BALLS FOR FISH SOUPS.	FORCEMEAT BALLS FOR FISH SOUPS.
1919_142785_000085_000001	Continue pounding till the whole is nicely amalgamated.	Continue pounding till the whole is nicely amalgamated.
1919_142785_000085_000002	Warm the butter till it is in a liquid state; well whisk the eggs, and work these up with the pounded lobster-meat.	Warm the butter till it is in a liquid state; well whisk the eggs, and work these up with the pounded lobster meat.
1919_142785_000089_000001	Pound well, and bind with 1 or 2 eggs which have been previously beaten and strained.	Pound well, and bind with one or two eggs which have been previously beaten and strained.
1919_142785_000089_000002	Work the whole well together, and the forcemeat will be ready for use.	Work the whole well together, and the forcemeat will be ready for use.
1919_142785_000089_000003	If the pie is not to be eaten immediately, omit the herbs and parsley, as these would prevent it from keeping.	If the pie is not to be eaten immediately, omit the herbs and parsley, as these would prevent it from keeping.
1919_142785_000089_000004	Mushrooms or truffles may be added.	Mushrooms or truffles may be added.
1919_142785_000092_000000	MARJORAM.--Although there are several species of marjoram, that which is known as the sweet or knotted marjoram, is the one usually preferred in cookery.	MARJORAM.--Although there are several species of marjoram, that which is known as the sweet or knotted marjoram, is the one usually preferred in cookery.
1919_142785_000092_000001	It is a native of Portugal, and when its leaves are used as a seasoning herb, they have an agreeable aromatic flavour.	It is a native of Portugal, and when its leaves are used as a seasoning herb, they have an agreeable aromatic flavour.
1919_142785_000092_000002	The winter sweet marjoram used for the same purposes, is a native of Greece, and the pot-marjoram is another variety brought from Sicily.	The winter sweet marjoram used for the same purposes, is a native of Greece, and the pot marjoram is another variety brought from Sicily.
1919_142785_000093_000000	FORCEMEAT FOR PIKE, CARP, HADDOCK, AND VARIOUS KINDS OF FISH.	FORCEMEAT FOR PIKE, CARP, HADDOCK, AND VARIOUS KINDS OF FISH.
1919_142785_000095_000001	Oysters or anchovies may be added to this forcemeat, and will be found a great improvement.	Oysters or anchovies may be added to this forcemeat, and will be found a great improvement.
1919_142785_000099_000002	of bread crumbs, 2 eggs.	of bread crumbs, two eggs.
1919_142785_000100_000001	Now beat and strain the eggs, work these up with the other ingredients, and the forcemeat will be ready for use.	Now beat and strain the eggs, work these up with the other ingredients, and the forcemeat will be ready for use.
1919_142785_000100_000003	As we have stated before, no one flavour should predominate greatly, and the forcemeat should be of sufficient body to cut with a knife, and yet not dry and heavy.	As we have stated before, no one flavour should predominate greatly, and the forcemeat should be of sufficient body to cut with a knife, and yet not dry and heavy.
1919_142785_000103_000001	Boil for 5 minutes, mince it very small, and mix it with the other ingredients.	Boil for five minutes, mince it very small, and mix it with the other ingredients.
1919_142785_000103_000002	If it should be in an unsound state, it must be on no account made use of.	If it should be in an unsound state, it must be on no account made use of.
1919_142785_000104_000000	[Illustration: BASIL.]	[Illustration: BASIL.]
1919_142785_000106_000000	FORCEMEAT FOR BAKED PIKE.	FORCEMEAT FOR BAKED PIKE.
1919_142785_000113_000001	It will be well to state, in the beginning of this recipe, that French forcemeat, or quenelles, consist of the blending of three separate processes; namely, panada, udder, and whatever meat you intend using.	It will be well to state, in the beginning of this recipe, that French forcemeat, or quenelles, consist of the blending of three separate processes; namely, panada, udder, and whatever meat you intend using.
1919_142785_000114_000000	PANADA.	PANADA.
1919_142785_000116_000001	When done, moisten with 2 teacupfuls of white stock, boil for 20 minutes, and strain the whole through a sieve over the panada in the other stewpan. Place it over the fire, keep constantly stirring, to prevent its burning, and when quite dry, put in a small piece of butter.	When done, moisten with two teacupfuls of white stock, boil for twenty minutes, and strain the whole through a sieve over the panada in the other stewpan. Place it over the fire, keep constantly stirring, to prevent its burning, and when quite dry, put in a small piece of butter.
1919_142785_000116_000002	Let this again dry up by stirring over the fire; then add the yolks of 2 eggs, mix well, put the panada to cool on a clean plate, and use it when required.	Let this again dry up by stirring over the fire; then add the yolks of two eggs, mix well, put the panada to cool on a clean plate, and use it when required.
1919_142785_000117_000000	Boiled Calf's Udder for French Forcemeats.	Boiled Calf's Udder for French Forcemeats.
1919_142785_000118_000001	Put the udder into a stewpan with sufficient water to cover it; let it stew gently till quite done, when take it out to cool.	Put the udder into a stewpan with sufficient water to cover it; let it stew gently till quite done, when take it out to cool.
1919_142785_000118_000003	That portion which passes through the strainer is one of the three ingredients of which French forcemeats are generally composed; but many cooks substitute butter for this, being a less troublesome and more expeditious mode of preparation.	That portion which passes through the strainer is one of the three ingredients of which French forcemeats are generally composed; but many cooks substitute butter for this, being a less troublesome and more expeditious mode of preparation.
1919_142785_000119_000000	[Illustration: PESTLE AND MORTAR.]	[Illustration: PESTLE AND MORTAR.]
1919_142785_000120_000000	PESTLE AND MORTAR.--No cookery can be perfectly performed without the aid of the useful instruments shown in the engraving.	PESTLE AND MORTAR.--No cookery can be perfectly performed without the aid of the useful instruments shown in the engraving.
1919_142785_000120_000002	They are made of iron, and, in that material, can be bought cheap; but as these are not available, for all purposes, we should recommend, as more economical in the end, those made of Wedgwood, although these are considerably more expensive than the former.	They are made of iron, and, in that material, can be bought cheap; but as these are not available, for all purposes, we should recommend, as more economical in the end, those made of Wedgwood, although these are considerably more expensive than the former.
1919_142785_000121_000000	Veal Quenelles.	Veal Quenelles.
1919_142785_000123_000003	When the three ingredients are properly prepared, pound them altogether in a mortar for some time; for the more quenelles are pounded, the more delicate they are.	When the three ingredients are properly prepared, pound them altogether in a mortar for some time; for the more quenelles are pounded, the more delicate they are.
1919_142785_000123_000005	When the whole is well blended together, mould it into balls, or whatever shape is intended, roll them in flour, and poach in boiling water, to which a little salt should have been added.	When the whole is well blended together, mould it into balls, or whatever shape is intended, roll them in flour, and poach in boiling water, to which a little salt should have been added.
1919_142785_000123_000006	If the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside.	If the quenelles are not firm enough, add the yolk of another egg, but omit the white, which only makes them hollow and puffy inside.
1919_142785_000123_000007	In the preparation of this recipe, it would be well to bear in mind that the ingredients are to be well pounded and seasoned, and must be made hard or soft according to the dishes they are intended for.	In the preparation of this recipe, it would be well to bear in mind that the ingredients are to be well pounded and seasoned, and must be made hard or soft according to the dishes they are intended for.
1919_142785_000123_000008	For brown or white ragouts they should be firm, and when the quenelles are used very small, extreme delicacy will be necessary in their preparation.	For brown or white ragouts they should be firm, and when the quenelles are used very small, extreme delicacy will be necessary in their preparation.
1919_142785_000126_000001	Any one with the slightest pretensions to refined cookery, must, in this particular, implicitly follow the example of our friends across the Channel.	Any one with the slightest pretensions to refined cookery, must, in this particular, implicitly follow the example of our friends across the Channel.
1919_142785_000127_000000	FORCEMEAT, or QUENELLES, FOR TURTLE SOUP.	FORCEMEAT, or QUENELLES, FOR TURTLE SOUP.
1919_142785_000130_000000	FRIED BREAD CRUMBS.	FRIED BREAD CRUMBS.
1919_142785_000131_000001	Cut the bread into thin slices, place them in a cool oven overnight, and when thoroughly dry and crisp, roll them down into fine crumbs.	Cut the bread into thin slices, place them in a cool oven overnight, and when thoroughly dry and crisp, roll them down into fine crumbs.
1919_142785_000131_000002	Put some lard, or clarified dripping, into a frying-pan; bring it to the boiling-point, throw in the crumbs, and fry them very quickly. Directly they are done, lift them out with a slice, and drain them before the fire from all greasy moisture.	Put some lard, or clarified dripping, into a frying pan; bring it to the boiling point, throw in the crumbs, and fry them very quickly. Directly they are done, lift them out with a slice, and drain them before the fire from all greasy moisture.
1919_142785_000131_000003	When quite crisp, they are ready for use.	When quite crisp, they are ready for use.
1919_142785_000133_000002	Fry them in the same manner as the bread crumbs, in clear boiling lard, or clarified dripping, and drain them until thoroughly crisp before the fire.	Fry them in the same manner as the bread crumbs, in clear boiling lard, or clarified dripping, and drain them until thoroughly crisp before the fire.
1919_142785_000133_000003	When variety is desired, fry some of a pale colour, and others of a darker hue.	When variety is desired, fry some of a pale colour, and others of a darker hue.
1919_142785_000134_000000	FRIED BREAD FOR BORDERS.	FRIED BREAD FOR BORDERS.
1919_142785_000135_000001	Proceed as above, by frying some slices of bread cut in any fanciful shape.	Proceed as above, by frying some slices of bread cut in any fanciful shape.
1919_142785_000135_000002	When quite crisp, dip one side of the sippet into the beaten white of an egg mixed with a little flour, and place it on the edge of the dish.	When quite crisp, dip one side of the sippet into the beaten white of an egg mixed with a little flour, and place it on the edge of the dish.
1919_142785_000135_000003	Continue in this manner till the border is completed, arranging the sippets a pale and a dark one alternately.	Continue in this manner till the border is completed, arranging the sippets a pale and a dark one alternately.
