3536_8226_000002_000000	MR.	mr
3536_8226_000020_000008	Bozzle, who had stood at the inner door, saw that the gentleman was Mr. Trevelyan.	Bozzle, who had stood at the inner door, saw that the gentleman was mr Trevelyan.
3536_8226_000021_000003	Then Bozzle came forward and introduced his wife.	Then Bozzle came forward and introduced his wife.
3536_8226_000021_000009	Mrs. Bozzle had set a chair for him, but he had declined to sit down.	mrs Bozzle had set a chair for him, but he had declined to sit down.
3536_8226_000021_000011	"Perhaps you could put on your coat, and walk out with me for a few minutes," said Trevelyan.	"Perhaps you could put on your coat, and walk out with me for a few minutes," said Trevelyan.
3536_8226_000021_000012	Mrs. Bozzle, who well understood that business was business, and that wives were not business, felt no anger at this, and handed her husband his best coat.	mrs Bozzle, who well understood that business was business, and that wives were not business, felt no anger at this, and handed her husband his best coat.
3536_8226_000021_000013	The well-brushed hat was fetched from a cupboard, and it was astonishing to see how easily and how quickly the outer respectability of Bozzle was restored.	The well brushed hat was fetched from a cupboard, and it was astonishing to see how easily and how quickly the outer respectability of Bozzle was restored.
3536_8226_000024_000000	"Why not?" Trevelyan could perceive at once that the authority which he had once respected had gone from the man.	"Why not?" Trevelyan could perceive at once that the authority which he had once respected had gone from the man.
3536_8226_000024_000001	Bozzle away from his own home, out on business, with his coat buttoned over his breast, and his best hat in his hand, was aware that he commanded respect,--and he could carry himself accordingly.	Bozzle away from his own home, out on business, with his coat buttoned over his breast, and his best hat in his hand, was aware that he commanded respect,--and he could carry himself accordingly.
3536_8226_000024_000003	But he had been found with his coat off, and a baby in his arms, and he could not recover himself.	But he had been found with his coat off, and a baby in his arms, and he could not recover himself.
3536_8226_000026_000006	As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected.	As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected.
3536_8226_000026_000007	And all work had ceased with him.	And all work had ceased with him.
3536_8226_000026_000009	And he knew it all.	And he knew it all.
3536_8226_000026_000012	He looked up for a moment at Bozzle, and then asked him a question.	He looked up for a moment at Bozzle, and then asked him a question.
3536_8226_000027_000000	"You mean the Colonel, sir.	"You mean the Colonel, sir.
3536_8226_000027_000002	He have been up all this month, sir."	He have been up all this month, sir."
3536_8226_000028_000000	"They haven't met?"	"They haven't met?"
3536_8226_000029_000000	Bozzle paused a moment before he replied, and then smiled as he spoke.	Bozzle paused a moment before he replied, and then smiled as he spoke.
3536_8226_000029_000004	I ain't got no evidence, Mr. Trevelyan.	I ain't got no evidence, mr Trevelyan.
3536_8226_000031_000000	"He's disturbed in his mind,--quite 'orrid," Bozzle said when he got back to his wife.	"He's disturbed in his mind,--quite 'orrid," Bozzle said when he got back to his wife.
3536_8226_000031_000001	"He cursed and swore as made even me feel bad."	"He cursed and swore as made even me feel bad."
