1673_143397_000000_000000	[Footnote 22: A grammarian is named by Socrates (l. vii.	[Footnote twenty two: A grammarian is named by Socrates (l. vii.	false	0.51	2.64	19
1673_143397_000003_000005	Without any legal sentence, without any royal mandate, the patriarch, at the dawn of day, led a seditious multitude to the attack of the synagogues.	Without any legal sentence, without any royal mandate, the patriarch, at the dawn of day, led a seditious multitude to the attack of the synagogues.	false	86.06	94.63	20.831554
1673_143397_000003_000006	Unarmed and unprepared, the Jews were incapable of resistance; their houses of prayer were levelled with the ground, and the episcopal warrior, after-rewarding his troops with the plunder of their goods, expelled from the city the remnant of the unbelieving nation.	Unarmed and unprepared, the Jews were incapable of resistance; their houses of prayer were levelled with the ground, and the episcopal warrior, after rewarding his troops with the plunder of their goods, expelled from the city the remnant of the unbelieving nation.	true	94.82	109.3	21.86424
1673_143397_000003_000007	Perhaps he might plead the insolence of their prosperity, and their deadly hatred of the Christians, whose blood they had recently shed in a malicious or accidental tumult.	Perhaps he might plead the insolence of their prosperity, and their deadly hatred of the Christians, whose blood they had recently shed in a malicious or accidental tumult.	true	110.03	118.39	22.277882
1673_143397_000004_000000	Such crimes would have deserved the animadversion of the magistrate; but in this promiscuous outrage, the innocent were confounded with the guilty, and Alexandria was impoverished by the loss of a wealthy and industrious colony.	Such crimes would have deserved the animadversion of the magistrate; but in this promiscuous outrage, the innocent were confounded with the guilty, and Alexandria was impoverished by the loss of a wealthy and industrious colony.	true	119.33	131.8	22.213734
1673_143397_000004_000001	The zeal of Cyril exposed him to the penalties of the Julian law; but in a feeble government and a superstitious age, he was secure of impunity, and even of praise.	The zeal of Cyril exposed him to the penalties of the Julian law; but in a feeble government and a superstitious age, he was secure of impunity, and even of praise.	false	132.32	142.81	21.09066
1673_143397_000004_000002	Orestes complained; but his just complaints were too quickly forgotten by the ministers of Theodosius, and too deeply remembered by a priest who affected to pardon, and continued to hate, the praefect of Egypt.	Orestes complained; but his just complaints were too quickly forgotten by the ministers of Theodosius, and too deeply remembered by a priest who affected to pardon, and continued to hate, the praefect of Egypt.	false	143.45	154.93	21.914463
1673_143397_000004_000003	As he passed through the streets, his chariot was assaulted by a band of five hundred of the Nitrian monks his guards fled from the wild beasts of the desert; his protestations that he was a Christian and a Catholic were answered by a volley of stones, and the face of Orestes was covered with blood. The loyal citizens of Alexandria hastened to his rescue; he instantly satisfied his justice and revenge against the monk by whose hand he had been wounded, and Ammonius expired under the rod of the lictor.	As he passed through the streets, his chariot was assaulted by a band of five hundred of the Nitrian monks his guards fled from the wild beasts of the desert; his protestations that he was a Christian and a Catholic were answered by a volley of stones, and the face of Orestes was covered with blood. The loyal citizens of Alexandria hastened to his rescue; he instantly satisfied his justice and revenge against the monk by whose hand he had been wounded, and Ammonius expired under the rod of the lictor.	false	155.54	184.3	21.883991
1673_143397_000004_000004	At the command of Cyril his body was raised from the ground, and transported, in solemn procession, to the cathedral; the name of Ammonius was changed to that of Thaumasius the wonderful; his tomb was decorated with the trophies of martyrdom, and the patriarch ascended the pulpit to celebrate the magnanimity of an assassin and a rebel.	At the command of Cyril his body was raised from the ground, and transported, in solemn procession, to the cathedral; the name of Ammonius was changed to that of Thaumasius the wonderful; his tomb was decorated with the trophies of martyrdom, and the patriarch ascended the pulpit to celebrate the magnanimity of an assassin and a rebel.	false	184.91	203.38	22.6775
1673_143397_000004_000005	Such honors might incite the faithful to combat and die under the banners of the saint; and he soon prompted, or accepted, the sacrifice of a virgin, who professed the religion of the Greeks, and cultivated the friendship of Orestes.	Such honors might incite the faithful to combat and die under the banners of the saint; and he soon prompted, or accepted, the sacrifice of a virgin, who professed the religion of the Greeks, and cultivated the friendship of Orestes.	true	203.84	216.04	22.44053
1673_143397_000004_000006	Hypatia, the daughter of Theon the mathematician, [25] was initiated in her father's studies; her learned comments have elucidated the geometry of Apollonius and Diophantus, and she publicly taught, both at Athens and Alexandria, the philosophy of Plato and Aristotle.	Hypatia, the daughter of Theon the mathematician, [twenty five] was initiated in her father's studies; her learned comments have elucidated the geometry of Apollonius and Diophantus, and she publicly taught, both at Athens and Alexandria, the philosophy of Plato and Aristotle.	false	216.71	232	22.93478
1673_143397_000004_000007	In the bloom of beauty, and in the maturity of wisdom, the modest maid refused her lovers and instructed her disciples; the persons most illustrious for their rank or merit were impatient to visit the female philosopher; and Cyril beheld, with a jealous eye, the gorgeous train of horses and slaves who crowded the door of her academy.	In the bloom of beauty, and in the maturity of wisdom, the modest maid refused her lovers and instructed her disciples; the persons most illustrious for their rank or merit were impatient to visit the female philosopher; and Cyril beheld, with a jealous eye, the gorgeous train of horses and slaves who crowded the door of her academy.	false	232.61	251.5	21.941595
1673_143397_000004_000008	A rumor was spread among the Christians, that the daughter of Theon was the only obstacle to the reconciliation of the praefect and the archbishop; and that obstacle was speedily removed.	A rumor was spread among the Christians, that the daughter of Theon was the only obstacle to the reconciliation of the praefect and the archbishop; and that obstacle was speedily removed.	false	252.02	261.55	23.55428
1673_143397_000004_000009	On a fatal day, in the holy season of Lent, Hypatia was torn from her chariot, stripped naked, dragged to the church, and inhumanly butchered by the hands of Peter the reader, and a troop of savage and merciless fanatics: her flesh was scraped from her bones with sharp cyster shells, [26] and her quivering limbs were delivered to the flames.	On a fatal day, in the holy season of Lent, Hypatia was torn from her chariot, stripped naked, dragged to the church, and inhumanly butchered by the hands of peter the reader, and a troop of savage and merciless fanatics: her flesh was scraped from her bones with sharp cyster shells, [twenty six] and her quivering limbs were delivered to the flames.	false	261.83	281.05	20.861187
1673_143397_000004_000010	The just progress of inquiry and punishment was stopped by seasonable gifts; but the murder of Hypatia has imprinted an indelible stain on the character and religion of Cyril of Alexandria. [27]	The just progress of inquiry and punishment was stopped by seasonable gifts; but the murder of Hypatia has imprinted an indelible stain on the character and religion of Cyril of Alexandria. [twenty seven]	false	281.48	292.14	22
1673_143397_000005_000000	[Footnote 24: The Parabolani of Alexandria were a charitable corporation, instituted during the plague of Gallienus, to visit the sick and to bury the dead.	[Footnote twenty four: The Parabolani of Alexandria were a charitable corporation, instituted during the plague of Gallienus, to visit the sick and to bury the dead.	false	292.14	292.23	-20
1673_143397_000005_000001	They gradually enlarged, abused, and sold the privileges of their order.	They gradually enlarged, abused, and sold the privileges of their order.	false	292.23	292.26	-20
1673_143397_000005_000002	Their outrageous conduct during the reign of Cyril provoked the emperor to deprive the patriarch of their nomination, and to restrain their number to five or six hundred.	Their outrageous conduct during the reign of Cyril provoked the emperor to deprive the patriarch of their nomination, and to restrain their number to five or six hundred.	false	292.26	292.35	-20
1673_143397_000005_000003	But these restraints were transient and ineffectual.	But these restraints were transient and ineffectual.	false	292.35	292.35	
1673_143397_000005_000004	See the Theodosian Code, l. xvi.	See the Theodosian Code, l. x v i.	false	292.35	292.38	-5
1673_143397_000005_000005	tit. ii. and Tillemont, Mem.	tit. ii. and Tillemont, Mem.	false	292.38	292.41	-1
1673_143397_000005_000006	Eccles.	Eccles.	false	292.41	292.41	
1673_143397_000005_000007	tom. xiv.	tom. x i v.	false	292.41	292.41	
1673_143397_000005_000008	p. 276--278.]	p. two hundred seventy six-minus two hundred seventy eight.]	false	292.41	292.44	-20
1673_143397_000006_000000	[Footnote 25: For Theon and his daughter Hypatia. see Fabricius, Bibliothec. tom.	[Footnote twenty five: For Theon and his daughter Hypatia. see Fabricius, Bibliothec. tom.	false	292.44	292.5	-20
1673_143397_000006_000001	viii.	viii.	false	292.5	292.5	
1673_143397_000006_000002	p. 210, 211.	p. two hundred ten, two hundred eleven.	false	292.5	292.53	-20
1673_143397_000006_000003	Her article in the Lexicon of Suidas is curious and original.	Her article in the Lexicon of Suidas is curious and original.	false	292.53	292.56	-2
1673_143397_000006_000004	Hesychius (Meursii Opera, tom.	Hesychius (Meursii Opera, tom.	false	292.56	292.56	
1673_143397_000006_000005	vii.	vii.	false	292.56	292.56	
1673_143397_000006_000006	p. 295, 296) observes, that he was persecuted; and an epigram in the Greek Anthology (l. i.	p. two hundred ninety five, two hundred ninety six) observes, that he was persecuted; and an epigram in the Greek Anthology (l. i.	false	292.56	292.65	11
1673_143397_000006_000007	c.	c.	false	292.65	292.65	
1673_143397_000006_000008	76, p. 159, edit.	seventy six, p. one hundred fifty nine, edit.	false	292.65	292.68	15
1673_143397_000006_000009	Brodaei) celebrates her knowledge and eloquence.	Brodaei) celebrates her knowledge and eloquence.	false	292.68	292.71	-4
1673_143397_000006_000010	She is honorably mentioned (Epist. 10, 15 16, 33--80, 124, 135, 153) by her friend and disciple the philosophic bishop Synesius.]	She is honorably mentioned (Epist. ten, fifteen sixteen, thirty three-minus eighty, one hundred twenty four, one hundred thirty five, one hundred fifty three) by her friend and disciple the philosophic bishop Synesius.]	false	292.71	292.8	-10
1673_143397_000007_000000	[Footnote 26: Oyster shells were plentifully strewed on the sea-beach before the Caesareum.	[Footnote twenty six: Oyster shells were plentifully strewed on the sea beach before the Caesareum.	false	292.8	292.86	-20
1673_143397_000007_000001	I may therefore prefer the literal sense, without rejecting the metaphorical version of tegulae, tiles, which is used by M. de Valois ignorant, and the assassins were probably regardless, whether their victim was yet alive.]	I may therefore prefer the literal sense, without rejecting the metaphorical version of tegulae, tiles, which is used by m de Valois ignorant, and the assassins were probably regardless, whether their victim was yet alive.]	false	292.86	292.95	-3
1673_143397_000008_000000	[Footnote 27: These exploits of St. Cyril are recorded by Socrates, (l. vii.	[Footnote twenty seven: These exploits of saint Cyril are recorded by Socrates, (l. vii.	false	292.95	293.01	-20
1673_143397_000008_000001	c.	c.	false	293.01	293.01	
1673_143397_000008_000002	13, 14, 15;) and the most reluctant bigotry is compelled to copy an historian who coolly styles the murderers of Hypatia.	thirteen, fourteen, fifteen winking face  and the most reluctant bigotry is compelled to copy an historian who coolly styles the murderers of Hypatia.	false	293.01	293.1	1
1673_143397_000008_000003	At the mention of that injured name, I am pleased to observe a blush even on the cheek of Baronius, (A.D. 415, No. 48.)]	At the mention of that injured name, I am pleased to observe a blush even on the cheek of Baronius, (a d four hundred fifteen, no forty eight.)]	false	293.1	293.19	-20
1673_143397_000009_000000	Superstition, perhaps, would more gently expiate the blood of a virgin, than the banishment of a saint; and Cyril had accompanied his uncle to the iniquitous synod of the Oak.	Superstition, perhaps, would more gently expiate the blood of a virgin, than the banishment of a saint; and Cyril had accompanied his uncle to the iniquitous synod of the Oak.	false	293.19	302.38	21.292732
1673_143397_000009_000001	When the memory of Chrysostom was restored and consecrated, the nephew of Theophilus, at the head of a dying faction, still maintained the justice of his sentence; nor was it till after a tedious delay and an obstinate resistance, that he yielded to the consent of the Catholic world.	When the memory of Chrysostom was restored and consecrated, the nephew of Theophilus, at the head of a dying faction, still maintained the justice of his sentence; nor was it till after a tedious delay and an obstinate resistance, that he yielded to the consent of the Catholic world.	true	302.51	317.97	23.531794
1673_143397_000009_000002	[28] His enmity to the Byzantine pontiffs [29] was a sense of interest, not a sally of passion: he envied their fortunate station in the sunshine of the Imperial court; and he dreaded their upstart ambition. which oppressed the metropolitans of Europe and Asia, invaded the provinces of Antioch and Alexandria, and measured their diocese by the limits of the empire.	[twenty eight] His enmity to the Byzantine pontiffs [twenty nine] was a sense of interest, not a sally of passion: he envied their fortunate station in the sunshine of the Imperial court; and he dreaded their upstart ambition. which oppressed the metropolitans of Europe and Asia, invaded the provinces of Antioch and Alexandria, and measured their diocese by the limits of the empire.	false	317.97	337.48	21.798864
1673_143397_000009_000003	The long moderation of Atticus, the mild usurper of the throne of Chrysostom, suspended the animosities of the Eastern patriarchs; but Cyril was at length awakened by the exaltation of a rival more worthy of his esteem and hatred.	The long moderation of Atticus, the mild usurper of the throne of Chrysostom, suspended the animosities of the Eastern patriarchs; but Cyril was at length awakened by the exaltation of a rival more worthy of his esteem and hatred.	false	337.85	350.89	21.95768
1673_143397_000009_000004	After the short and troubled reign of Sisinnius, bishop of Constantinople, the factions of the clergy and people were appeased by the choice of the emperor, who, on this occasion, consulted the voice of fame, and invited the merit of a stranger.	After the short and troubled reign of Sisinnius, bishop of Constantinople, the factions of the clergy and people were appeased by the choice of the emperor, who, on this occasion, consulted the voice of fame, and invited the merit of a stranger.	true	351.44	364.42	22.507868
1673_143397_000010_000000	Nestorius, [30] native of Germanicia, and a monk of Antioch, was recommended by the austerity of his life, and the eloquence of his sermons; but the first homily which he preached before the devout Theodosius betrayed the acrimony and impatience of his zeal.	Nestorius, [thirty] native of Germanicia, and a monk of Antioch, was recommended by the austerity of his life, and the eloquence of his sermons; but the first homily which he preached before the devout Theodosius betrayed the acrimony and impatience of his zeal.	false	365.12	379.63	21.176003
1673_143397_000010_000001	"Give me, O Caesar!" he exclaimed, "give me the earth purged of heretics, and I will give you in exchange the kingdom of heaven.	"Give me, O Caesar!" he exclaimed, "give me the earth purged of heretics, and I will give you in exchange the kingdom of heaven.	true	379.91	387.64	23.399647
1673_143397_000010_000002	Exterminate with me the heretics; and with you I will exterminate the Persians." On the fifth day as if the treaty had been already signed, the patriarch of Constantinople discovered, surprised, and attacked a secret conventicle of the Arians: they preferred death to submission; the flames that were kindled by their despair, soon spread to the neighboring houses, and the triumph of Nestorius was clouded by the name of incendiary.	Exterminate with me the heretics; and with you I will exterminate the Persians." On the fifth day as if the treaty had been already signed, the patriarch of Constantinople discovered, surprised, and attacked a secret conventicle of the Arians: they preferred death to submission; the flames that were kindled by their despair, soon spread to the neighboring houses, and the triumph of Nestorius was clouded by the name of incendiary.	false	388.01	412.72	23.155972
1673_143397_000010_000003	On either side of the Hellespont his episcopal vigor imposed a rigid formulary of faith and discipline; a chronological error concerning the festival of Easter was punished as an offence against the church and state.	On either side of the Hellespont his episcopal vigor imposed a rigid formulary of faith and discipline; a chronological error concerning the festival of Easter was punished as an offence against the church and state.	true	413.21	424.9	21.847694
1673_143397_000010_000004	Lydia and Caria, Sardes and Miletus, were purified with the blood of the obstinate Quartodecimans; and the edict of the emperor, or rather of the patriarch, enumerates three-and-twenty degrees and denominations in the guilt and punishment of heresy.	Lydia and Caria, Sardes and Miletus, were purified with the blood of the obstinate Quartodecimans; and the edict of the emperor, or rather of the patriarch, enumerates three and twenty degrees and denominations in the guilt and punishment of heresy.	false	425.15	439.26	23.552898
1673_143397_000010_000005	[31] But the sword of persecution which Nestorius so furiously wielded was soon turned against his own breast. Religion was the pretence; but, in the judgment of a contemporary saint, ambition was the genuine motive of episcopal warfare.	[thirty one] But the sword of persecution which Nestorius so furiously wielded was soon turned against his own breast. Religion was the pretence; but, in the judgment of a contemporary saint, ambition was the genuine motive of episcopal warfare.	false	439.26	452.88	22.815641
1673_143397_000010_000006	[32]	[thirty two]	false	452.88	452.91	-10
1673_143397_000011_000000	[Footnote 28: He was deaf to the entreaties of Atticus of Constantinople, and of Isidore of Pelusium, and yielded only (if we may believe Nicephorus, l.	[Footnote twenty eight: He was deaf to the entreaties of Atticus of Constantinople, and of Isidore of Pelusium, and yielded only (if we may believe Nicephorus, l.	false	452.91	453.72	2
1673_143397_000011_000001	xiv. c.	x i v. c.	false	453.72	453.84	-8
1673_143397_000011_000002	18) to the personal intercession of the Virgin.	eighteen) to the personal intercession of the Virgin.	false	453.84	454.08	0
1673_143397_000011_000003	Yet in his last years he still muttered that John Chrysostom had been justly condemned, (Tillemont, Mem.	Yet in his last years he still muttered that john Chrysostom had been justly condemned, (Tillemont, Mem.	false	454.08	454.26	100
1673_143397_000011_000004	Eccles.	Eccles.	false	454.26	454.26	
1673_143397_000011_000005	tom. xiv.	tom. x i v.	false	454.26	454.26	
1673_143397_000011_000006	p. 278--282. Baronius Annal.	p. two hundred seventy eight-minus two hundred eighty two. Baronius Annal.	false	454.26	454.26	
1673_143397_000011_000007	Eccles.	Eccles.	false	454.26	454.26	
1673_143397_000011_000008	A.D. 412, No. 46--64.)]	a d four hundred twelve, no forty six-minus sixty four.)]	false	454.26	454.26	
1673_143397_000012_000000	[Footnote 29: See their characters in the history of Socrates, (l. vii. c.	[Footnote twenty nine: See their characters in the history of Socrates, (l. vii. c.	false	454.26	454.35	2
1673_143397_000012_000001	25--28;) their power and pretensions, in the huge compilation of Thomassin, (Discipline de l'Eglise, tom.	twenty five-minus twenty eight winking face  their power and pretensions, in the huge compilation of Thomassin, (Discipline de l'Eglise, tom.	false	454.35	454.35	
1673_143397_000012_000002	i.	i.	false	454.35	454.35	
1673_143397_000012_000003	p. 80-91.)]	p. eighty to ninety one.)]	false	454.35	454.35	
1673_143397_000013_000000	[Footnote 30: His elevation and conduct are described by Socrates, (l. vii.	[Footnote thirty: His elevation and conduct are described by Socrates, (l. vii.	false	454.35	454.35	
1673_143397_000013_000001	c.	c.	false	454.35	454.35	
1673_143397_000013_000002	29 31;) and Marcellinus seems to have applied the eloquentiae satis, sapi entiae parum, of Sallust.]	twenty nine thirty one winking face  and Marcellinus seems to have applied the eloquentiae satis, sapi entiae parum, of Sallust.]	false	454.35	454.35	
1673_143397_000014_000000	[Footnote 31: Cod.	[Footnote thirty one: Cod.	false	454.35	454.35	
1673_143397_000014_000001	Theodos. l.	Theodos. l.	false	454.35	454.35	
1673_143397_000014_000002	xvi.	x v i.	false	454.35	454.35	
1673_143397_000014_000003	tit. v. leg.	tit. v. leg.	false	454.35	454.35	
1673_143397_000014_000004	65, with the illustrations of Baronius, (A.D. 428, No. 25, &c.,) Godefroy, (ad locum,) and Pagi, Critica, (tom. ii.	sixty five, with the illustrations of Baronius, (a d four hundred twenty eight, no twenty five, and c.,) Godefroy, (ad locum,) and Pagi, Critica, (tom. ii.	false	454.35	454.35	
1673_143397_000014_000005	p. 208.)]	p. two hundred eight.)]	false	454.35	454.35	
1673_143397_000015_000000	[Footnote 32: Isidore of Pelusium, (l. iv.	[Footnote thirty two: Isidore of Pelusium, (l. i v.	false	454.35	454.35	
1673_143397_000015_000001	Epist. 57.) His words are strong and scandalous.	Epist. fifty seven.) His words are strong and scandalous.	false	454.35	454.35	
1673_143397_000015_000002	Isidore is a saint, but he never became a bishop; and I half suspect that the pride of Diogenes trampled on the pride of Plato.]	Isidore is a saint, but he never became a bishop; and I half suspect that the pride of Diogenes trampled on the pride of Plato.]	false	454.35	454.35	
1673_143397_000016_000000	In the Syrian school, Nestorius had been taught to abhor the confusion of the two natures, and nicely to discriminate the humanity of his master Christ from the divinity of the Lord Jesus. [33] The Blessed Virgin he revered as the mother of Christ, but his ears were offended with the rash and recent title of mother of God, [34] which had been insensibly adopted since the origin of the Arian controversy.	In the Syrian school, Nestorius had been taught to abhor the confusion of the two natures, and nicely to discriminate the humanity of his master Christ from the divinity of the Lord Jesus. [thirty three] The Blessed Virgin he revered as the mother of Christ, but his ears were offended with the rash and recent title of mother of God, [thirty four] which had been insensibly adopted since the origin of the Arian controversy.	false	454.35	475.24	21.220594
1673_143397_000016_000001	From the pulpit of Constantinople, a friend of the patriarch, and afterwards the patriarch himself, repeatedly preached against the use, or the abuse, of a word [35] unknown to the apostles, unauthorized by the church, and which could only tend to alarm the timorous, to mislead the simple, to amuse the profane, and to justify, by a seeming resemblance, the old genealogy of Olympus. [36] In his calmer moments Nestorius confessed, that it might be tolerated or excused by the union of the two natures, and the communication of their idioms: [37] but he was exasperated, by contradiction, to disclaim the worship of a new-born, an infant Deity, to draw his inadequate similes from the conjugal or civil partnerships of life, and to describe the manhood of Christ as the robe, the instrument, the tabernacle of his Godhead.	From the pulpit of Constantinople, a friend of the patriarch, and afterwards the patriarch himself, repeatedly preached against the use, or the abuse, of a word [thirty five] unknown to the apostles, unauthorized by the church, and which could only tend to alarm the timorous, to mislead the simple, to amuse the profane, and to justify, by a seeming resemblance, the old genealogy of Olympus. [thirty six] In his calmer moments Nestorius confessed, that it might be tolerated or excused by the union of the two natures, and the communication of their idioms: [thirty seven] but he was exasperated, by contradiction, to disclaim the worship of a new born, an infant Deity, to draw his inadequate similes from the conjugal or civil partnerships of life, and to describe the manhood of Christ as the robe, the instrument, the tabernacle of his Godhead.	false	475.67	520.27	21.637577
1673_143397_000016_000002	At these blasphemous sounds, the pillars of the sanctuary were shaken.	At these blasphemous sounds, the pillars of the sanctuary were shaken.	true	521.03	524.8	21.465124
1673_143397_000016_000003	The unsuccessful competitors of Nestorius indulged their pious or personal resentment, the Byzantine clergy was secretly displeased with the intrusion of a stranger: whatever is superstitious or absurd, might claim the protection of the monks; and the people were interested in the glory of their virgin patroness.	The unsuccessful competitors of Nestorius indulged their pious or personal resentment, the Byzantine clergy was secretly displeased with the intrusion of a stranger: whatever is superstitious or absurd, might claim the protection of the monks; and the people were interested in the glory of their virgin patroness.	true	525.08	540.66	21.232798
1673_143397_000016_000004	[38] The sermons of the archbishop, and the service of the altar, were disturbed by seditious clamor; his authority and doctrine were renounced by separate congregations; every wind scattered round the empire the leaves of controversy; and the voice of the combatants on a sonorous theatre reechoed in the cells of Palestine and Egypt.	[thirty eight] The sermons of the archbishop, and the service of the altar, were disturbed by seditious clamor; his authority and doctrine were renounced by separate congregations; every wind scattered round the empire the leaves of controversy; and the voice of the combatants on a sonorous theatre reechoed in the cells of Palestine and Egypt.	false	540.66	558.76	21.393366
1673_143397_000016_000005	It was the duty of Cyril to enlighten the zeal and ignorance of his innumerable monks: in the school of Alexandria, he had imbibed and professed the incarnation of one nature; and the successor of Athanasius consulted his pride and ambition, when he rose in arms against another Arius, more formidable and more guilty, on the second throne of the hierarchy.	It was the duty of Cyril to enlighten the zeal and ignorance of his innumerable monks: in the school of Alexandria, he had imbibed and professed the incarnation of one nature; and the successor of Athanasius consulted his pride and ambition, when he rose in arms against another Arius, more formidable and more guilty, on the second throne of the hierarchy.	false	559.1	578.56	22.388641
1673_143397_000016_000006	After a short correspondence, in which the rival prelates disguised their hatred in the hollow language of respect and charity, the patriarch of Alexandria denounced to the prince and people, to the East and to the West, the damnable errors of the Byzantine pontiff.	After a short correspondence, in which the rival prelates disguised their hatred in the hollow language of respect and charity, the patriarch of Alexandria denounced to the prince and people, to the East and to the West, the damnable errors of the Byzantine pontiff.	false	579.2	593.77	22.283844
1673_143397_000016_000007	From the East, more especially from Antioch, he obtained the ambiguous counsels of toleration and silence, which were addressed to both parties while they favored the cause of Nestorius.	From the East, more especially from Antioch, he obtained the ambiguous counsels of toleration and silence, which were addressed to both parties while they favored the cause of Nestorius.	true	594.14	604.12	22.250965
1673_143397_000016_000008	But the Vatican received with open arms the messengers of Egypt.	But the Vatican received with open arms the messengers of Egypt.	true	604.43	607.9	21.21966
1673_143397_000016_000009	The vanity of Celestine was flattered by the appeal; and the partial version of a monk decided the faith of the pope, who with his Latin clergy was ignorant of the language, the arts, and the theology of the Greeks.	The vanity of Celestine was flattered by the appeal; and the partial version of a monk decided the faith of the pope, who with his Latin clergy was ignorant of the language, the arts, and the theology of the Greeks.	false	608	619.51	22.696701
1673_143397_000016_000010	At the head of an Italian synod, Celestine weighed the merits of the cause, approved the creed of Cyril, condemned the sentiments and person of Nestorius, degraded the heretic from his episcopal dignity, allowed a respite of ten days for recantation and penance, and delegated to his enemy the execution of this rash and illegal sentence.	At the head of an Italian synod, Celestine weighed the merits of the cause, approved the creed of Cyril, condemned the sentiments and person of Nestorius, degraded the heretic from his episcopal dignity, allowed a respite of ten days for recantation and penance, and delegated to his enemy the execution of this rash and illegal sentence.	false	620.24	639.19	22.518839
1673_143397_000016_000011	But the patriarch of Alexandria, while he darted the thunders of a god, exposed the errors and passions of a mortal; and his twelve anathemas [39] still torture the orthodox slaves, who adore the memory of a saint, without forfeiting their allegiance to the synod of Chalcedon.	But the patriarch of Alexandria, while he darted the thunders of a god, exposed the errors and passions of a mortal; and his twelve anathemas [thirty nine] still torture the orthodox slaves, who adore the memory of a saint, without forfeiting their allegiance to the synod of Chalcedon.	false	639.68	655.06	23.071789
1673_143397_000016_000012	These bold assertions are indelibly tinged with the colors of the Apollinarian heresy; but the serious, and perhaps the sincere professions of Nestorius have satisfied the wiser and less partial theologians of the present times.	These bold assertions are indelibly tinged with the colors of the Apollinarian heresy; but the serious, and perhaps the sincere professions of Nestorius have satisfied the wiser and less partial theologians of the present times.	false	655.46	668.97	21.322956
1673_143397_000016_000013	[40]	[forty]	false	668.97	669.27	-20
1673_143397_000017_000000	[Footnote 33: La Croze (Christianisme des Indes, tom.	[Footnote thirty three: La Croze (Christianisme des Indes, tom.	false	669.27	672.21	19.917557
1673_143397_000017_000001	i.	i.	false	672.21	672.54	13
1673_143397_000017_000002	p. 44-53. Thesaurus Epistolicus, La Crozianus, tom.	p. forty four to fifty three. Thesaurus Epistolicus, La Crozianus, tom.	false	672.54	675.69	18
1673_143397_000017_000003	iii.	iii.	false	675.69	675.99	5
