5536_43359_000001_000001	THE FAMILY ALTAR	THE FAMILY ALTAR
5536_43359_000015_000003	The remoter degrees of kinship were fully recognized, and that not as a matter of form only: first cousins were known as brothers and sisters; the name of "cousin" constituted a binding claim, and our rigid morality forbade marriage between cousins in any known degree, or in other words within the clan.	The remoter degrees of kinship were fully recognized, and that not as a matter of form only: first cousins were known as brothers and sisters; the name of "cousin" constituted a binding claim, and our rigid morality forbade marriage between cousins in any known degree, or in other words within the clan.
5536_43359_000017_000000	It has been said that the position of woman is the test of civilization, and that of our women was secure.	It has been said that the position of woman is the test of civilization, and that of our women was secure.
5536_43359_000017_000001	In them was vested our standard of morals and the purity of our blood.	In them was vested our standard of morals and the purity of our blood.
5536_43359_000017_000003	All of the family property was held by her, descent was traced in the maternal line, and the honor of the house was in her hands.	All of the family property was held by her, descent was traced in the maternal line, and the honor of the house was in her hands.
5536_43359_000017_000004	Modesty was her chief adornment; hence the younger women were usually silent and retiring: but a woman who had attained to ripeness of years and wisdom, or who had displayed notable courage in some emergency, was sometimes invited to a seat in the council.	Modesty was her chief adornment; hence the younger women were usually silent and retiring: but a woman who had attained to ripeness of years and wisdom, or who had displayed notable courage in some emergency, was sometimes invited to a seat in the council.
5536_43359_000018_000001	When she fell, the whole race fell with her.	When she fell, the whole race fell with her.
5536_43359_000020_000000	Indian names were either characteristic nicknames given in a playful spirit, deed names, birth names, or such as have a religious and symbolic meaning.	Indian names were either characteristic nicknames given in a playful spirit, deed names, birth names, or such as have a religious and symbolic meaning.
5536_43359_000021_000002	He wakes at daybreak, puts on his moccasins and steps down to the water's edge.	He wakes at daybreak, puts on his moccasins and steps down to the water's edge.
5536_43359_000021_000003	Here he throws handfuls of clear, cold water into his face, or plunges in bodily.	Here he throws handfuls of clear, cold water into his face, or plunges in bodily.
5536_43359_000021_000005	His mate may precede or follow him in his devotions, but never accompanies him.	His mate may precede or follow him in his devotions, but never accompanies him.
5536_43359_000023_000000	Every act of his life is, in a very real sense, a religious act.	Every act of his life is, in a very real sense, a religious act.
5536_43359_000023_000002	His respect for the immortal part of the animal, his brother, often leads him so far as to lay out the body of his game in state and decorate the head with symbolic paint or feathers.	His respect for the immortal part of the animal, his brother, often leads him so far as to lay out the body of his game in state and decorate the head with symbolic paint or feathers.
5536_43359_000024_000002	He cuts off the choicest morsel of the meat and casts it into the fire--the purest and most ethereal element.	He cuts off the choicest morsel of the meat and casts it into the fire-the purest and most ethereal element.
5536_43359_000025_000001	Yet, if an enemy should honor us with a call, his trust will not be misplaced, and he will go away convinced that he has met with a royal host!	Yet, if an enemy should honor us with a call, his trust will not be misplaced, and he will go away convinced that he has met with a royal host!
5536_43359_000026_000000	Friendship is held to be the severest test of character.	Friendship is held to be the severest test of character.
