1673_143396_000000_000000	[Footnote 6: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	[Footnote six: The metaphysics of the soul are disengaged by Cicero (Tusculan. l.	false	0	3.45	21.547987
1673_143396_000003_000002	p. 296.) Some of the Rabbis attribute one and the same soul to the persons of Adam, David, and the Messiah.]	p. two hundred ninety six.) Some of the Rabbis attribute one and the same soul to the persons of Adam, David, and the Messiah.]	false	76.11	87.6	22.936964
1673_143396_000004_000000	II.	two.	false	87.6	87.99	25.371965
1673_143396_000004_000001	The seeds of the faith, which had slowly arisen in the rocky and ungrateful soil of Judea, were transplanted, in full maturity, to the happier climes of the Gentiles; and the strangers of Rome or Asia, who never beheld the manhood, were the more readily disposed to embrace the divinity, of Christ.	The seeds of the faith, which had slowly arisen in the rocky and ungrateful soil of Judea, were transplanted, in full maturity, to the happier climes of the Gentiles; and the strangers of Rome or Asia, who never beheld the manhood, were the more readily disposed to embrace the divinity, of Christ.	false	87.99	107.4	22.624763
1673_143396_000004_000002	The polytheist and the philosopher, the Greek and the Barbarian, were alike accustomed to conceive a long succession, an infinite chain of angels or daemons, or deities, or aeons, or emanations, issuing from the throne of light.	The polytheist and the philosopher, the Greek and the Barbarian, were alike accustomed to conceive a long succession, an infinite chain of angels or daemons, or deities, or aeons, or emanations, issuing from the throne of light.	false	107.4	119.13	22.45599
1673_143396_000004_000003	Nor could it seem strange or incredible, that the first of these aeons, the Logos, or Word of God, of the same substance with the Father, should descend upon earth, to deliver the human race from vice and error, and to conduct them in the paths of life and immortality.	Nor could it seem strange or incredible, that the first of these aeons, the Logos, or Word of God, of the same substance with the Father, should descend upon earth, to deliver the human race from vice and error, and to conduct them in the paths of life and immortality.	false	119.13	135.3	22.515974
1673_143396_000004_000004	But the prevailing doctrine of the eternity and inherent pravity of matter infected the primitive churches of the East.	But the prevailing doctrine of the eternity and inherent pravity of matter infected the primitive churches of the East.	false	135.3	140.4	17
1673_143396_000004_000005	Many among the Gentile proselytes refused to believe that a celestial spirit, an undivided portion of the first essence, had been personally united with a mass of impure and contaminated flesh; and, in their zeal for the divinity, they piously abjured the humanity, of Christ.	Many among the Gentile proselytes refused to believe that a celestial spirit, an undivided portion of the first essence, had been personally united with a mass of impure and contaminated flesh; and, in their zeal for the divinity, they piously abjured the humanity, of Christ.	false	140.4	156.84	21.981688
1673_143396_000004_000006	While his blood was still recent on Mount Calvary, [10] the Docetes, a numerous and learned sect of Asiatics, invented the phantastic system, which was afterwards propagated by the Marcionites, the Manichaeans, and the various names of the Gnostic heresy.	While his blood was still recent on Mount Calvary, [ten] the Docetes, a numerous and learned sect of Asiatics, invented the phantastic system, which was afterwards propagated by the Marcionites, the Manichaeans, and the various names of the Gnostic heresy.	false	156.84	165.24	22.39176
1673_143396_000004_000007	[11] They denied the truth and authenticity of the Gospels, as far as they relate the conception of Mary, the birth of Christ, and the thirty years that preceded the exercise of his ministry.	[eleven] They denied the truth and authenticity of the Gospels, as far as they relate the conception of Mary, the birth of Christ, and the thirty years that preceded the exercise of his ministry.	false	165.24	176.07	22.045008
1673_143396_000004_000008	He first appeared on the banks of the Jordan in the form of perfect manhood; but it was a form only, and not a substance; a human figure created by the hand of Omnipotence to imitate the faculties and actions of a man, and to impose a perpetual illusion on the senses of his friends and enemies.	He first appeared on the banks of the Jordan in the form of perfect manhood; but it was a form only, and not a substance; a human figure created by the hand of Omnipotence to imitate the faculties and actions of a man, and to impose a perpetual illusion on the senses of his friends and enemies.	false	176.07	196.32	23.694952
1673_143396_000004_000009	Articulate sounds vibrated on the ears of the disciples; but the image which was impressed on their optic nerve eluded the more stubborn evidence of the touch; and they enjoyed the spiritual, not the corporeal, presence of the Son of God.	Articulate sounds vibrated on the ears of the disciples; but the image which was impressed on their optic nerve eluded the more stubborn evidence of the touch; and they enjoyed the spiritual, not the corporeal, presence of the Son of God.	false	196.32	214.83	22.359833
1673_143396_000004_000010	The rage of the Jews was idly wasted against an impassive phantom; and the mystic scenes of the passion and death, the resurrection and ascension, of Christ were represented on the theatre of Jerusalem for the benefit of mankind.	The rage of the Jews was idly wasted against an impassive phantom; and the mystic scenes of the passion and death, the resurrection and ascension, of Christ were represented on the theatre of Jerusalem for the benefit of mankind.	false	214.83	226.74	22.396519
1673_143396_000004_000011	If it were urged, that such ideal mimicry, such incessant deception, was unworthy of the God of truth, the Docetes agreed with too many of their orthodox brethren in the justification of pious falsehood.	If it were urged, that such ideal mimicry, such incessant deception, was unworthy of the God of truth, the Docetes agreed with too many of their orthodox brethren in the justification of pious falsehood.	false	226.74	236.55	23.54613
1673_143396_000004_000012	In the system of the Gnostics, the Jehovah of Israel, the Creator of this lower world, was a rebellious, or at least an ignorant, spirit.	In the system of the Gnostics, the Jehovah of Israel, the Creator of this lower world, was a rebellious, or at least an ignorant, spirit.	false	236.55	243.63	22.41494
1673_143396_000004_000013	The Son of God descended upon earth to abolish his temple and his law; and, for the accomplishment of this salutary end, he dexterously transferred to his own person the hope and prediction of a temporal Messiah.	The Son of God descended upon earth to abolish his temple and his law; and, for the accomplishment of this salutary end, he dexterously transferred to his own person the hope and prediction of a temporal Messiah.	false	243.63	253.44	21.975595
1673_143396_000005_000000	[Footnote 10: Apostolis adhuc in seculo superstitibus, apud Judaeam Christi sanguine recente, Phantasma domini corpus asserebatur.	[Footnote ten: Apostolis adhuc in seculo superstitibus, apud Judaeam Christi sanguine recente, Phantasma domini corpus asserebatur.	false	253.44	257.97	20.984701
1673_143396_000005_000001	Hieronym, advers.	Hieronym, advers.	false	257.97	258.54	9
1673_143396_000005_000002	Lucifer. c.	Lucifer. c.	false	258.54	259.11	18.722965
1673_143396_000005_000003	8.	eight.	false	259.11	259.395	5
1673_143396_000005_000004	The epistle of Ignatius to the Smyrnaeans, and even the Gospel according to St. John, are levelled against the growing error of the Docetes, who had obtained too much credit in the world, (1 John, iv.	The epistle of Ignatius to the Smyrnaeans, and even the Gospel according to saint John, are levelled against the growing error of the Docetes, who had obtained too much credit in the world, (first john, i v.	false	259.395	269.37	21.589214
1673_143396_000005_000005	1--5.)]	one-minus five.)]	false	269.37	270.57	23.082964
1673_143396_000006_000000	[Footnote 11: About the year 200 of the Christian aera, Irenaeus and Hippolytus efuted the thirty-two sects, which had multiplied to fourscore in the time of Epiphanius, (Phot.	[Footnote eleven: About the year two hundred of the Christian aera, Irenaeus and Hippolytus efuted the thirty two sects, which had multiplied to fourscore in the time of Epiphanius, (Phot.	false	270.57	279.69	21.555904
1673_143396_000006_000001	Biblioth. cod.	Biblioth. cod.	false	279.69	280.41	31.639166
1673_143396_000006_000002	cxx. cxxi. cxxii.) The five books of Irenaeus exist only in barbarous Latin; but the original might perhaps be found in some monastery of Greece.]	c x x. c x x i. c x x i i.) The five books of Irenaeus exist only in barbarous Latin; but the original might perhaps be found in some monastery of Greece.]	false	280.41	293.94	23.585453
1673_143396_000007_000000	One of the most subtile disputants of the Manichaean school has pressed the danger and indecency of supposing, that the God of the Christians, in the state of a human foetus, emerged at the end of nine months from a female womb.	One of the most subtile disputants of the Manichaean school has pressed the danger and indecency of supposing, that the God of the Christians, in the state of a human foetus, emerged at the end of nine months from a female womb.	false	293.94	305.4	21.797127
1673_143396_000007_000001	The pious horror of his antagonists provoked them to disclaim all sensual circumstances of conception and delivery; to maintain that the divinity passed through Mary like a sunbeam through a plate of glass; and to assert, that the seal of her virginity remained unbroken even at the moment when she became the mother of Christ.	The pious horror of his antagonists provoked them to disclaim all sensual circumstances of conception and delivery; to maintain that the divinity passed through Mary like a sunbeam through a plate of glass; and to assert, that the seal of her virginity remained unbroken even at the moment when she became the mother of Christ.	false	305.4	329.76	22.328625
1673_143396_000007_000002	But the rashness of these concessions has encouraged a milder sentiment of those of the Docetes, who taught, not that Christ was a phantom, but that he was clothed with an impassible and incorruptible body. Such, indeed, in the more orthodox system, he has acquired since his resurrection, and such he must have always possessed, if it were capable of pervading, without resistance or injury, the density of intermediate matter.	But the rashness of these concessions has encouraged a milder sentiment of those of the Docetes, who taught, not that Christ was a phantom, but that he was clothed with an impassible and incorruptible body. Such, indeed, in the more orthodox system, he has acquired since his resurrection, and such he must have always possessed, if it were capable of pervading, without resistance or injury, the density of intermediate matter.	false	329.76	352.92	21.619501
1673_143396_000007_000003	Devoid of its most essential properties, it might be exempt from the attributes and infirmities of the flesh.	Devoid of its most essential properties, it might be exempt from the attributes and infirmities of the flesh.	false	352.92	357.96	21.802685
1673_143396_000007_000004	A foetus that could increase from an invisible point to its full maturity; a child that could attain the stature of perfect manhood without deriving any nourishment from the ordinary sources, might continue to exist without repairing a daily waste by a daily supply of external matter.	A foetus that could increase from an invisible point to its full maturity; a child that could attain the stature of perfect manhood without deriving any nourishment from the ordinary sources, might continue to exist without repairing a daily waste by a daily supply of external matter.	false	357.96	375.3	23.669973
1673_143396_000007_000005	Jesus might share the repasts of his disciples without being subject to the calls of thirst or hunger; and his virgin purity was never sullied by the involuntary stains of sensual concupiscence.	Jesus might share the repasts of his disciples without being subject to the calls of thirst or hunger; and his virgin purity was never sullied by the involuntary stains of sensual concupiscence.	false	375.3	386.94	21.167118
1673_143396_000007_000006	Of a body thus singularly constituted, a question would arise, by what means, and of what materials, it was originally framed; and our sounder theology is startled by an answer which was not peculiar to the Gnostics, that both the form and the substance proceeded from the divine essence.	Of a body thus singularly constituted, a question would arise, by what means, and of what materials, it was originally framed; and our sounder theology is startled by an answer which was not peculiar to the Gnostics, that both the form and the substance proceeded from the divine essence.	false	386.94	404.25	21.232857
1673_143396_000007_000007	The idea of pure and absolute spirit is a refinement of modern philosophy: the incorporeal essence, ascribed by the ancients to human souls, celestial beings, and even the Deity himself, does not exclude the notion of extended space; and their imagination was satisfied with a subtile nature of air, or fire, or aether, incomparably more perfect than the grossness of the material world.	The idea of pure and absolute spirit is a refinement of modern philosophy: the incorporeal essence, ascribed by the ancients to human souls, celestial beings, and even the Deity himself, does not exclude the notion of extended space; and their imagination was satisfied with a subtile nature of air, or fire, or aether, incomparably more perfect than the grossness of the material world.	false	404.25	433.77	20.700964
1673_143396_000007_000008	If we define the place, we must describe the figure, of the Deity.	If we define the place, we must describe the figure, of the Deity.	false	433.77	439.41	19.706596
1673_143396_000007_000009	Our experience, perhaps our vanity, represents the powers of reason and virtue under a human form.	Our experience, perhaps our vanity, represents the powers of reason and virtue under a human form.	false	439.41	443.55	24.522367
1673_143396_000007_000010	The Anthropomorphites, who swarmed among the monks of Egypt and the Catholics of Africa, could produce the express declaration of Scripture, that man was made after the image of his Creator. [12] The venerable Serapion, one of the saints of the Nitrian deserts, relinquished, with many a tear, his darling prejudice; and bewailed, like an infant, his unlucky conversion, which had stolen away his God, and left his mind without any visible object of faith or devotion.	The Anthropomorphites, who swarmed among the monks of Egypt and the Catholics of Africa, could produce the express declaration of Scripture, that man was made after the image of his Creator. [twelve] The venerable Serapion, one of the saints of the Nitrian deserts, relinquished, with many a tear, his darling prejudice; and bewailed, like an infant, his unlucky conversion, which had stolen away his God, and left his mind without any visible object of faith or devotion.	false	443.55	466.41	21.256592
1673_143396_000007_000011	[13]	[thirteen]	false	466.41	466.74	24.883951
1673_143396_000008_000000	[Footnote 12: The pilgrim Cassian, who visited Egypt in the beginning of the vth century, observes and laments the reign of anthropomorphism among the monks, who were not conscious that they embraced the system of Epicurus, (Cicero, de Nat.	[Footnote twelve: The pilgrim Cassian, who visited Egypt in the beginning of the v t h century, observes and laments the reign of anthropomorphism among the monks, who were not conscious that they embraced the system of Epicurus, (Cicero, de Nat.	false	466.74	476.97	22.000084
1673_143396_000008_000001	Deorum, i.	Deorum, i.	false	476.97	477.63	18.714941
1673_143396_000008_000002	18, 34.) Ab universo propemodum genere monachorum, qui per totam provinciam Egyptum morabantur, pro simplicitatis errore susceptum est, ut e contraric memoratum pontificem (Theophilus) velut haeresi gravissima depravatum, pars maxima seniorum ab universo fraternitatis corpore decerneret detestandum, (Cassian, Collation.	eighteen, thirty four.) a flat universo propemodum genere monachorum, qui per totam provinciam Egyptum morabantur, pro simplicitatis errore susceptum est, ut e contraric memoratum pontificem (Theophilus) velut haeresi gravissima depravatum, pars maxima seniorum ab universo fraternitatis corpore decerneret detestandum, (Cassian, Collation.	false	477.63	491.13	22.017294
1673_143396_000008_000003	x.	x.	false	491.13	491.46	7
1673_143396_000008_000004	2.) As long as St. Augustin remained a Manichaean, he was scandalized by the anthropomorphism of the vulgar Catholics.]	two.) As long as st Augustin remained a Manichaean, he was scandalized by the anthropomorphism of the vulgar Catholics.]	false	491.46	498.45	22.786968
1673_143396_000009_000000	[Footnote 13: Ita est in oratione senex mente confusus, eo quod illam imaginem Deitatis, quam proponere sibi in oratione consueverat, aboleri de suo corde sentiret, ut in amarissimos fletus, crebrosque singultus repente prorumpens, in terram prostratus, cum ejulatu validissimo proclamaret; "Heu me miserum! tulerunt a me Deum meum, et quem nunc teneam non habeo, vel quem adorem, aut interpallam am nescio." Cassian, Collat. x.	[Footnote thirteen: Ita est in oratione senex mente confusus, eo quod illam imaginem Deitatis, quam proponere sibi in oratione consueverat, aboleri de s u o corde sentiret, ut in amarissimos fletus, crebrosque singultus repente prorumpens, in terram prostratus, cum ejulatu validissimo proclamaret; "h e u me miserum! tulerunt a me Deum meum, et q u e m nunc teneam non habeo, vel q u e m adorem, a u t interpallam am nescio." Cassian, Collat. x.	false	498.45	694.29	22.023302
1673_143396_000009_000001	2.]	two.]	false	694.29	694.65	-7
1673_143396_000010_000000	III. Such were the fleeting shadows of the Docetes.	three. Such were the fleeting shadows of the Docetes.	false	694.65	697.36	21.086466
1673_143396_000010_000001	A more substantial, though less simple, hypothesis, was contrived by Cerinthus of Asia, [14] who dared to oppose the last of the apostles.	A more substantial, though less simple, hypothesis, was contrived by Cerinthus of Asia, [fourteen] who dared to oppose the last of the apostles.	false	697.61	705.34	23.035334
1673_143396_000010_000002	Placed on the confines of the Jewish and Gentile world, he labored to reconcile the Gnostic with the Ebionite, by confessing in the same Messiah the supernatural union of a man and a God; and this mystic doctrine was adopted with many fanciful improvements by Carpocrates, Basilides, and Valentine, [15] the heretics of the Egyptian school.	Placed on the confines of the Jewish and Gentile world, he labored to reconcile the Gnostic with the Ebionite, by confessing in the same Messiah the supernatural union of a man and a God; and this mystic doctrine was adopted with many fanciful improvements by Carpocrates, Basilides, and Valentine, [fifteen] the heretics of the Egyptian school.	false	705.77	725.89	21.9166
1673_143396_000010_000003	In their eyes, Jesus of Nazareth was a mere mortal, the legitimate son of Joseph and Mary: but he was the best and wisest of the human race, selected as the worthy instrument to restore upon earth the worship of the true and supreme Deity.	In their eyes, Jesus of Nazareth was a mere mortal, the legitimate son of Joseph and Mary: but he was the best and wisest of the human race, selected as the worthy instrument to restore upon earth the worship of the true and supreme Deity.	false	726.26	740.35	21.861706
1673_143396_000010_000004	When he was baptized in the Jordan, the Christ, the first of the aeons, the Son of God himself, descended on Jesus in the form of a dove, to inhabit his mind, and direct his actions during the allotted period of his ministry. When the Messiah was delivered into the hands of the Jews, the Christ, an immortal and impassible being, forsook his earthly tabernacle, flew back to the pleroma or world of spirits, and left the solitary Jesus to suffer, to complain, and to expire.	When he was baptized in the Jordan, the Christ, the first of the aeons, the Son of God himself, descended on Jesus in the form of a dove, to inhabit his mind, and direct his actions during the allotted period of his ministry. When the Messiah was delivered into the hands of the Jews, the Christ, an immortal and impassible being, forsook his earthly tabernacle, flew back to the pleroma or world of spirits, and left the solitary Jesus to suffer, to complain, and to expire.	true	741.05	770.71	21.703104
1673_143396_000010_000005	But the justice and generosity of such a desertion are strongly questionable; and the fate of an innocent martyr, at first impelled, and at length abandoned, by his divine companion, might provoke the pity and indignation of the profane. Their murmurs were variously silenced by the sectaries who espoused and modified the double system of Cerinthus.	But the justice and generosity of such a desertion are strongly questionable; and the fate of an innocent martyr, at first impelled, and at length abandoned, by his divine companion, might provoke the pity and indignation of the profane. Their murmurs were variously silenced by the sectaries who espoused and modified the double system of Cerinthus.	false	770.99	791.28	22.296925
1673_143396_000010_000006	It was alleged, that when Jesus was nailed to the cross, he was endowed with a miraculous apathy of mind and body, which rendered him insensible of his apparent sufferings. It was affirmed, that these momentary, though real, pangs would be abundantly repaid by the temporal reign of a thousand years reserved for the Messiah in his kingdom of the new Jerusalem.	It was alleged, that when Jesus was nailed to the cross, he was endowed with a miraculous apathy of mind and body, which rendered him insensible of his apparent sufferings. It was affirmed, that these momentary, though real, pangs would be abundantly repaid by the temporal reign of a thousand years reserved for the Messiah in his kingdom of the new Jerusalem.	true	791.28	811.69	22.09145
1673_143396_000010_000007	It was insinuated, that if he suffered, he deserved to suffer; that human nature is never absolutely perfect; and that the cross and passion might serve to expiate the venial transgressions of the son of Joseph, before his mysterious union with the Son of God. [16]	It was insinuated, that if he suffered, he deserved to suffer; that human nature is never absolutely perfect; and that the cross and passion might serve to expiate the venial transgressions of the son of Joseph, before his mysterious union with the Son of God. [sixteen]	false	812.18	826.59	21.207989
1673_143396_000011_000000	[Footnote 14: St. John and Cerinthus (A.D. 80.	[Footnote fourteen: saint John and Cerinthus (a d eighty.	false	826.59	826.68	-7
1673_143396_000011_000001	Cleric.	Cleric.	false	826.68	826.71	-20
1673_143396_000011_000002	Hist.	Hist.	false	826.71	826.71	
1673_143396_000011_000003	Eccles. p. 493) accidentally met in the public bath of Ephesus; but the apostle fled from the heretic, lest the building should tumble on their heads. This foolish story, reprobated by Dr. Middleton, (Miscellaneous Works, vol. ii.,) is related, however, by Irenaeus, (iii. 3,) on the evidence of Polycarp, and was probably suited to the time and residence of Cerinthus.	Eccles. p. four hundred ninety three) accidentally met in the public bath of Ephesus; but the apostle fled from the heretic, lest the building should tumble on their heads. This foolish story, reprobated by dr Middleton, (Miscellaneous Works, vol ii.,) is related, however, by Irenaeus, (iii. three,) on the evidence of Polycarp, and was probably suited to the time and residence of Cerinthus.	false	826.71	827.43	-3
1673_143396_000011_000004	The obsolete, yet probably the true, reading of 1 John, iv. 3 alludes to the double nature of that primitive heretic.	The obsolete, yet probably the true, reading of first john, i v. three alludes to the double nature of that primitive heretic.	false	827.43	827.7	-20
1673_143396_000011_000005	* Note: Griesbach asserts that all the Greek Mss., all the translators, and all the Greek fathers, support the common reading.--Nov.	asterisk Note: Griesbach asserts that all the Greek m s's., all the translators, and all the Greek fathers, support the common reading.--nov	false	827.7	828	100
1673_143396_000011_000006	Test. in loc.--M]	Test. in loc.--M]	false	828	828	
1673_143396_000012_000000	[Footnote 15: The Valentinians embraced a complex, and almost incoherent, system.	[Footnote fifteen: The Valentinians embraced a complex, and almost incoherent, system.	false	828	828	
1673_143396_000012_000001	1.	one.	false	828	828	
1673_143396_000012_000002	Both Christ and Jesus were aeons, though of different degrees; the one acting as the rational soul, the other as the divine spirit of the Savior. 2.	Both Christ and Jesus were aeons, though of different degrees; the one acting as the rational soul, the other as the divine spirit of the Savior. two.	false	828	828	
1673_143396_000012_000003	At the time of the passion, they both retired, and left only a sensitive soul and a human body.	At the time of the passion, they both retired, and left only a sensitive soul and a human body.	false	828	828	
1673_143396_000012_000004	3.	three.	false	828	828	
1673_143396_000012_000005	Even that body was aethereal, and perhaps apparent.--Such are the laborious conclusions of Mosheim.	Even that body was aethereal, and perhaps apparent.--Such are the laborious conclusions of Mosheim.	false	828	828	
1673_143396_000012_000006	But I much doubt whether the Latin translator understood Irenaeus, and whether Irenaeus and the Valetinians understood themselves.]	But I much doubt whether the Latin translator understood Irenaeus, and whether Irenaeus and the Valetinians understood themselves.]	false	828	828	
1673_143396_000013_000000	[Footnote 16: The heretics abused the passionate exclamation of "My God, my God, why hast thou forsaken me?" Rousseau, who has drawn an eloquent, but indecent, parallel between Christ and Socrates, forgets that not a word of impatience or despair escaped from the mouth of the dying philosopher.	[Footnote sixteen: The heretics abused the passionate exclamation of "My God, my God, why hast thou forsaken me?" Rousseau, who has drawn an eloquent, but indecent, parallel between Christ and Socrates, forgets that not a word of impatience or despair escaped from the mouth of the dying philosopher.	false	828	828	
1673_143396_000013_000001	In the Messiah, such sentiments could be only apparent; and such ill-sounding words were properly explained as the application of a psalm and prophecy.]	In the Messiah, such sentiments could be only apparent; and such ill sounding words were properly explained as the application of a psalm and prophecy.]	false	828	828	
1673_143396_000014_000000	IV.	i v.	false	828	828	
1673_143396_000014_000001	All those who believe the immateriality of the soul, a specious and noble tenet, must confess, from their present experience, the incomprehensible union of mind and matter.	All those who believe the immateriality of the soul, a specious and noble tenet, must confess, from their present experience, the incomprehensible union of mind and matter.	false	828	837.85	22.056702
1673_143396_000014_000002	A similar union is not inconsistent with a much higher, or even with the highest, degree of mental faculties; and the incarnation of an aeon or archangel, the most perfect of created spirits, does not involve any positive contradiction or absurdity.	A similar union is not inconsistent with a much higher, or even with the highest, degree of mental faculties; and the incarnation of an aeon or archangel, the most perfect of created spirits, does not involve any positive contradiction or absurdity.	true	838.16	852.43	21
1673_143396_000014_000003	In the age of religious freedom, which was determined by the council of Nice, the dignity of Christ was measured by private judgment according to the indefinite rule of Scripture, or reason, or tradition.	In the age of religious freedom, which was determined by the council of Nice, the dignity of Christ was measured by private judgment according to the indefinite rule of Scripture, or reason, or tradition.	true	852.98	864.16	22.523537
1673_143396_000014_000004	But when his pure and proper divinity had been established on the ruins of Arianism, the faith of the Catholics trembled on the edge of a precipice where it was impossible to recede, dangerous to stand, dreadful to fall and the manifold inconveniences of their creed were aggravated by the sublime character of their theology.	But when his pure and proper divinity had been established on the ruins of Arianism, the faith of the Catholics trembled on the edge of a precipice where it was impossible to recede, dangerous to stand, dreadful to fall and the manifold inconveniences of their creed were aggravated by the sublime character of their theology.	true	864.68	883.06	22.132355
1673_143396_000014_000005	They hesitated to pronounce; that God himself, the second person of an equal and consubstantial trinity, was manifested in the flesh; [17] that a being who pervades the universe, had been confined in the womb of Mary; that his eternal duration had been marked by the days, and months, and years of human existence; that the Almighty had been scourged and crucified; that his impassible essence had felt pain and anguish; that his omniscience was not exempt from ignorance; and that the source of life and immortality expired on Mount Calvary.	They hesitated to pronounce; that God himself, the second person of an equal and consubstantial trinity, was manifested in the flesh; [seventeen] that a being who pervades the universe, had been confined in the womb of Mary; that his eternal duration had been marked by the days, and months, and years of human existence; that the Almighty had been scourged and crucified; that his impassible essence had felt pain and anguish; that his omniscience was not exempt from ignorance; and that the source of life and immortality expired on Mount Calvary.	false	883.4	913.45	21.612906
1673_143396_000014_000006	These alarming consequences were affirmed with unblushing simplicity by Apollinaris, [18] bishop of Laodicea, and one of the luminaries of the church.	These alarming consequences were affirmed with unblushing simplicity by Apollinaris, [eighteen] bishop of Laodicea, and one of the luminaries of the church.	false	914.09	922.39	24.225544
1673_143396_000014_000007	The son of a learned grammarian, he was skilled in all the sciences of Greece; eloquence, erudition, and philosophy, conspicuous in the volumes of Apollinaris, were humbly devoted to the service of religion.	The son of a learned grammarian, he was skilled in all the sciences of Greece; eloquence, erudition, and philosophy, conspicuous in the volumes of Apollinaris, were humbly devoted to the service of religion.	true	922.7	933.79	22.763845
1673_143396_000014_000008	The worthy friend of Athanasius, the worthy antagonist of Julian, he bravely wrestled with the Arians and Polytheists, and though he affected the rigor of geometrical demonstration, his commentaries revealed the literal and allegorical sense of the Scriptures.	The worthy friend of Athanasius, the worthy antagonist of Julian, he bravely wrestled with the Arians and Polytheists, and though he affected the rigor of geometrical demonstration, his commentaries revealed the literal and allegorical sense of the Scriptures.	true	934.28	948.19	21.544142
1673_143396_000014_000009	A mystery, which had long floated in the looseness of popular belief, was defined by his perverse diligence in a technical form; and he first proclaimed the memorable words, "One incarnate nature of Christ," which are still reechoed with hostile clamors in the churches of Asia, Egypt, and Aethiopia.	A mystery, which had long floated in the looseness of popular belief, was defined by his perverse diligence in a technical form; and he first proclaimed the memorable words, "One incarnate nature of Christ," which are still reechoed with hostile clamors in the churches of Asia, Egypt, and Aethiopia.	true	948.71	965.5	22.863438
1673_143396_000014_000010	He taught that the Godhead was united or mingled with the body of a man; and that the Logos, the eternal wisdom, supplied in the flesh the place and office of a human soul.	He taught that the Godhead was united or mingled with the body of a man; and that the Logos, the eternal wisdom, supplied in the flesh the place and office of a human soul.	true	966.08	975.73	23.47882
1673_143396_000014_000011	Yet as the profound doctor had been terrified at his own rashness, Apollinaris was heard to mutter some faint accents of excuse and explanation.	Yet as the profound doctor had been terrified at his own rashness, Apollinaris was heard to mutter some faint accents of excuse and explanation.	false	976.13	984.19	22.822578
1673_143396_000014_000012	He acquiesced in the old distinction of the Greek philosophers between the rational and sensitive soul of man; that he might reserve the Logos for intellectual functions, and employ the subordinate human principle in the meaner actions of animal life.	He acquiesced in the old distinction of the Greek philosophers between the rational and sensitive soul of man; that he might reserve the Logos for intellectual functions, and employ the subordinate human principle in the meaner actions of animal life.	true	984.47	996.79	21.99145
