2902_9008_000000_000000	CHAPTER II: THE DYING WORLD	CHAPTER two: THE DYING WORLD	false	0.72	25.29	20.06729
2902_9008_000003_000003	But, most probably, had any of us entered that room that morning, we should not have been able to spare a look either for the furniture, or the general effect, or the Museum gardens, or the sparkling Mediterranean beyond; but we should have agreed that the room was quite rich enough for human eyes, for the sake of one treasure which it possessed, and, beside which, nothing was worth a moment's glance.	But, most probably, had any of us entered that room that morning, we should not have been able to spare a look either for the furniture, or the general effect, or the Museum gardens, or the sparkling Mediterranean beyond; but we should have agreed that the room was quite rich enough for human eyes, for the sake of one treasure which it possessed, and, beside which, nothing was worth a moment's glance.	true	184.43	208.18	19.66995
2902_9008_000003_000004	For in the light arm-chair, reading a manuscript which lay on the table, sat a woman, of some five-and-twenty years, evidently the tutelary goddess of that little shrine, dressed in perfect keeping with the archaism of the chamber, in simple old snow-white Ionic robe, falling to the feet and reaching to the throat, and of that peculiarly severe and graceful fashion in which the upper part of the dress falls downward again from the neck to the waist in a sort of cape, entirely hiding the outline of the bust, while it leaves the arms and the point of the shoulders bare. Her dress was entirely without ornament, except the two narrow purple stripes down the front, which marked her rank as a Roman citizen, the gold embroidered shoes upon her feet, and the gold net, which looped back, from her forehead to her neck, hair the colour and gloss of which were hardly distinguishable from that of the metal itself, such as Athene herself might heaven vied for tint, and mass, and ripple.	For in the light arm chair, reading a manuscript which lay on the table, sat a woman, of some five and twenty years, evidently the tutelary goddess of that little shrine, dressed in perfect keeping with the archaism of the chamber, in simple old snow white Ionic robe, falling to the feet and reaching to the throat, and of that peculiarly severe and graceful fashion in which the upper part of the dress falls downward again from the neck to the waist in a sort of cape, entirely hiding the outline of the bust, while it leaves the arms and the point of the shoulders bare. Her dress was entirely without ornament, except the two narrow purple stripes down the front, which marked her rank as a Roman citizen, the gold embroidered shoes upon her feet, and the gold net, which looped back, from her forehead to her neck, hair the colour and gloss of which were hardly distinguishable from that of the metal itself, such as Athene herself might heaven vied for tint, and mass, and ripple.	false	208.73	270.79	20.29547
2902_9008_000003_000005	Her features, arms, and hands were of the severest and grandest type of old Greek beauty, at once showing everywhere the high development of the bones, and covering them with that firm, round, ripe outline, and waxy morbidezza of skin, which the old Greeks owed to their continual use not only of the bath and muscular exercise, but also of daily unguents. There might have seemed to us too much sadness in that clear gray eye; too much self-conscious restraint in those sharp curved lips; too much affectation in the studied severity of her posture as she read, copied, as it seemed, from some old vase or bas-relief.	Her features, arms, and hands were of the severest and grandest type of old Greek beauty, at once showing everywhere the high development of the bones, and covering them with that firm, round, ripe outline, and waxy morbidezza of skin, which the old Greeks owed to their continual use not only of the bath and muscular exercise, but also of daily unguents. There might have seemed to us too much sadness in that clear gray eye; too much self conscious restraint in those sharp curved lips; too much affectation in the studied severity of her posture as she read, copied, as it seemed, from some old vase or bas relief.	false	271.4	313.6	19.459988
2902_9008_000003_000006	But the glorious grace and beauty of every line of face and figure would have excused, even hidden those defects, and we should have only recognised the marked resemblance to the ideal portraits of Athene which adorned every panel of the walls.	But the glorious grace and beauty of every line of face and figure would have excused, even hidden those defects, and we should have only recognised the marked resemblance to the ideal portraits of Athene which adorned every panel of the walls.	true	314	329.14	19.238218
2902_9008_000004_000000	She has lifted her eyes off her manuscript; she is looking out with kindling countenance over the gardens of the Museum; her ripe curling Greek lips, such as we never see now, even among her own wives and sisters, open.	She has lifted her eyes off her manuscript; she is looking out with kindling countenance over the gardens of the Museum; her ripe curling Greek lips, such as we never see now, even among her own wives and sisters, open.	true	329.96	343.96	19.484865
2902_9008_000004_000001	She is talking to herself.	She is talking to herself.	true	344.21	345.94	18.428116
2902_9008_000004_000002	Listen!	Listen!	true	346.07	346.87	22.603346
2902_9008_000005_000000	'Yes.	'Yes.	true	347.87	348.66	23.595165
2902_9008_000005_000001	The statues there are broken.	The statues there are broken.	true	348.66	350.47	21.967339
2902_9008_000005_000002	The libraries are plundered.	The libraries are plundered.	true	350.72	352.54	19.180058
2902_9008_000005_000003	The alcoves are silent.	The alcoves are silent.	true	352.79	354.49	20.789072
2902_9008_000005_000004	The oracles are dumb.	The oracles are dumb.	true	354.71	356.5	21.90393
2902_9008_000005_000005	And yet--who says that the old faith of heroes and sages is dead?	And yet-who says that the old faith of heroes and sages is dead?	true	356.81	361.3	18.05213
2902_9008_000005_000006	The beautiful can never die.	The beautiful can never die.	true	361.58	363.43	19.752651
2902_9008_000005_000007	If the gods have deserted their oracles, they have not deserted the souls who aspire to them.	If the gods have deserted their oracles, they have not deserted the souls who aspire to them.	true	363.74	369.31	20.840387
2902_9008_000005_000008	If they have ceased to guide nations, they have not ceased to speak to their own elect.	If they have ceased to guide nations, they have not ceased to speak to their own elect.	true	369.59	374.89	20.041153
2902_9008_000005_000009	If they have cast off the vulgar herd, they have not cast off Hypatia. ...............	If they have cast off the vulgar herd, they have not cast off Hypatia. ...............	false	375.23	379.83	21.29035
2902_9008_000006_000000	'Ay.	'Ay.	false	379.83	381.45	15.390201
2902_9008_000006_000001	To believe in the old creeds, while every one else is dropping away from them....	To believe in the old creeds, while every one else is dropping away from them....	true	381.45	385.99	18.925945
2902_9008_000006_000002	To believe in spite of disappointments....	To believe in spite of disappointments....	true	386.15	388.21	19.833752
2902_9008_000006_000003	To hope against hope....	To hope against hope....	true	388.61	390.42	19.245352
2902_9008_000006_000004	To show oneself superior to the herd, by seeing boundless depths of living glory in myths which have become dark and dead to them....	To show oneself superior to the herd, by seeing boundless depths of living glory in myths which have become dark and dead to them....	true	390.42	398.71	20.35568
2902_9008_000006_000005	To struggle to the last against the new and vulgar superstitions of a rotting age, for the faith of my forefathers, for the old gods, the old heroes, the old sages who gauged the mysteries of heaven and earth--and perhaps to conquer--at least to have my reward! To be welcomed into the celestial ranks of the heroic--to rise to the immortal gods, to the ineffable powers, onward, upward ever, through ages and through eternities, till I find my home at last, and vanish in the glory of the Nameless and the Absolute One!....	To struggle to the last against the new and vulgar superstitions of a rotting age, for the faith of my forefathers, for the old gods, the old heroes, the old sages who gauged the mysteries of heaven and earth-and perhaps to conquer-at least to have my reward! To be welcomed into the celestial ranks of the heroic-to rise to the immortal gods, to the ineffable powers, onward, upward ever, through ages and through eternities, till I find my home at last, and vanish in the glory of the Nameless and the Absolute One!....	true	399.26	434.95	18.985138
2902_9008_000007_000000	And her whole face flashed out into wild glory, and then sank again suddenly into a shudder of something like fear and disgust, as she saw, watching her from under the wall of the gardens opposite, a crooked, withered Jewish crone, dressed out in the most gorgeous and fantastic style of barbaric finery.	And her whole face flashed out into wild glory, and then sank again suddenly into a shudder of something like fear and disgust, as she saw, watching her from under the wall of the gardens opposite, a crooked, withered Jewish crone, dressed out in the most gorgeous and fantastic style of barbaric finery.	false	435.83	455.2	21.233568
2902_9008_000008_000000	'Why does that old hag haunt me?	'Why does that old hag haunt me?	true	455.9	458.05	17.771973
2902_9008_000008_000001	I see her everywhere--till the last month at least--and here she is again!	I see her everywhere-till the last month at least-and here she is again!	true	458.21	463.06	20.627274
2902_9008_000008_000002	I will ask the prefect to find out who she is, and get rid of her, before she fascinates me with that evil eye.	I will ask the prefect to find out who she is, and get rid of her, before she fascinates me with that evil eye.	true	463.4	469.42	20.414963
2902_9008_000008_000003	Thank the gods, there she moves away!	Thank the gods, there she moves away!	true	469.88	472.24	21.280666
2902_9008_000008_000004	Foolish!--foolish of me, a philosopher.	Foolish!--foolish of me, a philosopher.	true	472.76	475.99	20.090628
2902_9008_000008_000005	I, to believe, against the authority of Porphyry himself, too, in evil eyes and magic!	I, to believe, against the authority of Porphyry himself, too, in evil eyes and magic!	true	476.39	481.96	20.995296
2902_9008_000008_000006	But there is my father, pacing up and down in the library.'	But there is my father, pacing up and down in the library.'	true	482.39	485.86	20.698698
2902_9008_000009_000000	As she spoke, the old man entered from the next room.	As she spoke, the old man entered from the next room.	true	486.68	489.88	18.395939
2902_9008_000009_000001	He was a Greek, also, but of a more common, and, perhaps, lower type; dark and fiery, thin and graceful; his delicate figure and cheeks, wasted by meditation, harmonised well with the staid and simple philosophic cloak which he wore as a sign of his profession.	He was a Greek, also, but of a more common, and, perhaps, lower type; dark and fiery, thin and graceful; his delicate figure and cheeks, wasted by meditation, harmonised well with the staid and simple philosophic cloak which he wore as a sign of his profession.	true	489.98	507.31	20.555164
2902_9008_000009_000002	He paced impatiently up and down the chamber, while his keen, glittering eyes and restless gestures betokened intense inward thought.... 'I have it....	He paced impatiently up and down the chamber, while his keen, glittering eyes and restless gestures betokened intense inward thought.... 'I have it....	true	507.92	516.61	20.387081
2902_9008_000009_000003	No; again it escapes--it contradicts itself.	No; again it escapes-it contradicts itself.	false	516.71	520.66	19.85845
2902_9008_000009_000004	Miserable man that I am!	Miserable man that I am!	true	520.94	522.85	18.81328
2902_9008_000009_000005	If there is faith in Pythagoras, the symbol should be an expanding series of the powers of three; and yet that accursed binary factor will introduce itself.	If there is faith in Pythagoras, the symbol should be an expanding series of the powers of three; and yet that accursed binary factor will introduce itself.	true	523.01	531.85	21.52211
2902_9008_000009_000006	Did not you work the sum out once, Hypatia?'	Did not you work the sum out once, Hypatia?'	true	532.25	535.06	20.905594
2902_9008_000010_000000	'Sit down, my dear father, and eat.	'Sit down, my dear father, and eat.	true	535.73	538.14	19.41352
2902_9008_000010_000001	You have tasted no food yet this day.'	You have tasted no food yet this day.'	true	538.14	540.43	20.408545
2902_9008_000011_000000	'What do I care for food!	'What do I care for food!	true	540.95	542.895	21.430874
2902_9008_000011_000001	The inexpressible must be expressed, the work must be done if it cost me the squaring of the circle.	The inexpressible must be expressed, the work must be done if it cost me the squaring of the circle.	true	542.895	548.59	22.233027
2902_9008_000011_000002	How can he, whose sphere lies above the stars, stoop every moment to earth?	How can he, whose sphere lies above the stars, stoop every moment to earth?	true	548.96	553.71	20.829777
2902_9008_000012_000000	'Ay,' she answered, half bitterly, 'and would that we could live without food, and imitate perfectly the immortal gods.	'Ay,' she answered, half bitterly, 'and would that we could live without food, and imitate perfectly the immortal gods.	false	553.71	561.97	18.66505
2902_9008_000012_000001	But while we are in this prison-house of matter, we must wear our chain; even wear it gracefully, if we have the good taste; and make the base necessities of this body of shame symbolic of the divine food of the reason.	But while we are in this prison house of matter, we must wear our chain; even wear it gracefully, if we have the good taste; and make the base necessities of this body of shame symbolic of the divine food of the reason.	true	562.43	575.98	20.6757
2902_9008_000012_000002	There is fruit, with lentils and rice, waiting for you in the next room; and bread, unless you despise it too much.'	There is fruit, with lentils and rice, waiting for you in the next room; and bread, unless you despise it too much.'	true	576.47	582.82	20.290133
2902_9008_000013_000000	'The food of slaves!' he answered.	'The food of slaves!' he answered.	false	583.46	586.11	18.023754
2902_9008_000013_000001	'Well, I will eat, and be ashamed of eating.	'Well, I will eat, and be ashamed of eating.	true	586.11	588.61	20.894627
2902_9008_000013_000002	Stay, did I tell you?	Stay, did I tell you?	true	588.98	590.74	23.193981
2902_9008_000013_000003	Six new pupils in the mathematical school this morning.	Six new pupils in the mathematical school this morning.	true	590.78	593.98	20.217934
2902_9008_000013_000004	It grows!	It grows!	true	594.02	595.065	21.4797
2902_9008_000013_000005	It spreads!	It spreads!	true	595.065	596.14	24.787949
2902_9008_000013_000006	We shall conquer yet!'	We shall conquer yet!'	true	596.21	597.64	21.218807
2902_9008_000014_000000	She sighed.	She sighed.	true	598.46	599.56	19.287588
2902_9008_000014_000001	'How do you know that they have not come to you, as Critias and Alcibiades did to Socrates, to learn a merely political and mundane virtue?	'How do you know that they have not come to you, as Critias and Alcibiades did to Socrates, to learn a merely political and mundane virtue?	false	599.69	609.07	17.43589
2902_9008_000014_000002	Strange! that men should be content to grovel, and be men, when they might rise to the rank of gods!	Strange! that men should be content to grovel, and be men, when they might rise to the rank of gods!	true	609.5	615.72	20.722322
2902_9008_000014_000003	Ah, my father!	Ah, my father!	false	615.72	617.565	21.718527
2902_9008_000014_000004	That is my bitterest grief! to see those who have been pretending in the morning lecture-room to worship every word of mine as an oracle, lounging in the afternoon round Pelagia's litter; and then at night--for I know that they do it--the dice, and the wine, and worse.	That is my bitterest grief! to see those who have been pretending in the morning lecture room to worship every word of mine as an oracle, lounging in the afternoon round Pelagia's litter; and then at night-for I know that they do it-the dice, and the wine, and worse.	true	617.565	634.03	20.17148
2902_9008_000014_000005	That Pallas herself should be conquered every day by Venus Pandemos!	That Pallas herself should be conquered every day by Venus Pandemos!	true	634.34	638.47	19.121702
2902_9008_000014_000006	That Pelagia should have more power than I! Not that such a creature as that disturbs me: no created thing, I hope, can move my equanimity; but if I could stoop to hate--I should hate her--hate her.'	That Pelagia should have more power than I! Not that such a creature as that disturbs me: no created thing, I hope, can move my equanimity; but if I could stoop to hate-I should hate her-hate her.'	false	638.81	653.05	19.610527
2902_9008_000015_000000	And her voice took a tone which made it somewhat uncertain whether, in spite of all the lofty impassibility which she felt bound to possess, she did not hate Pelagia with a most human and mundane hatred.	And her voice took a tone which made it somewhat uncertain whether, in spite of all the lofty impassibility which she felt bound to possess, she did not hate Pelagia with a most human and mundane hatred.	true	653.84	666.64	19.990767
2902_9008_000016_000000	But at that moment the conversation was cut short by the hasty entrance of a slave girl, who, with fluttering voice, announced--	But at that moment the conversation was cut short by the hasty entrance of a slave girl, who, with fluttering voice, announced-	true	667.52	675.73	19.812017
2902_9008_000017_000000	'His excellency, madam, the prefect!	'His excellency, madam, the prefect!	true	675.8	678.49	22.594074
2902_9008_000017_000001	His chariot has been at the gate for these five minutes, and he is now coming upstairs.'	His chariot has been at the gate for these five minutes, and he is now coming upstairs.'	false	678.5	683.17	20.812069
2902_9008_000018_000000	'Foolish child!' answered Hypatia, with some affectation of indifference.	'Foolish child!' answered Hypatia, with some affectation of indifference.	true	684.23	688.81	19.34196
2902_9008_000018_000001	'And why should that disturb me?	'And why should that disturb me?	true	689.06	690.88	20.712698
2902_9008_000018_000002	Let him enter.'	Let him enter.'	true	690.95	691.99	20.267504
2902_9008_000019_000000	The door opened, and in came, preceded by the scent of half a dozen different perfumes, a florid, delicate-featured man, gorgeously dressed out in senatorial costume, his fingers and neck covered with jewels.	The door opened, and in came, preceded by the scent of half a dozen different perfumes, a florid, delicate featured man, gorgeously dressed out in senatorial costume, his fingers and neck covered with jewels.	true	692.84	706.48	19.975014
2902_9008_000020_000000	'The representative of the Caesars honours himself by offering at the shrine of Athene Polias, and rejoices to see in her priestess as lovely a likeness as ever of the goddess whom she serves....	'The representative of the Caesars honours himself by offering at the shrine of Athene Polias, and rejoices to see in her priestess as lovely a likeness as ever of the goddess whom she serves....	true	707.36	718.54	19.5293
2902_9008_000020_000001	Don't betray me, but I really cannot help talking sheer paganism whenever I find myself within the influence of your eyes.'	Don't betray me, but I really cannot help talking sheer paganism whenever I find myself within the influence of your eyes.'	true	718.85	726.22	19.931448
2902_9008_000021_000000	'Truth is mighty,' said Hypatia, as she rose to greet him with a smile and a reverence.	'Truth is mighty,' said Hypatia, as she rose to greet him with a smile and a reverence.	true	727.01	732.61	18.734432
2902_9008_000022_000000	'Ah, so they say--Your excellent father has vanished.	'Ah, so they say-Your excellent father has vanished.	true	733.01	737.11	20.4
2902_9008_000022_000001	He is really too modest--honest, though--about his incapacity for state secrets.	He is really too modest-honest, though-about his incapacity for state secrets.	true	737.24	742.63	19.5734
2902_9008_000022_000002	After all, you know, it was your Minervaship which I came to consult.	After all, you know, it was your Minervaship which I came to consult.	true	742.79	747.01	19.359297
2902_9008_000022_000003	How has this turbulent Alexandrian rascaldom been behaving itself in my absence?'	How has this turbulent Alexandrian rascaldom been behaving itself in my absence?'	true	747.23	752.23	19.17382
2902_9008_000023_000000	'The herd has been eating, and drinking, and marrying, as usual, I believe,' answered Hypatia, in a languid tone.	'The herd has been eating, and drinking, and marrying, as usual, I believe,' answered Hypatia, in a languid tone.	true	753.29	761.41	17.339735
2902_9008_000024_000000	'And multiplying, I don't doubt.	'And multiplying, I don't doubt.	true	761.87	763.99	21.939404
2902_9008_000024_000001	Well, there will be less loss to the empire if I have to crucify a dozen or two, as I positively will, the next riot.	Well, there will be less loss to the empire if I have to crucify a dozen or two, as I positively will, the next riot.	true	764.36	770.74	20.566746
2902_9008_000024_000002	It is really a great comfort to a statesman that the masses are so well aware that they deserve hanging, and therefore so careful to prevent any danger of public justice depopulating the province.	It is really a great comfort to a statesman that the masses are so well aware that they deserve hanging, and therefore so careful to prevent any danger of public justice depopulating the province.	true	770.93	781.66	20.890112
2902_9008_000024_000003	But how go on the schools?'	But how go on the schools?'	true	782.15	783.76	20.561354
2902_9008_000025_000000	Hypatia shook her head sadly.	Hypatia shook her head sadly.	true	784.76	786.79	18.219538
2902_9008_000026_000000	'Ah, boys will be boys....	'Ah, boys will be boys....	true	787.49	789.24	17.986172
2902_9008_000026_000001	I plead guilty myself.	I plead guilty myself.	true	789.24	790.93	20.268085
2902_9008_000026_000002	Video meliora proboque, deteriora sequor.	Video meliora proboque, deteriora sequor.	false	791.09	795.12	20.090237
2902_9008_000026_000003	You must not be hard on us....	You must not be hard on us....	true	795.12	796.66	21.128817
2902_9008_000026_000004	Whether we obey you or not in private life, we do in public; and if we enthrone you queen of Alexandria, you must allow your courtiers and bodyguards a few court licences.	Whether we obey you or not in private life, we do in public; and if we enthrone you queen of Alexandria, you must allow your courtiers and bodyguards a few court licences.	false	796.82	806.8	21.54766
2902_9008_000026_000005	Now don't sigh or I shall be inconsolable.	Now don't sigh or I shall be inconsolable.	true	807.11	810.04	19.90111
2902_9008_000026_000006	At all events, your worst rival has betaken herself to the wilderness, and gone to look for the city of the gods above the cataracts.'	At all events, your worst rival has betaken herself to the wilderness, and gone to look for the city of the gods above the cataracts.'	true	810.2	817.3	19.60442
2902_9008_000027_000000	'Whom do you mean?' asked Hypatia, in a tone most unphilosophically eager.	'Whom do you mean?' asked Hypatia, in a tone most unphilosophically eager.	false	817.85	823.59	19.778753
2902_9008_000028_000000	'Pelagia, of course.	'Pelagia, of course.	false	823.59	825.22	23.199577
2902_9008_000028_000001	I met that prettiest and naughtiest of humanities half-way between here and Thebes, transformed into a perfect Andromache of chaste affection.'	I met that prettiest and naughtiest of humanities half-way between here and Thebes, transformed into a perfect Andromache of chaste affection.'	true	825.35	834.43	20.340584
2902_9008_000029_000000	'And to whom, pray?'	'And to whom, pray?'	true	834.86	836.71	22.009012
2902_9008_000030_000000	'To a certain Gothic giant.	'To a certain Gothic giant.	true	837.26	839.11	19.634127
2902_9008_000030_000001	What men those barbarians do breed!	What men those barbarians do breed!	true	839.15	841.68	21.780378
2902_9008_000030_000002	I was afraid of being crushed under the elephant's foot at every step I took with him!'	I was afraid of being crushed under the elephant's foot at every step I took with him!'	true	841.68	845.83	20.497477
2902_9008_000031_000000	'What!' asked Hypatia, 'did your excellency condescend to converse with such savages?'	'What!' asked Hypatia, 'did your excellency condescend to converse with such savages?'	true	846.44	852.49	19.649572
2902_9008_000032_000000	'To tell you the truth, he had some forty stout countrymen of his with him, who might have been troublesome to a perplexed prefect; not to mention that it is always as well to keep on good terms with these Goths.	'To tell you the truth, he had some forty stout countrymen of his with him, who might have been troublesome to a perplexed prefect; not to mention that it is always as well to keep on good terms with these Goths.	true	853.01	863.98	20.3134
2902_9008_000032_000001	Really, after the sack of Rome, and Athens cleaned out like a beehive by wasps, things begin to look serious.	Really, after the sack of Rome, and Athens cleaned out like a beehive by wasps, things begin to look serious.	true	864.44	870.85	20.354618
2902_9008_000032_000002	And as for the great brute himself, he has rank enough in his way,--boasts of his descent from some cannibal god or other,--really hardly deigned to speak to a paltry Roman governor, till his faithful and adoring bride interceded for me.	And as for the great brute himself, he has rank enough in his way,--boasts of his descent from some cannibal god or other,--really hardly deigned to speak to a paltry Roman governor, till his faithful and adoring bride interceded for me.	true	871.37	884.92	20.213879
2902_9008_000032_000003	Still, the fellow understood good living, and we celebrated our new treaty of friendship with noble libations--but I must not talk about that to you.	Still, the fellow understood good living, and we celebrated our new treaty of friendship with noble libations-but I must not talk about that to you.	true	885.47	893.59	19.288506
2902_9008_000032_000004	However, I got rid of them; quoted all the geographical lies I had ever heard, and a great many more; quickened their appetite for their fool's errand notably, and started them off again.	However, I got rid of them; quoted all the geographical lies I had ever heard, and a great many more; quickened their appetite for their fool's errand notably, and started them off again.	true	894.05	904.99	20.769188
2902_9008_000032_000005	So now the star of Venus is set, and that of Pallas in the ascendant.	So now the star of Venus is set, and that of Pallas in the ascendant.	false	905.48	909.7	20.660114
2902_9008_000032_000006	Wherefore tell me--what am I to do with Saint Firebrand?'	Wherefore tell me-what am I to do with Saint Firebrand?'	true	910.31	913.71	19.081432
2902_9008_000033_000000	'Cyril?'	'Cyril?'	false	913.71	916.44	20.897505
2902_9008_000034_000000	'Cyril.'	'Cyril.'	false	916.44	917.37	-20
2902_9008_000035_000000	'Justice.'	'Justice.'	true	917.37	918.31	25.87769
2902_9008_000036_000000	'Ah, Fairest Wisdom, don't mention that horrid word out of the lecture-room.	'Ah, Fairest Wisdom, don't mention that horrid word out of the lecture room.	true	918.47	922.66	22.622704
2902_9008_000036_000001	In theory it is all very well; but in poor imperfect earthly practice, a governor must be content with doing very much what comes to hand.	In theory it is all very well; but in poor imperfect earthly practice, a governor must be content with doing very much what comes to hand.	true	922.76	930.7	20.932802
2902_9008_000036_000002	In abstract justice, now, I ought to nail up Cyril, deacons, district visitors, and all, in a row, on the sandfill out side.	In abstract justice, now, I ought to nail up Cyril, deacons, district visitors, and all, in a row, on the sandfill out side.	false	931.07	939.31	22.108976
2902_9008_000036_000003	That is simple enough; but, like a great many simple and excellent things, impossible.'	That is simple enough; but, like a great many simple and excellent things, impossible.'	false	939.53	945.01	20.234888
2902_9008_000037_000000	'You fear the people?'	'You fear the people?'	true	945.71	947.11	19.501286
2902_9008_000038_000000	'Well, my dear lady, and has not the villainous demagogue got the whole mob on his side?	'Well, my dear lady, and has not the villainous demagogue got the whole mob on his side?	true	947.78	952.84	20.159952
2902_9008_000038_000001	Am I to have the Constantinople riots re-enacted here? I really cannot face it; I have not nerve for it; perhaps I am too lazy. Be it so.'	Am I to have the Constantinople riots re enacted here? I really cannot face it; I have not nerve for it; perhaps I am too lazy. Be it so.'	false	953.12	962.44	19.905031
2902_9008_000039_000000	Hypatia sighed.	Hypatia sighed.	true	963.62	965.05	18.284767
2902_9008_000039_000001	'Ah, that your excellency but saw the great duel which depends on you alone!	'Ah, that your excellency but saw the great duel which depends on you alone!	true	965.39	970.21	21.782288
2902_9008_000039_000002	Do not fancy that the battle is merely between Paganism and Christianity--'	Do not fancy that the battle is merely between Paganism and Christianity-'	true	970.49	975.04	18.092007
2902_9008_000040_000000	'Why, if it were, you know, I, as a Christian, under a Christian and sainted emperor, not to mention his august sister--'	'Why, if it were, you know, I, as a Christian, under a Christian and sainted emperor, not to mention his august sister-'	true	975.47	982.06	18.835363
2902_9008_000041_000000	'We understand,' interrupted she, with an impatient wave of her beautiful hand.	'We understand,' interrupted she, with an impatient wave of her beautiful hand.	true	982.19	986.92	18.361141
2902_9008_000041_000001	'Not even between them; not even between philosophy and barbarism.	'Not even between them; not even between philosophy and barbarism.	true	987.11	991.39	18.816505
2902_9008_000041_000002	The struggle is simply one between the aristocracy and the mob,--between wealth, refinement, art, learning, all that makes a nation great, and the savage herd of child-breeders below, the many ignoble, who were meant to labour for the noble few.	The struggle is simply one between the aristocracy and the mob,--between wealth, refinement, art, learning, all that makes a nation great, and the savage herd of child breeders below, the many ignoble, who were meant to labour for the noble few.	true	991.73	1008.4	19.45573
2902_9008_000041_000003	Shall the Roman empire command or obey her own slaves? is the question which you and Cyril have to battle out; and the fight must be internecine.'	Shall the Roman empire command or obey her own slaves? is the question which you and Cyril have to battle out; and the fight must be internecine.'	false	1008.86	1019.22	18.748737
2902_9008_000042_000000	'I should not wonder if it became so, really,' answered the prefect, with a shrug of his shoulders.	'I should not wonder if it became so, really,' answered the prefect, with a shrug of his shoulders.	false	1019.22	1023.94	19.880018
