5694_64025_000003_000000	SHILOH	SHILOH
5694_64025_000015_000000	This was Sunday.	This was Sunday.
5694_64025_000017_000001	But they didn't.	But they didn't.
5694_64025_000017_000002	Flushed with their victories at Fort Henry and Fort Donelson and the capture of Nashville, and the whole State of Tennessee having fallen into their hands, victory was again to perch upon their banners, for Buell's army, by forced marches, had come to Grant's assistance at the eleventh hour.	Flushed with their victories at Fort Henry and Fort Donelson and the capture of Nashville, and the whole State of Tennessee having fallen into their hands, victory was again to perch upon their banners, for Buell's army, by forced marches, had come to Grant's assistance at the eleventh hour.
5694_64025_000018_000000	Gunboats and transports were busily crossing Buell's army all of Sunday night.	Gunboats and transports were busily crossing Buell's army all of Sunday night.
5694_64025_000018_000002	Our regiment was the advance outpost, and we saw the skirmish line of the Federals advancing and then their main line and then their artillery.	Our regiment was the advance outpost, and we saw the skirmish line of the Federals advancing and then their main line and then their artillery.
5694_64025_000018_000005	Should you desire to find out more about the battle, I refer you to history.	Should you desire to find out more about the battle, I refer you to history.
5694_64025_000019_000000	One incident I recollect very well.	One incident I recollect very well.
5694_64025_000019_000002	W. H. rushed forward and grabbed his horse by the bridle, telling him at the same time to surrender.	w h rushed forward and grabbed his horse by the bridle, telling him at the same time to surrender.
5694_64025_000019_000005	His pistol had missed its aim.	His pistol had missed its aim.
5694_64025_000022_000001	He was not a fast mule, and I soon found out that he thought he knew as much as I did.	He was not a fast mule, and I soon found out that he thought he knew as much as I did.
5694_64025_000022_000002	He was wise in his own conceit.	He was wise in his own conceit.
5694_64025_000022_000003	He had a propensity to take every hog path he came to.	He had a propensity to take every hog path he came to.
5694_64025_000022_000005	If blood makes speed, I do not suppose he had a drop of any kind in him.	If blood makes speed, I do not suppose he had a drop of any kind in him.
5694_64025_000022_000012	The mule was loath to take to the water.	The mule was loath to take to the water.
5694_64025_000022_000013	He was no Baptist, and did not believe in immersion, and had his views about crossing streams, but the rope began to tighten, the mule to squeal out his protestations against such villainous proceedings.	He was no Baptist, and did not believe in immersion, and had his views about crossing streams, but the rope began to tighten, the mule to squeal out his protestations against such villainous proceedings.
5694_64025_000022_000014	The rope, however, was stronger than the mule's "no," and he was finally prevailed upon by the strength of the rope to cross the creek.	The rope, however, was stronger than the mule's "no," and he was finally prevailed upon by the strength of the rope to cross the creek.
5694_64025_000022_000016	He seemed to be in deep meditation.	He seemed to be in deep meditation.
5694_64025_000022_000017	I got on him again, when all of a sudden he lifted his head, pricked up his ears, began to champ his bit, gave a little squeal, got a little faster, and finally into a gallop and then a run.	I got on him again, when all of a sudden he lifted his head, pricked up his ears, began to champ his bit, gave a little squeal, got a little faster, and finally into a gallop and then a run.
