5536_43358_000009_000000	Solitary Worship.	Solitary Worship.
5536_43358_000022_000001	The Indian was a logical and clear thinker upon matters within the scope of his understanding, but he had not yet charted the vast field of nature or expressed her wonders in terms of science.	The Indian was a logical and clear thinker upon matters within the scope of his understanding, but he had not yet charted the vast field of nature or expressed her wonders in terms of science.
5536_43358_000022_000002	With his limited knowledge of cause and effect, he saw miracles on every hand,--the miracle of life in seed and egg, the miracle of death in lightning flash and in the swelling deep! Nothing of the marvelous could astonish him; as that a beast should speak, or the sun stand still.	With his limited knowledge of cause and effect, he saw miracles on every hand,--the miracle of life in seed and egg, the miracle of death in lightning flash and in the swelling deep! Nothing of the marvelous could astonish him; as that a beast should speak, or the sun stand still.
5536_43358_000023_000000	Who may condemn his superstition?	Who may condemn his superstition?
5536_43358_000023_000001	Surely not the devout Catholic, or even Protestant missionary, who teaches Bible miracles as literal fact! The logical man must either deny all miracles or none, and our American Indian myths and hero stories are perhaps, in themselves, quite as credible as those of the Hebrews of old.	Surely not the devout Catholic, or even Protestant missionary, who teaches Bible miracles as literal fact! The logical man must either deny all miracles or none, and our American Indian myths and hero stories are perhaps, in themselves, quite as credible as those of the hebrews of old.
5536_43358_000023_000003	We have still to face the ultimate miracle,--the origin and principle of life!	We have still to face the ultimate miracle,--the origin and principle of life!
5536_43358_000024_000001	In his own thought he rose superior to them!	In his own thought he rose superior to them!
5536_43358_000024_000003	It was clear to him that virtue and happiness are independent of these things, if not incompatible with them.	It was clear to him that virtue and happiness are independent of these things, if not incompatible with them.
5536_43358_000025_000001	Yet the religion that is preached in our churches and practiced by our congregations, with its element of display and self-aggrandizement, its active proselytism, and its open contempt of all religions but its own, was for a long time extremely repellent.	Yet the religion that is preached in our churches and practiced by our congregations, with its element of display and self aggrandizement, its active proselytism, and its open contempt of all religions but its own, was for a long time extremely repellent.
5536_43358_000026_000001	To him, it appeared shocking and almost incredible that there were among this people who claimed superiority many irreligious, who did not even pretend to profess the national faith.	To him, it appeared shocking and almost incredible that there were among this people who claimed superiority many irreligious, who did not even pretend to profess the national faith.
5536_43358_000026_000002	Not only did they not profess it, but they stooped so low as to insult their God with profane and sacrilegious speech!	Not only did they not profess it, but they stooped so low as to insult their God with profane and sacrilegious speech!
5536_43358_000027_000001	They spoke much of spiritual things, while seeking only the material.	They spoke much of spiritual things, while seeking only the material.
5536_43358_000027_000003	The lust for money, power, and conquest so characteristic of the Anglo-Saxon race did not escape moral condemnation at the hands of his untutored judge, nor did he fail to contrast this conspicuous trait of the dominant race with the spirit of the meek and lowly Jesus.	The lust for money, power, and conquest so characteristic of the Anglo Saxon race did not escape moral condemnation at the hands of his untutored judge, nor did he fail to contrast this conspicuous trait of the dominant race with the spirit of the meek and lowly Jesus.
5536_43358_000028_000000	He might in time come to recognize that the drunkards and licentious among white men, with whom he too frequently came in contact, were condemned by the white man's religion as well, and must not be held to discredit it.	He might in time come to recognize that the drunkards and licentious among white men, with whom he too frequently came in contact, were condemned by the white man's religion as well, and must not be held to discredit it.
5536_43358_000028_000001	But it was not so easy to overlook or to excuse national bad faith.	But it was not so easy to overlook or to excuse national bad faith.
