3853_163249_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	19.05	20.295	12
3853_163249_000010_000000	"I thought I was going to marry a quiet, studious, steady-going man; and here I find myself engaged to a romantic youth who flies about in the most undignified manner, embraces people behind doors, sings opera airs,--very much out of tune by the way,--and conducts himself more like an infatuated Claude Melnotte, than a respectable gentleman on the awful verge of matrimony.	"I thought I was going to marry a quiet, studious, steady going man; and here I find myself engaged to a romantic youth who flies about in the most undignified manner, embraces people behind doors, sings opera airs,--very much out of tune by the way,--and conducts himself more like an infatuated Claude Melnotte, than a respectable gentleman on the awful verge of matrimony.	true	161.27	183.79	14
3853_163249_000010_000001	Nothing can surprise me now: I'm prepared for any thing, even the sight of my Quakerish lover dancing a jig."	Nothing can surprise me now: I'm prepared for any thing, even the sight of my Quakerish lover dancing a jig."	true	184.01	190.69	18
3853_163249_000011_000000	"Just what I've been longing to do!	"Just what I've been longing to do!	true	191.21	193.12	16
3853_163249_000011_000001	Come and take a turn: it will do you good;" and, to Christie's utter amazement, David caught her round the waist and waltzed her down the boarded walk with a speed and skill that caused less havoc among the flower-pots than one would imagine, and seemed to delight the plants, who rustled and nodded as if applauding the dance of the finest double flower that had ever blossomed in their midst.	Come and take a turn: it will do you good;" and, to Christie's utter amazement, David caught her round the waist and waltzed her down the boarded walk with a speed and skill that caused less havoc among the flower pots than one would imagine, and seemed to delight the plants, who rustled and nodded as if applauding the dance of the finest double flower that had ever blossomed in their midst.	true	193.28	213.82	15
3853_163249_000012_000000	"I can't help it, Christie," he said, when he had landed her breathless and laughing at the other end.	"I can't help it, Christie," he said, when he had landed her breathless and laughing at the other end.	true	216.17	221.2	13
3853_163249_000012_000001	"I feel like a boy out of school, or rather a man out of prison, and must enjoy my liberty in some way.	"I feel like a boy out of school, or rather a man out of prison, and must enjoy my liberty in some way.	true	221.24	227.02	14
3853_163249_000012_000002	I'm not a talker, you know; and, as the laws of gravitation forbid my soaring aloft anywhere, I can only express my joyfully uplifted state of mind by 'prancing,' as you call it.	I'm not a talker, you know; and, as the laws of gravitation forbid my soaring aloft anywhere, I can only express my joyfully uplifted state of mind by 'prancing,' as you call it.	true	227.21	237.7	14
3853_163249_000012_000003	Never mind dignity: let's be happy, and by and by I'll sober down."	Never mind dignity: let's be happy, and by and by I'll sober down."	false	237.89	242.14	16
3853_163249_000013_000000	"I don't want you to; I love to see you so young and happy, only you are not the old David, and I've got to get acquainted with the new one."	"I don't want you to; I love to see you so young and happy, only you are not the old David, and I've got to get acquainted with the new one."	true	242.72	251.26	16
3853_163249_000014_000000	"I hope you'll like him better than the frost-bitten 'old David' you first knew and were kind enough to love.	"I hope you'll like him better than the frost bitten 'old David' you first knew and were kind enough to love.	true	251.75	257.02	14
3853_163249_000014_000001	Mother says I've gone back to the time before we lost Letty, and I sometimes feel as if I had. In that case you will find me a proud, impetuous, ambitious fellow, Christie, and how will that suit?"	Mother says I've gone back to the time before we lost Letty, and I sometimes feel as if I had. In that case you will find me a proud, impetuous, ambitious fellow, Christie, and how will that suit?"	false	257.03	268.6	16
3853_163249_000015_000000	"Excellently; I like pride of your sort; impetuosity becomes you, for you have learned to control it if need be; and the ambition is best of all.	"Excellently; I like pride of your sort; impetuosity becomes you, for you have learned to control it if need be; and the ambition is best of all.	true	268.82	278.8	18
3853_163249_000015_000001	I always wondered at your want of it, and longed to stir you up; for you did not seem the sort of man to be contented with mere creature comforts when there are so many fine things men may do.	I always wondered at your want of it, and longed to stir you up; for you did not seem the sort of man to be contented with mere creature comforts when there are so many fine things men may do.	true	278.81	288.46	13
3853_163249_000015_000002	What shall you choose, Davy?"	What shall you choose, Davy?"	true	288.83	290.65	22.437826
3853_163249_000016_000000	"I shall wait for time to show.	"I shall wait for time to show.	true	291.26	293.17	18
3853_163249_000016_000001	The sap is all astir in me, and I'm ready for my chance.	The sap is all astir in me, and I'm ready for my chance.	false	293.3	296.7	15
3853_163249_000016_000002	I don't know what it is, but I feel very sure that some work will be given me into which I can put my whole heart and soul and strength.	I don't know what it is, but I feel very sure that some work will be given me into which I can put my whole heart and soul and strength.	true	296.7	304.245	14
3853_163249_000016_000003	I spoilt my first chance; but I know I shall have another, and, whatever it is, I am ready to do my best, and live or die for it as God wills."	I spoilt my first chance; but I know I shall have another, and, whatever it is, I am ready to do my best, and live or die for it as God wills."	false	304.245	312.55	12
3853_163249_000017_000000	"So am I," answered Christie, with a voice as earnest and a face as full of hopeful resolution as his own.	"So am I," answered Christie, with a voice as earnest and a face as full of hopeful resolution as his own.	true	313.1	319.24	13
3853_163249_000018_000000	Then they went back to their work, little dreaming as they tied roses and twined smilax wreaths, how near that other chance was; how soon they were to be called upon to keep their promise, and how well each was to perform the part given them in life and death.	Then they went back to their work, little dreaming as they tied roses and twined smilax wreaths, how near that other chance was; how soon they were to be called upon to keep their promise, and how well each was to perform the part given them in life and death.	true	319.46	333.73	13
3853_163249_000019_000000	The gun fired one April morning at Fort Sumter told many men like David what their work was to be, and showed many women like Christie a new right to claim and bravely prove their fitness to possess.	The gun fired one April morning at Fort Sumter told many men like David what their work was to be, and showed many women like Christie a new right to claim and bravely prove their fitness to possess.	true	334.4	345.73	13
3853_163249_000020_000000	No need to repeat the story of the war begun that day; it has been so often told that it will only be touched upon here as one of the experiences of Christie's life, an experience which did for her what it did for all who took a share in it, and loyally acted their part.	No need to repeat the story of the war begun that day; it has been so often told that it will only be touched upon here as one of the experiences of Christie's life, an experience which did for her what it did for all who took a share in it, and loyally acted their part.	false	346.19	362.44	14
3853_163249_000021_000000	The North woke up from its prosperous lethargy, and began to stir with the ominous hum of bees when rude hands shake the hive.	The North woke up from its prosperous lethargy, and began to stir with the ominous hum of bees when rude hands shake the hive.	true	362.84	370.53	14
3853_163249_000021_000001	Rich and poor were proud to prove that they loved their liberty better than their money or their lives, and the descendants of the brave old Puritans were worthy of their race.	Rich and poor were proud to prove that they loved their liberty better than their money or their lives, and the descendants of the brave old Puritans were worthy of their race.	true	370.53	380.77	14
3853_163249_000021_000002	Many said: "It will soon be over;" but the wise men, who had warned in vain, shook their heads, as that first disastrous summer showed that the time for compromise was past, and the stern reckoning day of eternal justice was at hand.	Many said: "It will soon be over;" but the wise men, who had warned in vain, shook their heads, as that first disastrous summer showed that the time for compromise was past, and the stern reckoning day of eternal justice was at hand.	false	381.02	395.05	14
3853_163249_000022_000000	To no home in the land did the great trouble bring a more sudden change than the little cottage in the lane.	To no home in the land did the great trouble bring a more sudden change than the little cottage in the lane.	true	395.6	401.35	13
3853_163249_000022_000001	All its happy peace was broken; excitement and anxiety, grief and indignation, banished the sweet home joys and darkened the future that had seemed so clear. David was sober enough now, and went about his work with a grim set to his lips, and a spark in his eyes that made the three women look at one another pale with unspoken apprehension.	All its happy peace was broken; excitement and anxiety, grief and indignation, banished the sweet home joys and darkened the future that had seemed so clear. David was sober enough now, and went about his work with a grim set to his lips, and a spark in his eyes that made the three women look at one another pale with unspoken apprehension.	true	401.57	422.53	14
3853_163249_000022_000002	As they sat together, picking lint or rolling bandages while David read aloud some dismal tale of a lost battle that chilled their blood and made their hearts ache with pity, each woman, listening to the voice that stirred her like martial music, said within herself: "Sooner or later he will go, and I have no right to keep him." Each tried to be ready to make her sacrifice bravely when the time came, and each prayed that it might not be required of her.	As they sat together, picking lint or rolling bandages while David read aloud some dismal tale of a lost battle that chilled their blood and made their hearts ache with pity, each woman, listening to the voice that stirred her like martial music, said within herself: "Sooner or later he will go, and I have no right to keep him." Each tried to be ready to make her sacrifice bravely when the time came, and each prayed that it might not be required of her.	false	422.9	449.5	14
3853_163249_000023_000000	David said little, but they knew by the way he neglected his garden and worked for the soldiers, that his heart was in the war.	David said little, but they knew by the way he neglected his garden and worked for the soldiers, that his heart was in the war.	false	450.23	456.97	14
3853_163249_000023_000001	Day after day he left Christie and his sister to fill the orders that came so often now for flowers to lay on the grave of some dear, dead boy brought home to his mother in a shroud.	Day after day he left Christie and his sister to fill the orders that came so often now for flowers to lay on the grave of some dear, dead boy brought home to his mother in a shroud.	false	457.25	466.99	12
3853_163249_000023_000002	Day after day he hurried away to help Mr. Power in the sanitary work that soon claimed all hearts and hands; and, day after day, he came home with what Christie called the "heroic look" more plainly written on his face. All that first summer, so short and strange; all that first winter, so long and hard to those who went and those who stayed, David worked and waited, and the women waxed strong in the new atmosphere of self-sacrifice which pervaded the air, bringing out the sturdy virtues of the North.	Day after day he hurried away to help mr Power in the sanitary work that soon claimed all hearts and hands; and, day after day, he came home with what Christie called the "heroic look" more plainly written on his face. All that first summer, so short and strange; all that first winter, so long and hard to those who went and those who stayed, David worked and waited, and the women waxed strong in the new atmosphere of self sacrifice which pervaded the air, bringing out the sturdy virtues of the North.	true	467.39	498.82	15
3853_163249_000024_000000	"How terrible!	"How terrible!	true	500	501.045	22.060282
3853_163249_000024_000001	Oh, when will it be over!" sighed Letty one day, after hearing a long list of the dead and wounded in one of the great battles of that second summer.	Oh, when will it be over!" sighed Letty one day, after hearing a long list of the dead and wounded in one of the great battles of that second summer.	false	501.045	508.93	13
3853_163249_000025_000000	"Never till we have beaten!" cried David, throwing down the paper and walking about the room with his head up like a war-horse who smells powder.	"Never till we have beaten!" cried David, throwing down the paper and walking about the room with his head up like a war horse who smells powder.	true	509.33	517.03	15
3853_163249_000025_000001	"It is terrible and yet glorious.	"It is terrible and yet glorious.	true	517.25	519.45	18
3853_163249_000025_000002	I thank heaven I live to see this great wrong righted, and only wish I could do my share like a man."	I thank heaven I live to see this great wrong righted, and only wish I could do my share like a man."	true	519.45	525.18	13
3853_163249_000026_000000	"That is natural; but there are plenty of men who have fewer ties than you, who can fight better, and whose places are easier to fill than yours if they die," said Christie, hastily.	"That is natural; but there are plenty of men who have fewer ties than you, who can fight better, and whose places are easier to fill than yours if they die," said Christie, hastily.	false	525.18	535.84	12
3853_163249_000027_000000	"But the men who have most to lose fight best they say; and to my thinking a soldier needs a principle as well as a weapon, if he is to do real service."	"But the men who have most to lose fight best they say; and to my thinking a soldier needs a principle as well as a weapon, if he is to do real service."	false	536.12	544.24	11
3853_163249_000028_000000	"As the only son of a widow, you can't be drafted: that's one comfort," said Letty, who could not bear to give up the brother lost to her for so many years.	"As the only son of a widow, you can't be drafted: that's one comfort," said Letty, who could not bear to give up the brother lost to her for so many years.	true	544.88	552.94	13
3853_163249_000029_000000	"I should not wait for that, and I know mother would give her widow's mite if she saw that it was needed."	"I should not wait for that, and I know mother would give her widow's mite if she saw that it was needed."	true	553.4	558.76	19
3853_163249_000030_000000	"Yes, Davy." The soft, old voice answered steadily; but the feeble hand closed instinctively on the arm of this only son, who was so dear to her.	"Yes, Davy." The soft, old voice answered steadily; but the feeble hand closed instinctively on the arm of this only son, who was so dear to her.	false	559.25	568.81	16
3853_163249_000030_000001	David held it close in both of his, saying gratefully: "Thank you, mother;" then, fixing his eyes on the younger yet not dearer women, he added with a ring in his voice that made their hearts answer with a prompt "Ay, ay!" in spite of love or fear:	David held it close in both of his, saying gratefully: "Thank you, mother;" then, fixing his eyes on the younger yet not dearer women, he added with a ring in his voice that made their hearts answer with a prompt "Ay, ay!" in spite of love or fear:	false	568.97	584.17	17.588827
3853_163249_000031_000000	"Now listen, you dear souls, and understand that, if I do this thing, I shall not do it hastily, nor without counting well the cost.	"Now listen, you dear souls, and understand that, if I do this thing, I shall not do it hastily, nor without counting well the cost.	true	584.48	592.84	14
3853_163249_000031_000001	My first and most natural impulse was to go in the beginning; but I stayed for your sakes.	My first and most natural impulse was to go in the beginning; but I stayed for your sakes.	true	592.94	598.45	15
3853_163249_000031_000002	I saw I was not really needed: I thought the war would soon be over, and those who went then could do the work.	I saw I was not really needed: I thought the war would soon be over, and those who went then could do the work.	false	598.55	604.68	17
3853_163249_000031_000003	You see how mistaken we were, and God only knows when the end will come.	You see how mistaken we were, and God only knows when the end will come.	true	604.68	608.8	16
3853_163249_000031_000004	The boys--bless their brave hearts!--have done nobly, but older men are needed now.	The boys-bless their brave hearts!--have done nobly, but older men are needed now.	true	609.02	613.905	17
3853_163249_000031_000005	We cannot sacrifice all the gallant lads; and we who have more to lose than they must take our turn and try to do as well.	We cannot sacrifice all the gallant lads; and we who have more to lose than they must take our turn and try to do as well.	true	613.905	620.68	11
3853_163249_000031_000006	You own this; I see it in your faces: then don't hold me back when the time comes for me to go.	You own this; I see it in your faces: then don't hold me back when the time comes for me to go.	true	620.87	626.74	16
3853_163249_000031_000007	I must do my part, however small it is, or I shall never feel as if I deserved the love you give me.	I must do my part, however small it is, or I shall never feel as if I deserved the love you give me.	true	626.93	632.68	13
3853_163249_000031_000008	You will let me go, I am sure, and not regret that I did what seemed to me a solemn duty, leaving the consequences to the Lord!"	You will let me go, I am sure, and not regret that I did what seemed to me a solemn duty, leaving the consequences to the Lord!"	false	632.87	641.94	20.156961
3853_163249_000032_000000	"Yes, David," sister and sweetheart answered, bravely forgetting in the fervor of the moment what heavy consequences God might see fit to send.	"Yes, David," sister and sweetheart answered, bravely forgetting in the fervor of the moment what heavy consequences God might see fit to send.	true	641.94	650.65	21.413101
3853_163249_000033_000000	"Good!	"Good!	true	651.2	651.885	21.338236
3853_163249_000033_000001	I knew my Spartans would be ready, and I won't disgrace them. I've waited more than a year, and done what I could.	I knew my Spartans would be ready, and I won't disgrace them. I've waited more than a year, and done what I could.	true	651.885	658.125	19
3853_163249_000033_000002	But all the while I felt that I was going to get a chance at the hard work, and I've been preparing for it.	But all the while I felt that I was going to get a chance at the hard work, and I've been preparing for it.	false	658.125	663.64	21.42418
3853_163249_000033_000003	Bennet will take the garden and green-house off my hands this autumn for a year or longer, if I like.	Bennet will take the garden and green house off my hands this autumn for a year or longer, if I like.	false	663.71	669.43	17
3853_163249_000033_000004	He's a kind, neighborly man, and his boy will take my place about the house and protect you faithfully.	He's a kind, neighborly man, and his boy will take my place about the house and protect you faithfully.	true	669.47	675.4	22.159353
3853_163249_000033_000005	Mr. Power cannot be spared to go as chaplain, though he longs to desperately; so he is near in case of need, and with your two devoted daughters by you, mother, I surely can be spared for a little while."	mr Power cannot be spared to go as chaplain, though he longs to desperately; so he is near in case of need, and with your two devoted daughters by you, mother, I surely can be spared for a little while."	false	675.59	688.15	21
3853_163249_000034_000000	"Only one daughter near her, David: I shall enlist when you do," said Christie, resolutely.	"Only one daughter near her, David: I shall enlist when you do," said Christie, resolutely.	true	689.03	694.27	18.92498
3853_163249_000035_000000	"You mean it?"	"You mean it?"	true	694.58	695.56	26.096622
3853_163249_000036_000000	"I mean it as honestly as you do.	"I mean it as honestly as you do.	true	695.81	697.96	22
3853_163249_000036_000001	I knew you would go: I saw you getting ready, and I made up my mind to follow.	I knew you would go: I saw you getting ready, and I made up my mind to follow.	true	698.18	702.58	17
3853_163249_000036_000002	I, too, have prepared for it, and even spoken to Mrs. Amory.	I, too, have prepared for it, and even spoken to mrs Amory.	true	702.65	706.72	22
3853_163249_000036_000003	She has gone as matron of a hospital, and promised to find a place for me when I was ready.	She has gone as matron of a hospital, and promised to find a place for me when I was ready.	true	706.79	711.55	17
3853_163249_000036_000004	The day you enlist I shall write and tell her I am ready."	The day you enlist I shall write and tell her I am ready."	false	711.71	715.23	20
3853_163249_000037_000000	There was fire in Christie's eyes and a flush on her cheek now, as she stood up with the look of a woman bent on doing well her part. David caught her hands in his, regardless of the ominous bandages they held, and said, with tender admiration and reproach in his voice:	There was fire in Christie's eyes and a flush on her cheek now, as she stood up with the look of a woman bent on doing well her part. David caught her hands in his, regardless of the ominous bandages they held, and said, with tender admiration and reproach in his voice:	false	715.23	731.62	20.674248
3853_163249_000038_000000	"You wouldn't marry me when I asked you this summer, fearing you would be a burden to me; but now you want to share hardship and danger with me, and support me by the knowledge of your nearness. Dear, ought I to let you do it?"	"You wouldn't marry me when I asked you this summer, fearing you would be a burden to me; but now you want to share hardship and danger with me, and support me by the knowledge of your nearness. Dear, ought I to let you do it?"	false	731.81	744.73	20.734125
3853_163249_000039_000000	"You will let me do it, and in return I will marry you whenever you ask me," answered Christie, sealing the promise with a kiss that silenced him.	"You will let me do it, and in return I will marry you whenever you ask me," answered Christie, sealing the promise with a kiss that silenced him.	true	745.52	753.43	19
3853_163249_000040_000000	He had been anxious to be married long ago, but when he asked Mr. Power to make him happy, a month after his engagement, that wise friend said to them:	He had been anxious to be married long ago, but when he asked mr Power to make him happy, a month after his engagement, that wise friend said to them:	false	754.04	762.78	19.670362
3853_163249_000041_000000	"I don't advise it yet.	"I don't advise it yet.	true	762.78	764.38	19.937672
3853_163249_000041_000001	You have tried and proved one another as friends, now try and prove one another as lovers; then, if you feel that all is safe and happy, you will be ready for the greatest of the three experiments, and then in God's name marry."	You have tried and proved one another as friends, now try and prove one another as lovers; then, if you feel that all is safe and happy, you will be ready for the greatest of the three experiments, and then in God's name marry."	false	764.39	776.53	18
3853_163249_000042_000000	"We will," they said, and for a year had been content, studying one another, finding much to love, and something to learn in the art of bearing and forbearing.	"We will," they said, and for a year had been content, studying one another, finding much to love, and something to learn in the art of bearing and forbearing.	true	776.93	785.47	15
3853_163249_000043_000000	David had begun to think they had waited long enough, but Christie still delayed, fearing she was not worthy, and secretly afflicted by the thought of her poverty.	David had begun to think they had waited long enough, but Christie still delayed, fearing she was not worthy, and secretly afflicted by the thought of her poverty.	false	785.96	794.95	20.468744
3853_163249_000043_000001	She had so little to give in return for all she received that it troubled her, and she was sometimes tempted to ask Uncle Enos for a modest marriage portion.	She had so little to give in return for all she received that it troubled her, and she was sometimes tempted to ask Uncle Enos for a modest marriage portion.	false	795.29	804.16	19.991053
3853_163249_000043_000002	She never had yet, and now resolved to ask nothing, but to earn her blessing by doing her share in the great work.	She never had yet, and now resolved to ask nothing, but to earn her blessing by doing her share in the great work.	true	804.35	810.94	21
3853_163249_000044_000000	"I shall remember that," was all David answered to that last promise of hers, and three months later he took her at her word.	"I shall remember that," was all David answered to that last promise of hers, and three months later he took her at her word.	true	811.88	819.07	20.146189
3853_163249_000045_000000	For a week or two they went on in the old way; Christie did her housework with her head full of new plans, read books on nursing, made gruel, plasters, and poultices, till Mrs. Sterling pronounced her perfect; and dreamed dreams of a happy time to come when peace had returned, and David was safe at home with all the stars and bars a man could win without dying for them.	For a week or two they went on in the old way; Christie did her housework with her head full of new plans, read books on nursing, made gruel, plasters, and poultices, till mrs Sterling pronounced her perfect; and dreamed dreams of a happy time to come when peace had returned, and David was safe at home with all the stars and bars a man could win without dying for them.	true	820.25	842.47	18
3853_163249_000046_000000	David set things in order, conferred with Bennet, petted his womankind, and then hurried away to pack boxes of stores, visit camps, and watch departing regiments with a daily increasing certainty that his time had come.	David set things in order, conferred with Bennet, petted his womankind, and then hurried away to pack boxes of stores, visit camps, and watch departing regiments with a daily increasing certainty that his time had come.	false	842.72	855.52	20
3853_163249_000047_000000	One September day he went slowly home, and, seeing Christie in the garden, joined her, helped her finish matting up some delicate shrubs, put by the tools, and when all was done said with unusual gentleness:	One September day he went slowly home, and, seeing Christie in the garden, joined her, helped her finish matting up some delicate shrubs, put by the tools, and when all was done said with unusual gentleness:	false	857.09	870.28	19
3853_163249_000048_000000	"Come and walk a little in the lane."	"Come and walk a little in the lane."	true	871.04	873.16	22.920555
3853_163249_000049_000000	She put her arm in his, and answered quickly:	She put her arm in his, and answered quickly:	true	873.68	876.22	20.960794
3853_163249_000050_000000	"You've something to tell me: I see it in your face."	"You've something to tell me: I see it in your face."	true	876.32	879.16	20.524536
3853_163249_000051_000000	"Dear, I must go."	"Dear, I must go."	true	879.53	881.02	22.370716
3853_163249_000052_000000	"Yes, David."	"Yes, David."	true	881.48	882.61	22.7727
3853_163249_000053_000000	"And you?"	"And you?"	false	882.8	883.98	23.599684
3853_163249_000054_000000	"I go too."	"I go too."	true	883.98	884.92	24.470396
3853_163249_000055_000000	"Yes, Christie."	"Yes, Christie."	true	885.32	886.45	21.163723
3853_163249_000056_000000	That was all: she did not offer to detain him now; he did not deny her right to follow.	That was all: she did not offer to detain him now; he did not deny her right to follow.	true	886.97	893.23	20.404285
3853_163249_000056_000001	They looked each other bravely in the face a moment, seeing, acknowledging the duty and the danger, yet ready to do the one and dare the other, since they went together.	They looked each other bravely in the face a moment, seeing, acknowledging the duty and the danger, yet ready to do the one and dare the other, since they went together.	false	893.54	903.73	20.987082
3853_163249_000056_000002	Then shoulder to shoulder, as if already mustered in, these faithful comrades marched to and fro, planning their campaign.	Then shoulder to shoulder, as if already mustered in, these faithful comrades marched to and fro, planning their campaign.	false	904.37	912.16	19.656528
3853_163249_000057_000000	Next evening, as Mrs. Sterling sat alone in the twilight, a tall man in army blue entered quietly, stood watching the tranquil figure for a moment, then went and knelt down beside it, saying, with a most unsoldierly choke in the voice:	Next evening, as mrs Sterling sat alone in the twilight, a tall man in army blue entered quietly, stood watching the tranquil figure for a moment, then went and knelt down beside it, saying, with a most unsoldierly choke in the voice:	false	912.77	926.77	20
3853_163249_000058_000000	"I've done it, mother: tell me you're not sorry."	"I've done it, mother: tell me you're not sorry."	true	927.32	930.28	25.460857
3853_163249_000059_000000	But the little Quaker cap went down on the broad shoulder, and the only answer he heard was a sob that stirred the soft folds over the tender old heart that clung so closely to the son who had lived for her so long.	But the little Quaker cap went down on the broad shoulder, and the only answer he heard was a sob that stirred the soft folds over the tender old heart that clung so closely to the son who had lived for her so long.	true	931.16	943.42	16
3853_163249_000059_000001	What happened in the twilight no one ever knew; but David received promotion for bravery in a harder battle than any he was going to, and from his mother's breast a decoration more precious to him than the cross of the Legion of Honor from a royal hand.	What happened in the twilight no one ever knew; but David received promotion for bravery in a harder battle than any he was going to, and from his mother's breast a decoration more precious to him than the cross of the Legion of Honor from a royal hand.	true	943.88	958.66	17
3853_163249_000060_000000	When Mr. Power presently came in, followed by the others, they found their soldier standing very erect in his old place on the rug, with the firelight gleaming on his bright buttons, and Bran staring at him with a perplexed aspect; for the uniform, shorn hair, trimmed beard, and a certain lofty carriage of the head so changed his master that the sagacious beast was disturbed.	When mr Power presently came in, followed by the others, they found their soldier standing very erect in his old place on the rug, with the firelight gleaming on his bright buttons, and Bran staring at him with a perplexed aspect; for the uniform, shorn hair, trimmed beard, and a certain lofty carriage of the head so changed his master that the sagacious beast was disturbed.	true	959.69	982.06	20
3853_163249_000061_000000	Letty smiled at him approvingly, then went to comfort her mother who could not recover her tranquillity so soon.	Letty smiled at him approvingly, then went to comfort her mother who could not recover her tranquillity so soon.	true	982.4	989.08	21
3853_163249_000061_000001	But Christie stood aloof, looking at her lover with something more than admiration in the face that kindled beautifully as she exclaimed:	But Christie stood aloof, looking at her lover with something more than admiration in the face that kindled beautifully as she exclaimed:	true	989.12	996.58	20
3853_163249_000062_000000	"O David, you are splendid!	"O David, you are splendid!	true	996.86	999.04	22.096916
3853_163249_000062_000001	Once I was so blind I thought you plain; but now my 'boy in blue' is the noblest looking man I ever saw.	Once I was so blind I thought you plain; but now my 'boy in blue' is the noblest looking man I ever saw.	true	999.05	1005.25	16
3853_163249_000062_000002	Yes, Mr. Power, I've found my hero at last!	Yes, mr Power, I've found my hero at last!	true	1005.38	1008.71	23.627092
3853_163249_000062_000003	Here he is, my knight without reproach or fear, going out to take his part in the grandest battle ever fought.	Here he is, my knight without reproach or fear, going out to take his part in the grandest battle ever fought.	true	1008.71	1015.18	21
3853_163249_000062_000004	I wouldn't keep him if I could; I'm glad and proud to have him go; and if he never should come back to me I can bear it better for knowing that he dutifully did his best, and left the consequences to the Lord."	I wouldn't keep him if I could; I'm glad and proud to have him go; and if he never should come back to me I can bear it better for knowing that he dutifully did his best, and left the consequences to the Lord."	false	1015.22	1026.91	22
