6313_76958_000001_000000	CHAPTER IV	CHAPTER four
6313_76958_000071_000000	By the time the cowmen and Pony Riders had refreshed themselves at the spring near which the outfit had camped, a steaming hot breakfast had been spread on the ground, with a slicker for a table cloth.	By the time the cowmen and Pony Riders had refreshed themselves at the spring near which the outfit had camped, a steaming hot breakfast had been spread on the ground, with a slicker for a table cloth.
6313_76958_000073_000000	"You boys don't have to swallow your food whole," smiled the foreman, observing that the Pony Riders seemed to think they were expected to hurry through their meal as well.	"You boys don't have to swallow your food whole," smiled the foreman, observing that the Pony Riders seemed to think they were expected to hurry through their meal as well.
6313_76958_000073_000001	"Those fellows have to go out.	"Those fellows have to go out.
6313_76958_000073_000002	Take your time.	Take your time.
6313_76958_000073_000003	The fourth guard has to eat yet, so there is plenty of time. How did you all sleep?"	The fourth guard has to eat yet, so there is plenty of time. How did you all sleep?"
6313_76958_000074_000000	"Fine," chorused the boys.	"Fine," chorused the boys.
6313_76958_000075_000000	"And you, Mr. Professor?"	"And you, mr Professor?"
6313_76958_000076_000000	"Surprisingly well.	"Surprisingly well.
6313_76958_000076_000001	It is astonishing with how little a man can get along when he has to."	It is astonishing with how little a man can get along when he has to."
6313_76958_000077_000000	"Who is the wrangler this morning?" asked the foreman, glancing about at his men.	"Who is the wrangler this morning?" asked the foreman, glancing about at his men.
6313_76958_000078_000000	"I am," spoke up Shorty Savage promptly.	"I am," spoke up Shorty Savage promptly.
6313_76958_000079_000000	"Wrangler?	"Wrangler?
6313_76958_000079_000001	What's a wrangler?" demanded Stacy, delaying the progress of a large slice of bacon, which hung suspended from the fork half-way between plate and mouth.	What's a wrangler?" demanded Stacy, delaying the progress of a large slice of bacon, which hung suspended from the fork half-way between plate and mouth.
6313_76958_000080_000000	"A wrangler's a wrangler," answered Big-foot stolidly.	"A wrangler's a wrangler," answered Big foot stolidly.
6313_76958_000081_000000	"He's a fellow who's all the time making trouble, isn't he?" asked Stacy innocently.	"He's a fellow who's all the time making trouble, isn't he?" asked Stacy innocently.
6313_76958_000082_000000	"Oh, no, this kind of a wrangler isn't," laughed the foreman.	"Oh, no, this kind of a wrangler isn't," laughed the foreman.
6313_76958_000082_000002	The horse wrangler is the fellow who goes out and rounds up the ponies.	The horse wrangler is the fellow who goes out and rounds up the ponies.
6313_76958_000082_000003	Sometimes he does it in the middle of the night when the thunder and lightning are smashing about him like all possessed, and the cattle are on the rampage.	Sometimes he does it in the middle of the night when the thunder and lightning are smashing about him like all possessed, and the cattle are on the rampage.
6313_76958_000082_000004	He's a trouble-curer, not a troublemaker, except for himself."	He's a trouble curer, not a troublemaker, except for himself."
6313_76958_000083_000000	"I guess there are some words that aren't in the dictionary," laughed Tad.	"I guess there are some words that aren't in the dictionary," laughed Tad.
6313_76958_000084_000000	"I think you will find them all there, Master Tad, if you will consult the big book," said the Professor.	"I think you will find them all there, Master Tad, if you will consult the big book," said the Professor.
6313_76958_000085_000000	The meal was soon finished, Pong having stood rubbing his palms, a happy smile on his face, during the time they were eating.	The meal was soon finished, Pong having stood rubbing his palms, a happy smile on his face, during the time they were eating.
6313_76958_000086_000000	"A very fine breakfast, sir," announced the Professor, looking up at the Chinaman.	"A very fine breakfast, sir," announced the Professor, looking up at the Chinaman.
6313_76958_000088_000000	"What do you mean?" asked Ned Rector.	"What do you mean?" asked Ned Rector.
6313_76958_000089_000000	"Pong, tell the young gentlemen what would become of you if you were to serve bad meals to this outfit of cowpunchers."	"Pong, tell the young gentlemen what would become of you if you were to serve bad meals to this outfit of cowpunchers."
6313_76958_000090_000000	The Chinaman showed two rows of white teeth in his expansive grin.	The Chinaman showed two rows of white teeth in his expansive grin.
6313_76958_000091_000000	"Allee same likee this," he explained.	"Allee same likee this," he explained.
6313_76958_000092_000000	"How?" asked Tad.	"How?" asked Tad.
6313_76958_000093_000000	Pong, going through the motions of drawing a gun from his belt, and puffing out his cheeks, uttered an explosive "pouf!"	Pong, going through the motions of drawing a gun from his belt, and puffing out his cheeks, uttered an explosive "pouf!"
6313_76958_000094_000000	"Oh, you mean they would shoot you?" asked Walter.	"Oh, you mean they would shoot you?" asked Walter.
6313_76958_000094_000001	"I hardly think they would do that, Pong."	"I hardly think they would do that, Pong."
6313_76958_000096_000000	"I guess we are pretty sure of having real food to eat, then," laughed Tad, as the boys rose from the table ready for the active work of the day.	"I guess we are pretty sure of having real food to eat, then," laughed Tad, as the boys rose from the table ready for the active work of the day.
6313_76958_000097_000000	"We will now get to work on the herd," announced the foreman.	"We will now get to work on the herd," announced the foreman.
6313_76958_000097_000001	"We had better start the drive this morning.	"We had better start the drive this morning.
