6241_61943_000002_000000	CHAPTER 6	CHAPTER six
6241_61943_000026_000000	Out of three rooms of which his house was composed, two were placed at our service, and in a few hours we were installed with all our baggage, the amount of which rather astonished the simple inhabitants of Reykjavik.	Out of three rooms of which his house was composed, two were placed at our service, and in a few hours we were installed with all our baggage, the amount of which rather astonished the simple inhabitants of Reykjavik.
6241_61943_000028_000000	"How the worse difficulty over?" I cried in fresh amazement.	"How the worse difficulty over?" I cried in fresh amazement.
6241_61943_000029_000001	Here we are in Iceland.	Here we are in Iceland.
6241_61943_000030_000000	"Well, sir, to a certain extent you are right.	"Well, sir, to a certain extent you are right.
6241_61943_000030_000001	We have only to go down--but, as far as I am concerned, that is not the question.	We have only to go down-but, as far as I am concerned, that is not the question.
6241_61943_000030_000002	I want to know how we are to get up again."	I want to know how we are to get up again."
6241_61943_000031_000000	"That is the least part of the business, and does not in any way trouble me.	"That is the least part of the business, and does not in any way trouble me.
6241_61943_000031_000002	I am about to visit the public library.	I am about to visit the public library.
6241_61943_000031_000004	I shall be glad to consult them."	I shall be glad to consult them."
6241_61943_000032_000000	"In the meanwhile," I replied, "I will take a walk through the town. Will you not likewise do so?"	"In the meanwhile," I replied, "I will take a walk through the town. Will you not likewise do so?"
6241_61943_000033_000001	"What for me is curious in this island, is not what is above the surface, but what is below."	"What for me is curious in this island, is not what is above the surface, but what is below."
6241_61943_000034_000000	I bowed by way of reply, put on my hat and furred cloak, and went out.	I bowed by way of reply, put on my hat and furred cloak, and went out.
6241_61943_000035_000001	The town lies on a flat and marshy plain, between two hills.	The town lies on a flat and marshy plain, between two hills.
6241_61943_000035_000002	A vast field of lava skirts it on one side, falling away in terraces towards the sea.	A vast field of lava skirts it on one side, falling away in terraces towards the sea.
6241_61943_000035_000005	They were now, however, absent on duty.	They were now, however, absent on duty.
6241_61943_000036_000002	The other street, situated more to the west, runs toward a little lake between the residences of the bishop and the other personages not engaged in commerce.	The other street, situated more to the west, runs toward a little lake between the residences of the bishop and the other personages not engaged in commerce.
6241_61943_000037_000000	I had soon seen all I wanted of these weary and dismal thoroughfares. Here and there was a strip of discolored turf, like an old worn-out bit of woolen carpet; and now and then a bit of kitchen garden, in which grew potatoes, cabbage, and lettuce, almost diminutive enough to suggest the idea of Lilliput.	I had soon seen all I wanted of these weary and dismal thoroughfares. Here and there was a strip of discolored turf, like an old worn out bit of woolen carpet; and now and then a bit of kitchen garden, in which grew potatoes, cabbage, and lettuce, almost diminutive enough to suggest the idea of Lilliput.
6241_61943_000038_000000	In the centre of the new commercial street, I found the public cemetery, enclosed by an earthen wall.	In the centre of the new commercial street, I found the public cemetery, enclosed by an earthen wall.
6241_61943_000038_000001	Though not very large, it appeared not likely to be filled for centuries.	Though not very large, it appeared not likely to be filled for centuries.
6241_61943_000038_000004	I have not the slightest doubt that in high winds its red tiles were blown out, to the great annoyance of the pastor and congregation.	I have not the slightest doubt that in high winds its red tiles were blown out, to the great annoyance of the pastor and congregation.
6241_61943_000038_000005	Upon an eminence close at hand was the national school, in which were taught Hebrew, English, French, and Danish.	Upon an eminence close at hand was the national school, in which were taught Hebrew, English, French, and Danish.
6241_61943_000039_000000	In three hours my tour was complete.	In three hours my tour was complete.
6241_61943_000039_000002	No trees, no vegetation, so to speak--on all sides volcanic peaks--the huts of turf and earth--more like roofs than houses.	No trees, no vegetation, so to speak-on all sides volcanic peaks-the huts of turf and earth-more like roofs than houses.
6241_61943_000039_000004	I saw but few inhabitants during my excursion, but I met a crowd on the beach, drying, salting and loading codfish, the principal article of exportation.	I saw but few inhabitants during my excursion, but I met a crowd on the beach, drying, salting and loading codfish, the principal article of exportation.
6241_61943_000039_000005	The men appeared robust but heavy; fair-haired like Germans, but of pensive mien--exiles of a higher scale in the ladder of humanity than the Eskimos, but, I thought, much more unhappy, since with superior perceptions they are compelled to live within the limits of the Polar Circle.	The men appeared robust but heavy; fair haired like Germans, but of pensive mien-exiles of a higher scale in the ladder of humanity than the Eskimos, but, I thought, much more unhappy, since with superior perceptions they are compelled to live within the limits of the Polar Circle.
6241_61943_000040_000000	Sometimes they gave vent to a convulsive laugh, but by no chance did they smile.	Sometimes they gave vent to a convulsive laugh, but by no chance did they smile.
6241_61943_000040_000001	Their costume consists of a coarse capote of black wool, known in Scandinavian countries as the "vadmel," a broad-brimmed hat, trousers of red serge, and a piece of leather tied with strings for a shoe--a coarse kind of moccasin.	Their costume consists of a coarse capote of black wool, known in Scandinavian countries as the "vadmel," a broad brimmed hat, trousers of red serge, and a piece of leather tied with strings for a shoe-a coarse kind of moccasin.
