1919_142785_000000_000000	_Time_.--Altogether, 1/2 hour.	underscore Time underscore.--Altogether, one half hour.	false	63.21	66.58	22.486675
1919_142785_000020_000002	When they are a good colour, take them off the fire and let them cool; cut them in quarters, take out the seeds and pulp, and put them into cold water.	When they are a good colour, take them off the fire and let them cool; cut them in quarters, take out the seeds and pulp, and put them into cold water.	true	366.98	376.36	24.225561
1919_142785_000020_000003	Let them remain for 2 days, changing the water twice each day, to draw out the salt.	Let them remain for two days, changing the water twice each day, to draw out the salt.	true	377.09	382.36	26.596012
1919_142785_000020_000004	Put the sugar, with 1/4 pint of water, in a saucepan over the fire; remove the scum as it rises, and add the lemon-peel and ginger with the outside scraped off; when the syrup is tolerably thick, take it off the fire, and when _cold_, wipe the cucumbers _dry_, and put them in.	Put the sugar, with one quarter pint of water, in a saucepan over the fire; remove the scum as it rises, and add the lemon peel and ginger with the outside scraped off; when the syrup is tolerably thick, take it off the fire, and when underscore cold underscore, wipe the cucumbers underscore dry underscore, and put them in.	false	382.91	402.64	21.552301
1919_142785_000020_000005	Boil the syrup once in 2 or 3 days for 3 weeks; strengthen it if required, and let it be quite cold before the cucumbers are put in.	Boil the syrup once in two or three days for three weeks; strengthen it if required, and let it be quite cold before the cucumbers are put in.	true	403.13	412.33	24.389503
1919_142785_000020_000006	Great attention must be paid to the directions in the commencement of this recipe, as, if these are not properly carried out, the result will be far from satisfactory.	Great attention must be paid to the directions in the commencement of this recipe, as, if these are not properly carried out, the result will be far from satisfactory.	true	412.91	422.31	26
1919_142785_000021_000000	_Seasonable_.--This recipe should be used in June, July, or August.	underscore Seasonable underscore.--This recipe should be used in June, July, or August.	false	422.31	428.23	22.617838
1919_142785_000022_000000	[Illustration: SALT-MINE AT NORTHWICH.]	[Illustration: SALT MINE AT NORTHWICH.]	true	429.8	432.88	19.564802
1919_142785_000023_000000	COMMON SALT.--By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean.	COMMON SALT.--By this we mean salt used for cooking purposes, which is found in great abundance both on land and in the waters of the ocean.	true	433.52	442.36	21.064419
1919_142785_000023_000001	Sea or salt water, as it is often called, contains, it has been discovered, about three per cent, of salt on an average.	Sea or salt water, as it is often called, contains, it has been discovered, about three per cent, of salt on an average.	false	442.88	450.4	24
1919_142785_000023_000002	Solid rocks of salt are also found in various parts of the world, and the county of Chester contains many of these mines, and it is from there that much of our salt comes. Some springs are so highly impregnated with salt, as to have received the name of "brine" springs, and are supposed to have become so by passing through the salt rocks below ground, and thus dissolving a portion of this mineral substance.	Solid rocks of salt are also found in various parts of the world, and the county of Chester contains many of these mines, and it is from there that much of our salt comes. Some springs are so highly impregnated with salt, as to have received the name of "brine" springs, and are supposed to have become so by passing through the salt rocks below ground, and thus dissolving a portion of this mineral substance.	false	450.86	477.22	23.268494
1919_142785_000023_000003	We here give an engraving of a salt-mine at Northwich, Cheshire, where both salt-mines and brine-springs are exceedingly productive, and are believed to have been wrought so far back as during the occupation of Britain by the Romans.	We here give an engraving of a salt mine at Northwich, Cheshire, where both salt mines and brine springs are exceedingly productive, and are believed to have been wrought so far back as during the occupation of Britain by the romans.	true	477.86	491.11	24.60018
1919_142785_000024_000000	CUSTARD SAUCE FOR SWEET PUDDINGS OR TARTS.	CUSTARD SAUCE FOR SWEET PUDDINGS o r TARTS.	false	492.59	495.75	23.45945
1919_142785_000025_000000	404.	four hundred four.	false	495.75	498.15	15.379481
1919_142785_000025_000001	INGREDIENTS.--1 pint of milk, 2 eggs, 3 oz. of pounded sugar, 1 tablespoonful of brandy.	INGREDIENTS.-minus one pint of milk, two eggs, three ounces. of pounded sugar, one tablespoonful of brandy.	false	498.15	505.8	24.160334
1919_142785_000026_000000	_Mode_.--Put the milk in a very clean saucepan, and let it boil.	underscore Mode underscore.--Put the milk in a very clean saucepan, and let it boil.	false	505.8	511.39	20.428799
1919_142785_000026_000001	Beat the eggs, stir to them the milk and pounded sugar, and put the mixture into a jug.	Beat the eggs, stir to them the milk and pounded sugar, and put the mixture into a jug.	true	511.82	517.89	23.90973
1919_142785_000026_000002	Place the jug in a saucepan of boiling water; keep stirring well until it thickens, but do not allow it to boil, or it will curdle. Serve the sauce in a tureen, stir in the brandy, and grate a little nutmeg over the top.	Place the jug in a saucepan of boiling water; keep stirring well until it thickens, but do not allow it to boil, or it will curdle. Serve the sauce in a tureen, stir in the brandy, and grate a little nutmeg over the top.	true	517.89	531.7	21.121878
1919_142785_000026_000003	This sauce may be made very much nicer by using cream instead of milk; but the above recipe will be found quite good enough for ordinary purposes.	This sauce may be made very much nicer by using cream instead of milk; but the above recipe will be found quite good enough for ordinary purposes.	false	532.01	539.97	20
1919_142785_000027_000000	_Average cost_, 6d. per pint.	underscore Average cost underscore, six d. per pint.	false	539.97	544.02	25.215761
1919_142785_000028_000000	_Sufficient_, this quantity, for 2 fruit tarts, or 1 pudding.	underscore Sufficient underscore, this quantity, for two fruit tarts, or one pudding.	false	544.02	549.1	23.5737
1919_142785_000029_000000	DUTCH SAUCE FOR FISH.	DUTCH SAUCE FOR FISH.	true	550.28	551.91	23.516468
1919_142785_000030_000000	405.	four hundred five.	false	551.91	553.66	22.887445
1919_142785_000030_000001	INGREDIENTS.--1/2 teaspoonful of flour, 2 oz. of butter, 4 tablespoonfuls of vinegar, the yolks of 2 eggs, the juice of 1/2 lemon; salt to taste.	INGREDIENTS.-minus one half teaspoonful of flour, two ounces. of butter, four tablespoonfuls of vinegar, the yolks of two eggs, the juice of one half lemon; salt to taste.	false	554.18	565.98	22.716656
1919_142785_000031_000000	_Mode_.--Put all the ingredients, except the lemon-juice, into a stew-pan; set it over the fire, and keep continually stirring.	underscore Mode underscore.--Put all the ingredients, except the lemon juice, into a stew pan; set it over the fire, and keep continually stirring.	false	565.98	575.77	22.924868
1919_142785_000031_000001	When it is sufficiently thick, take it off, as it should not boil.	When it is sufficiently thick, take it off, as it should not boil.	true	576.17	580.09	23.006737
1919_142785_000031_000002	If, however, it happens to curdle, strain the sauce through a tammy, add the lemon-juice, and serve.	If, however, it happens to curdle, strain the sauce through a tammy, add the lemon juice, and serve.	true	580.49	586.48	19.754597
1919_142785_000031_000003	Tarragon vinegar may be used instead of plain, and, by many, is considered far preferable.	Tarragon vinegar may be used instead of plain, and, by many, is considered far preferable.	true	586.91	592.53	22
1919_142785_000032_000000	_Average cost_, 6d.	underscore Average cost underscore, six d.	false	592.53	595.92	21.982351
1919_142785_000033_000000	Note.--This sauce may be poured hot over salad, and left to get quite cold, when it should be thick, smooth, and somewhat stiff.	Note.--This sauce may be poured hot over salad, and left to get quite cold, when it should be thick, smooth, and somewhat stiff.	true	595.92	604.24	23.471464
1919_142785_000033_000001	Excellent salads may be made of hard eggs, or the remains of salt fish flaked nicely from the bone, by pouring over a little of the above mixture when hot, and allowing it to cool.	Excellent salads may be made of hard eggs, or the remains of salt fish flaked nicely from the bone, by pouring over a little of the above mixture when hot, and allowing it to cool.	true	604.55	615.4	21.30307
1919_142785_000034_000000	[Illustration: THE LEMON.]	[Illustration: THE LEMON.]	true	617.18	619.3	19.643602
1919_142785_000035_000000	THE LEMON.--This fruit is a native of Asia, and is mentioned by Virgil as an antidote to poison.	THE LEMON.--This fruit is a native of Asia, and is mentioned by Virgil as an antidote to poison.	true	620.21	626.8	19.614489
1919_142785_000035_000001	It is hardier than the orange, and, as one of the citron tribe, was brought into Europe by the Arabians.	It is hardier than the orange, and, as one of the citron tribe, was brought into Europe by the Arabians.	true	627.08	633.58	21.911379
1919_142785_000035_000002	The lemon was first cultivated in England in the beginning of the 17th century, and is now often to be found in our green-houses.	The lemon was first cultivated in England in the beginning of the seventeenth century, and is now often to be found in our green houses.	true	634.31	642.07	20
1919_142785_000035_000003	The kind commonly sold, however, is imported from Portugal, Spain, and the Azores.	The kind commonly sold, however, is imported from Portugal, Spain, and the Azores.	true	642.62	647.71	21
1919_142785_000035_000004	Some also come from St. Helena; but those from Spain are esteemed the best.	Some also come from saint Helena; but those from Spain are esteemed the best.	true	648.08	653.29	22.71955
1919_142785_000035_000005	Its juice is now an essential for culinary purposes; but as an antiscorbutic its value is still greater.	Its juice is now an essential for culinary purposes; but as an antiscorbutic its value is still greater.	false	653.6	661.66	22.330385
1919_142785_000035_000006	This juice, which is called _citric acid_, may be preserved in bottles for a considerable time, by covering it with a thin stratum of oil.	This juice, which is called underscore citric acid underscore, may be preserved in bottles for a considerable time, by covering it with a thin stratum of oil.	false	661.97	670.77	23
1919_142785_000035_000007	_Shrub_ is made from it with rum and sugar.	underscore Shrub underscore is made from it with rum and sugar.	false	670.77	674.17	19.977856
1919_142785_000036_000000	GREEN DUTCH SAUCE, or HOLLANDAISE VERTE.	GREEN DUTCH SAUCE, or HOLLANDAISE VERTE.	true	676.55	679.23	23.037123
1919_142785_000037_000000	406.	four hundred six.	false	679.23	681.19	21.703783
1919_142785_000037_000001	INGREDIENTS.--6 tablespoonfuls of Bechamel, No. 367, seasoning to taste of salt and cayenne, a little parsley-green to colour, the juice of 1/2 a lemon.	INGREDIENTS.-minus six tablespoonfuls of Bechamel, no three hundred sixty seven, seasoning to taste of salt and cayenne, a little parsley green to colour, the juice of one half a lemon.	false	681.71	694.71	22.955986
1919_142785_000038_000000	_Mode_.--Put the Bechamel into a saucepan with the seasoning, and bring it to a boil.	underscore Mode underscore.--Put the Bechamel into a saucepan with the seasoning, and bring it to a boil.	false	694.71	701.32	23.163542
1919_142785_000038_000001	Make a green colouring by pounding some parsley in a mortar, and squeezing all the juice from it.	Make a green colouring by pounding some parsley in a mortar, and squeezing all the juice from it.	true	701.75	707.38	20
1919_142785_000038_000002	Let this just simmer, when add it to the sauce.	Let this just simmer, when add it to the sauce.	false	707.87	711.64	23.951096
1919_142785_000038_000003	A moment before serving, put in the lemon-juice, but not before; for otherwise the sauce would turn yellow, and its appearance be thus spoiled.	A moment before serving, put in the lemon juice, but not before; for otherwise the sauce would turn yellow, and its appearance be thus spoiled.	false	712.01	720.21	21.914772
1919_142785_000039_000000	_Average cost_, 4d.	underscore Average cost underscore, four d.	false	720.21	725.82	21.950552
1919_142785_000040_000000	BECHAMEL SAUCE--This sauce takes its name from a Monsieur Bechamel, a rich French financier, who, according to Borne authorities, invented it; whilst others affirm he only patronized it.	BECHAMEL SAUCE-This sauce takes its name from a Monsieur Bechamel, a rich French financier, who, according to Borne authorities, invented it; whilst others affirm he only patronized it.	true	725.82	738.55	19.69364
1919_142785_000040_000001	Be this as it may, it is one of the most pleasant sauces which come to table, and should be most carefully and intelligently prepared.	Be this as it may, it is one of the most pleasant sauces which come to table, and should be most carefully and intelligently prepared.	false	738.95	747.06	21.329735
1919_142785_000040_000002	It is frequently used, as in the above recipe, as a principal ingredient and basis for other sauces.	It is frequently used, as in the above recipe, as a principal ingredient and basis for other sauces.	false	747.06	753.73	21
1919_142785_000041_000000	TO PICKLE EGGS.	TO PICKLE EGGS.	false	755.96	757.65	28.891317
1919_142785_000042_000000	407.	four hundred seven.	false	757.65	758.71	19.811872
1919_142785_000042_000001	INGREDIENTS.--16 eggs, 1 quart of vinegar, 1/2 oz. of Black pepper, 1/2 oz. of Jamaica pepper, 1/2 oz. of ginger.	INGREDIENTS.-minus sixteen eggs, one quart of vinegar, half an ounce. of Black pepper, half an ounce. of Jamaica pepper, half an ounce. of ginger.	false	759.32	769.89	23.343334
1919_142785_000043_000000	_Mode_.--Boil the eggs for 12 minutes, then dip them into cold water, and take off the shells.	underscore Mode underscore.--Boil the eggs for twelve minutes, then dip them into cold water, and take off the shells.	false	769.89	777.31	23.655228
1919_142785_000043_000001	Put the vinegar, with the pepper and ginger, into a stewpan, and let it simmer for 10 minutes.	Put the vinegar, with the pepper and ginger, into a stewpan, and let it simmer for ten minutes.	false	777.92	783.76	23.249945
1919_142785_000043_000002	Now place the eggs in a jar, pour over them the vinegar, &c., boiling hot, and, when cold, tie them down with bladder to exclude the air.	Now place the eggs in a jar, pour over them the vinegar, and c., boiling hot, and, when cold, tie them down with bladder to exclude the air.	false	783.95	793.93	24.08299
1919_142785_000043_000003	This pickle will be ready for use in a month.	This pickle will be ready for use in a month.	false	795.35	798.15	20.977543
1919_142785_000044_000000	_Average cost_, for this quantity, 1s. 9d.	underscore Average cost underscore, for this quantity, ones. nine d.	false	798.15	803.43	22.557295
1919_142785_000045_000000	_Seasonable_.--This should be made about Easter, as at this time eggs are plentiful and cheap.	underscore Seasonable underscore.--This should be made about Easter, as at this time eggs are plentiful and cheap.	false	803.43	810.37	23.660172
1919_142785_000045_000001	A store of pickled eggs will be found very useful and ornamental in serving with many first and second course dishes.	A store of pickled eggs will be found very useful and ornamental in serving with many first and second course dishes.	true	810.71	817.27	17
1919_142785_000046_000000	[Illustration: GINGER.]	[Illustration: GINGER.]	true	819.2	821.44	19.86129
1919_142785_000047_000000	The ginger-plant, known to naturalists as _Zingiber officinale_, is a native, of the East and West Indies.	The ginger plant, known to naturalists as underscore Zingiber officinale underscore, is a native, of the East and West Indies.	false	822.11	829.54	23.875881
1919_142785_000047_000001	It grows somewhat like the lily of the valley, but its height is about three feet.	It grows somewhat like the lily of the valley, but its height is about three feet.	true	829.82	835.21	25.232992
1919_142785_000047_000002	In Jamaica it flowers about August or September, fading about the end of the year.	In Jamaica it flowers about August or September, fading about the end of the year.	true	835.61	840.67	21.239548
1919_142785_000047_000003	The fleshy creeping roots, which form the ginger of commerce, are in a proper state to be dug when the stalks are entirely withered.	The fleshy creeping roots, which form the ginger of commerce, are in a proper state to be dug when the stalks are entirely withered.	true	841.79	849.94	23.796988
1919_142785_000047_000004	This operation is usually performed in January and February; and when the roots are taken out of the earth, each one is picked, scraped, separately washed, and afterwards very carefully dried.	This operation is usually performed in January and February; and when the roots are taken out of the earth, each one is picked, scraped, separately washed, and afterwards very carefully dried.	false	850.61	861.94	24.251429
1919_142785_000047_000005	Ginger is generally considered as less pungent and heating to the system than might he expected from its effects on the organs of taste, and it is frequently used, with considerable effect, as an anti-spasmodic and carminative.	Ginger is generally considered as less pungent and heating to the system than might he expected from its effects on the organs of taste, and it is frequently used, with considerable effect, as an anti spasmodic and carminative.	false	862.73	878.2	23.937601
1919_142785_000048_000000	EGG BALLS FOR SOUPS AND MADE DISHES.	EGG BALLS FOR SOUPS AND MADE DISHES.	true	880.16	883.02	25.564829
1919_142785_000049_000000	408.	four hundred eight.	false	883.02	884.8	27.183912
1919_142785_000049_000001	INGREDIENTS.--8 eggs, a little flour; seasoning to taste of salt.	INGREDIENTS.-minus eight eggs, a little flour; seasoning to taste of salt.	false	885.5	890.94	24.13264
1919_142785_000050_000000	_Mode_.--Boil 6 eggs for 20 minutes, strip off the shells, take the yolks and pound them in a mortar.	underscore Mode underscore.--Boil six eggs for twenty minutes, strip off the shells, take the yolks and pound them in a mortar.	false	890.94	899.62	24.01736
1919_142785_000050_000001	Beat the yolks of the other 2 eggs; add them, with a little flour and salt, to those pounded; mix all well together, and roll into balls.	Beat the yolks of the other two eggs; add them, with a little flour and salt, to those pounded; mix all well together, and roll into balls.	true	899.84	909.405	24.290924
1919_142785_000050_000002	Boil them before they are put into the soup or other dish they may be intended for.	Boil them before they are put into the soup or other dish they may be intended for.	true	909.405	913.95	21
1919_142785_000051_000000	_Time_.--20 minutes to boil the eggs.	underscore Time underscore.-minus twenty minutes to boil the eggs.	false	913.95	918.42	19.090712
1919_142785_000051_000001	_Average cost_, for this quantity, 8d.	underscore Average cost underscore, for this quantity, eight d.	false	918.42	922.14	24.266645
1919_142785_000052_000000	_Sufficient_, 2 dozen balls for 1 tureen of soup.	underscore Sufficient underscore, two dozen balls for one tureen of soup.	false	922.14	926.59	19.660301
1919_142785_000053_000000	EGG SAUCE FOR SALT FISH.	EGG SAUCE FOR SALT FISH.	true	928.34	930.18	21.570963
1919_142785_000054_000000	409.	four hundred nine.	false	930.18	931.54	18.346827
1919_142785_000054_000001	INGREDIENTS.--4 eggs, 1/2 pint of melted butter, No. 376; when liked, a very little lemon-juice.	INGREDIENTS.-minus four eggs, one half pint of melted butter, no three hundred seventy six; when liked, a very little lemon juice.	false	931.94	941.19	23.054232
1919_142785_000055_000000	_Mode_.--Boil the eggs until quite hard, which will be in about 20 minutes, and put them into cold water for 1/2 hour.	underscore Mode underscore.--Boil the eggs until quite hard, which will be in about twenty minutes, and put them into cold water for one half hour.	false	941.19	950.11	22.83398
1919_142785_000055_000001	Strip off the shells, chop the eggs into small pieces, not, however, too fine.	Strip off the shells, chop the eggs into small pieces, not, however, too fine.	true	950.6	955.81	24.407198
1919_142785_000055_000002	Make the melted butter very smoothly, by recipe No. 376, and, when boiling, stir in the eggs, and serve very hot.	Make the melted butter very smoothly, by recipe no three hundred seventy six, and, when boiling, stir in the eggs, and serve very hot.	false	956.3	964.21	22.386925
1919_142785_000055_000003	Lemon-juice may be added at pleasure.	Lemon juice may be added at pleasure.	true	964.67	966.81	27
1919_142785_000056_000000	_Time_.--20 minutes to boil the eggs.	underscore Time underscore.-minus twenty minutes to boil the eggs.	false	966.81	970.05	21.906216
1919_142785_000056_000001	_Average cost_, 8d.	underscore Average cost underscore, eight d.	false	970.05	972.24	23.683779
1919_142785_000057_000000	_Sufficient_.--This quantity for 3 or 4 lbs. of fish.	underscore Sufficient underscore.--This quantity for three or four pounds. of fish.	false	972.24	976.95	21.518843
1919_142785_000058_000000	_Note_.--When a thicker sauce is required, use one or two more eggs to the same quantity of melted butter.	underscore Note underscore.--When a thicker sauce is required, use one or two more eggs to the same quantity of melted butter.	false	976.95	984.16	23.60801
1919_142785_000059_000000	EPICUREAN SAUCE FOR STEAKS, CHOPS, GRAVIES, OR FISH.	EPICUREAN SAUCE FOR STEAKS, CHOPS, GRAVIES, o r FISH.	true	986.39	990.27	22.355047
1919_142785_000060_000000	410.	four hundred ten.	false	990.27	991.9	27.084488
1919_142785_000060_000001	INGREDIENTS.--1/4 pint of walnut ketchup, 1/4 pint of mushroom ditto, 2 tablespoonfuls of Indian soy, 2 tablespoonfuls of port wine; 1/4 oz. of white pepper, 2 oz. of shalots, 1/4 oz. of cayenne, 1/4 oz. of cloves, 3/4 pint of vinegar.	INGREDIENTS.-minus one quarter pint of walnut ketchup, one quarter pint of mushroom ditto, two tablespoonfuls of Indian soy, two tablespoonfuls of port wine; one quarter of an ounce. of white pepper, two ounces. of shalots, one quarter of an ounce. of cayenne, one quarter of an ounce. of cloves, three quarters pint of vinegar.	false	992.66	1014.3	23.66679
1919_142785_000061_000000	_Mode_.--Put the whole of the ingredients into a bottle, and let it remain for a fortnight in a warm place, occasionally shaking up the contents.	underscore Mode underscore.--Put the whole of the ingredients into a bottle, and let it remain for a fortnight in a warm place, occasionally shaking up the contents.	false	1014.3	1024.42	22.076813
1919_142785_000061_000001	Strain, and bottle off for use.	Strain, and bottle off for use.	true	1024.88	1026.97	22
1919_142785_000061_000002	This sauce will be found an agreeable addition to gravies, hashes, stews, &c.	This sauce will be found an agreeable addition to gravies, hashes, stews, and c.	false	1027.49	1033.02	21.187788
