3752_4944_000002_000000	CHAPTER XIV.	CHAPTER fourteen.
3752_4944_000042_000001	The Reverend Mr. North, in this cool atmosphere, seemed to recover himself, and conversation progressed with some sprightliness.	The Reverend mr North, in this cool atmosphere, seemed to recover himself, and conversation progressed with some sprightliness.
3752_4944_000044_000000	"Well, how's Forrest?" cried Burgess.	"Well, how's Forrest?" cried Burgess.
3752_4944_000044_000001	"Mr. Meekin--Dr.	"mr Meekin-dr
3752_4944_000046_000000	"Confound it--another of my best men," grumbled Burgess.	"Confound it-another of my best men," grumbled Burgess.
3752_4944_000046_000001	"Macklewain, have a glass of wine." But Macklewain was tired, and wanted to get home.	"Macklewain, have a glass of wine." But Macklewain was tired, and wanted to get home.
3752_4944_000047_000000	"I must also be thinking of repose," said Meekin; "the journey--though most enjoyable--has fatigued me."	"I must also be thinking of repose," said Meekin; "the journey-though most enjoyable-has fatigued me."
3752_4944_000049_000000	"You won't have a nip of brandy before you start?" asked Burgess.	"You won't have a nip of brandy before you start?" asked Burgess.
3752_4944_000050_000000	"No?	"No?
3752_4944_000050_000002	Good night.	Good night.
3752_4944_000050_000003	Macklewain, I want to speak with you a moment."	Macklewain, I want to speak with you a moment."
3752_4944_000051_000002	"Up at daylight, I suppose, again."	"Up at daylight, I suppose, again."
3752_4944_000052_000000	"Whom is he going to flog now?"	"Whom is he going to flog now?"
3752_4944_000053_000000	"That young butler-fellow of his." "What, Kirkland?" cried North.	"That young butler fellow of his." "What, Kirkland?" cried North.
3752_4944_000053_000001	"You don't mean to say he's going to flog Kirkland?"	"You don't mean to say he's going to flog Kirkland?"
3752_4944_000054_000001	"Fifty lashes."	"Fifty lashes."
3752_4944_000055_000000	"Oh, this must be stopped," cried North, in great alarm.	"Oh, this must be stopped," cried North, in great alarm.
3752_4944_000055_000001	"He can't stand it.	"He can't stand it.
3752_4944_000056_000000	"Perhaps you'll have the goodness to allow me to be the best judge of that," returned Macklewain, drawing up his little body to its least insignificant stature.	"Perhaps you'll have the goodness to allow me to be the best judge of that," returned Macklewain, drawing up his little body to its least insignificant stature.
3752_4944_000057_000000	"My dear sir," replied North, alive to the importance of conciliating the surgeon, "you haven't seen him lately.	"My dear sir," replied North, alive to the importance of conciliating the surgeon, "you haven't seen him lately.
3752_4944_000057_000001	He tried to drown himself this morning."	He tried to drown himself this morning."
3752_4944_000058_000000	Mr. Meekin expressed some alarm; but Dr. Macklewain re-assured him. "That sort of nonsense must be stopped," said he.	mr Meekin expressed some alarm; but dr Macklewain re assured him. "That sort of nonsense must be stopped," said he.
3752_4944_000058_000001	"A nice example to set.	"A nice example to set.
3752_4944_000058_000002	I wonder Burgess didn't give him a hundred."	I wonder Burgess didn't give him a hundred."
3752_4944_000059_000000	"He was put into the long dormitory," said North; "you know what sort of a place that is.	"He was put into the long dormitory," said North; "you know what sort of a place that is.
3752_4944_000060_000000	"Well, he'll be put into the hospital for a week or so to-morrow," said Macklewain, "and that'll give him a spell."	"Well, he'll be put into the hospital for a week or so to morrow," said Macklewain, "and that'll give him a spell."
3752_4944_000061_000000	"If Burgess flogs him I'll report it to the Governor," cries North, in great heat.	"If Burgess flogs him I'll report it to the Governor," cries North, in great heat.
3752_4944_000061_000001	"The condition of those dormitories is infamous."	"The condition of those dormitories is infamous."
3752_4944_000062_000000	"If the boy has anything to complain of, why don't he complain?	"If the boy has anything to complain of, why don't he complain?
3752_4944_000062_000001	We can't do anything without evidence."	We can't do anything without evidence."
3752_4944_000063_000000	"Complain!	"Complain!
3752_4944_000063_000002	Besides, he's not the sort of creature to complain.	Besides, he's not the sort of creature to complain.
3752_4944_000063_000003	He'd rather kill himself."	He'd rather kill himself."
3752_4944_000064_000002	I can't help it.	I can't help it.
3752_4944_000064_000003	The boy's made his bed, and he must lie on it."	The boy's made his bed, and he must lie on it."
3752_4944_000065_000000	"I'll go back and see Burgess," said North.	"I'll go back and see Burgess," said North.
3752_4944_000065_000001	"Mr. Meekin, here's the gate, and your room is on the right hand.	"mr Meekin, here's the gate, and your room is on the right hand.
3752_4944_000065_000002	I'll be back shortly."	I'll be back shortly."
3752_4944_000066_000000	"Pray, don't hurry," said Meekin politely.	"Pray, don't hurry," said Meekin politely.
3752_4944_000066_000002	Everything must give way to that.	Everything must give way to that.
3752_4944_000066_000003	I shall find my portmanteau in my room, you said."	I shall find my portmanteau in my room, you said."
3752_4944_000067_000000	"Yes, yes.	"Yes, yes.
3752_4944_000068_000001	Macklewain shook his head seriously.	Macklewain shook his head seriously.
3752_4944_000069_000000	"There is something wrong about him, but I can't make out what it is.	"There is something wrong about him, but I can't make out what it is.
3752_4944_000069_000001	He has the strangest fits at times.	He has the strangest fits at times.
3752_4944_000069_000002	Unless it's a cancer in the stomach, I don't know what it can be."	Unless it's a cancer in the stomach, I don't know what it can be."
3752_4944_000070_000000	"Cancer in the stomach!	"Cancer in the stomach!
3752_4944_000070_000001	dear me, how dreadful!" says Meekin.	dear me, how dreadful!" says Meekin.
3752_4944_000070_000002	"Ah! Doctor, we all have our crosses, have we not?	"Ah! Doctor, we all have our crosses, have we not?
3752_4944_000070_000003	How delightful the grass smells!	How delightful the grass smells!
3752_4944_000070_000004	This seems a very pleasant place, and I think I shall enjoy myself very much.	This seems a very pleasant place, and I think I shall enjoy myself very much.
3752_4944_000070_000005	Good-night."	Good night."
3752_4944_000071_000000	"Good-night, sir.	"Good night, sir.
3752_4944_000071_000001	I hope you will be comfortable."	I hope you will be comfortable."
3752_4944_000072_000000	"And let us hope poor Mr. North will succeed in his labour of love," said Meekin, shutting the little gate, "and save the unfortunate Kirkland.	"And let us hope poor mr North will succeed in his labour of love," said Meekin, shutting the little gate, "and save the unfortunate Kirkland.
3752_4944_000072_000001	Good-night, once more."	Good night, once more."
3752_4944_000073_000000	Captain Burgess was shutting his verandah-window when North hurried up.	Captain Burgess was shutting his verandah window when North hurried up.
3752_4944_000074_000000	"Captain Burgess, Macklewain tells me you are going to flog Kirkland."	"Captain Burgess, Macklewain tells me you are going to flog Kirkland."
3752_4944_000075_000000	"Well, sir, what of that?" said Burgess.	"Well, sir, what of that?" said Burgess.
3752_4944_000076_000001	The lad has been cruelly punished already.	The lad has been cruelly punished already.
3752_4944_000076_000002	He attempted suicide to-day--unhappy creature."	He attempted suicide to day-unhappy creature."
3752_4944_000077_000000	"Well, that's just what I'm flogging him for.	"Well, that's just what I'm flogging him for.
3752_4944_000077_000001	I'll teach my prisoners to attempt suicide!"	I'll teach my prisoners to attempt suicide!"
3752_4944_000078_000001	He's too weak."	He's too weak."
3752_4944_000079_000000	"That's Macklewain's business."	"That's Macklewain's business."
3752_4944_000080_000000	"Captain Burgess," protested North, "I assure you that he does not deserve punishment.	"Captain Burgess," protested North, "I assure you that he does not deserve punishment.
3752_4944_000080_000001	I have seen him, and his condition of mind is pitiable."	I have seen him, and his condition of mind is pitiable."
3752_4944_000081_000000	"Look here, Mr. North, I don't interfere with what you do to the prisoner's souls; don't you interfere with what I do to their bodies."	"Look here, mr North, I don't interfere with what you do to the prisoner's souls; don't you interfere with what I do to their bodies."
3752_4944_000082_000000	"Captain Burgess, you have no right to mock at my office."	"Captain Burgess, you have no right to mock at my office."
3752_4944_000083_000000	"Then don't you interfere with me, sir."	"Then don't you interfere with me, sir."
3752_4944_000084_000000	"Do you persist in having this boy flogged?"	"Do you persist in having this boy flogged?"
3752_4944_000086_000000	"Then, Captain Burgess," cried North, his pale face flushing, "I tell you the boy's blood will be on your head.	"Then, Captain Burgess," cried North, his pale face flushing, "I tell you the boy's blood will be on your head.
3752_4944_000086_000001	I am a minister of God, sir, and I forbid you to commit this crime."	I am a minister of God, sir, and I forbid you to commit this crime."
3752_4944_000087_000000	"Damn your impertinence, sir!" burst out Burgess.	"Damn your impertinence, sir!" burst out Burgess.
3752_4944_000087_000001	"You're a dismissed officer of the Government, sir.	"You're a dismissed officer of the Government, sir.
3752_4944_000088_000000	This, of course, was mere bravado on the part of the Commandant.	This, of course, was mere bravado on the part of the Commandant.
3752_4944_000088_000001	North knew well that he would never dare to attempt any such act of violence, but the insult stung him like the cut of a whip.	North knew well that he would never dare to attempt any such act of violence, but the insult stung him like the cut of a whip.
3752_4944_000088_000002	He made a stride towards the Commandant, as though to seize him by the throat, but, checking himself in time, stood still, with clenched hands, flashing eyes, and beard that bristled.	He made a stride towards the Commandant, as though to seize him by the throat, but, checking himself in time, stood still, with clenched hands, flashing eyes, and beard that bristled.
3752_4944_000089_000000	The two men looked at each other, and presently Burgess's eyes fell before those of the chaplain.	The two men looked at each other, and presently Burgess's eyes fell before those of the chaplain.
3752_4944_000091_000000	Burgess, white with rage, rang the bell that summoned his convict servant.	Burgess, white with rage, rang the bell that summoned his convict servant.
3752_4944_000093_000000	"I'll report this to the Government," said North, aghast.	"I'll report this to the Government," said North, aghast.
3752_4944_000093_000001	"This is murderous."	"This is murderous."
3752_4944_000094_000000	"The Government may go to----, and you, too!" roared Burgess.	"The Government may go to----, and you, too!" roared Burgess.
3752_4944_000095_000000	North returned home in great agitation.	North returned home in great agitation.
3752_4944_000095_000001	"They shall not flog that boy," he said.	"They shall not flog that boy," he said.
3752_4944_000095_000003	I'll report this to the Government.	I'll report this to the Government.
3752_4944_000095_000008	"Fool that I am."	"Fool that I am."
3752_4944_000096_000000	Then he began to walk up and down, to fling himself on the sofa, to read, to pray.	Then he began to walk up and down, to fling himself on the sofa, to read, to pray.
3752_4944_000096_000001	"Oh, God, give me strength!	"Oh, God, give me strength!
3752_4944_000096_000003	Help me!	Help me!
3752_4944_000096_000004	I struggle, but I am weak.	I struggle, but I am weak.
3752_4944_000097_000000	To see him rolling on the sofa in agony, to see his white face, his parched lips, and his contracted brow, to hear his moans and muttered prayers, one would have thought him suffering from the pangs of some terrible disease.	To see him rolling on the sofa in agony, to see his white face, his parched lips, and his contracted brow, to hear his moans and muttered prayers, one would have thought him suffering from the pangs of some terrible disease.
3752_4944_000097_000001	He opened the book again, and forced himself to read, but his eyes wandered to the cupboard.	He opened the book again, and forced himself to read, but his eyes wandered to the cupboard.
3752_4944_000097_000002	There lurked something that fascinated him.	There lurked something that fascinated him.
3752_4944_000097_000003	He got up at length, went into the kitchen, and found a packet of red pepper.	He got up at length, went into the kitchen, and found a packet of red pepper.
3752_4944_000097_000004	He mixed a teaspoonful of this in a pannikin of water and drank it.	He mixed a teaspoonful of this in a pannikin of water and drank it.
3752_4944_000097_000005	It relieved him for a while.	It relieved him for a while.
3752_4944_000098_000000	"I must keep my wits for to-morrow.	"I must keep my wits for to morrow.
3752_4944_000098_000002	Meekin, too, will suspect.	Meekin, too, will suspect.
3752_4944_000099_000000	He went into his bedroom and flung himself on the bed, but only to toss from side to side.	He went into his bedroom and flung himself on the bed, but only to toss from side to side.
3752_4944_000099_000001	In vain he repeated texts of Scripture and scraps of verse; in vain counted imaginary sheep, or listened to imaginary clock-tickings.	In vain he repeated texts of Scripture and scraps of verse; in vain counted imaginary sheep, or listened to imaginary clock tickings.
3752_4944_000099_000002	Sleep would not come to him.	Sleep would not come to him.
3752_4944_000099_000003	It was as though he had reached the crisis of a disease which had been for days gathering force. "I must have a teaspoonful," he said, "to allay the craving."	It was as though he had reached the crisis of a disease which had been for days gathering force. "I must have a teaspoonful," he said, "to allay the craving."
3752_4944_000100_000000	Twice he paused on the way to the sitting-room, and twice was he driven on by a power stronger than his will.	Twice he paused on the way to the sitting room, and twice was he driven on by a power stronger than his will.
3752_4944_000100_000001	He reached it at length, and opening the cupboard, pulled out what he sought.	He reached it at length, and opening the cupboard, pulled out what he sought.
3752_4944_000100_000003	He raised it to his lips and eagerly drank.	He raised it to his lips and eagerly drank.
3752_4944_000100_000005	Still he could not sleep.	Still he could not sleep.
3752_4944_000100_000006	The taste of the liquor maddened him for more.	The taste of the liquor maddened him for more.
3752_4944_000100_000007	He saw in the darkness the brandy bottle--vulgar and terrible apparition!	He saw in the darkness the brandy bottle-vulgar and terrible apparition!
3752_4944_000100_000008	He saw its amber fluid sparkle. He heard it gurgle as he poured it out.	He saw its amber fluid sparkle. He heard it gurgle as he poured it out.
3752_4944_000100_000011	He wept, he prayed, he fought with his desire as with a madness.	He wept, he prayed, he fought with his desire as with a madness.
3752_4944_000100_000013	That, at all times debasing, at this particular time it was infamous; that a vice, unworthy of any man, was doubly sinful in a man of education and a minister of God.	That, at all times debasing, at this particular time it was infamous; that a vice, unworthy of any man, was doubly sinful in a man of education and a minister of God.
3752_4944_000100_000015	In the midst of his arguments he found himself at the cupboard, with the bottle at his lips, in an attitude that was at once ludicrous and horrible.	In the midst of his arguments he found himself at the cupboard, with the bottle at his lips, in an attitude that was at once ludicrous and horrible.
3752_4944_000101_000000	He had no cancer.	He had no cancer.
