2902_9006_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	2.82	4.78	22.82075
2902_9006_000010_000001	That Divine Word, who is 'The Light who lighteth every man which cometh into the world,' had awakened in the heart of mankind a moral craving never before felt in any strength, except by a few isolated philosophers or prophets.	That Divine Word, who is 'The Light who lighteth every man which cometh into the world,' had awakened in the heart of mankind a moral craving never before felt in any strength, except by a few isolated philosophers or prophets.	true	118.43	132.49	19.589527
2902_9006_000010_000002	The Spirit had been poured out on all flesh; and from one end of the Empire to the other, from the slave in the mill to the emperor on his throne, all hearts were either hungering and thirsting after righteousness, or learning to do homage to those who did so.	The Spirit had been poured out on all flesh; and from one end of the Empire to the other, from the slave in the mill to the emperor on his throne, all hearts were either hungering and thirsting after righteousness, or learning to do homage to those who did so.	true	133.19	148.06	19.730474
2902_9006_000010_000003	And He who excited the craving, was also furnishing that which would satisfy it; and was teaching mankind, by a long and painful education, to distinguish the truth from its innumerable counterfeits, and to find, for the first time in the world's life, a good news not merely for the select few, but for all mankind without respect of rank or race.	And He who excited the craving, was also furnishing that which would satisfy it; and was teaching mankind, by a long and painful education, to distinguish the truth from its innumerable counterfeits, and to find, for the first time in the world's life, a good news not merely for the select few, but for all mankind without respect of rank or race.	true	148.73	170.62	20.507936
2902_9006_000011_000000	For somewhat more than four hundred years, the Roman Empire and the Christian Church, born into the world almost at the same moment, had been developing themselves side by side as two great rival powers, in deadly struggle for the possession of the human race.	For somewhat more than four hundred years, the Roman Empire and the Christian Church, born into the world almost at the same moment, had been developing themselves side by side as two great rival powers, in deadly struggle for the possession of the human race.	true	171.65	186.61	20.28953
2902_9006_000011_000001	The weapons of the Empire had been not merely an overwhelming physical force, and a ruthless lust of aggressive conquest: but, even more powerful still, an unequalled genius for organisation, and an uniform system of external law and order.	The weapons of the Empire had been not merely an overwhelming physical force, and a ruthless lust of aggressive conquest: but, even more powerful still, an unequalled genius for organisation, and an uniform system of external law and order.	false	187.28	202.99	20.160387
2902_9006_000011_000002	This was generally a real boon to conquered nations, because it substituted a fixed and regular spoliation for the fortuitous and arbitrary miseries of savage warfare: but it arrayed, meanwhile, on the side of the Empire the wealthier citizens of every province, by allowing them their share in the plunder of the labouring masses below them.	This was generally a real boon to conquered nations, because it substituted a fixed and regular spoliation for the fortuitous and arbitrary miseries of savage warfare: but it arrayed, meanwhile, on the side of the Empire the wealthier citizens of every province, by allowing them their share in the plunder of the labouring masses below them.	true	203.63	223.93	18.994673
2902_9006_000011_000003	These, in the country districts, were utterly enslaved; while in the cities, nominal freedom was of little use to masses kept from starvation by the alms of the government, and drugged into brutish good humour by a vast system of public spectacles, in which the realms of nature and of art were ransacked to glut the wonder, lust, and ferocity of a degraded populace.	These, in the country districts, were utterly enslaved; while in the cities, nominal freedom was of little use to masses kept from starvation by the alms of the government, and drugged into brutish good humour by a vast system of public spectacles, in which the realms of nature and of art were ransacked to glut the wonder, lust, and ferocity of a degraded populace.	true	224.63	246.25	19.09263
2902_9006_000012_000000	Against this vast organisation the Church had been fighting for now four hundred years, armed only with its own mighty and all-embracing message, and with the manifestation of a spirit of purity and virtue, of love and self-sacrifice, which had proved itself mightier to melt and weld together the hearts of men, than all the force and terror, all the mechanical organisation, all the sensual baits with which the Empire had been contending against that Gospel in which it had recognised instinctively and at first sight, its internecine foe.	Against this vast organisation the Church had been fighting for now four hundred years, armed only with its own mighty and all embracing message, and with the manifestation of a spirit of purity and virtue, of love and self sacrifice, which had proved itself mightier to melt and weld together the hearts of men, than all the force and terror, all the mechanical organisation, all the sensual baits with which the Empire had been contending against that Gospel in which it had recognised instinctively and at first sight, its internecine foe.	false	247.16	280.48	19.453783
2902_9006_000013_000000	And now the Church had conquered.	And now the Church had conquered.	true	281.63	283.72	19.112057
2902_9006_000013_000001	The weak things of this world had confounded the strong.	The weak things of this world had confounded the strong.	true	283.91	286.99	18.626154
2902_9006_000013_000002	In spite of the devilish cruelties of persecutors; in spite of the contaminating atmosphere of sin which surrounded her; in spite of having to form herself, not out of a race of pure and separate creatures, but by a most literal 'new birth' out of those very fallen masses who insulted and persecuted her; in spite of having to endure within herself continual outbursts of the evil passions in which her members had once indulged without cheek; in spite of a thousand counterfeits which sprang up around her and within her, claiming to be parts of her, and alluring men to themselves by that very exclusiveness and party arrogance which disproved their claim; in spite of all, she had conquered.	In spite of the devilish cruelties of persecutors; in spite of the contaminating atmosphere of sin which surrounded her; in spite of having to form herself, not out of a race of pure and separate creatures, but by a most literal 'new birth' out of those very fallen masses who insulted and persecuted her; in spite of having to endure within herself continual outbursts of the evil passions in which her members had once indulged without cheek; in spite of a thousand counterfeits which sprang up around her and within her, claiming to be parts of her, and alluring men to themselves by that very exclusiveness and party arrogance which disproved their claim; in spite of all, she had conquered.	true	287.21	329.44	19.941708
2902_9006_000013_000003	The very emperors had arrayed themselves on her side.	The very emperors had arrayed themselves on her side.	true	329.84	333.28	19.688393
2902_9006_000013_000004	Julian's last attempt to restore paganism by imperial influence had only proved that the old faith had lost all hold upon the hearts of the masses; at his death the great tide-wave of new opinion rolled on unchecked, and the rulers of earth were fain to swim with the stream; to accept, in words at least, the Church's laws as theirs; to acknowledge a King of kings to whom even they owed homage and obedience; and to call their own slaves their 'poorer brethren,' and often, too, their 'spiritual superiors.'	Julian's last attempt to restore paganism by imperial influence had only proved that the old faith had lost all hold upon the hearts of the masses; at his death the great tide wave of new opinion rolled on unchecked, and the rulers of earth were fain to swim with the stream; to accept, in words at least, the Church's laws as theirs; to acknowledge a King of kings to whom even they owed homage and obedience; and to call their own slaves their 'poorer brethren,' and often, too, their 'spiritual superiors.'	false	333.62	365.29	20.048578
2902_9006_000014_000000	But if the emperors had become Christian, the Empire had not.	But if the emperors had become Christian, the Empire had not.	true	366.47	369.97	19.103107
2902_9006_000014_000001	Here and there an abuse was lopped off; or an edict was passed for the visitation of prisons and for the welfare of prisoners; or a Theodosius was recalled to justice and humanity for a while by the stern rebukes of an Ambrose.	Here and there an abuse was lopped off; or an edict was passed for the visitation of prisons and for the welfare of prisoners; or a Theodosius was recalled to justice and humanity for a while by the stern rebukes of an Ambrose.	true	370.28	383.92	20.49532
2902_9006_000014_000002	But the Empire was still the same: still a great tyranny, enslaving the masses, crushing national life, fattening itself and its officials on a system of world-wide robbery; and while it was paramount, there could be no hope for the human race.	But the Empire was still the same: still a great tyranny, enslaving the masses, crushing national life, fattening itself and its officials on a system of world-wide robbery; and while it was paramount, there could be no hope for the human race.	true	384.5	399.28	19.975428
2902_9006_000014_000003	Nay, there were even those among the Christians who saw, like Dante afterwards, in the 'fatal gift of Constantine,' and the truce between the Church and the Empire, fresh and more deadly danger.	Nay, there were even those among the Christians who saw, like Dante afterwards, in the 'fatal gift of Constantine,' and the truce between the Church and the Empire, fresh and more deadly danger.	true	400.19	411.79	19.53414
2902_9006_000014_000004	Was not the Empire trying to extend over the Church itself that upas shadow with which it had withered up every other form of human existence; to make her, too, its stipendiary slave-official, to be pampered when obedient, and scourged whenever she dare assert a free will of her own, a law beyond that of her tyrants; to throw on her, by a refined hypocrisy, the care and support of the masses on whose lifeblood it was feeding?	Was not the Empire trying to extend over the Church itself that upas shadow with which it had withered up every other form of human existence; to make her, too, its stipendiary slave official, to be pampered when obedient, and scourged whenever she dare assert a free will of her own, a law beyond that of her tyrants; to throw on her, by a refined hypocrisy, the care and support of the masses on whose lifeblood it was feeding?	true	412.31	438.82	19.708082
2902_9006_000014_000005	So thought many then, and, as I believe, not unwisely.	So thought many then, and, as I believe, not unwisely.	true	439.25	443.68	21.387068
2902_9006_000015_000000	But if the social condition of the civilised world was anomalous at the beginning of the fifth century, its spiritual state was still more so. The universal fusion of races, languages, and customs, which had gone on for four centuries under the Roman rule, had produced a corresponding fusion of creeds, an universal fermentation of human thought and faith. All honest belief in the old local superstitions of paganism had been long dying out before the more palpable and material idolatry of Emperor-worship; and the gods of the nations, unable to deliver those who had trusted in them, became one by one the vassals of the 'Divus Caesar,' neglected by the philosophic rich, and only worshipped by the lower classes, where the old rites still pandered to their grosser appetites, or subserved the wealth and importance of some particular locality.	But if the social condition of the civilised world was anomalous at the beginning of the fifth century, its spiritual state was still more so. The universal fusion of races, languages, and customs, which had gone on for four centuries under the Roman rule, had produced a corresponding fusion of creeds, an universal fermentation of human thought and faith. All honest belief in the old local superstitions of paganism had been long dying out before the more palpable and material idolatry of Emperor worship; and the gods of the nations, unable to deliver those who had trusted in them, became one by one the vassals of the 'Divus Caesar,' neglected by the philosophic rich, and only worshipped by the lower classes, where the old rites still pandered to their grosser appetites, or subserved the wealth and importance of some particular locality.	false	444.74	497.47	19.692509
2902_9006_000016_000000	In the meanwhile, the minds of men, cut adrift from their ancient moorings, wandered wildly over pathless seas of speculative doubt, and especially in the more metaphysical and contemplative East, attempted to solve for themselves the questions of man's relation to the unseen by those thousand schisms, heresies, and theosophies (it is a disgrace to the word philosophy to call them by it), on the records of which the student now gazes bewildered, unable alike to count or to explain their fantasies.	In the meanwhile, the minds of men, cut adrift from their ancient moorings, wandered wildly over pathless seas of speculative doubt, and especially in the more metaphysical and contemplative East, attempted to solve for themselves the questions of man's relation to the unseen by those thousand schisms, heresies, and theosophies (it is a disgrace to the word philosophy to call them by it), on the records of which the student now gazes bewildered, unable alike to count or to explain their fantasies.	true	498.68	529.36	20.440592
2902_9006_000017_000000	Yet even these, like every outburst of free human thought, had their use and their fruit.	Yet even these, like every outburst of free human thought, had their use and their fruit.	true	530.48	535.99	19.710604
2902_9006_000017_000001	They brought before the minds of churchmen a thousand new questions which must be solved, unless the Church was to relinquish for ever her claims as the great teacher and satisfier of the human soul.	They brought before the minds of churchmen a thousand new questions which must be solved, unless the Church was to relinquish for ever her claims as the great teacher and satisfier of the human soul.	true	536.24	546.91	20.030197
2902_9006_000017_000002	To study these bubbles, as they formed and burst on every wave of human life; to feel, too often by sad experience, as Augustine felt, the charm of their allurements; to divide the truths at which they aimed from the falsehood which they offered as its substitute; to exhibit the Catholic Church as possessing, in the great facts which she proclaimed, full satisfaction, even for the most subtle metaphysical cravings of a diseased age;--that was the work of the time; and men were sent to do it, and aided in their labour by the very causes which had produced the intellectual revolution.	To study these bubbles, as they formed and burst on every wave of human life; to feel, too often by sad experience, as Augustine felt, the charm of their allurements; to divide the truths at which they aimed from the falsehood which they offered as its substitute; to exhibit the Catholic Church as possessing, in the great facts which she proclaimed, full satisfaction, even for the most subtle metaphysical cravings of a diseased age;--that was the work of the time; and men were sent to do it, and aided in their labour by the very causes which had produced the intellectual revolution.	true	547.49	582.25	19.50849
2902_9006_000017_000003	The general intermixture of ideas, creeds, and races, even the mere physical facilities for intercourse between different parts of the Empire, helped to give the great Christian fathers of the fourth and fifth centuries a breadth of observation, a depth of thought, a large-hearted and large-minded patience and tolerance, such as, we may say boldly, the Church has since beheld but rarely, and the world never; at least, if we are to judge those great men by what they had, and not by what they had not, and to believe, as we are bound, that had they lived now, and not then, they would have towered as far above the heads of this generation as they did above the heads of their own.	The general intermixture of ideas, creeds, and races, even the mere physical facilities for intercourse between different parts of the Empire, helped to give the great Christian fathers of the fourth and fifth centuries a breadth of observation, a depth of thought, a large hearted and large minded patience and tolerance, such as, we may say boldly, the Church has since beheld but rarely, and the world never; at least, if we are to judge those great men by what they had, and not by what they had not, and to believe, as we are bound, that had they lived now, and not then, they would have towered as far above the heads of this generation as they did above the heads of their own.	true	582.83	624.07	20.114662
2902_9006_000017_000004	And thus an age, which, to the shallow insight of a sneerer like Gibbon, seems only a rotting and aimless chaos of sensuality and anarchy, fanaticism and hypocrisy, produced a Clement and an Athanase, a Chrysostom and an Augustine; absorbed into the sphere of Christianity all which was most valuable in the philosophies of Greece and Egypt, and in the social organisation of Rome, as an heirloom for nations yet unborn; and laid in foreign lands, by unconscious agents, the foundations of all European thought and Ethics.	And thus an age, which, to the shallow insight of a sneerer like Gibbon, seems only a rotting and aimless chaos of sensuality and anarchy, fanaticism and hypocrisy, produced a Clement and an Athanase, a Chrysostom and an Augustine; absorbed into the sphere of Christianity all which was most valuable in the philosophies of Greece and Egypt, and in the social organisation of Rome, as an heirloom for nations yet unborn; and laid in foreign lands, by unconscious agents, the foundations of all European thought and Ethics.	true	624.62	659.59	19.322147
2902_9006_000018_000000	But the health of a Church depends, not merely on the creed which it professes, not even on the wisdom and holiness of a few great ecclesiastics, but on the faith and virtue of its individual members. The _mens sana_ must have a _corpus sanum_ to inhabit.	But the health of a Church depends, not merely on the creed which it professes, not even on the wisdom and holiness of a few great ecclesiastics, but on the faith and virtue of its individual members. The underscore mens sana underscore must have a underscore corpus sanum underscore to inhabit.	false	661.01	676.63	19.366995
2902_9006_000018_000001	And even for the Western Church, the lofty future which was in store for it would have been impossible, without some infusion of new and healthier blood into the veins of a world drained and tainted by the influence of Rome.	And even for the Western Church, the lofty future which was in store for it would have been impossible, without some infusion of new and healthier blood into the veins of a world drained and tainted by the influence of Rome.	true	677.03	689.38	18.908825
2902_9006_000019_000000	And the new blood, at the era of this story, was at hand.	And the new blood, at the era of this story, was at hand.	true	690.74	694.54	21.63841
2902_9006_000019_000001	The great tide of those Gothic nations, of which the Norwegian and the German are the purest remaining types, though every nation of Europe, from Gibraltar to St. Petersburg, owes to them the most precious elements of strength, was sweeping onward, wave over wave, in a steady south-western current, across the whole Roman territory, and only stopping and recoiling when it reached the shores of the Mediterranean.	The great tide of those Gothic nations, of which the Norwegian and the German are the purest remaining types, though every nation of Europe, from Gibraltar to st Petersburg, owes to them the most precious elements of strength, was sweeping onward, wave over wave, in a steady south-western current, across the whole Roman territory, and only stopping and recoiling when it reached the shores of the Mediterranean.	false	694.82	718.27	20.348381
2902_9006_000019_000002	Those wild tribes were bringing with them into the magic circle of the Western Church's influence the very materials which she required for the building up of a future Christendom, and which she could find as little in the Western Empire as in the Eastern; comparative purity of morals; sacred respect for woman, for family life, law, equal justice, individual freedom, and, above all, for honesty in word and deed; bodies untainted by hereditary effeminacy, hearts earnest though genial, and blessed with a strange willingness to learn, even from those whom they despised; a brain equal to that of the Roman in practical power, and not too far behind that of the Eastern in imaginative and speculative acuteness.	Those wild tribes were bringing with them into the magic circle of the Western Church's influence the very materials which she required for the building up of a future Christendom, and which she could find as little in the Western Empire as in the Eastern; comparative purity of morals; sacred respect for woman, for family life, law, equal justice, individual freedom, and, above all, for honesty in word and deed; bodies untainted by hereditary effeminacy, hearts earnest though genial, and blessed with a strange willingness to learn, even from those whom they despised; a brain equal to that of the Roman in practical power, and not too far behind that of the Eastern in imaginative and speculative acuteness.	false	718.76	764.11	19.888391
2902_9006_000020_000000	And their strength was felt at once.	And their strength was felt at once.	true	765.05	767.14	21.901045
2902_9006_000020_000001	Their vanguard, confined with difficulty for three centuries beyond the Eastern Alps, at the expense of sanguinary wars, had been adopted wherever it was practicable, into the service of the Empire; and the heart's core of the Roman legion was composed of Gothic officers and soldiers.	Their vanguard, confined with difficulty for three centuries beyond the Eastern Alps, at the expense of sanguinary wars, had been adopted wherever it was practicable, into the service of the Empire; and the heart's core of the Roman legion was composed of Gothic officers and soldiers.	true	767.39	784	20.337448
2902_9006_000020_000002	But now the main body had arrived.	But now the main body had arrived.	true	784.58	786.765	21.315681
2902_9006_000020_000003	Tribe after tribe was crowding down to the Alps, and trampling upon each other on the frontiers of the Empire.	Tribe after tribe was crowding down to the Alps, and trampling upon each other on the frontiers of the Empire.	true	786.765	792.97	19.918322
2902_9006_000020_000004	The Huns, singly their inferiors, pressed them from behind with the irresistible weight of numbers; Italy, with her rich cities and fertile lowlands, beckoned them on to plunder; as auxiliaries, they had learned their own strength and Roman weakness; a _casus belli_ was soon found.	The Huns, singly their inferiors, pressed them from behind with the irresistible weight of numbers; Italy, with her rich cities and fertile lowlands, beckoned them on to plunder; as auxiliaries, they had learned their own strength and Roman weakness; a underscore casus belli underscore was soon found.	false	793.37	810.58	19.657698
2902_9006_000020_000005	How iniquitous was the conduct of the sons of Theodosius, in refusing the usual bounty, by which the Goths were bribed not to attack the Empire!--The whole pent-up deluge burst over the plains of Italy, and the Western Empire became from that day forth a dying idiot, while the new invaders divided Europe among themselves.	How iniquitous was the conduct of the sons of Theodosius, in refusing the usual bounty, by which the Goths were bribed not to attack the Empire!--The whole pent up deluge burst over the plains of Italy, and the Western Empire became from that day forth a dying idiot, while the new invaders divided Europe among themselves.	true	811.19	831.04	20.602964
2902_9006_000020_000006	The fifteen years before the time of this tale had decided the fate of Greece; the last four that of Rome itself.	The fifteen years before the time of this tale had decided the fate of Greece; the last four that of Rome itself.	true	831.53	838.39	22.181158
2902_9006_000020_000007	The countless treasures which five centuries of rapine had accumulated round the Capitol had become the prey of men clothed in sheepskins and horse-hide; and the sister of an emperor had found her beauty, virtue, and pride of race worthily matched by those of the hard-handed Northern hero who led her away from Italy as his captive and his bride, to found new kingdoms in South France and Spain, and to drive the newly-arrived Vandals across the Straits of Gibraltar into the then blooming coast-land of Northern Africa.	The countless treasures which five centuries of rapine had accumulated round the Capitol had become the prey of men clothed in sheepskins and horse hide; and the sister of an emperor had found her beauty, virtue, and pride of race worthily matched by those of the hard handed Northern hero who led her away from Italy as his captive and his bride, to found new kingdoms in South France and Spain, and to drive the newly arrived Vandals across the Straits of Gibraltar into the then blooming coast land of Northern Africa.	false	838.94	870.88	19.775555
2902_9006_000020_000008	Everywhere the mangled limbs of the Old World were seething in the Medea's caldron, to come forth whole, and young, and strong.	Everywhere the mangled limbs of the Old World were seething in the Medea's caldron, to come forth whole, and young, and strong.	true	871.52	879.79	18.156204
2902_9006_000020_000009	The Longbeards, noblest of their race, had found a temporary resting-place upon the Austrian frontier, after long southward wanderings from the Swedish mountains, soon to be dispossessed again by the advancing Huns, and, crossing the Alps, to give their name for ever to the plains of Lombardy.	The Longbeards, noblest of their race, had found a temporary resting place upon the Austrian frontier, after long southward wanderings from the Swedish mountains, soon to be dispossessed again by the advancing Huns, and, crossing the Alps, to give their name for ever to the plains of Lombardy.	false	880.43	898.45	20.150505
2902_9006_000020_000010	A few more tumultuous years, and the Franks would find themselves lords of the Lower Rhineland; and before the hairs of Hypatia's scholars had grown gray, the mythic Hengist and Horsa would have landed on the shores of Kent, and an English nation have begun its world-wide life.	A few more tumultuous years, and the Franks would find themselves lords of the Lower Rhineland; and before the hairs of Hypatia's scholars had grown gray, the mythic Hengist and Horsa would have landed on the shores of Kent, and an English nation have begun its world-wide life.	true	899.09	915.79	19.539656
2902_9006_000021_000000	But some great Providence forbade to our race, triumphant in every other quarter, a footing beyond the Mediterranean, or even in Constantinople, which to this day preserves in Europe the faith and manners of Asia.	But some great Providence forbade to our race, triumphant in every other quarter, a footing beyond the Mediterranean, or even in Constantinople, which to this day preserves in Europe the faith and manners of Asia.	false	917	929.41	19.660063
2902_9006_000021_000001	The Eastern World seemed barred, by some stern doom, from the only influence which could have regenerated it.	The Eastern World seemed barred, by some stern doom, from the only influence which could have regenerated it.	true	929.93	936.22	17.835875
2902_9006_000021_000002	Every attempt of the Gothic races to establish themselves beyond the sea, whether in the form of an organised kingdom, as the Vandals attempted in Africa; or of a mere band of brigands, as did the Goths in Asia Minor, under Gainas; or of a praetorian guard, as did the Varangens of the middle age; or as religious invaders, as did the Crusaders, ended only in the corruption and disappearance of the colonists.	Every attempt of the Gothic races to establish themselves beyond the sea, whether in the form of an organised kingdom, as the Vandals attempted in Africa; or of a mere band of brigands, as did the Goths in Asia Minor, under Gainas; or of a praetorian guard, as did the Varangens of the middle age; or as religious invaders, as did the Crusaders, ended only in the corruption and disappearance of the colonists.	true	936.74	962.5	20.321558
2902_9006_000021_000003	That extraordinary reform in morals, which, according to Salvian and his contemporaries, the Vandal conquerors worked in North Africa, availed them nothing; they lost more than they gave.	That extraordinary reform in morals, which, according to Salvian and his contemporaries, the Vandal conquerors worked in North Africa, availed them nothing; they lost more than they gave.	true	962.96	974.53	19.685911
2902_9006_000021_000004	Climate, bad example, and the luxury of power degraded them in one century into a race of helpless and debauched slave-holders, doomed to utter extermination before the semi-Gothic armies of Belisarius; and with them vanished the last chance that the Gothic races would exercise on the Eastern World the same stern yet wholesome discipline under which the Western had been restored to life.	Climate, bad example, and the luxury of power degraded them in one century into a race of helpless and debauched slave holders, doomed to utter extermination before the semi Gothic armies of Belisarius; and with them vanished the last chance that the Gothic races would exercise on the Eastern World the same stern yet wholesome discipline under which the Western had been restored to life.	false	975.05	998.23	19.59723
2902_9006_000022_000000	The Egyptian and Syrian Churches, therefore, were destined to labour not for themselves, but for us.	The Egyptian and Syrian Churches, therefore, were destined to labour not for themselves, but for us.	true	999.35	1005.16	20.545086
2902_9006_000022_000001	The signs of disease and decrepitude were already but too manifest in them.	The signs of disease and decrepitude were already but too manifest in them.	true	1005.68	1010.47	19.645649
2902_9006_000022_000002	That very peculiar turn of the Graeco-Eastern mind, which made them the great thinkers of the then world, had the effect of drawing them away from practice to speculation; and the races of Egypt and Syria were effeminate, over-civilised, exhausted by centuries during which no infusion of fresh blood had come to renew the stock.	That very peculiar turn of the Graeco Eastern mind, which made them the great thinkers of the then world, had the effect of drawing them away from practice to speculation; and the races of Egypt and Syria were effeminate, over civilised, exhausted by centuries during which no infusion of fresh blood had come to renew the stock.	true	1010.84	1031.14	20.279247
2902_9006_000022_000003	Morbid, self-conscious, physically indolent, incapable then, as now, of personal or political freedom, they afforded material out of which fanatics might easily be made, but not citizens of the kingdom of God.	Morbid, self conscious, physically indolent, incapable then, as now, of personal or political freedom, they afforded material out of which fanatics might easily be made, but not citizens of the kingdom of God.	true	1031.6	1045.6	19.999338
2902_9006_000022_000004	The very ideas of family and national life-those two divine roots of the Church, severed from which she is certain to wither away into that most godless and most cruel of spectres, a religious world-had perished in the East from the evil influence of the universal practice of slaveholding, as well as from the degradation of that Jewish nation whichhad been for ages the great witness for those ideas; and all classes, like their forefather Adam--like, indeed, 'the old Adam' in every man and in every age--were shifting the blame of sin from their own consciences to human relationships and duties--and therein, to the God who had appointed them; and saying as of old, '_The woman whom thou gavest to be with me, she gave me of the tree, and I did eat._' The passionate Eastern character, like all weak ones, found total abstinence easier than temperance, religious thought more pleasant than godly action; and a monastic world grew up all over the East, of such vastness that in Egypt it was said to rival in numbers the lay population, producing, with an enormous decrease in the actual amount of moral evil, an equally great enervation and decrease of the population.	The very ideas of family and national life those two divine roots of the Church, severed from which she is certain to wither away into that most godless and most cruel of spectres, a religious world had perished in the East from the evil influence of the universal practice of slaveholding, as well as from the degradation of that Jewish nation whichhad been for ages the great witness for those ideas; and all classes, like their forefather Adam-like, indeed, 'the old Adam' in every man and in every age-were shifting the blame of sin from their own consciences to human relationships and duties-and therein, to the God who had appointed them; and saying as of old, 'underscore The woman whom thou gavest to be with me, she gave me of the tree, and I did eat.underscore' The passionate Eastern character, like all weak ones, found total abstinence easier than temperance, religious thought more pleasant than godly action; and a monastic world grew up all over the East, of such vastness that in Egypt it was said to rival in numbers the lay population, producing, with an enormous decrease in the actual amount of moral evil, an equally great enervation and decrease of the population.	false	1046.15	1120.15	19.347637
2902_9006_000022_000005	Such a people could offer no resistance to the steadily-increasing tyranny of the Eastern Empire.	Such a people could offer no resistance to the steadily increasing tyranny of the Eastern Empire.	true	1120.76	1126.27	19.86674
2902_9006_000022_000006	In vain did such men as Chrysostom and Basil oppose their personal influence to the hideous intrigues and villainies of the Byzantine court; the ever-downward career of Eastern Christianity went on unchecked for two more miserable centuries, side by side with the upward development of the Western Church; and, while the successors of the great Saint Gregory were converting and civilising a new-born Europe, the Churches of the East were vanishing before Mohammedan invaders, strong by living trust in that living God, whom the Christians, while they hated and persecuted each other for arguments about Him, were denying and blaspheming in every action of their lives.	In vain did such men as Chrysostom and Basil oppose their personal influence to the hideous intrigues and villainies of the Byzantine court; the ever downward career of Eastern Christianity went on unchecked for two more miserable centuries, side by side with the upward development of the Western Church; and, while the successors of the great Saint Gregory were converting and civilising a new born Europe, the Churches of the East were vanishing before Mohammedan invaders, strong by living trust in that living God, whom the Christians, while they hated and persecuted each other for arguments about Him, were denying and blaspheming in every action of their lives.	true	1126.79	1167.31	19.141367
2902_9006_000023_000000	But at the period whereof this story treats, the Graeco-Eastern mind was still in the middle of its great work.	But at the period whereof this story treats, the Graeco Eastern mind was still in the middle of its great work.	true	1168.91	1174.69	19.658808
