5694_64038_000001_000000	ADVANCE INTO TENNESSEE	ADVANCE INTO TENNESSEE
5694_64038_000011_000008	Reader, you should have seen how that old railroad did flop over, and how the darkies did sweat, and how the perfume did fill the atmosphere.	Reader, you should have seen how that old railroad did flop over, and how the darkies did sweat, and how the perfume did fill the atmosphere.
5694_64038_000012_000000	But there were some Yankee soldiers in a block-house at Ringgold Gap, who thought they would act big.	But there were some Yankee soldiers in a block house at Ringgold Gap, who thought they would act big.
5694_64038_000012_000001	They said that Sherman had told them not to come out of that block-house, any how.	They said that Sherman had told them not to come out of that block house, any how.
5694_64038_000013_000000	They persuaded eloquently.	They persuaded eloquently.
5694_64038_000013_000001	They persuaded effectually--those feelers did.	They persuaded effectually-those feelers did.
5694_64038_000013_000003	The old place looked natural like, only it seemed to have a sort of graveyard loneliness about it.	The old place looked natural like, only it seemed to have a sort of graveyard loneliness about it.
5694_64038_000014_000000	A MAN IN THE WELL	A MAN IN THE WELL
5694_64038_000015_000000	On leaving Dalton, after a day's march, we had stopped for the night. Our guns were stacked, and I started off with a comrade to get some wood to cook supper with.	On leaving Dalton, after a day's march, we had stopped for the night. Our guns were stacked, and I started off with a comrade to get some wood to cook supper with.
5694_64038_000015_000001	We were walking along, he a little in the rear, when he suddenly disappeared.	We were walking along, he a little in the rear, when he suddenly disappeared.
5694_64038_000015_000002	I could not imagine what had become of him.	I could not imagine what had become of him.
5694_64038_000015_000003	I looked everywhere.	I looked everywhere.
5694_64038_000015_000004	The earth seemed to have opened and swallowed him.	The earth seemed to have opened and swallowed him.
5694_64038_000015_000005	I called, and called, but could get no answer.	I called, and called, but could get no answer.
5694_64038_000015_000007	Going back to camp, I procured a light, and after whooping and hallooing for a long time, I heard another groan, this time much louder than before.	Going back to camp, I procured a light, and after whooping and hallooing for a long time, I heard another groan, this time much louder than before.
5694_64038_000015_000008	The voice appeared to be overhead.	The voice appeared to be overhead.
5694_64038_000015_000009	There was no tree or house to be seen; and then again the voice seemed to answer from under the ground, in a hollow, sepulchral tone, but I could not tell where he was.	There was no tree or house to be seen; and then again the voice seemed to answer from under the ground, in a hollow, sepulchral tone, but I could not tell where he was.
5694_64038_000015_000010	But I was determined to find him, so I kept on hallooing and he answering.	But I was determined to find him, so I kept on hallooing and he answering.
5694_64038_000015_000011	I went to the place where the voice appeared to come out of the earth.	I went to the place where the voice appeared to come out of the earth.
5694_64038_000015_000012	I was walking along rather thoughtlessly and carelessly, when one inch more and I would have disappeared also.	I was walking along rather thoughtlessly and carelessly, when one inch more and I would have disappeared also.
5694_64038_000015_000014	But how to get him out was the unsolved problem.	But how to get him out was the unsolved problem.
5694_64038_000016_000000	TUSCUMBIA	TUSCUMBIA
5694_64038_000017_000000	We arrived and remained at Tuscumbia several days, awaiting the laying of the pontoons across the Tennessee river at Florence, Alabama, and then we all crossed over.	We arrived and remained at Tuscumbia several days, awaiting the laying of the pontoons across the Tennessee river at Florence, Alabama, and then we all crossed over.
5694_64038_000017_000001	While at Tuscumbia, John Branch and I saw a nice sweet potato patch, that looked very tempting to a hungry Rebel.	While at Tuscumbia, john Branch and I saw a nice sweet potato patch, that looked very tempting to a hungry Rebel.
5694_64038_000017_000002	We looked all around, and thought that the coast was clear.	We looked all around, and thought that the coast was clear.
5694_64038_000017_000003	We jumped over the fence, and commenced grabbling for the sweet potatoes.	We jumped over the fence, and commenced grabbling for the sweet potatoes.
5694_64038_000017_000005	We broke and run like quarter-horses, and the guard pulled down on us just as we jumped the fence.	We broke and run like quarter horses, and the guard pulled down on us just as we jumped the fence.
5694_64038_000018_000000	We marched from Decatur to Florence.	We marched from Decatur to Florence.
5694_64038_000018_000001	Here the pontoon bridges were nicely and beautifully stretched across the river.	Here the pontoon bridges were nicely and beautifully stretched across the river.
5694_64038_000018_000002	We walked over this floating bridge, and soon found ourselves on the Tennessee side of Tennessee river.	We walked over this floating bridge, and soon found ourselves on the Tennessee side of Tennessee river.
5694_64038_000021_000000	"And nightly we pitch our moving tent A day's march nearer home."	"And nightly we pitch our moving tent A day's march nearer home."
5694_64038_000022_000000	How every pulse did beat and leap, and how every heart did throb with emotions of joy, which seemed nearly akin to heaven, when we received the glad intelligence of our onward march toward the land of promise, and of our loved ones.	How every pulse did beat and leap, and how every heart did throb with emotions of joy, which seemed nearly akin to heaven, when we received the glad intelligence of our onward march toward the land of promise, and of our loved ones.
5694_64038_000022_000001	The cold November winds coming off the mountains of the northwest were blowing right in our faces, and nearly cutting us in two.	The cold November winds coming off the mountains of the northwest were blowing right in our faces, and nearly cutting us in two.
5694_64038_000023_000000	We were inured to privations and hardships; had been upon every march, in every battle, in every skirmish, in every advance, in every retreat, in every victory, in every defeat.	We were inured to privations and hardships; had been upon every march, in every battle, in every skirmish, in every advance, in every retreat, in every victory, in every defeat.
5694_64038_000024_000000	I was simply one of hundreds of thousands in the same fix.	I was simply one of hundreds of thousands in the same fix.
5694_64038_000024_000001	The tale is the same that every soldier would tell, except Jim Whitler.	The tale is the same that every soldier would tell, except Jim Whitler.
5694_64038_000024_000002	Jim had dodged about, and had escaped being conscripted until "Hood's raid," he called it.	Jim had dodged about, and had escaped being conscripted until "Hood's raid," he called it.
5694_64038_000024_000003	Hood's army was taking up every able-bodied man and conscripting him into the army.	Hood's army was taking up every able bodied man and conscripting him into the army.
5694_64038_000024_000005	The army had been passing a given point, and Jim was sitting quietly on the fence looking at the soldiers.	The army had been passing a given point, and Jim was sitting quietly on the fence looking at the soldiers.
5694_64038_000024_000007	Jim tried to beg off, but all entreaty was in vain. He wanted to go by home and tell his wife and children good-bye, and to get his clothes.	Jim tried to beg off, but all entreaty was in vain. He wanted to go by home and tell his wife and children good bye, and to get his clothes.
5694_64038_000024_000008	It was no go.	It was no go.
5694_64038_000024_000010	He didn't know B from a bull's foot in the spelling-book.	He didn't know B from a bull's foot in the spelling book.
5694_64038_000024_000015	Jim was soon in line, and was tramping to the music of the march.	Jim was soon in line, and was tramping to the music of the march.
5694_64038_000024_000016	He stayed with the company two days.	He stayed with the company two days.
5694_64038_000024_000017	The third day it was reported that the Yankees had taken position on the Murfreesboro pike.	The third day it was reported that the Yankees had taken position on the Murfreesboro pike.
5694_64038_000024_000018	A regiment was sent to the attack.	A regiment was sent to the attack.
5694_64038_000024_000019	It was Jim's regiment.	It was Jim's regiment.
5694_64038_000024_000021	The regiment was ordered to fire.	The regiment was ordered to fire.
5694_64038_000024_000023	He loaded and fired the second time, when they were ordered to retreat.	He loaded and fired the second time, when they were ordered to retreat.
5694_64038_000024_000024	He didn't see anything to run from, but the other soldiers began to run, and Jim run, too.	He didn't see anything to run from, but the other soldiers began to run, and Jim run, too.
5694_64038_000024_000025	Jim had not learned the word "halt!" and just kept on running.	Jim had not learned the word "halt!" and just kept on running.
