3536_8226_000000_000000	"Not changed in the least, mother; but the sun has opened the bud, and now we see the fruit."	"Not changed in the least, mother; but the sun has opened the bud, and now we see the fruit."	false	4.08	9.15	20
3536_8226_000005_000000	Bozzle had in truth made but one personal application for the child at St. Diddulph's.	Bozzle had in truth made but one personal application for the child at st Diddulph's.	false	95.27	100.3	20
3536_8226_000005_000001	In making this he had expected no success, though, from the energetic nature of his disposition, he had made the attempt with some zeal.	In making this he had expected no success, though, from the energetic nature of his disposition, he had made the attempt with some zeal.	true	100.52	108.25	16
3536_8226_000005_000002	But he had never applied again at the parsonage, disregarding the letters, the telegrams, and even the promises which had come to him from his employer with such frequency.	But he had never applied again at the parsonage, disregarding the letters, the telegrams, and even the promises which had come to him from his employer with such frequency.	true	108.44	117.22	17
3536_8226_000005_000003	The truth was that Mrs. Bozzle was opposed to the proposed separation of the mother and the child, and that Bozzle was a man who listened to the words of his wife.	The truth was that mrs Bozzle was opposed to the proposed separation of the mother and the child, and that Bozzle was a man who listened to the words of his wife.	false	117.65	126.97	19.277796
3536_8226_000005_000004	Mrs. Bozzle was quite prepared to admit that Madame T.,--as Mrs. Trevelyan had come to be called at No. 55, Stony Walk,--was no better than she should be.	mrs Bozzle was quite prepared to admit that Madame t,--as mrs Trevelyan had come to be called at no fifty five, Stony Walk,--was no better than she should be.	false	127.43	136.78	21.650032
3536_8226_000005_000005	Mrs. Bozzle was disposed to think that ladies of quality, among whom Madame T. was entitled in her estimation to take rank, were seldom better than they ought to be, and she was quite willing that her husband should earn his bread by watching the lady or the lady's lover.	mrs Bozzle was disposed to think that ladies of quality, among whom Madame t was entitled in her estimation to take rank, were seldom better than they ought to be, and she was quite willing that her husband should earn his bread by watching the lady or the lady's lover.	true	136.97	151.33	18
3536_8226_000005_000006	She had participated in Bozzle's triumph when he had discovered that the Colonel had gone to Devonshire, and again when he had learned that the Lothario had been at St. Diddulph's.	She had participated in Bozzle's triumph when he had discovered that the Colonel had gone to Devonshire, and again when he had learned that the Lothario had been at st Diddulph's.	false	151.73	160.48	18
3536_8226_000005_000007	And had the case been brought before the judge ordinary by means of her husband's exertions, she would have taken pleasure in reading every word of the evidence, even though her husband should have been ever so roughly handled by the lawyers.	And had the case been brought before the judge ordinary by means of her husband's exertions, she would have taken pleasure in reading every word of the evidence, even though her husband should have been ever so roughly handled by the lawyers.	true	160.7	172.51	15
3536_8226_000005_000008	But now, when a demand was made upon Bozzle to violate the sanctity of the clergyman's house, and withdraw the child by force or stratagem, she began to perceive that the palmy days of the Trevelyan affair were over for them, and that it would be wise on her husband's part gradually to back out of the gentleman's employment.	But now, when a demand was made upon Bozzle to violate the sanctity of the clergyman's house, and withdraw the child by force or stratagem, she began to perceive that the palmy days of the Trevelyan affair were over for them, and that it would be wise on her husband's part gradually to back out of the gentleman's employment.	true	172.82	191.11	20.769114
3536_8226_000005_000009	"Just put it on the fire-back, Bozzle," she said one morning, as her husband stood before her reading for the second time a somewhat lengthy epistle which had reached him from Italy, while he held the baby over his shoulder with his left arm.	"Just put it on the fire back, Bozzle," she said one morning, as her husband stood before her reading for the second time a somewhat lengthy epistle which had reached him from Italy, while he held the baby over his shoulder with his left arm.	true	191.99	204.7	19.044481
3536_8226_000005_000010	He had just washed himself at the sink, and though his face was clean, his hair was rough, and his shirt sleeves were tucked up.	He had just washed himself at the sink, and though his face was clean, his hair was rough, and his shirt sleeves were tucked up.	true	204.98	211.62	19.590885
3536_8226_000006_000000	[Illustration: "Put it on the fire-back, Bozzle."]	[Illustration: "Put it on the fire back, Bozzle."]	false	211.62	212.34	5
3536_8226_000007_000000	"That's all very well, Maryanne; but when a party has took a gent's money, a party is bound to go through with the job."	"That's all very well, Maryanne; but when a party has took a gent's money, a party is bound to go through with the job."	true	212.34	218.38	17
3536_8226_000008_000000	"Gammon, Bozzle."	"Gammon, Bozzle."	true	218.39	219.85	21.837784
3536_8226_000009_000000	"It's all very well to say gammon; but his money has been took,--and there's more to come."	"It's all very well to say gammon; but his money has been took,--and there's more to come."	true	220.1	224.65	19.245289
3536_8226_000010_000000	"And ain't you worked for the money,--down to Hexeter one time, across the water pretty well day and night watching that ere clergyman's 'ouse like a cat?	"And ain't you worked for the money,--down to Hexeter one time, across the water pretty well day and night watching that ere clergyman's 'ouse like a cat?	true	225.17	233.05	19
3536_8226_000010_000001	What more'd he have?	What more'd he have?	false	233.12	234.52	21.730621
3536_8226_000010_000002	As to the child, I won't hear of it, B. The child shan't come here.	As to the child, I won't hear of it, b The child shan't come here.	false	234.59	238.6	20.957365
3536_8226_000010_000003	We'd all be shewed up in the papers as that black, that they'd hoot us along the streets.	We'd all be shewed up in the papers as that black, that they'd hoot us along the streets.	true	239	243.61	22.66671
3536_8226_000010_000004	It ain't the regular line of business, Bozzle; and there ain't no good to be got, never, by going off the regular line." Whereupon Bozzle scratched his head and again read the letter.	It ain't the regular line of business, Bozzle; and there ain't no good to be got, never, by going off the regular line." Whereupon Bozzle scratched his head and again read the letter.	true	243.65	253.42	21.697424
3536_8226_000010_000005	A distinct promise of a hundred pounds was made to him, if he would have the child ready to hand over to Trevelyan on Trevelyan's arrival in England.	A distinct promise of a hundred pounds was made to him, if he would have the child ready to hand over to Trevelyan on Trevelyan's arrival in England.	false	253.67	262.03	18
3536_8226_000011_000000	"It ain't to be done, you know," said Bozzle.	"It ain't to be done, you know," said Bozzle.	true	262.79	265.09	20.706482
3536_8226_000012_000000	"Of course it ain't," said Mrs. Bozzle.	"Of course it ain't," said mrs Bozzle.	true	265.19	267.37	21.322739
3536_8226_000013_000000	"It ain't to be done anyways;--not in my way of business.	"It ain't to be done anyways;--not in my way of business.	true	267.59	270.94	20
3536_8226_000013_000001	Why didn't he go to Skint, as I told him, when his own lawyer was too dainty for the job?	Why didn't he go to Skint, as I told him, when his own lawyer was too dainty for the job?	true	271.01	275.52	17
3536_8226_000013_000002	The paternal parent has a right to his infants, no doubt." That was Bozzle's law.	The paternal parent has a right to his infants, no doubt." That was Bozzle's law.	true	275.52	280.36	22.367895
3536_8226_000014_000000	"I don't believe it, B."	"I don't believe it, b"	true	280.67	282.1	23.965973
3536_8226_000015_000000	"But he have, I tell you."	"But he have, I tell you."	true	282.35	283.96	20.695341
3536_8226_000016_000000	"He can't suckle 'em;--can he?	"He can't suckle 'em;--can he?	false	284.27	286.26	23.565905
3536_8226_000016_000001	I don't believe a bit of his rights."	I don't believe a bit of his rights."	true	286.26	288.1	22
3536_8226_000017_000000	"When a married woman has followers, and the husband don't go the wrong side of the post too, or it ain't proved again him that he do, they'll never let her have nothing to do with the children.	"When a married woman has followers, and the husband don't go the wrong side of the post too, or it ain't proved again him that he do, they'll never let her have nothing to do with the children.	true	288.56	297.84	19.027885
3536_8226_000017_000001	It's been before the court a hundred times.	It's been before the court a hundred times.	true	297.84	300.27	19.585081
3536_8226_000017_000002	He'll get the child fast enough if he'll go before the court."	He'll get the child fast enough if he'll go before the court."	true	300.27	303.07	21.188993
3536_8226_000018_000000	"Anyways it ain't your business, Bozzle, and don't you meddle nor make.	"Anyways it ain't your business, Bozzle, and don't you meddle nor make.	true	303.41	306.795	17
3536_8226_000018_000001	The money's good money as long as it's honest earned; but when you come to rampaging and breaking into a gent's house, then I say money may be had a deal too hard." In this special letter, which had now come to hand, Bozzle was not instructed to "rampage." He was simply desired to make a further official requisition for the boy at the parsonage, and to explain to Mr. Outhouse, Mrs. Outhouse, and Mrs. Trevelyan, or to as many of them as he could contrive to see, that Mr. Trevelyan was immediately about to return to London, and that he would put the law into execution if his son were not given up to him at once.	The money's good money as long as it's honest earned; but when you come to rampaging and breaking into a gent's house, then I say money may be had a deal too hard." In this special letter, which had now come to hand, Bozzle was not instructed to "rampage." He was simply desired to make a further official requisition for the boy at the parsonage, and to explain to mr Outhouse, mrs Outhouse, and mrs Trevelyan, or to as many of them as he could contrive to see, that mr Trevelyan was immediately about to return to London, and that he would put the law into execution if his son were not given up to him at once.	true	306.795	341.68	18
3536_8226_000018_000002	"I'll tell you what it is, B.," exclaimed Mrs. Bozzle, "it's my belief as he ain't quite right up here;" and Mrs. Bozzle touched her forehead.	"I'll tell you what it is, b," exclaimed mrs Bozzle, "it's my belief as he ain't quite right up here;" and mrs Bozzle touched her forehead.	true	342.5	350.65	21.768644
3536_8226_000019_000000	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has done it then," said Bozzle, shaking his head.	true	351.11	354.64	21
3536_8226_000020_000000	"I'm not a taking of her part, B. A woman as has a husband as finds her with her wittels regular, and with what's decent and comfortable beside, ought to be contented.	"I'm not a taking of her part, b A woman as has a husband as finds her with her wittels regular, and with what's decent and comfortable beside, ought to be contented.	true	354.98	364.03	21.785408
3536_8226_000020_000001	I've never said no other than that. I ain't no patience with your saucy madames as can't remember as they're eating an honest man's bread.	I've never said no other than that. I ain't no patience with your saucy madames as can't remember as they're eating an honest man's bread.	false	364.07	371.23	19.134308
3536_8226_000020_000002	Drat 'em all; what is it they wants?	Drat 'em all; what is it they wants?	true	371.3	373.605	22.01592
3536_8226_000020_000003	They don't know what they wants.	They don't know what they wants.	true	373.605	375.015	21.42909
3536_8226_000020_000004	It's just hidleness,--cause there ain't a ha'porth for 'em to do.	It's just hidleness,--cause there ain't a ha'porth for 'em to do.	true	375.015	378.61	18.992212
3536_8226_000020_000005	It's that as makes 'em--, I won't say what.	It's that as makes 'em--, I won't say what.	false	378.74	381.52	21.174177
3536_8226_000020_000006	But as for this here child, B.--." At that moment there came a knock at the door.	But as for this here child, b--." At that moment there came a knock at the door.	true	381.62	386.32	21.204626
3536_8226_000020_000007	Mrs. Bozzle going into the passage, opened it herself, and saw a strange gentleman.	mrs Bozzle going into the passage, opened it herself, and saw a strange gentleman.	true	386.51	391.6	21.515108
3536_8226_000020_000008	Bozzle, who had stood at the inner door, saw that the gentleman was Mr. Trevelyan.	Bozzle, who had stood at the inner door, saw that the gentleman was mr Trevelyan.	true	391.82	397.09	20.411602
3536_8226_000021_000000	The letter, which was still in the ex-policeman's hand, had reached Stony Walk on the previous day; but the master of the house had been absent, finding out facts, following up his profession, and earning an honest penny.	The letter, which was still in the ex policeman's hand, had reached Stony Walk on the previous day; but the master of the house had been absent, finding out facts, following up his profession, and earning an honest penny.	true	398.15	409.93	19
3536_8226_000021_000001	Trevelyan had followed his letter quicker than he had intended when it was written, and was now with his prime minister, before his prime minister had been able to take any action on the last instruction received.	Trevelyan had followed his letter quicker than he had intended when it was written, and was now with his prime minister, before his prime minister had been able to take any action on the last instruction received.	true	410.21	421	18
3536_8226_000021_000002	"Does one Mr. Samuel Bozzle live here?" asked Trevelyan.	"Does one mr Samuel Bozzle live here?" asked Trevelyan.	true	421.64	425.65	17
3536_8226_000021_000003	Then Bozzle came forward and introduced his wife.	Then Bozzle came forward and introduced his wife.	true	426.77	429.72	21.334642
3536_8226_000021_000004	There was no one else present except the baby, and Bozzle intimated that let matters be as delicate as they might, they could be discussed with perfect security in his wife's presence.	There was no one else present except the baby, and Bozzle intimated that let matters be as delicate as they might, they could be discussed with perfect security in his wife's presence.	true	429.72	438.94	19
3536_8226_000021_000005	But Trevelyan was of a different opinion, and he was disgusted and revolted,--most unreasonably,--by the appearance of his minister's domestic arrangements.	But Trevelyan was of a different opinion, and he was disgusted and revolted,--most unreasonably,--by the appearance of his minister's domestic arrangements.	true	439.28	448.36	19
3536_8226_000021_000006	Bozzle had always waited upon him with a decent coat, and a well-brushed hat, and clean shoes.	Bozzle had always waited upon him with a decent coat, and a well brushed hat, and clean shoes.	true	448.64	453.58	18.367353
3536_8226_000021_000007	It is very much easier for such men as Mr. Bozzle to carry decency of appearance about with them than to keep it at home.	It is very much easier for such men as mr Bozzle to carry decency of appearance about with them than to keep it at home.	true	454.07	460.33	19
3536_8226_000021_000008	Trevelyan had never believed his ally to be more than an ordinary ex-policeman, but he had not considered how unattractive might be the interior of a private detective's private residence.	Trevelyan had never believed his ally to be more than an ordinary ex policeman, but he had not considered how unattractive might be the interior of a private detective's private residence.	true	460.58	470.89	18
3536_8226_000021_000009	Mrs. Bozzle had set a chair for him, but he had declined to sit down.	mrs Bozzle had set a chair for him, but he had declined to sit down.	true	471.14	475.15	20.33949
3536_8226_000021_000010	The room was dirty, and very close,--as though no breath of air was ever allowed to find entrance there.	The room was dirty, and very close,--as though no breath of air was ever allowed to find entrance there.	true	475.22	480.64	18
3536_8226_000021_000011	"Perhaps you could put on your coat, and walk out with me for a few minutes," said Trevelyan.	"Perhaps you could put on your coat, and walk out with me for a few minutes," said Trevelyan.	true	481.28	485.68	22
3536_8226_000021_000012	Mrs. Bozzle, who well understood that business was business, and that wives were not business, felt no anger at this, and handed her husband his best coat.	mrs Bozzle, who well understood that business was business, and that wives were not business, felt no anger at this, and handed her husband his best coat.	true	486.14	494.89	20
3536_8226_000021_000013	The well-brushed hat was fetched from a cupboard, and it was astonishing to see how easily and how quickly the outer respectability of Bozzle was restored.	The well brushed hat was fetched from a cupboard, and it was astonishing to see how easily and how quickly the outer respectability of Bozzle was restored.	true	495.2	503.89	20
3536_8226_000022_000000	"Well?" said Trevelyan, as soon as they were together in the middle of Stony Walk.	"Well?" said Trevelyan, as soon as they were together in the middle of Stony Walk.	true	504.17	508.48	19.346546
3536_8226_000023_000000	"There hasn't been nothing to be done, sir," said Bozzle.	"There hasn't been nothing to be done, sir," said Bozzle.	true	508.76	511.78	19
3536_8226_000024_000000	"Why not?" Trevelyan could perceive at once that the authority which he had once respected had gone from the man.	"Why not?" Trevelyan could perceive at once that the authority which he had once respected had gone from the man.	true	512.15	518.35	20.026598
3536_8226_000024_000001	Bozzle away from his own home, out on business, with his coat buttoned over his breast, and his best hat in his hand, was aware that he commanded respect,--and he could carry himself accordingly.	Bozzle away from his own home, out on business, with his coat buttoned over his breast, and his best hat in his hand, was aware that he commanded respect,--and he could carry himself accordingly.	true	519.23	530.23	20.668808
3536_8226_000024_000002	He knew himself to be somebody, and could be easy, self-confident, confidential, severe, authoritative, or even arrogant, as the circumstances of the moment might demand.	He knew himself to be somebody, and could be easy, self confident, confidential, severe, authoritative, or even arrogant, as the circumstances of the moment might demand.	true	530.48	541.12	19
3536_8226_000024_000003	But he had been found with his coat off, and a baby in his arms, and he could not recover himself.	But he had been found with his coat off, and a baby in his arms, and he could not recover himself.	true	541.43	546.67	20.655252
3536_8226_000024_000004	"I do not suppose that anybody will question my right to have the care of my own child," said Trevelyan.	"I do not suppose that anybody will question my right to have the care of my own child," said Trevelyan.	true	547.19	552.88	19
3536_8226_000025_000000	"If you would have gone to Mr. Skint, sir--," suggested Bozzle. "There ain't no smarter gent in all the profession, sir, than Mr. Skint."	"If you would have gone to mr Skint, sir-," suggested Bozzle. "There ain't no smarter gent in all the profession, sir, than mr Skint."	true	553.64	560.86	16
3536_8226_000026_000000	Mr. Trevelyan made no reply to this, but walked on in silence, with his minister at his elbow.	mr Trevelyan made no reply to this, but walked on in silence, with his minister at his elbow.	true	561.56	567.43	18
3536_8226_000026_000001	He was very wretched, understanding well the degradation to which he was subjecting himself in discussing his wife's conduct with this man;--but with whom else could he discuss it?	He was very wretched, understanding well the degradation to which he was subjecting himself in discussing his wife's conduct with this man;--but with whom else could he discuss it?	true	567.68	577.93	18
3536_8226_000026_000002	The man seemed to be meaner now than he had been before he had been seen in his own home.	The man seemed to be meaner now than he had been before he had been seen in his own home.	true	578.3	583.06	11
3536_8226_000026_000003	And Trevelyan was conscious too that he himself was not in outward appearance as he used to be; that he was ill-dressed, and haggard, and worn, and visibly a wretched being.	And Trevelyan was conscious too that he himself was not in outward appearance as he used to be; that he was ill dressed, and haggard, and worn, and visibly a wretched being.	true	583.43	593.5	16
3536_8226_000026_000004	How can any man care to dress himself with attention who is always alone, and always miserable when alone?	How can any man care to dress himself with attention who is always alone, and always miserable when alone?	true	593.78	599.71	16
3536_8226_000026_000005	During the months which had passed over him since he had sent his wife away from him, his very nature had been altered, and he himself was aware of the change.	During the months which had passed over him since he had sent his wife away from him, his very nature had been altered, and he himself was aware of the change.	true	600.02	607.96	19
3536_8226_000026_000006	As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected.	As he went about, his eyes were ever cast downwards, and he walked with a quick shuffling gait, and he suspected others, feeling that he himself was suspected.	true	608.21	617.71	22.408543
3536_8226_000026_000007	And all work had ceased with him.	And all work had ceased with him.	true	618.02	619.96	20.944689
3536_8226_000026_000008	Since she had left him he had not read a single book that was worth the reading.	Since she had left him he had not read a single book that was worth the reading.	true	620.12	623.92	16
3536_8226_000026_000009	And he knew it all.	And he knew it all.	true	623.96	625.24	20.115812
3536_8226_000026_000010	He was conscious that he was becoming disgraced and degraded. He would sooner have shot himself than have walked into his club, or even have allowed himself to be seen by daylight in Pall Mall, or Piccadilly.	He was conscious that he was becoming disgraced and degraded. He would sooner have shot himself than have walked into his club, or even have allowed himself to be seen by daylight in Pall Mall, or Piccadilly.	true	625.31	635.74	19
3536_8226_000026_000011	He had taken in his misery to drinking little drops of brandy in the morning, although he knew well that there was no shorter road to the devil than that opened by such a habit.	He had taken in his misery to drinking little drops of brandy in the morning, although he knew well that there was no shorter road to the devil than that opened by such a habit.	true	636.14	645.52	17
3536_8226_000026_000012	He looked up for a moment at Bozzle, and then asked him a question.	He looked up for a moment at Bozzle, and then asked him a question.	true	646.01	649.965	20.047077
3536_8226_000026_000013	"Where is he now?"	"Where is he now?"	true	649.965	651.28	15
3536_8226_000027_000000	"You mean the Colonel, sir.	"You mean the Colonel, sir.	true	651.98	653.41	20.388765
3536_8226_000027_000001	He's up in town, sir, a minding of his parliamentary duties.	He's up in town, sir, a minding of his parliamentary duties.	true	653.51	656.76	16.199656
3536_8226_000027_000002	He have been up all this month, sir."	He have been up all this month, sir."	true	656.76	658.69	21.367842
3536_8226_000028_000000	"They haven't met?"	"They haven't met?"	true	659.42	660.64	21.701082
3536_8226_000029_000000	Bozzle paused a moment before he replied, and then smiled as he spoke.	Bozzle paused a moment before he replied, and then smiled as he spoke.	true	661.37	665.59	20.045267
3536_8226_000029_000001	"It is so hard to say, sir.	"It is so hard to say, sir.	true	665.93	667.89	19.998264
3536_8226_000029_000002	Ladies is so cute and cunning. I've watched as sharp as watching can go, pretty near.	Ladies is so cute and cunning. I've watched as sharp as watching can go, pretty near.	true	667.89	673	19.30318
3536_8226_000029_000003	I've put a youngster on at each hend, and both of 'em 'd hear a mouse stirring in his sleep.	I've put a youngster on at each hend, and both of 'em 'd hear a mouse stirring in his sleep.	false	675.38	680.4	19.47833
3536_8226_000029_000004	I ain't got no evidence, Mr. Trevelyan.	I ain't got no evidence, mr Trevelyan.	true	680.4	682.72	21.827127
3536_8226_000029_000005	But if you ask me my opinion, why in course they've been together somewhere.	But if you ask me my opinion, why in course they've been together somewhere.	true	682.88	686.77	19.638802
3536_8226_000029_000006	It stands to reason, Mr. Trevelyan; don't it?" And Bozzle as he said this smiled almost aloud.	It stands to reason, mr Trevelyan; don't it?" And Bozzle as he said this smiled almost aloud.	true	686.93	693.12	19.622177
3536_8226_000030_000000	"D----n and b----t it all for ever!" said Trevelyan, gnashing his teeth, and moving away into Union Street as fast as he could walk. And he did go away, leaving Bozzle standing in the middle of Stony Walk.	"D----n and b----t it all for ever!" said Trevelyan, gnashing his teeth, and moving away into Union Street as fast as he could walk. And he did go away, leaving Bozzle standing in the middle of Stony Walk.	false	693.12	704.65	18.80885
3536_8226_000031_000000	"He's disturbed in his mind,--quite 'orrid," Bozzle said when he got back to his wife.	"He's disturbed in his mind,--quite 'orrid," Bozzle said when he got back to his wife.	true	704.99	710.205	21.581968
3536_8226_000031_000001	"He cursed and swore as made even me feel bad."	"He cursed and swore as made even me feel bad."	true	710.205	713.05	20
3536_8226_000032_000000	"B.," said his wife, "do you listen to me.	"B.," said his wife, "do you listen to me.	true	713.27	715.9	17
3536_8226_000032_000001	Get in what's a howing, and don't you have nothing more to do with it."	Get in what's a howing, and don't you have nothing more to do with it."	false	716	724.05	19.213594
