3576_138058_000000_000000	They asked him whither he meant to direct his steps.	They asked him whither he meant to direct his steps.	false	0	0.36	9
3576_138058_000011_000001	Dulcinea is perishing, thou art living on regardless, I am dying of hope deferred; therefore untruss thyself with a good will, for mine it is, here, in this retired spot, to give thee at least two thousand lashes."	Dulcinea is perishing, thou art living on regardless, I am dying of hope deferred; therefore untruss thyself with a good will, for mine it is, here, in this retired spot, to give thee at least two thousand lashes."	false	223.97	240.19	22.552063
3576_138058_000012_000000	"Not a bit of it," said Sancho; "let your worship keep quiet, or else by the living God the deaf shall hear us; the lashes I pledged myself to must be voluntary and not forced upon me, and just now I have no fancy to whip myself; it is enough if I give you my word to flog and flap myself when I have a mind."	"Not a bit of it," said Sancho; "let your worship keep quiet, or else by the living God the deaf shall hear us; the lashes I pledged myself to must be voluntary and not forced upon me, and just now I have no fancy to whip myself; it is enough if I give you my word to flog and flap myself when I have a mind."	false	240.5	261.94	21
3576_138058_000013_000000	"It will not do to leave it to thy courtesy, Sancho," said Don Quixote, "for thou art hard of heart and, though a clown, tender of flesh;" and at the same time he strove and struggled to untie him.	"It will not do to leave it to thy courtesy, Sancho," said Don Quixote, "for thou art hard of heart and, though a clown, tender of flesh;" and at the same time he strove and struggled to untie him.	true	262.73	277.39	26.572218
3576_138058_000014_000000	Seeing this Sancho got up, and grappling with his master he gripped him with all his might in his arms, giving him a trip with the heel stretched him on the ground on his back, and pressing his right knee on his chest held his hands in his own so that he could neither move nor breathe.	Seeing this Sancho got up, and grappling with his master he gripped him with all his might in his arms, giving him a trip with the heel stretched him on the ground on his back, and pressing his right knee on his chest held his hands in his own so that he could neither move nor breathe.	true	277.52	293.98	16
3576_138058_000015_000000	"How now, traitor!" exclaimed Don Quixote.	"How now, traitor!" exclaimed Don Quixote.	false	294.41	298.2	20.831392
3576_138058_000015_000001	"Dost thou revolt against thy master and natural lord?	"Dost thou revolt against thy master and natural lord?	true	298.2	301.635	10
3576_138058_000015_000002	Dost thou rise against him who gives thee his bread?"	Dost thou rise against him who gives thee his bread?"	true	301.635	305.08	15
3576_138058_000016_000000	"I neither put down king, nor set up king," said Sancho; "I only stand up for myself who am my own lord; if your worship promises me to be quiet, and not to offer to whip me now, I'll let you go free and unhindered; if not--	"I neither put down king, nor set up king," said Sancho; "I only stand up for myself who am my own lord; if your worship promises me to be quiet, and not to offer to whip me now, I'll let you go free and unhindered; if not-	false	305.75	323.26	22.28892
3576_138058_000017_000000	Traitor and Dona Sancha's foe, Thou diest on the spot." Don Quixote gave his promise, and swore by the life of his thoughts not to touch so much as a hair of his garments, and to leave him entirely free and to his own discretion to whip himself whenever he pleased.	Traitor and Dona Sancha's foe, Thou diest on the spot." Don Quixote gave his promise, and swore by the life of his thoughts not to touch so much as a hair of his garments, and to leave him entirely free and to his own discretion to whip himself whenever he pleased.	false	323.42	343.87	21
3576_138058_000018_000000	Sancho rose and removed some distance from the spot, but as he was about to place himself leaning against another tree he felt something touch his head, and putting up his hands encountered somebody's two feet with shoes and stockings on them.	Sancho rose and removed some distance from the spot, but as he was about to place himself leaning against another tree he felt something touch his head, and putting up his hands encountered somebody's two feet with shoes and stockings on them.	true	344.45	359.77	17
3576_138058_000018_000001	He trembled with fear and made for another tree, where the very same thing happened to him, and he fell a-shouting, calling upon Don Quixote to come and protect him.	He trembled with fear and made for another tree, where the very same thing happened to him, and he fell a shouting, calling upon Don Quixote to come and protect him.	true	360.05	371.05	21
3576_138058_000018_000002	Don Quixote did so, and asked him what had happened to him, and what he was afraid of.	Don Quixote did so, and asked him what had happened to him, and what he was afraid of.	true	371.27	376.27	21.142439
3576_138058_000018_000003	Sancho replied that all the trees were full of men's feet and legs.	Sancho replied that all the trees were full of men's feet and legs.	true	377.03	381.34	18
3576_138058_000018_000004	Don Quixote felt them, and guessed at once what it was, and said to Sancho, "Thou hast nothing to be afraid of, for these feet and legs that thou feelest but canst not see belong no doubt to some outlaws and freebooters that have been hanged on these trees; for the authorities in these parts are wont to hang them up by twenties and thirties when they catch them; whereby I conjecture that I must be near Barcelona;" and it was, in fact, as he supposed; with the first light they looked up and saw that the fruit hanging on those trees were freebooters' bodies.	Don Quixote felt them, and guessed at once what it was, and said to Sancho, "Thou hast nothing to be afraid of, for these feet and legs that thou feelest but canst not see belong no doubt to some outlaws and freebooters that have been hanged on these trees; for the authorities in these parts are wont to hang them up by twenties and thirties when they catch them; whereby I conjecture that I must be near Barcelona;" and it was, in fact, as he supposed; with the first light they looked up and saw that the fruit hanging on those trees were freebooters' bodies.	false	381.56	419.77	20.964596
3576_138058_000019_000000	And now day dawned; and if the dead freebooters had scared them, their hearts were no less troubled by upwards of forty living ones, who all of a sudden surrounded them, and in the Catalan tongue bade them stand and wait until their captain came up.	And now day dawned; and if the dead freebooters had scared them, their hearts were no less troubled by upwards of forty living ones, who all of a sudden surrounded them, and in the Catalan tongue bade them stand and wait until their captain came up.	true	421.79	439.75	17
3576_138058_000019_000001	Don Quixote was on foot with his horse unbridled and his lance leaning against a tree, and in short completely defenceless; he thought it best therefore to fold his arms and bow his head and reserve himself for a more favourable occasion and opportunity. The robbers made haste to search Dapple, and did not leave him a single thing of all he carried in the alforjas and in the valise; and lucky it was for Sancho that the duke's crowns and those he brought from home were in a girdle that he wore round him; but for all that these good folk would have stripped him, and even looked to see what he had hidden between the skin and flesh, but for the arrival at that moment of their captain, who was about thirty-four years of age apparently, strongly built, above the middle height, of stern aspect and swarthy complexion. He was mounted upon a powerful horse, and had on a coat of mail, with four of the pistols they call petronels in that country at his waist.	Don Quixote was on foot with his horse unbridled and his lance leaning against a tree, and in short completely defenceless; he thought it best therefore to fold his arms and bow his head and reserve himself for a more favourable occasion and opportunity. The robbers made haste to search Dapple, and did not leave him a single thing of all he carried in the alforjas and in the valise; and lucky it was for Sancho that the duke's crowns and those he brought from home were in a girdle that he wore round him; but for all that these good folk would have stripped him, and even looked to see what he had hidden between the skin and flesh, but for the arrival at that moment of their captain, who was about thirty four years of age apparently, strongly built, above the middle height, of stern aspect and swarthy complexion. He was mounted upon a powerful horse, and had on a coat of mail, with four of the pistols they call petronels in that country at his waist.	false	440.63	504.94	19
3576_138058_000019_000002	He saw that his squires (for so they call those who follow that trade) were about to rifle Sancho Panza, but he ordered them to desist and was at once obeyed, so the girdle escaped.	He saw that his squires (for so they call those who follow that trade) were about to rifle Sancho Panza, but he ordered them to desist and was at once obeyed, so the girdle escaped.	true	505.46	516.82	20.912834
3576_138058_000019_000003	He wondered to see the lance leaning against the tree, the shield on the ground, and Don Quixote in armour and dejected, with the saddest and most melancholy face that sadness itself could produce; and going up to him he said, "Be not so cast down, good man, for you have not fallen into the hands of any inhuman Busiris, but into Roque Guinart's, which are more merciful than cruel."	He wondered to see the lance leaning against the tree, the shield on the ground, and Don Quixote in armour and dejected, with the saddest and most melancholy face that sadness itself could produce; and going up to him he said, "Be not so cast down, good man, for you have not fallen into the hands of any inhuman Busiris, but into Roque Guinart's, which are more merciful than cruel."	true	517.46	543.88	21
3576_138058_000020_000000	"The cause of my dejection," returned Don Quixote, "is not that I have fallen into thy hands, O valiant Roque, whose fame is bounded by no limits on earth, but that my carelessness should have been so great that thy soldiers should have caught me unbridled, when it is my duty, according to the rule of knight-errantry which I profess, to be always on the alert and at all times my own sentinel; for let me tell thee, great Roque, had they found me on my horse, with my lance and shield, it would not have been very easy for them to reduce me to submission, for I am Don Quixote of La Mancha, he who hath filled the whole world with his achievements."	"The cause of my dejection," returned Don Quixote, "is not that I have fallen into thy hands, O valiant Roque, whose fame is bounded by no limits on earth, but that my carelessness should have been so great that thy soldiers should have caught me unbridled, when it is my duty, according to the rule of knight errantry which I profess, to be always on the alert and at all times my own sentinel; for let me tell thee, great Roque, had they found me on my horse, with my lance and shield, it would not have been very easy for them to reduce me to submission, for I am Don Quixote of La Mancha, he who hath filled the whole world with his achievements."	false	545	590.89	20
3576_138058_000021_000000	Roque Guinart at once perceived that Don Quixote's weakness was more akin to madness than to swagger; and though he had sometimes heard him spoken of, he never regarded the things attributed to him as true, nor could he persuade himself that such a humour could become dominant in the heart of man; he was extremely glad, therefore, to meet him and test at close quarters what he had heard of him at a distance; so he said to him, "Despair not, valiant knight, nor regard as an untoward fate the position in which thou findest thyself; it may be that by these slips thy crooked fortune will make itself straight; for heaven by strange circuitous ways, mysterious and incomprehensible to man, raises up the fallen and makes rich the poor."	Roque Guinart at once perceived that Don Quixote's weakness was more akin to madness than to swagger; and though he had sometimes heard him spoken of, he never regarded the things attributed to him as true, nor could he persuade himself that such a humour could become dominant in the heart of man; he was extremely glad, therefore, to meet him and test at close quarters what he had heard of him at a distance; so he said to him, "Despair not, valiant knight, nor regard as an untoward fate the position in which thou findest thyself; it may be that by these slips thy crooked fortune will make itself straight; for heaven by strange circuitous ways, mysterious and incomprehensible to man, raises up the fallen and makes rich the poor."	false	592.94	642.73	20
3576_138058_000022_000000	Don Quixote was about to thank him, when they heard behind them a noise as of a troop of horses; there was, however, but one, riding on which at a furious pace came a youth, apparently about twenty years of age, clad in green damask edged with gold and breeches and a loose frock, with a hat looped up in the Walloon fashion, tight-fitting polished boots, gilt spurs, dagger and sword, and in his hand a musketoon, and a pair of pistols at his waist.	Don Quixote was about to thank him, when they heard behind them a noise as of a troop of horses; there was, however, but one, riding on which at a furious pace came a youth, apparently about twenty years of age, clad in green damask edged with gold and breeches and a loose frock, with a hat looped up in the Walloon fashion, tight fitting polished boots, gilt spurs, dagger and sword, and in his hand a musketoon, and a pair of pistols at his waist.	false	644.09	675.22	20
3576_138058_000023_000000	Roque turned round at the noise and perceived this comely figure, which drawing near thus addressed him, "I came in quest of thee, valiant Roque, to find in thee if not a remedy at least relief in my misfortune; and not to keep thee in suspense, for I see thou dost not recognise me, I will tell thee who I am; I am Claudia Jeronima, the daughter of Simon Forte, thy good friend, and special enemy of Clauquel Torrellas, who is thine also as being of the faction opposed to thee.	Roque turned round at the noise and perceived this comely figure, which drawing near thus addressed him, "I came in quest of thee, valiant Roque, to find in thee if not a remedy at least relief in my misfortune; and not to keep thee in suspense, for I see thou dost not recognise me, I will tell thee who I am; I am Claudia Jeronima, the daughter of Simon Forte, thy good friend, and special enemy of Clauquel Torrellas, who is thine also as being of the faction opposed to thee.	false	675.29	707.92	21
3576_138058_000023_000001	Thou knowest that this Torrellas has a son who is called, or at least was not two hours since, Don Vicente Torrellas.	Thou knowest that this Torrellas has a son who is called, or at least was not two hours since, Don Vicente Torrellas.	false	708.41	718.08	20.593443
3576_138058_000023_000002	Well, to cut short the tale of my misfortune, I will tell thee in a few words what this youth has brought upon me.	Well, to cut short the tale of my misfortune, I will tell thee in a few words what this youth has brought upon me.	true	718.08	725.38	17
3576_138058_000023_000003	He saw me, he paid court to me, I listened to him, and, unknown to my father, I loved him; for there is no woman, however secluded she may live or close she may be kept, who will not have opportunities and to spare for following her headlong impulses.	He saw me, he paid court to me, I listened to him, and, unknown to my father, I loved him; for there is no woman, however secluded she may live or close she may be kept, who will not have opportunities and to spare for following her headlong impulses.	true	726.32	743.08	16
3576_138058_000023_000004	In a word, he pledged himself to be mine, and I promised to be his, without carrying matters any further. Yesterday I learned that, forgetful of his pledge to me, he was about to marry another, and that he was to go this morning to plight his troth, intelligence which overwhelmed and exasperated me; my father not being at home I was able to adopt this costume you see, and urging my horse to speed I overtook Don Vicente about a league from this, and without waiting to utter reproaches or hear excuses I fired this musket at him, and these two pistols besides, and to the best of my belief I must have lodged more than two bullets in his body, opening doors to let my honour go free, enveloped in his blood.	In a word, he pledged himself to be mine, and I promised to be his, without carrying matters any further. Yesterday I learned that, forgetful of his pledge to me, he was about to marry another, and that he was to go this morning to plight his troth, intelligence which overwhelmed and exasperated me; my father not being at home I was able to adopt this costume you see, and urging my horse to speed I overtook Don Vicente about a league from this, and without waiting to utter reproaches or hear excuses I fired this musket at him, and these two pistols besides, and to the best of my belief I must have lodged more than two bullets in his body, opening doors to let my honour go free, enveloped in his blood.	false	743.75	789.88	21
3576_138058_000023_000005	I left him there in the hands of his servants, who did not dare and were not able to interfere in his defence, and I come to seek from thee a safe-conduct into France, where I have relatives with whom I can live; and also to implore thee to protect my father, so that Don Vicente's numerous kinsmen may not venture to wreak their lawless vengeance upon him."	I left him there in the hands of his servants, who did not dare and were not able to interfere in his defence, and I come to seek from thee a safe conduct into France, where I have relatives with whom I can live; and also to implore thee to protect my father, so that Don Vicente's numerous kinsmen may not venture to wreak their lawless vengeance upon him."	false	791.06	813.07	16
3576_138058_000024_000000	Roque, filled with admiration at the gallant bearing, high spirit, comely figure, and adventure of the fair Claudia, said to her, "Come, senora, let us go and see if thy enemy is dead; and then we will consider what will be best for thee." Don Quixote, who had been listening to what Claudia said and Roque Guinart said in reply to her, exclaimed, "Nobody need trouble himself with the defence of this lady, for I take it upon myself.	Roque, filled with admiration at the gallant bearing, high spirit, comely figure, and adventure of the fair Claudia, said to her, "Come, senora, let us go and see if thy enemy is dead; and then we will consider what will be best for thee." Don Quixote, who had been listening to what Claudia said and Roque Guinart said in reply to her, exclaimed, "Nobody need trouble himself with the defence of this lady, for I take it upon myself.	true	814.07	842.97	20.903027
3576_138058_000024_000001	Give me my horse and arms, and wait for me here; I will go in quest of this knight, and dead or alive I will make him keep his word plighted to so great beauty."	Give me my horse and arms, and wait for me here; I will go in quest of this knight, and dead or alive I will make him keep his word plighted to so great beauty."	true	842.97	852.85	22
3576_138058_000025_000000	"Nobody need have any doubt about that," said Sancho, "for my master has a very happy knack of matchmaking; it's not many days since he forced another man to marry, who in the same way backed out of his promise to another maiden; and if it had not been for his persecutors the enchanters changing the man's proper shape into a lacquey's the said maiden would not be one this minute."	"Nobody need have any doubt about that," said Sancho, "for my master has a very happy knack of matchmaking; it's not many days since he forced another man to marry, who in the same way backed out of his promise to another maiden; and if it had not been for his persecutors the enchanters changing the man's proper shape into a lacquey's the said maiden would not be one this minute."	true	852.95	877.09	18
3576_138058_000026_000000	Roque, who was paying more attention to the fair Claudia's adventure than to the words of master or man, did not hear them; and ordering his squires to restore to Sancho everything they had stripped Dapple of, he directed them to return to the place where they had been quartered during the night, and then set off with Claudia at full speed in search of the wounded or slain Don Vicente.	Roque, who was paying more attention to the fair Claudia's adventure than to the words of master or man, did not hear them; and ordering his squires to restore to Sancho everything they had stripped Dapple of, he directed them to return to the place where they had been quartered during the night, and then set off with Claudia at full speed in search of the wounded or slain Don Vicente.	true	878.12	900.88	13
3576_138058_000026_000001	They reached the spot where Claudia met him, but found nothing there save freshly spilt blood; looking all round, however, they descried some people on the slope of a hill above them, and concluded, as indeed it proved to be, that it was Don Vicente, whom either dead or alive his servants were removing to attend to his wounds or to bury him.	They reached the spot where Claudia met him, but found nothing there save freshly spilt blood; looking all round, however, they descried some people on the slope of a hill above them, and concluded, as indeed it proved to be, that it was Don Vicente, whom either dead or alive his servants were removing to attend to his wounds or to bury him.	false	901.55	923.56	16
3576_138058_000026_000002	They made haste to overtake them, which, as the party moved slowly, they were able to do with ease.	They made haste to overtake them, which, as the party moved slowly, they were able to do with ease.	true	923.84	929.62	17
3576_138058_000026_000003	They found Don Vicente in the arms of his servants, whom he was entreating in a broken feeble voice to leave him there to die, as the pain of his wounds would not suffer him to go any farther.	They found Don Vicente in the arms of his servants, whom he was entreating in a broken feeble voice to leave him there to die, as the pain of his wounds would not suffer him to go any farther.	false	929.99	942.16	17
3576_138058_000026_000004	Claudia and Roque threw themselves off their horses and advanced towards him; the servants were overawed by the appearance of Roque, and Claudia was moved by the sight of Don Vicente, and going up to him half tenderly half sternly, she seized his hand and said to him, "Hadst thou given me this according to our compact thou hadst never come to this pass."	Claudia and Roque threw themselves off their horses and advanced towards him; the servants were overawed by the appearance of Roque, and Claudia was moved by the sight of Don Vicente, and going up to him half tenderly half sternly, she seized his hand and said to him, "Hadst thou given me this according to our compact thou hadst never come to this pass."	false	942.59	967.84	18
3576_138058_000027_000000	The wounded gentleman opened his all but closed eyes, and recognising Claudia said, "I see clearly, fair and mistaken lady, that it is thou that hast slain me, a punishment not merited or deserved by my feelings towards thee, for never did I mean to, nor could I, wrong thee in thought or deed."	The wounded gentleman opened his all but closed eyes, and recognising Claudia said, "I see clearly, fair and mistaken lady, that it is thou that hast slain me, a punishment not merited or deserved by my feelings towards thee, for never did I mean to, nor could I, wrong thee in thought or deed."	false	968.72	994.78	20.051413
3576_138058_000028_000000	"It is not true, then," said Claudia, "that thou wert going this morning to marry Leonora the daughter of the rich Balvastro?"	"It is not true, then," said Claudia, "that thou wert going this morning to marry Leonora the daughter of the rich Balvastro?"	false	995.9	1006.21	20.878906
3576_138058_000029_000000	"Assuredly not," replied Don Vicente; "my cruel fortune must have carried those tidings to thee to drive thee in thy jealousy to take my life; and to assure thyself of this, press my hands and take me for thy husband if thou wilt; I have no better satisfaction to offer thee for the wrong thou fanciest thou hast received from me."	"Assuredly not," replied Don Vicente; "my cruel fortune must have carried those tidings to thee to drive thee in thy jealousy to take my life; and to assure thyself of this, press my hands and take me for thy husband if thou wilt; I have no better satisfaction to offer thee for the wrong thou fanciest thou hast received from me."	false	1006.88	1036.12	19.89867
3576_138058_000030_000000	Claudia wrung his hands, and her own heart was so wrung that she lay fainting on the bleeding breast of Don Vicente, whom a death spasm seized the same instant.	Claudia wrung his hands, and her own heart was so wrung that she lay fainting on the bleeding breast of Don Vicente, whom a death spasm seized the same instant.	true	1037.03	1048.42	15
3576_138058_000030_000001	Roque was in perplexity and knew not what to do; the servants ran to fetch water to sprinkle their faces, and brought some and bathed them with it.	Roque was in perplexity and knew not what to do; the servants ran to fetch water to sprinkle their faces, and brought some and bathed them with it.	true	1049.06	1057.81	18
3576_138058_000030_000002	Claudia recovered from her fainting fit, but not so Don Vicente from the paroxysm that had overtaken him, for his life had come to an end.	Claudia recovered from her fainting fit, but not so Don Vicente from the paroxysm that had overtaken him, for his life had come to an end.	false	1057.91	1067.35	16
3576_138058_000030_000003	On perceiving this, Claudia, when she had convinced herself that her beloved husband was no more, rent the air with her sighs and made the heavens ring with her lamentations; she tore her hair and scattered it to the winds, she beat her face with her hands and showed all the signs of grief and sorrow that could be conceived to come from an afflicted heart.	On perceiving this, Claudia, when she had convinced herself that her beloved husband was no more, rent the air with her sighs and made the heavens ring with her lamentations; she tore her hair and scattered it to the winds, she beat her face with her hands and showed all the signs of grief and sorrow that could be conceived to come from an afflicted heart.	true	1068.08	1090.39	15
3576_138058_000030_000004	"Cruel, reckless woman!" she cried, "how easily wert thou moved to carry out a thought so wicked!	"Cruel, reckless woman!" she cried, "how easily wert thou moved to carry out a thought so wicked!	true	1090.79	1098.25	18
3576_138058_000030_000005	O furious force of jealousy, to what desperate lengths dost thou lead those that give thee lodging in their bosoms!	O furious force of jealousy, to what desperate lengths dost thou lead those that give thee lodging in their bosoms!	false	1098.29	1106.7	20
3576_138058_000030_000006	O husband, whose unhappy fate in being mine hath borne thee from the marriage bed to the grave!"	O husband, whose unhappy fate in being mine hath borne thee from the marriage bed to the grave!"	false	1106.7	1115.32	19.343225
3576_138058_000031_000000	So vehement and so piteous were the lamentations of Claudia that they drew tears from Roque's eyes, unused as they were to shed them on any occasion.	So vehement and so piteous were the lamentations of Claudia that they drew tears from Roque's eyes, unused as they were to shed them on any occasion.	false	1116.23	1127.26	14
3576_138058_000031_000001	The servants wept, Claudia swooned away again and again, and the whole place seemed a field of sorrow and an abode of misfortune.	The servants wept, Claudia swooned away again and again, and the whole place seemed a field of sorrow and an abode of misfortune.	true	1127.69	1137.52	16
3576_138058_000031_000002	In the end Roque Guinart directed Don Vicente's servants to carry his body to his father's village, which was close by, for burial.	In the end Roque Guinart directed Don Vicente's servants to carry his body to his father's village, which was close by, for burial.	true	1138.49	1147.81	17
3576_138058_000031_000003	Claudia told him she meant to go to a monastery of which an aunt of hers was abbess, where she intended to pass her life with a better and everlasting spouse.	Claudia told him she meant to go to a monastery of which an aunt of hers was abbess, where she intended to pass her life with a better and everlasting spouse.	false	1148.3	1158.34	13
3576_138058_000031_000004	He applauded her pious resolution, and offered to accompany her whithersoever she wished, and to protect her father against the kinsmen of Don Vicente and all the world, should they seek to injure him.	He applauded her pious resolution, and offered to accompany her whithersoever she wished, and to protect her father against the kinsmen of Don Vicente and all the world, should they seek to injure him.	true	1158.62	1171.33	16
3576_138058_000031_000005	Claudia would not on any account allow him to accompany her; and thanking him for his offers as well as she could, took leave of him in tears.	Claudia would not on any account allow him to accompany her; and thanking him for his offers as well as she could, took leave of him in tears.	true	1171.67	1181.08	15
3576_138058_000031_000006	The servants of Don Vicente carried away his body, and Roque returned to his comrades, and so ended the love of Claudia Jeronima; but what wonder, when it was the insuperable and cruel might of jealousy that wove the web of her sad story?	The servants of Don Vicente carried away his body, and Roque returned to his comrades, and so ended the love of Claudia Jeronima; but what wonder, when it was the insuperable and cruel might of jealousy that wove the web of her sad story?	false	1181.93	1200.01	16
