6241_61943_000000_000000	"Enough for one day," said my uncle, rubbing his hands, "we will begin again tomorrow."	"Enough for one day," said my uncle, rubbing his hands, "we will begin again tomorrow."	false	0	5.67	20.987701
6241_61943_000007_000000	"An excellent wind!" replied Captain Bjarne; "we shall leave the Sound, going free with all sails set."	"An excellent wind!" replied Captain Bjarne; "we shall leave the Sound, going free with all sails set."	false	75.2	82.21	21.14366
6241_61943_000008_000000	A few minutes afterwards, the schooner started before the wind, under all the canvas she could carry, and entered the channel.	A few minutes afterwards, the schooner started before the wind, under all the canvas she could carry, and entered the channel.	true	83.15	89.26	21.3028
6241_61943_000008_000001	An hour later, the capital of Denmark seemed to sink into the waves, and we were at no great distance from the coast of Elsinore.	An hour later, the capital of Denmark seemed to sink into the waves, and we were at no great distance from the coast of Elsinore.	false	89.63	96.55	21.14654
6241_61943_000008_000002	My uncle was delighted; for myself, moody and dissatisfied, I appeared almost to expect a glimpse of the ghost of Hamlet.	My uncle was delighted; for myself, moody and dissatisfied, I appeared almost to expect a glimpse of the ghost of Hamlet.	true	96.92	104.29	23.11311
6241_61943_000009_000000	"Sublime madman," thought I, "you doubtless would approve our proceedings.	"Sublime madman," thought I, "you doubtless would approve our proceedings.	true	104.81	109.17	20.802914
6241_61943_000009_000001	You might perhaps even follow us to the centre of the earth, there to resolve your eternal doubts."	You might perhaps even follow us to the centre of the earth, there to resolve your eternal doubts."	true	109.17	113.71	20
6241_61943_000010_000000	But no ghost or anything else appeared upon the ancient walls.	But no ghost or anything else appeared upon the ancient walls.	true	114.26	117.31	18
6241_61943_000010_000001	The fact is, the castle is much later than the time of the heroic prince of Denmark.	The fact is, the castle is much later than the time of the heroic prince of Denmark.	true	117.53	122.26	22
6241_61943_000010_000002	It is now the residence of the keeper of the Strait of the Sound, and through that Sound more than fifteen thousand vessels of all nations pass every year.	It is now the residence of the keeper of the Strait of the Sound, and through that Sound more than fifteen thousand vessels of all nations pass every year.	false	122.45	131.14	20
6241_61943_000011_000000	The castle of Kronborg soon disappeared in the murky atmosphere, as well as the tower of Helsinborg, which raises its head on the Swedish Bank. And here the schooner began to feel in earnest the breezes of the Kattegat.	The castle of Kronborg soon disappeared in the murky atmosphere, as well as the tower of Helsinborg, which raises its head on the Swedish Bank. And here the schooner began to feel in earnest the breezes of the Kattegat.	true	131.84	143.62	21.093096
6241_61943_000011_000001	The <i>Valkyrie</i> was swift enough, but with all sailing boats there is the same uncertainty.	The less than i greater than Valkyrie less than/i greater than was swift enough, but with all sailing boats there is the same uncertainty.	false	144.41	148.78	19
6241_61943_000011_000002	Her cargo was coal, furniture, pottery, woolen clothing, and a load of corn.	Her cargo was coal, furniture, pottery, woolen clothing, and a load of corn.	true	149.03	154.21	23.202003
6241_61943_000011_000003	As usual, the crew was small, five Danes doing the whole of the work.	As usual, the crew was small, five Danes doing the whole of the work.	true	154.31	158.44	21.836819
6241_61943_000012_000000	"How long will the voyage last?" asked my uncle.	"How long will the voyage last?" asked my uncle.	true	159.8	162.73	21.713392
6241_61943_000013_000000	"Well, I should think about ten days," replied the skipper, "unless, indeed, we meet with some northeast gales among the Faroe Islands."	"Well, I should think about ten days," replied the skipper, "unless, indeed, we meet with some northeast gales among the Faroe Islands."	false	163.25	171.49	19.99178
6241_61943_000014_000000	"At all events, there will be no very considerable delay," cried the impatient Professor.	"At all events, there will be no very considerable delay," cried the impatient Professor.	true	172.52	176.68	18
6241_61943_000015_000000	"No, Mr. Hardwigg," said the captain, "no fear of that.	"No, mr Hardwigg," said the captain, "no fear of that.	true	177.32	180.73	19.774206
6241_61943_000015_000001	At all events, we shall get there some day."	At all events, we shall get there some day."	true	180.89	183.1	21.703932
6241_61943_000016_000000	Towards evening the schooner doubled Cape Skagen, the northernmost part of Denmark, crossed the Skagerrak during the night--skirted the extreme point of Norway through the gut of Cape Lindesnes, and then reached the Northern Seas.	Towards evening the schooner doubled Cape Skagen, the northernmost part of Denmark, crossed the Skagerrak during the night-skirted the extreme point of Norway through the gut of Cape Lindesnes, and then reached the Northern Seas.	false	184.55	197.65	21.238354
6241_61943_000016_000001	Two days later we were not far from the coast of Scotland, somewhere near what Danish sailors call Peterhead, and then the <i>Valkyrie</i> stretched out direct for the Faroe Islands, between Orkney and Shetland.	Two days later we were not far from the coast of Scotland, somewhere near what Danish sailors call Peterhead, and then the less than i greater than Valkyrie less than/i greater than stretched out direct for the Faroe Islands, between Orkney and Shetland.	false	199.31	208.99	22
6241_61943_000016_000002	Our vessel now felt the full force of the ocean waves, and the wind shifting, we with great difficulty made the Faroe Isles.	Our vessel now felt the full force of the ocean waves, and the wind shifting, we with great difficulty made the Faroe Isles.	false	209.63	217.74	20.11783
6241_61943_000016_000003	On the eighth day, the captain made out Myganness, the westernmost of the isles, and from that moment headed direct for Portland, a cape on the southern shores of the singular island for which we were bound.	On the eighth day, the captain made out Myganness, the westernmost of the isles, and from that moment headed direct for Portland, a cape on the southern shores of the singular island for which we were bound.	true	217.74	227.62	19
6241_61943_000017_000000	The voyage offered no incident worthy of record.	The voyage offered no incident worthy of record.	true	228.26	230.89	20.480665
6241_61943_000017_000001	I bore it very well, but my uncle to his great annoyance, and even shame, was remarkably seasick!	I bore it very well, but my uncle to his great annoyance, and even shame, was remarkably seasick!	true	230.93	236.43	20.375721
6241_61943_000017_000002	This mal de mer troubled him the more that it prevented him from questioning Captain Bjarne as to the subject of Sneffels, as to the means of communication, and the facilities of transport.	This mal de mer troubled him the more that it prevented him from questioning Captain Bjarne as to the subject of Sneffels, as to the means of communication, and the facilities of transport.	false	236.43	247.18	19.83588
6241_61943_000017_000003	All these explanations he had to adjourn to the period of his arrival.	All these explanations he had to adjourn to the period of his arrival.	true	247.64	251.17	17
6241_61943_000017_000004	His time, meanwhile, was spent lying in bed groaning, and dwelling anxiously on the hoped--for termination of the voyage.	His time, meanwhile, was spent lying in bed groaning, and dwelling anxiously on the hoped-for termination of the voyage.	true	252.29	258.31	16
6241_61943_000017_000005	I didn't pity him.	I didn't pity him.	true	258.68	260.05	18.528147
6241_61943_000018_000000	On the eleventh day we sighted Cape Portland, over which towered Mount Myrdals Yokul, which, the weather being clear, we made out very readily. The cape itself is nothing but a huge mount of granite standing naked and alone to meet the Atlantic waves.	On the eleventh day we sighted Cape Portland, over which towered Mount Myrdals Yokul, which, the weather being clear, we made out very readily. The cape itself is nothing but a huge mount of granite standing naked and alone to meet the Atlantic waves.	true	260.9	274.81	20
6241_61943_000018_000001	The <i>Valkyrie</i> kept off the coast, steering to the westward.	The less than i greater than Valkyrie less than/i greater than kept off the coast, steering to the westward.	false	275.48	278.71	21.848516
6241_61943_000018_000002	On all sides were to be seen whole "schools" of whales and sharks.	On all sides were to be seen whole "schools" of whales and sharks.	true	279.47	283.27	17
6241_61943_000018_000003	After some hours we came in sight of a solitary rock in the ocean, forming a mighty vault, through which the foaming waves poured with intense fury.	After some hours we came in sight of a solitary rock in the ocean, forming a mighty vault, through which the foaming waves poured with intense fury.	true	283.97	291.73	20.77157
6241_61943_000018_000004	The islets of Westman appeared to leap from the ocean, being so low in the water as scarcely to be seen until you were right upon them.	The islets of Westman appeared to leap from the ocean, being so low in the water as scarcely to be seen until you were right upon them.	false	292.49	299.98	17
6241_61943_000018_000005	From that moment the schooner was steered to the westward in order to round Cape Reykjanes, the western point of Iceland.	From that moment the schooner was steered to the westward in order to round Cape Reykjanes, the western point of Iceland.	true	300.32	306.97	22.072857
6241_61943_000019_000000	My uncle, to his great disgust, was unable even to crawl on deck, so heavy a sea was on, and thus lost the first view of the Land of Promise. Forty-eight hours later, after a storm which drove us far to sea under bare poles, we came once more in sight of land, and were boarded by a pilot, who, after three hours of dangerous navigation, brought the schooner safely to an anchor in the bay of Faxa before Reykjavik.	My uncle, to his great disgust, was unable even to crawl on deck, so heavy a sea was on, and thus lost the first view of the Land of Promise. Forty eight hours later, after a storm which drove us far to sea under bare poles, we came once more in sight of land, and were boarded by a pilot, who, after three hours of dangerous navigation, brought the schooner safely to an anchor in the bay of Faxa before Reykjavik.	false	307.67	333.73	21.01497
6241_61943_000020_000000	My uncle came out of his cabin pale, haggard, thin, but full of enthusiasm, his eyes dilated with pleasure and satisfaction.	My uncle came out of his cabin pale, haggard, thin, but full of enthusiasm, his eyes dilated with pleasure and satisfaction.	true	334.25	342.1	20.97473
6241_61943_000020_000001	Nearly the whole population of the town was on foot to see us land.	Nearly the whole population of the town was on foot to see us land.	true	342.56	346.09	20
6241_61943_000020_000002	The fact was, that scarcely any one of them but expected some goods by the periodical vessel.	The fact was, that scarcely any one of them but expected some goods by the periodical vessel.	true	346.31	351.85	19
6241_61943_000021_000000	Professor Hardwigg was in haste to leave his prison, or rather as he called it, his hospital; but before he attempted to do so, he caught hold of my hand, led me to the quarterdeck of the schooner, took my arm with his left hand, and pointed inland with his right, over the northern part of the bay, to where rose a high two-peaked mountain--a double cone covered with eternal snow.	Professor Hardwigg was in haste to leave his prison, or rather as he called it, his hospital; but before he attempted to do so, he caught hold of my hand, led me to the quarterdeck of the schooner, took my arm with his left hand, and pointed inland with his right, over the northern part of the bay, to where rose a high two peaked mountain-a double cone covered with eternal snow.	true	352.31	373.54	21.334187
6241_61943_000022_000000	"Behold he whispered in an awe-stricken voice, behold--Mount Sneffels!"	"Behold he whispered in an awe stricken voice, behold-Mount Sneffels!"	true	374.63	379.72	18.659142
6241_61943_000023_000000	Then without further remark, he put his finger to his lips, frowned darkly, and descended into the small boat which awaited us.	Then without further remark, he put his finger to his lips, frowned darkly, and descended into the small boat which awaited us.	true	381.26	388.45	22
6241_61943_000023_000001	I followed, and in a few minutes we stood upon the soil of mysterious Iceland!	I followed, and in a few minutes we stood upon the soil of mysterious Iceland!	true	389.24	394.27	19.53745
6241_61943_000024_000000	Scarcely were we fairly on shore when there appeared before us a man of excellent appearance, wearing the costume of a military officer.	Scarcely were we fairly on shore when there appeared before us a man of excellent appearance, wearing the costume of a military officer.	true	394.49	401.59	17
6241_61943_000024_000001	He was, however, but a civil servant, a magistrate, the governor of the island--Baron Trampe.	He was, however, but a civil servant, a magistrate, the governor of the island-Baron Trampe.	true	401.87	408.22	20.364662
6241_61943_000024_000002	The Professor knew whom he had to deal with.	The Professor knew whom he had to deal with.	true	408.62	410.8	17.279259
6241_61943_000024_000003	He therefore handed him the letters from Copenhagen, and a brief conversation in Danish followed, to which I of course was a stranger, and for a very good reason, for I did not know the language in which they conversed.	He therefore handed him the letters from Copenhagen, and a brief conversation in Danish followed, to which I of course was a stranger, and for a very good reason, for I did not know the language in which they conversed.	true	411.14	422.89	19.03423
6241_61943_000024_000004	I afterwards heard, however, that Baron Trampe placed himself entirely at the beck and call of Professor Hardwigg.	I afterwards heard, however, that Baron Trampe placed himself entirely at the beck and call of Professor Hardwigg.	false	423.32	429.19	21.537966
6241_61943_000025_000000	My uncle was most graciously received by M. Finsen, the mayor, who as far as costume went, was quite as military as the governor, but also from character and occupation quite as pacific.	My uncle was most graciously received by m Finsen, the mayor, who as far as costume went, was quite as military as the governor, but also from character and occupation quite as pacific.	false	430.19	441.7	22.26008
6241_61943_000025_000001	As for his coadjutor, M. Pictursson, he was absent on an episcopal visit to the northern portion of the diocese.	As for his coadjutor, m Pictursson, he was absent on an episcopal visit to the northern portion of the diocese.	false	442.67	450.64	21.702099
6241_61943_000025_000002	We were therefore compelled to defer the pleasure of being presented to him.	We were therefore compelled to defer the pleasure of being presented to him.	true	451.16	454.78	19.48068
6241_61943_000025_000003	His absence was, however, more than compensated by the presence of M. Fridriksson, professor of natural science in the college of Reykjavik, a man of invaluable ability.	His absence was, however, more than compensated by the presence of m Fridriksson, professor of natural science in the college of Reykjavik, a man of invaluable ability.	false	455.39	465.25	20.953571
6241_61943_000025_000004	This modest scholar spoke no languages save Icelandic and Latin.	This modest scholar spoke no languages save Icelandic and Latin.	true	465.98	470.14	19
6241_61943_000025_000005	When, therefore, he addressed himself to me in the language of Horace, we at once came to understand one another.	When, therefore, he addressed himself to me in the language of Horace, we at once came to understand one another.	true	470.42	476.11	19
6241_61943_000025_000006	He was, in fact, the only person that I did thoroughly understand during the whole period of my residence in this benighted island.	He was, in fact, the only person that I did thoroughly understand during the whole period of my residence in this benighted island.	true	476.69	482.41	16
6241_61943_000026_000000	Out of three rooms of which his house was composed, two were placed at our service, and in a few hours we were installed with all our baggage, the amount of which rather astonished the simple inhabitants of Reykjavik.	Out of three rooms of which his house was composed, two were placed at our service, and in a few hours we were installed with all our baggage, the amount of which rather astonished the simple inhabitants of Reykjavik.	true	482.81	493.81	21.281933
6241_61943_000027_000000	"Now, Harry," said my uncle, rubbing his hands, "an goes well, the worse difficulty is now over."	"Now, Harry," said my uncle, rubbing his hands, "an goes well, the worse difficulty is now over."	false	494.6	501.13	20.843771
6241_61943_000028_000000	"How the worse difficulty over?" I cried in fresh amazement.	"How the worse difficulty over?" I cried in fresh amazement.	true	502.28	505.6	21
6241_61943_000029_000000	"Doubtless.	"Doubtless.	true	506.18	507.1	19.350136
6241_61943_000029_000001	Here we are in Iceland.	Here we are in Iceland.	true	507.41	508.845	21.70263
6241_61943_000029_000002	Nothing more remains but to descend into the bowels of the earth."	Nothing more remains but to descend into the bowels of the earth."	true	508.845	512.02	19
6241_61943_000030_000000	"Well, sir, to a certain extent you are right.	"Well, sir, to a certain extent you are right.	true	513.02	516.1	20.129301
6241_61943_000030_000001	We have only to go down--but, as far as I am concerned, that is not the question.	We have only to go down-but, as far as I am concerned, that is not the question.	true	516.68	521.11	20.258842
6241_61943_000030_000002	I want to know how we are to get up again."	I want to know how we are to get up again."	true	521.27	524.505	21.040716
6241_61943_000031_000000	"That is the least part of the business, and does not in any way trouble me.	"That is the least part of the business, and does not in any way trouble me.	true	524.505	527.86	21.223919
6241_61943_000031_000001	In the meantime, there is not an hour to lose.	In the meantime, there is not an hour to lose.	true	527.96	530.74	19.86703
6241_61943_000031_000002	I am about to visit the public library.	I am about to visit the public library.	true	530.84	532.9	20.107136
6241_61943_000031_000003	Very likely I may find there some manuscripts from the hand of Saknussemm.	Very likely I may find there some manuscripts from the hand of Saknussemm.	true	533.09	537.31	18
6241_61943_000031_000004	I shall be glad to consult them."	I shall be glad to consult them."	true	537.65	539.62	21.692598
6241_61943_000032_000000	"In the meanwhile," I replied, "I will take a walk through the town. Will you not likewise do so?"	"In the meanwhile," I replied, "I will take a walk through the town. Will you not likewise do so?"	true	540.77	546.34	21.074076
6241_61943_000033_000000	"I feel no interest in the subject," said my uncle.	"I feel no interest in the subject," said my uncle.	true	547.49	550.06	19.830566
6241_61943_000033_000001	"What for me is curious in this island, is not what is above the surface, but what is below."	"What for me is curious in this island, is not what is above the surface, but what is below."	true	550.82	555.88	21.353508
6241_61943_000034_000000	I bowed by way of reply, put on my hat and furred cloak, and went out.	I bowed by way of reply, put on my hat and furred cloak, and went out.	true	556.88	561.1	21.741158
6241_61943_000035_000000	It was not an easy matter to lose oneself in the two streets of Reykjavik; I had therefore no need to ask my way.	It was not an easy matter to lose oneself in the two streets of Reykjavik; I had therefore no need to ask my way.	true	561.38	567.76	18.445349
6241_61943_000035_000001	The town lies on a flat and marshy plain, between two hills.	The town lies on a flat and marshy plain, between two hills.	true	569.21	572.44	21.182661
6241_61943_000035_000002	A vast field of lava skirts it on one side, falling away in terraces towards the sea.	A vast field of lava skirts it on one side, falling away in terraces towards the sea.	true	572.96	577.72	20
6241_61943_000035_000003	On the other hand is the large bay of Faxa, bordered on the north by the enormous glacier of Sneffels, and in which bay the <i>Valkyrie</i> was then the only vessel at anchor.	On the other hand is the large bay of Faxa, bordered on the north by the enormous glacier of Sneffels, and in which bay the less than i greater than Valkyrie less than/i greater than was then the only vessel at anchor.	false	578.3	587.68	21.654348
6241_61943_000035_000004	Generally there were one or two English or French gunboats, to watch and protect the fisheries in the offing.	Generally there were one or two English or French gunboats, to watch and protect the fisheries in the offing.	false	588.08	593.92	17
6241_61943_000035_000005	They were now, however, absent on duty.	They were now, however, absent on duty.	true	594.38	596.74	21.097294
6241_61943_000036_000000	The longest of the streets of Reykjavik runs parallel to the shore.	The longest of the streets of Reykjavik runs parallel to the shore.	true	597.89	601.27	19
6241_61943_000036_000001	In this street the merchants and traders live in wooden huts made with beams of wood, painted red--mere log huts, such as you find in the wilds of America.	In this street the merchants and traders live in wooden huts made with beams of wood, painted red-mere log huts, such as you find in the wilds of America.	false	601.58	610.18	18
6241_61943_000036_000002	The other street, situated more to the west, runs toward a little lake between the residences of the bishop and the other personages not engaged in commerce.	The other street, situated more to the west, runs toward a little lake between the residences of the bishop and the other personages not engaged in commerce.	true	610.52	618.85	20
6241_61943_000037_000000	I had soon seen all I wanted of these weary and dismal thoroughfares. Here and there was a strip of discolored turf, like an old worn-out bit of woolen carpet; and now and then a bit of kitchen garden, in which grew potatoes, cabbage, and lettuce, almost diminutive enough to suggest the idea of Lilliput.	I had soon seen all I wanted of these weary and dismal thoroughfares. Here and there was a strip of discolored turf, like an old worn out bit of woolen carpet; and now and then a bit of kitchen garden, in which grew potatoes, cabbage, and lettuce, almost diminutive enough to suggest the idea of Lilliput.	true	620.12	638.44	20.977226
6241_61943_000038_000000	In the centre of the new commercial street, I found the public cemetery, enclosed by an earthen wall.	In the centre of the new commercial street, I found the public cemetery, enclosed by an earthen wall.	true	639.71	644.86	20.878372
6241_61943_000038_000001	Though not very large, it appeared not likely to be filled for centuries.	Though not very large, it appeared not likely to be filled for centuries.	true	645.14	649.24	22.028389
6241_61943_000038_000002	From hence I went to the house of the Governor--a mere hut in comparison with the Mansion House of Hamburg--but a palace alongside the other Icelandic houses.	From hence I went to the house of the Governor-a mere hut in comparison with the Mansion House of Hamburg-but a palace alongside the other Icelandic houses.	true	649.4	657.64	18.288534
6241_61943_000038_000003	Between the little lake and the town was the church, built in simple Protestant style, and composed of calcined stones, thrown up by volcanic action.	Between the little lake and the town was the church, built in simple Protestant style, and composed of calcined stones, thrown up by volcanic action.	false	658.1	666.91	22.828018
6241_61943_000038_000004	I have not the slightest doubt that in high winds its red tiles were blown out, to the great annoyance of the pastor and congregation.	I have not the slightest doubt that in high winds its red tiles were blown out, to the great annoyance of the pastor and congregation.	true	667.34	674.14	20.66107
6241_61943_000038_000005	Upon an eminence close at hand was the national school, in which were taught Hebrew, English, French, and Danish.	Upon an eminence close at hand was the national school, in which were taught Hebrew, English, French, and Danish.	true	675.02	682.03	20.501995
6241_61943_000039_000000	In three hours my tour was complete.	In three hours my tour was complete.	true	682.79	684.99	20.558395
6241_61943_000039_000001	The general impression upon my mind was sadness.	The general impression upon my mind was sadness.	true	684.99	687.73	19
6241_61943_000039_000002	No trees, no vegetation, so to speak--on all sides volcanic peaks--the huts of turf and earth--more like roofs than houses.	No trees, no vegetation, so to speak-on all sides volcanic peaks-the huts of turf and earth-more like roofs than houses.	true	688.13	696.82	21.6689
6241_61943_000039_000003	Thanks to the heat of these residences, grass grows on the roof, which grass is carefully cut for hay.	Thanks to the heat of these residences, grass grows on the roof, which grass is carefully cut for hay.	true	697.37	703.12	19.28296
6241_61943_000039_000004	I saw but few inhabitants during my excursion, but I met a crowd on the beach, drying, salting and loading codfish, the principal article of exportation.	I saw but few inhabitants during my excursion, but I met a crowd on the beach, drying, salting and loading codfish, the principal article of exportation.	true	703.67	712.33	20.638256
6241_61943_000039_000005	The men appeared robust but heavy; fair-haired like Germans, but of pensive mien--exiles of a higher scale in the ladder of humanity than the Eskimos, but, I thought, much more unhappy, since with superior perceptions they are compelled to live within the limits of the Polar Circle.	The men appeared robust but heavy; fair haired like Germans, but of pensive mien-exiles of a higher scale in the ladder of humanity than the Eskimos, but, I thought, much more unhappy, since with superior perceptions they are compelled to live within the limits of the Polar Circle.	true	712.64	730.06	20.685596
6241_61943_000040_000000	Sometimes they gave vent to a convulsive laugh, but by no chance did they smile.	Sometimes they gave vent to a convulsive laugh, but by no chance did they smile.	true	731.66	737.05	20.25766
6241_61943_000040_000001	Their costume consists of a coarse capote of black wool, known in Scandinavian countries as the "vadmel," a broad-brimmed hat, trousers of red serge, and a piece of leather tied with strings for a shoe--a coarse kind of moccasin.	Their costume consists of a coarse capote of black wool, known in Scandinavian countries as the "vadmel," a broad brimmed hat, trousers of red serge, and a piece of leather tied with strings for a shoe-a coarse kind of moccasin.	true	737.66	751.87	20.049007
6241_61943_000040_000002	The women, though sad-looking and mournful, had rather agreeable features, without much expression.	The women, though sad looking and mournful, had rather agreeable features, without much expression.	true	752.21	757.87	18.175674
6241_61943_000040_000003	They wear a bodice and petticoat of somber vadmel.	They wear a bodice and petticoat of somber vadmel.	false	758.06	761.32	21.80531
6241_61943_000040_000004	When unmarried they wear a little brown knitted cap over a crown of plaited hair; but when married, they cover their heads with a colored handkerchief, over which they tie a white scarf.	When unmarried they wear a little brown knitted cap over a crown of plaited hair; but when married, they cover their heads with a colored handkerchief, over which they tie a white scarf.	false	761.39	779.67	20.162012
