3170_137482_000000_000000	CHAPTER XVII	CHAPTER seventeen	false	2.43	28.95	21.062904
3170_137482_000003_000007	When we happened to find those places already tenanted by other men, we forced them by violence to quit the premises, and defrauded the miserable victims of prostitution of the mean salary the law allows them, after compelling them to yield to our brutality.	When we happened to find those places already tenanted by other men, we forced them by violence to quit the premises, and defrauded the miserable victims of prostitution of the mean salary the law allows them, after compelling them to yield to our brutality.	false	224.99	240.58	21.39433
3170_137482_000003_000008	Our scandalous proceedings often exposed us to the greatest danger.	Our scandalous proceedings often exposed us to the greatest danger.	true	240.95	244.75	25.0877
3170_137482_000004_000000	We would very often spend the whole night rambling about the city, inventing and carrying into execution the most impertinent, practical jokes.	We would very often spend the whole night rambling about the city, inventing and carrying into execution the most impertinent, practical jokes.	true	245.21	253.39	23.274921
3170_137482_000004_000001	One of our favourite pleasures was to unmoor the patricians' gondolas, and to let them float at random along the canals, enjoying by anticipation all the curses that gondoliers would not fail to indulge in.	One of our favourite pleasures was to unmoor the patricians' gondolas, and to let them float at random along the canals, enjoying by anticipation all the curses that gondoliers would not fail to indulge in.	false	253.85	266.59	21.26808
3170_137482_000004_000002	We would rouse up hurriedly, in the middle of the night, an honest midwife, telling her to hasten to Madame So-and-so, who, not being even pregnant, was sure to tell her she was a fool when she called at the house.	We would rouse up hurriedly, in the middle of the night, an honest midwife, telling her to hasten to Madame So and so, who, not being even pregnant, was sure to tell her she was a fool when she called at the house.	false	267.11	280.36	21.475145
3170_137482_000004_000003	We did the same with physicians, whom we often sent half dressed to some nobleman who was enjoying excellent health.	We did the same with physicians, whom we often sent half dressed to some nobleman who was enjoying excellent health.	true	280.82	287.47	21.78369
3170_137482_000004_000004	The priests fared no better; we would send them to carry the last sacraments to married men who were peacefully slumbering near their wives, and not thinking of extreme unction.	The priests fared no better; we would send them to carry the last sacraments to married men who were peacefully slumbering near their wives, and not thinking of extreme unction.	false	288.14	298.09	20.531115
3170_137482_000005_000000	We were in the habit of cutting the wires of the bells in every house, and if we chanced to find a gate open we would go up the stairs in the dark, and frighten the sleeping inmates by telling them very loudly that the house door was not closed, after which we would go down, making as much noise as we could, and leave the house with the gate wide open.	We were in the habit of cutting the wires of the bells in every house, and if we chanced to find a gate open we would go up the stairs in the dark, and frighten the sleeping inmates by telling them very loudly that the house door was not closed, after which we would go down, making as much noise as we could, and leave the house with the gate wide open.	false	299	318.49	21.71792
3170_137482_000006_000000	During a very dark night we formed a plot to overturn the large marble table of St. Angelo's Square, on which it was said that in the days of the League of Cambray the commissaries of the Republic were in the habit of paying the bounty to the recruits who engaged to fight under the standard of St. Mark--a circumstance which secured for the table a sort of public veneration.	During a very dark night we formed a plot to overturn the large marble table of st Angelo's Square, on which it was said that in the days of the League of Cambray the commissaries of the Republic were in the habit of paying the bounty to the recruits who engaged to fight under the standard of saint Mark--a circumstance which secured for the table a sort of public veneration.	false	319.55	341.26	22.143711
3170_137482_000007_000000	Whenever we could contrive to get into a church tower we thought it great fun to frighten all the parish by ringing the alarm bell, as if some fire had broken out; but that was not all, we always cut the bell ropes, so that in the morning the churchwardens had no means of summoning the faithful to early mass.	Whenever we could contrive to get into a church tower we thought it great fun to frighten all the parish by ringing the alarm bell, as if some fire had broken out; but that was not all, we always cut the bell ropes, so that in the morning the churchwardens had no means of summoning the faithful to early mass.	true	342.41	359.56	22.01747
3170_137482_000007_000001	Sometimes we would cross the canal, each of us in a different gondola, and take to our heels without paying as soon as we landed on the opposite side, in order to make the gondoliers run after us.	Sometimes we would cross the canal, each of us in a different gondola, and take to our heels without paying as soon as we landed on the opposite side, in order to make the gondoliers run after us.	false	360.14	370.99	21.685408
3170_137482_000008_000000	The city was alive with complaints, and we laughed at the useless search made by the police to find out those who disturbed the peace of the inhabitants.	The city was alive with complaints, and we laughed at the useless search made by the police to find out those who disturbed the peace of the inhabitants.	true	371.75	380.65	21.137438
3170_137482_000008_000001	We took good care to be careful, for if we had been discovered we stood a very fair chance of being sent to practice rowing at the expense of the Council of Ten.	We took good care to be careful, for if we had been discovered we stood a very fair chance of being sent to practice rowing at the expense of the Council of Ten.	true	381.02	391.21	22.159878
3170_137482_000009_000000	We were seven, and sometimes eight, because, being much attached to my brother Francois, I gave him a share now and then in our nocturnal orgies.	We were seven, and sometimes eight, because, being much attached to my brother Francois, I gave him a share now and then in our nocturnal orgies.	false	391.22	399.73	20.341837
3170_137482_000009_000001	But at last fear put a stop to our criminal jokes, which in those days I used to call only the frolics of young men.	But at last fear put a stop to our criminal jokes, which in those days I used to call only the frolics of young men.	false	400.19	407.73	22.8778
3170_137482_000009_000002	This is the amusing adventure which closed our exploits.	This is the amusing adventure which closed our exploits.	true	407.73	410.83	18
3170_137482_000010_000000	In every one of the seventy-two parishes of the city of Venice, there is a large public-house called 'magazzino'.	In every one of the seventy two parishes of the city of Venice, there is a large public house called 'magazzino'.	true	412.76	419.86	20
3170_137482_000010_000001	It remains open all night, and wine is retailed there at a cheaper price than in all the other drinking houses.	It remains open all night, and wine is retailed there at a cheaper price than in all the other drinking houses.	false	420.08	426.22	17
3170_137482_000010_000002	People can likewise eat in the 'magazzino', but they must obtain what they want from the pork butcher near by, who has the exclusive sale of eatables, and likewise keeps his shop open throughout the night.	People can likewise eat in the 'magazzino', but they must obtain what they want from the pork butcher near by, who has the exclusive sale of eatables, and likewise keeps his shop open throughout the night.	true	426.56	438.31	23.87219
3170_137482_000010_000003	The pork butcher is usually a very poor cook, but as he is cheap, poor people are willingly satisfied with him, and these resorts are considered very useful to the lower class.	The pork butcher is usually a very poor cook, but as he is cheap, poor people are willingly satisfied with him, and these resorts are considered very useful to the lower class.	false	438.71	449.65	22.860277
3170_137482_000010_000004	The nobility, the merchants, even workmen in good circumstances, are never seen in the 'magazzino', for cleanliness is not exactly worshipped in such places.	The nobility, the merchants, even workmen in good circumstances, are never seen in the 'magazzino', for cleanliness is not exactly worshipped in such places.	true	450.05	459.37	20.8023
3170_137482_000010_000005	Yet there are a few private rooms which contain a table surrounded with benches, in which a respectable family or a few friends can enjoy themselves in a decent way.	Yet there are a few private rooms which contain a table surrounded with benches, in which a respectable family or a few friends can enjoy themselves in a decent way.	true	459.86	469.3	22.014765
3170_137482_000011_000000	It was during the Carnival of 1745, after midnight; we were, all the eight of us, rambling about together with our masks on, in quest of some new sort of mischief to amuse us, and we went into the magazzino of the parish of the Holy Cross to get something to drink.	It was during the Carnival of seventeen forty five, after midnight; we were, all the eight of us, rambling about together with our masks on, in quest of some new sort of mischief to amuse us, and we went into the magazzino of the parish of the Holy Cross to get something to drink.	true	470.06	487.03	22.767593
3170_137482_000011_000001	We found the public room empty, but in one of the private chambers we discovered three men quietly conversing with a young and pretty woman, and enjoying their wine.	We found the public room empty, but in one of the private chambers we discovered three men quietly conversing with a young and pretty woman, and enjoying their wine.	true	487.34	496.75	19.869976
3170_137482_000012_000000	Our chief, a noble Venetian belonging to the Balbi family, said to us, "It would be a good joke to carry off those three blockheads, and to keep the pretty woman in our possession." He immediately explained his plan, and under cover of our masks we entered their room, Balbi at the head of us.	Our chief, a noble Venetian belonging to the Balbi family, said to us, "It would be a good joke to carry off those three blockheads, and to keep the pretty woman in our possession." He immediately explained his plan, and under cover of our masks we entered their room, Balbi at the head of us.	true	497.42	515.35	22.002028
3170_137482_000012_000001	Our sudden appearance rather surprised the good people, but you may fancy their astonishment when they heard Balbi say to them: "Under penalty of death, and by order of the Council of Ten, I command you to follow us immediately, without making the slightest noise; as to you, my good woman, you need not be frightened, you will be escorted to your house." When he had finished his speech, two of us got hold of the woman to take her where our chief had arranged beforehand, and the others seized the three poor fellows, who were trembling all over, and had not the slightest idea of opposing any resistance.	Our sudden appearance rather surprised the good people, but you may fancy their astonishment when they heard Balbi say to them: "Under penalty of death, and by order of the Council of Ten, I command you to follow us immediately, without making the slightest noise; as to you, my good woman, you need not be frightened, you will be escorted to your house." When he had finished his speech, two of us got hold of the woman to take her where our chief had arranged beforehand, and the others seized the three poor fellows, who were trembling all over, and had not the slightest idea of opposing any resistance.	false	515.54	550.63	22.037792
3170_137482_000013_000000	The waiter of the magazzino came to be paid, and our chief gave him what was due, enjoining silence under penalty of death.	The waiter of the magazzino came to be paid, and our chief gave him what was due, enjoining silence under penalty of death.	true	551.39	559.6	21.8251
3170_137482_000013_000001	We took our three prisoners to a large boat.	We took our three prisoners to a large boat.	true	560.06	562.75	22.502262
3170_137482_000013_000002	Balbi went to the stern, ordered the boatman to stand at the bow, and told him that he need not enquire where we were going, that he would steer himself whichever way he thought fit.	Balbi went to the stern, ordered the boatman to stand at the bow, and told him that he need not enquire where we were going, that he would steer himself whichever way he thought fit.	false	562.88	572.59	22.471891
3170_137482_000013_000003	Not one of us knew where Balbi wanted to take the three poor devils.	Not one of us knew where Balbi wanted to take the three poor devils.	true	573.17	576.85	22.668364
3170_137482_000014_000000	He sails all along the canal, gets out of it, takes several turnings, and in a quarter of an hour, we reach Saint George where Balbi lands our prisoners, who are delighted to find themselves at liberty.	He sails all along the canal, gets out of it, takes several turnings, and in a quarter of an hour, we reach Saint George where Balbi lands our prisoners, who are delighted to find themselves at liberty.	true	577.34	590.14	22.016125
3170_137482_000014_000001	After this, the boatman is ordered to take us to Saint Genevieve, where we land, after paying for the boat.	After this, the boatman is ordered to take us to Saint Genevieve, where we land, after paying for the boat.	true	590.33	596.65	23.70447
3170_137482_000015_000000	We proceed at once to Palombo Square, where my brother and another of our band were waiting for us with our lovely prisoner, who was crying.	We proceed at once to Palombo Square, where my brother and another of our band were waiting for us with our lovely prisoner, who was crying.	true	597.11	604.48	19
3170_137482_000016_000000	"Do not weep, my beauty," says Balbi to her, "we will not hurt you.	"Do not weep, my beauty," says Balbi to her, "we will not hurt you.	true	605.18	609.375	20.557108
3170_137482_000016_000001	We intend only to take some refreshment at the Rialto, and then we will take you home in safety."	We intend only to take some refreshment at the Rialto, and then we will take you home in safety."	true	609.375	614.68	22.723757
3170_137482_000017_000000	"Where is my husband?"	"Where is my husband?"	true	615.56	617.32	24.140923
3170_137482_000018_000000	"Never fear; you shall see him again to-morrow."	"Never fear; you shall see him again to morrow."	true	617.99	620.95	20.09522
3170_137482_000019_000000	Comforted by that promise, and as gentle as a lamb, she follows us to the "Two Swords." We ordered a good fire in a private room, and, everything we wanted to eat and to drink having been brought in, we send the waiter away, and remain alone.	Comforted by that promise, and as gentle as a lamb, she follows us to the "Two Swords." We ordered a good fire in a private room, and, everything we wanted to eat and to drink having been brought in, we send the waiter away, and remain alone.	false	621.74	637.81	21.259237
3170_137482_000019_000001	We take off our masks, and the sight of eight young, healthy faces seems to please the beauty we had so unceremoniously carried off.	We take off our masks, and the sight of eight young, healthy faces seems to please the beauty we had so unceremoniously carried off.	true	638.3	646.87	20.941973
3170_137482_000019_000002	We soon manage to reconcile her to her fate by the gallantry of our proceedings; encouraged by a good supper and by the stimulus of wine, prepared by our compliments and by a few kisses, she realizes what is in store for her, and does not seem to have any unconquerable objection.	We soon manage to reconcile her to her fate by the gallantry of our proceedings; encouraged by a good supper and by the stimulus of wine, prepared by our compliments and by a few kisses, she realizes what is in store for her, and does not seem to have any unconquerable objection.	true	647.21	665.41	22.364313
3170_137482_000019_000003	Our chief, as a matter of right, claims the privilege of opening the ball; and by dint of sweet words he overcomes the very natural repugnance she feels at consummating the sacrifice in so numerous company.	Our chief, as a matter of right, claims the privilege of opening the ball; and by dint of sweet words he overcomes the very natural repugnance she feels at consummating the sacrifice in so numerous company.	true	666.14	679.48	21.919147
3170_137482_000019_000004	She, doubtless, thinks the offering agreeable, for, when I present myself as the priest appointed to sacrifice a second time to the god of love, she receives me almost with gratitude, and she cannot conceal her joy when she finds out that she is destined to make us all happy.	She, doubtless, thinks the offering agreeable, for, when I present myself as the priest appointed to sacrifice a second time to the god of love, she receives me almost with gratitude, and she cannot conceal her joy when she finds out that she is destined to make us all happy.	true	680.21	698.5	22.815456
3170_137482_000019_000005	My brother Francois alone exempted himself from paying the tribute, saying that he was ill, the only excuse which could render his refusal valid, for we had established as a law that every member of our society was bound to do whatever was done by the others.	My brother Francois alone exempted himself from paying the tribute, saying that he was ill, the only excuse which could render his refusal valid, for we had established as a law that every member of our society was bound to do whatever was done by the others.	true	699.11	714.16	21.897985
3170_137482_000020_000000	After that fine exploit, we put on our masks, and, the bill being paid, escorted the happy victim to Saint Job, where she lived, and did not leave her till we had seen her safe in her house, and the street door closed.	After that fine exploit, we put on our masks, and, the bill being paid, escorted the happy victim to Saint Job, where she lived, and did not leave her till we had seen her safe in her house, and the street door closed.	false	715.19	729.01	22.006456
3170_137482_000021_000000	My readers may imagine whether we felt inclined to laugh when the charming creature bade us good night, thanking us all with perfect good faith!	My readers may imagine whether we felt inclined to laugh when the charming creature bade us good night, thanking us all with perfect good faith!	true	730.28	739.81	22.866856
3170_137482_000022_000000	Two days afterwards, our nocturnal orgy began to be talked of.	Two days afterwards, our nocturnal orgy began to be talked of.	true	740.69	744.96	21.081684
3170_137482_000022_000001	The young woman's husband was a weaver by trade, and so were his two friends.	The young woman's husband was a weaver by trade, and so were his two friends.	true	744.96	749.53	21.995388
3170_137482_000022_000002	They joined together to address a complaint to the Council of Ten.	They joined together to address a complaint to the Council of Ten.	true	749.63	753.19	22.888746
3170_137482_000022_000003	The complaint was candidly written and contained nothing but the truth, but the criminal portion of the truth was veiled by a circumstance which must have brought a smile on the grave countenances of the judges, and highly amused the public at large: the complaint setting forth that the eight masked men had not rendered themselves guilty of any act disagreeable to the wife.	The complaint was candidly written and contained nothing but the truth, but the criminal portion of the truth was veiled by a circumstance which must have brought a smile on the grave countenances of the judges, and highly amused the public at large: the complaint setting forth that the eight masked men had not rendered themselves guilty of any act disagreeable to the wife.	true	753.53	776.01	22.928453
3170_137482_000022_000004	It went on to say that the two men who had carried her off had taken her to such a place, where they had, an hour later, been met by the other six, and that they had all repaired to the "Two Swords," where they had spent an hour in drinking.	It went on to say that the two men who had carried her off had taken her to such a place, where they had, an hour later, been met by the other six, and that they had all repaired to the "Two Swords," where they had spent an hour in drinking.	false	776.01	790.09	21.676136
3170_137482_000022_000005	The said lady having been handsomely entertained by the eight masked men, had been escorted to her house, where she had been politely requested to excuse the joke perpetrated upon her husband.	The said lady having been handsomely entertained by the eight masked men, had been escorted to her house, where she had been politely requested to excuse the joke perpetrated upon her husband.	true	790.55	801.76	21
3170_137482_000022_000006	The three plaintiffs had not been able to leave the island of Saint George until day-break, and the husband, on reaching his house, had found his wife quietly asleep in her bed.	The three plaintiffs had not been able to leave the island of Saint George until day break, and the husband, on reaching his house, had found his wife quietly asleep in her bed.	true	802.31	812.05	21.258667
3170_137482_000022_000007	She had informed him of all that had happened; she complained of nothing but of the great fright she had experienced on account of her husband, and on that count she entreated justice and the punishment of the guilty parties.	She had informed him of all that had happened; she complained of nothing but of the great fright she had experienced on account of her husband, and on that count she entreated justice and the punishment of the guilty parties.	false	812.42	825.07	22.929394
3170_137482_000023_000000	That complaint was comic throughout, for the three rogues shewed themselves very brave in writing, stating that they would certainly not have given way so easily if the dread authority of the council had not been put forth by the leader of the band.	That complaint was comic throughout, for the three rogues shewed themselves very brave in writing, stating that they would certainly not have given way so easily if the dread authority of the council had not been put forth by the leader of the band.	false	826.07	839.41	21.007729
3170_137482_000023_000001	The document produced three different results; in the first place, it amused the town; in the second, all the idlers of Venice went to Saint Job to hear the account of the adventure from the lips of the heroine herself, and she got many presents from her numerous visitors; in the third place, the Council of Ten offered a reward of five hundred ducats to any person giving such information as would lead to the arrest of the perpetrators of the practical joke, even if the informer belonged to the band, provided he was not the leader.	The document produced three different results; in the first place, it amused the town; in the second, all the idlers of Venice went to Saint Job to hear the account of the adventure from the lips of the heroine herself, and she got many presents from her numerous visitors; in the third place, the Council of Ten offered a reward of five hundred ducats to any person giving such information as would lead to the arrest of the perpetrators of the practical joke, even if the informer belonged to the band, provided he was not the leader.	true	839.87	872.92	22.643488
3170_137482_000024_000000	The offer of that reward would have made us tremble if our leader, precisely the one who alone had no interest in turning informer, had not been a patrician.	The offer of that reward would have made us tremble if our leader, precisely the one who alone had no interest in turning informer, had not been a patrician.	true	873.92	883.09	21.229885
3170_137482_000024_000001	The rank of Balbi quieted my anxiety at once, because I knew that, even supposing one of us were vile enough to betray our secret for the sake of the reward, the tribunal would have done nothing in order not to implicate a patrician.	The rank of Balbi quieted my anxiety at once, because I knew that, even supposing one of us were vile enough to betray our secret for the sake of the reward, the tribunal would have done nothing in order not to implicate a patrician.	true	883.61	897.91	21.447037
3170_137482_000024_000002	There was no cowardly traitor amongst us, although we were all poor; but fear had its effect, and our nocturnal pranks were not renewed.	There was no cowardly traitor amongst us, although we were all poor; but fear had its effect, and our nocturnal pranks were not renewed.	true	898.61	906.55	21.717873
3170_137482_000025_000000	Three or four months afterwards the chevalier Nicolas Iron, then one of the inquisitors, astonished me greatly by telling me the whole story, giving the names of all the actors.	Three or four months afterwards the chevalier Nicolas Iron, then one of the inquisitors, astonished me greatly by telling me the whole story, giving the names of all the actors.	true	907.01	919.24	21.700367
3170_137482_000025_000001	He did not tell me whether any one of the band had betrayed the secret, and I did not care to know; but I could clearly see the characteristic spirit of the aristocracy, for which the 'solo mihi' is the supreme law.	He did not tell me whether any one of the band had betrayed the secret, and I did not care to know; but I could clearly see the characteristic spirit of the aristocracy, for which the 'solo mihi' is the supreme law.	true	919.85	933.49	22.272417
3170_137482_000026_000000	Towards the middle of April of the year 1746 M. Girolamo Cornaro, the eldest son of the family Cornaro de la Reine, married a daughter of the house of Soranzo de St. Pol, and I had the honour of being present at the wedding--as a fiddler.	Towards the middle of April of the year seventeen forty six m Girolamo Cornaro, the eldest son of the family Cornaro de la Reine, married a daughter of the house of Soranzo de st Pol, and I had the honour of being present at the wedding-as a fiddler.	false	935.15	954.43	22.051414
3170_137482_000026_000001	I played the violin in one of the numerous bands engaged for the balls which were given for three consecutive days in the Soranzo Palace.	I played the violin in one of the numerous bands engaged for the balls which were given for three consecutive days in the Soranzo Palace.	true	955.07	963.1	20
3170_137482_000027_000000	On the third day, towards the end of the dancing, an hour before day- break, feeling tired, I left the orchestra abruptly; and as I was going down the stairs I observed a senator, wearing his red robes, on the point of getting into a gondola.	On the third day, towards the end of the dancing, an hour before day break, feeling tired, I left the orchestra abruptly; and as I was going down the stairs I observed a senator, wearing his red robes, on the point of getting into a gondola.	true	963.5	979.12	22.031416
3170_137482_000027_000001	In taking his handkerchief out of his pocket he let a letter drop on the ground.	In taking his handkerchief out of his pocket he let a letter drop on the ground.	true	979.55	984.58	22.563526
3170_137482_000027_000002	I picked it up, and coming up to him just as he was going down the steps I handed it to him.	I picked it up, and coming up to him just as he was going down the steps I handed it to him.	false	985.1	990.04	22.776566
3170_137482_000027_000003	He received it with many thanks, and enquired where I lived.	He received it with many thanks, and enquired where I lived.	true	990.41	994.03	21.291769
3170_137482_000027_000004	I told him, and he insisted upon my coming with him in the gondola saying that he would leave me at my house.	I told him, and he insisted upon my coming with him in the gondola saying that he would leave me at my house.	true	994.4	1001.26	20.426048
3170_137482_000027_000005	I accepted gratefully, and sat down near him.	I accepted gratefully, and sat down near him.	true	1001.6	1004.38	22.178095
3170_137482_000027_000006	A few minutes afterwards he asked me to rub his left arm, which, he said, was so benumbed that he could not feel it.	A few minutes afterwards he asked me to rub his left arm, which, he said, was so benumbed that he could not feel it.	true	1004.78	1012.18	20.364647
3170_137482_000027_000007	I rubbed it with all my strength, but he told me in a sort of indistinct whisper that the numbness was spreading all along the left side, and that he was dying.	I rubbed it with all my strength, but he told me in a sort of indistinct whisper that the numbness was spreading all along the left side, and that he was dying.	true	1012.58	1022.05	20.499344
3170_137482_000028_000000	I was greatly frightened; I opened the curtain, took the lantern, and found him almost insensible, and the mouth drawn on one side.	I was greatly frightened; I opened the curtain, took the lantern, and found him almost insensible, and the mouth drawn on one side.	true	1023.2	1030.99	22.99278
3170_137482_000028_000001	I understood that he was seized with an apoplectic stroke, and called out to the gondoliers to land me at once, in order to procure a surgeon to bleed the patient.	I understood that he was seized with an apoplectic stroke, and called out to the gondoliers to land me at once, in order to procure a surgeon to bleed the patient.	true	1031.27	1041.4	21.45533
3170_137482_000029_000000	I jumped out of the gondola, and found myself on the very spot where three years before I had taught Razetta such a forcible lesson; I enquired for a surgeon at the first coffee-house, and ran to the house that was pointed out to me.	I jumped out of the gondola, and found myself on the very spot where three years before I had taught Razetta such a forcible lesson; I enquired for a surgeon at the first coffee house, and ran to the house that was pointed out to me.	true	1041.56	1055.08	21.88263
3170_137482_000029_000001	I knocked as hard as I could; the door was at last opened, and I made the surgeon follow me in his dressing-gown as far as the gondola, which was waiting; he bled the senator while I was tearing my shirt to make the compress and the bandage.	I knocked as hard as I could; the door was at last opened, and I made the surgeon follow me in his dressing gown as far as the gondola, which was waiting; he bled the senator while I was tearing my shirt to make the compress and the bandage.	true	1055.36	1068.79	22.495447
3170_137482_000030_000000	The operation being performed, I ordered the gondoliers to row as fast as possible, and we soon reached St. Marina; the servants were roused up, and taking the sick man out of the gondola we carried him to his bed almost dead.	The operation being performed, I ordered the gondoliers to row as fast as possible, and we soon reached st Marina; the servants were roused up, and taking the sick man out of the gondola we carried him to his bed almost dead.	false	1069.52	1084.78	22.868227
3170_137482_000031_000000	Taking everything upon myself, I ordered a servant to hurry out for a physician, who came in a short time, and ordered the patient to be bled again, thus approving the first bleeding prescribed by me.	Taking everything upon myself, I ordered a servant to hurry out for a physician, who came in a short time, and ordered the patient to be bled again, thus approving the first bleeding prescribed by me.	true	1086.29	1098.01	23.26901
3170_137482_000031_000001	Thinking I had a right to watch the sick man, I settled myself near his bed to give him every care he required.	Thinking I had a right to watch the sick man, I settled myself near his bed to give him every care he required.	false	1098.41	1104.79	23.676641
3170_137482_000032_000000	An hour later, two noblemen, friends of the senator, came in, one a few minutes after the other.	An hour later, two noblemen, friends of the senator, came in, one a few minutes after the other.	true	1105.61	1111.66	23.124233
3170_137482_000032_000001	They were in despair; they had enquired about the accident from the gondoliers, and having been told that I knew more than they did, they loaded me with questions which I answered.	They were in despair; they had enquired about the accident from the gondoliers, and having been told that I knew more than they did, they loaded me with questions which I answered.	true	1111.91	1121.86	21.94418
3170_137482_000032_000002	They did not know who I was, and did not like to ask me; whilst I thought it better to preserve a modest silence.	They did not know who I was, and did not like to ask me; whilst I thought it better to preserve a modest silence.	true	1122.05	1129	22.446587
3170_137482_000033_000000	The patient did not move; his breathing alone shewed that he was still alive; fomentations were constantly applied, and the priest who had been sent for, and was of very little use under such circumstances, seemed to be there only to see him die.	The patient did not move; his breathing alone shewed that he was still alive; fomentations were constantly applied, and the priest who had been sent for, and was of very little use under such circumstances, seemed to be there only to see him die.	false	1129.55	1144.24	21.95181
3170_137482_000033_000001	All visitors were sent away by my advice, and the two noblemen and myself were the only persons in the sick man's room.	All visitors were sent away by my advice, and the two noblemen and myself were the only persons in the sick man's room.	true	1144.88	1152.22	22.216125
3170_137482_000033_000002	At noon we partook silently of some dinner which was served in the sick room.	At noon we partook silently of some dinner which was served in the sick room.	false	1152.59	1157.95	23.37812
3170_137482_000034_000000	In the evening one of the two friends told me that if I had any business to attend to I could go, because they would both pass the night on a mattress near the patient.	In the evening one of the two friends told me that if I had any business to attend to I could go, because they would both pass the night on a mattress near the patient.	true	1157.99	1166.92	22.65038
