5338_24640_000000_000000	'You are, sir, I presume, a Presbyterian clergyman?' Mr. Morton bowed.	'You are, sir, I presume, a Presbyterian clergyman?' mr Morton bowed.	false	0	1.41	20.851444
5338_24640_000005_000001	It is capable of great misconstruction on the part of those who do not consider the power of curiosity and the influence of romance as motives of youthful conduct.	It is capable of great misconstruction on the part of those who do not consider the power of curiosity and the influence of romance as motives of youthful conduct.	false	115.935	126.96	24.008636
5338_24640_000005_000002	When I was a young man like you, Mr. Waverley, any such hair-brained expedition (I beg your pardon for the expression) would have had inexpressible charms for me.	When I was a young man like you, mr Waverley, any such hair brained expedition (I beg your pardon for the expression) would have had inexpressible charms for me.	false	126.96	134.04	23.103281
5338_24640_000005_000003	But there are men in the world who will not believe that danger and fatigue are often incurred without any very adequate cause, and therefore who are sometimes led to assign motives of action entirely foreign to the truth.	But there are men in the world who will not believe that danger and fatigue are often incurred without any very adequate cause, and therefore who are sometimes led to assign motives of action entirely foreign to the truth.	false	134.04	146.01	23.396023
5338_24640_000005_000004	This man Bean Lean is renowned through the country as a sort of Robin Hood, and the stories which are told of his address and enterprise are the common tales of the winter fireside.	This man Bean Lean is renowned through the country as a sort of Robin Hood, and the stories which are told of his address and enterprise are the common tales of the winter fireside.	false	146.01	157.05	21.482748
5338_24640_000005_000005	He certainly possesses talents beyond the rude sphere in which he moves; and, being neither destitute of ambition nor encumbered with scruples, he will probably attempt, by every means, to distinguish himself during the period of these unhappy commotions.' Mr. Morton then made a careful memorandum of the various particulars of Waverley's interview with Donald Bean Lean and the other circumstances which he had communicated.	He certainly possesses talents beyond the rude sphere in which he moves; and, being neither destitute of ambition nor encumbered with scruples, he will probably attempt, by every means, to distinguish himself during the period of these unhappy commotions.' mr Morton then made a careful memorandum of the various particulars of Waverley's interview with Donald Bean Lean and the other circumstances which he had communicated.	false	157.05	176.1	23.508425
5338_24640_000006_000000	The interest which this good man seemed to take in his misfortunes, above all, the full confidence he appeared to repose in his innocence, had the natural effect of softening Edward's heart, whom the coldness of Major Melville had taught to believe that the world was leagued to oppress him.	The interest which this good man seemed to take in his misfortunes, above all, the full confidence he appeared to repose in his innocence, had the natural effect of softening Edward's heart, whom the coldness of Major Melville had taught to believe that the world was leagued to oppress him.	false	176.1	189.87	23.855497
5338_24640_000006_000001	He shook Mr. Morton warmly by the hand, and, assuring him that his kindness and sympathy had relieved his mind of a heavy load, told him that, whatever might be his own fate, he belonged to a family who had both gratitude and the power of displaying it.	He shook mr Morton warmly by the hand, and, assuring him that his kindness and sympathy had relieved his mind of a heavy load, told him that, whatever might be his own fate, he belonged to a family who had both gratitude and the power of displaying it.	false	189.87	213.99	24.53303
5338_24640_000006_000002	The earnestness of his thanks called drops to the eyes of the worthy clergyman, who was doubly interested in the cause for which he had volunteered his services, by observing the genuine and undissembled feelings of his young friend.	The earnestness of his thanks called drops to the eyes of the worthy clergyman, who was doubly interested in the cause for which he had volunteered his services, by observing the genuine and undissembled feelings of his young friend.	false	213.99	228.42	24.822948
5338_24640_000007_000000	Edward now inquired if Mr. Morton knew what was likely to be his destination.	Edward now inquired if mr Morton knew what was likely to be his destination.	false	228.42	234	23.169184
5338_24640_000008_000000	'Stirling Castle,' replied his friend; 'and so far I am well pleased for your sake, for the governor is a man of honour and humanity.	'Stirling Castle,' replied his friend; 'and so far I am well pleased for your sake, for the governor is a man of honour and humanity.	false	234	255.39	22.898674
5338_24640_000008_000001	But I am more doubtful of your treatment upon the road; Major Melville is involuntarily obliged to intrust the custody of your person to another.'	But I am more doubtful of your treatment upon the road; Major Melville is involuntarily obliged to intrust the custody of your person to another.'	false	255.39	267.18	25.972548
5338_24640_000009_000000	'I am glad of it,' answered Waverley. 'I detest that cold-blooded calculating Scotch magistrate.	'I am glad of it,' answered Waverley. 'I detest that cold blooded calculating Scotch magistrate.	false	267.18	272.28	23
5338_24640_000009_000001	I hope he and I shall never meet more.	I hope he and I shall never meet more.	false	272.28	275.7	20.591103
5338_24640_000009_000002	He had neither sympathy with my innocence nor with my wretchedness; and the petrifying accuracy with which he attended to every form of civility, while he tortured me by his questions, his suspicions, and his inferences, was as tormenting as the racks of the Inquisition.	He had neither sympathy with my innocence nor with my wretchedness; and the petrifying accuracy with which he attended to every form of civility, while he tortured me by his questions, his suspicions, and his inferences, was as tormenting as the racks of the Inquisition.	false	275.7	293.85	23.065304
5338_24640_000009_000003	Do not vindicate him, my dear sir, for that I cannot bear with patience; tell me rather who is to have the charge of so important a state prisoner as I am.'	Do not vindicate him, my dear sir, for that I cannot bear with patience; tell me rather who is to have the charge of so important a state prisoner as I am.'	false	293.85	305.88	24.172592
5338_24640_000010_000000	'I believe a person called Gilfillan, one of the sect who are termed Cameronians.'	'I believe a person called Gilfillan, one of the sect who are termed Cameronians.'	false	305.88	316.44	24.222532
5338_24640_000011_000000	'I never heard of them before.'	'I never heard of them before.'	false	316.44	318.06	19
5338_24640_000012_000000	'They claim,' said the clergyman, 'to represent the more strict and severe Presbyterians, who, in Charles Second's and James Second's days, refused to profit by the Toleration, or Indulgence, as it was called, which was extended to others of that religion. They held conventicles in the open fields, and, being treated with great violence and cruelty by the Scottish government, more than once took arms during those reigns.	'They claim,' said the clergyman, 'to represent the more strict and severe Presbyterians, who, in Charles Second's and james Second's days, refused to profit by the Toleration, or Indulgence, as it was called, which was extended to others of that religion. They held conventicles in the open fields, and, being treated with great violence and cruelty by the Scottish government, more than once took arms during those reigns.	false	318.06	640.9	23.589947
5338_24640_000012_000001	They take their name from their leader, Richard Cameron.'	They take their name from their leader, Richard Cameron.'	true	641.27	644.29	25.468077
5338_24640_000013_000000	'I recollect,' said Waverley; 'but did not the triumph of Presbytery at the Revolution extinguish that sect?'	'I recollect,' said Waverley; 'but did not the triumph of Presbytery at the Revolution extinguish that sect?'	false	644.99	652.66	24.039454
5338_24640_000014_000000	'By no means,' replied Morton; 'that great event fell yet far short of what they proposed, which was nothing less than the complete establishment of the Presbyterian Church upon the grounds of the old Solemn League and Covenant.	'By no means,' replied Morton; 'that great event fell yet far short of what they proposed, which was nothing less than the complete establishment of the Presbyterian Church upon the grounds of the old Solemn League and Covenant.	false	653.93	666.91	22.54916
5338_24640_000014_000001	Indeed, I believe they scarce knew what they wanted; but being a numerous body of men, and not unacquainted with the use of arms, they kept themselves together as a separate party in the state, and at the time of the Union had nearly formed a most unnatural league with their old enemies the Jacobites to oppose that important national measure. Since that time their numbers have gradually diminished; but a good many are still to be found in the western counties, and several, with a better temper than in 1707, have now taken arms for government.	Indeed, I believe they scarce knew what they wanted; but being a numerous body of men, and not unacquainted with the use of arms, they kept themselves together as a separate party in the state, and at the time of the Union had nearly formed a most unnatural league with their old enemies the Jacobites to oppose that important national measure. Since that time their numbers have gradually diminished; but a good many are still to be found in the western counties, and several, with a better temper than in seventeen o seven, have now taken arms for government.	false	667.55	700.45	23.992487
5338_24640_000014_000002	This person, whom they call Gifted Gilfillan, has been long a leader among them, and now heads a small party, which will pass here to-day or to-morrow on their march towards Stirling, under whose escort Major Melville proposes you shall travel.	This person, whom they call Gifted Gilfillan, has been long a leader among them, and now heads a small party, which will pass here to day or to morrow on their march towards Stirling, under whose escort Major Melville proposes you shall travel.	true	700.79	715.69	23.538729
5338_24640_000014_000003	I would willingly speak to Gilfillan in your behalf; but, having deeply imbibed all the prejudices of his sect, and being of the same fierce disposition, he would pay little regard to the remonstrances of an Erastian divine, as he would politely term me. And now, farewell, my young friend; for the present I must not weary out the Major's indulgence, that I may obtain his permission to visit you again in the course of the day.'	I would willingly speak to Gilfillan in your behalf; but, having deeply imbibed all the prejudices of his sect, and being of the same fierce disposition, he would pay little regard to the remonstrances of an Erastian divine, as he would politely term me. And now, farewell, my young friend; for the present I must not weary out the Major's indulgence, that I may obtain his permission to visit you again in the course of the day.'	false	715.88	748.47	22.511705
