2803_154320_000000_000000	CHAPTER IV THE WRECK OF THE "MACQUARIE"	CHAPTER four THE WRECK OF THE "MACQUARIE"	false	2.46	35.535	21.469208
2803_154320_000021_000005	God forbid!	God forbid!	true	439.67	441.34	20.578505
2803_154320_000021_000006	And if your Lordship is bent on looking out for her, let it be in order to give her a wide berth."	And if your Lordship is bent on looking out for her, let it be in order to give her a wide berth."	true	441.53	448.3	22
2803_154320_000022_000000	John Mangles was right.	john Mangles was right.	true	449.24	451.32	19.79772
2803_154320_000022_000001	An encounter with the DUNCAN would have been fatal to the MACQUARIE.	An encounter with the DUNCAN would have been fatal to the MACQUARIE.	false	451.32	456	22.477736
2803_154320_000022_000002	There was every reason to fear such an engagement in these narrow seas, in which pirates could ply their trade without risk.	There was every reason to fear such an engagement in these narrow seas, in which pirates could ply their trade without risk.	true	456	464.47	22.499104
2803_154320_000022_000003	However, for that day at least, the yacht did not appear, and the sixth night from their departure from Twofold Bay came, without the fears of John Mangles being realized.	However, for that day at least, the yacht did not appear, and the sixth night from their departure from Twofold Bay came, without the fears of john Mangles being realized.	true	464.81	478.69	21.6525
2803_154320_000023_000000	But that night was to be a night of terrors.	But that night was to be a night of terrors.	false	479.21	482.77	25.091877
2803_154320_000023_000001	Darkness came on almost suddenly at seven o'clock in the evening; the sky was very threatening. The sailor instinct rose above the stupefaction of the drunkard and roused Will Halley.	Darkness came on almost suddenly at seven o'clock in the evening; the sky was very threatening. The sailor instinct rose above the stupefaction of the drunkard and roused Will Halley.	false	483.14	490.98	21.680515
2803_154320_000023_000002	He left his cabin, rubbed his eyes, and shook his great red head.	He left his cabin, rubbed his eyes, and shook his great red head.	false	490.98	491.13	-20
2803_154320_000023_000003	Then he drew a great deep breath of air, as other people swallow a draught of water to revive themselves.	Then he drew a great deep breath of air, as other people swallow a draught of water to revive themselves.	false	491.13	493.38	23.455244
2803_154320_000023_000004	He examined the masts. The wind freshened, and veering a point more to the westward, blew right for the New Zealand coast.	He examined the masts. The wind freshened, and veering a point more to the westward, blew right for the New Zealand coast.	false	493.38	496.86	15.76387
