# READER	CHAPTER	BOOK
121	127105	209
122	121729	1989
122	121730	1989
122	121734	1989
122	129752	18435
123	25081	1862
123	25083	1862
123	25084	1862
123	25085	1862
123	26848	15705
123	5042	12544
125	121124	1184
125	121342	805
126	122467	1257
126	125084	4077
127	129385	972
127	129390	972
128	121911	14328
128	134883	4524
128	134884	4524
133	142924	3074
133	143240	21301
147	125737	2383
147	125761	2383
149	125750	2383
149	125760	2383
150	126107	697
150	126112	697
150	132655	19942
151	125753	2383
152	132799	2439
152	183930	708
152	87733	34181
153	126651	122
153	126652	122
153	126671	122
154	123998	6763
154	124002	6763
154	124003	6763
154	293987	5921
157	121899	14328
157	121907	14328
157	126796	9845
159	121891	14328
159	121902	14328
159	135897	5664
161	121743	9301
161	121897	14328
161	121898	14328
163	121908	14328
163	122947	4363
166	122789	210
166	126302	2591
166	352	84
167	15255	1688
167	68704	12027
168	123450	11
168	129245	16362
168	129246	16362
173	200	121
174	168635	135
174	50561	2032
174	84280	30340
175	123036	271
175	127696	7091
175	129587	159
176	122025	289
176	123269	3748
176	123270	3748
176	123271	3748
177	122839	47
177	123525	62
177	55218	362
188	135249	544
188	136483	1450
188	141613	6100
192	123167	9101
192	128344	98
192	128345	98
196	122150	5658
196	122152	5658
196	122159	5658
198	126831	5342
198	129977	161
198	209	121
199	131001	1404
200	124139	1342
200	124140	1342
200	126784	9845
201	122255	964
201	127786	5921
202	122857	45
202	129387	972
202	130622	308
203	126577	2776
203	132069	3707
203	132073	3707
204	148920	764
204	162375	421
204	287139	120
205	123882	3533
205	157088	11867
205	159056	8728
207	122801	1597
207	131203	225
207	143321	499
208	124554	24055
208	126600	13035
208	126851	501
208	128036	1593
209	157830	105
209	4731	158
209	4733	158
210	129396	972
211	122425	1257
211	122442	1257
215	122798	1597
215	127369	12
216	122441	1257
216	122451	1257
217	122443	1257
218	131205	225
218	131206	225
224	128660	18992
224	129790	1965
224	133227	20190
225	131256	541
225	131259	541
225	131276	541
226	122538	3659
226	131532	969
226	131533	969
227	126539	141
227	129974	161
228	121761	9301
228	131212	225
228	133094	136
229	130880	2488
231	119253	43249
231	127936	10373
233	134440	416
233	155990	3335
237	126133	2770
237	134493	24
237	134500	24
238	122530	3659
240	144999	13249
240	160592	2678
240	160593	2678
242	122625	1260
242	122626	1260
242	122627	1260
242	126842	5342
243	11266	2686
243	11595	19499
243	12956	14255
243	160870	19993
243	162846	18442
245	122647	1260
245	122648	1260
246	122825	47
246	224	121
248	130644	7469
248	130652	7469
248	130697	7469
249	121331	805
250	140277	15082
250	142276	4276
250	142286	4276
251	118436	42259
251	136532	19445
251	137823	17985
252	128411	5788
252	132011	2600
252	140215	11138
252	29350	2600
253	124400	59
253	126864	501
253	126865	501
254	12312	8166
254	127705	7091
254	145458	3688
254	27760	13437
255	121534	1727
255	121535	1727
258	121528	1727
258	130878	2488
260	123286	3748
260	123288	3748
260	123440	11
263	121285	1930
263	121311	1930
264	121332	805
265	122594	940
265	136853	8918
272	130225	1892
272	130226	1892
272	130227	1892
272	130229	1892
273	123248	1
273	129288	730
274	121382	1259
274	121392	1259
274	121398	1259
277	122805	1597
277	127368	12
278	127215	619
283	130638	308
288	121741	9301
288	130994	1404
288	131218	225
288	131220	225
289	121652	5312
289	121665	5312
294	129973	161
294	130872	2488
296	129659	4280
296	141721	18972
296	142727	21077
298	126790	9845
298	126791	9845
302	123504	62
302	123516	62
302	123523	62
303	123500	62
303	123506	62
303	123507	62
307	127535	120
307	127539	120
307	127540	120
310	129055	599
311	124404	59
313	122804	1597
313	127992	1468
313	127997	1468
313	128021	1468
317	127219	619
317	130243	155
317	130248	155
318	124164	1342
318	124224	6753
319	134959	503
322	124146	1342
322	124147	1342
323	126408	778
328	129766	370
329	861	3429
329	862	3429
331	132019	2600
331	135126	10708
331	884	2775
332	128985	17188
335	125941	54
335	125943	54
335	125945	54
335	125951	54
336	125871	500
336	125874	500
336	125876	500
337	123025	271
337	123033	271
337	126286	2591
339	132717	32
339	132718	32
340	124368	2657
345	1119	1342
345	1120	1342
345	1129	1342
348	128030	1468
348	132611	2439
348	132751	2439
353	128309	98
359	128761	2166
359	133630	711
362	123013	271
362	123047	271
362	123048	271
362	123049	271
365	126320	2591
365	126328	2591
365	84333	35710
365	84340	35710
366	126663	122
366	127793	5921
366	129285	730
367	130732	9464
367	293981	5921
369	125882	500
369	125883	500
373	130974	1404
373	130975	1404
373	130977	1404
374	180298	1608
374	180299	1608
377	129290	730
377	129292	730
380	129064	599
380	129066	599
392	131210	225
392	289427	8492
398	123602	367
398	130093	73
402	125880	500
402	126843	5342
402	130001	161
403	126855	501
403	128339	98
403	216	121
404	132013	2600
404	132014	2600
404	132015	2600
405	130894	2488
405	130895	2488
408	122806	1597
409	124990	34901
412	126975	204
413	12292	8166
413	22436	15469
413	22437	15469
421	124401	59
421	128336	98
422	122949	4363
426	122819	47
426	122821	47
426	122822	47
428	125877	500
428	125878	500
428	125879	500
432	122743	86
432	122745	86
432	122761	86
432	122774	86
434	132644	19942
434	132645	19942
434	132649	19942
434	132650	19942
439	122809	1597
439	122810	1597
439	123866	2003
441	128982	17188
441	128988	17188
441	130108	73
444	129208	946
444	138076	2891
444	138080	2891
444	139735	20795
445	123857	1041
445	123860	1041
446	123501	62
446	123502	62
448	122800	1597
448	135065	768
451	126826	5342
451	126829	5342
453	129306	730
453	129308	730
453	131332	46
453	3040	3154
454	134728	1322
458	126290	2591
458	126294	2591
458	126305	2591
459	123443	11
459	127521	120
459	127522	120
460	172357	3533
460	172359	3533
464	126794	9845
464	126832	5342
466	134185	2198
466	134196	2198
466	134208	2198
470	123366	1468
470	127690	7091
470	132610	2439
472	129979	161
472	129983	161
472	129994	161
472	130755	105
474	134809	135
474	141422	2618
474	141425	2618
475	124994	2830
475	124999	2830
475	125001	2830
475	125002	2830
476	133471	5308
476	134312	2688
479	107479	30853
479	107480	30853
479	126480	572
479	134717	1322
480	123176	9101
480	126292	2591
480	126336	2591
480	127525	120
481	123719	600
481	123720	600
483	125116	883
483	125126	883
487	129440	20
489	128340	98
489	75909	2681
489	75912	2681
492	131882	103
492	131887	103
492	131890	103
492	131899	103
497	125118	883
497	129325	730
500	125123	883
501	125127	883
501	125128	883
505	125258	14971
505	125272	139
505	125274	139
510	130101	73
510	130103	73
510	130560	11938
511	131226	22472
511	131228	22472
512	124520	543
512	124549	543
517	121739	9301
517	121740	9301
517	121744	9301
525	126965	7142
533	1066	434
533	131556	969
533	131562	969
533	131564	969
534	123059	215
534	127537	120
534	127538	120
542	125348	55
542	125349	55
542	125351	55
543	133211	19942
543	133212	19942
543	133217	19942
543	137106	8140
544	121090	1184
548	126959	7142
548	126961	7142
549	126410	778
551	129024	599
551	132996	145
557	129796	1965
557	129797	1965
559	126296	2591
559	289453	46
561	126312	2591
561	126313	2591
561	126319	2591
567	127934	10373
568	126446	64
568	126452	64
568	127952	68
569	126489	572
572	126495	6413
572	128861	36
572	96582	21297
576	129623	160
580	126945	7142
580	126947	7142
581	126955	7142
581	126957	7142
583	139009	1142
584	124227	6753
584	124229	6753
584	132032	2600
584	47041	8128
585	294811	4300
587	41611	17811
587	41619	17811
587	54108	1839
589	139200	12239
589	146346	18470
593	126928	216
593	126929	216
593	126932	216
594	127731	8183
594	127732	8183
594	128329	98
596	127685	7091
596	139612	4018
597	127694	7091
597	133239	20190
597	134789	135
598	127703	7091
598	127704	7091
606	121661	5312
606	127691	7091
606	130296	17946
608	123154	238
608	123155	238
608	123193	51
608	123194	51
612	121760	9301
612	121766	9301
613	121900	14328
613	128284	1998
613	132862	10732
614	12876	15344
614	161065	22173
614	6500	6801
622	121659	5312
622	128448	6409
622	128666	18992
625	132112	408
625	132118	408
636	123163	9101
636	128310	98
636	128331	98
637	127579	1900
637	127595	1900
637	127597	1900
639	124526	543
639	143022	1312
644	162690	2464
644	162691	2464
644	163239	4770
652	129742	18435
652	130726	9464
652	130737	9464
663	128990	17188
663	128991	17188
664	129011	599
666	11243	35505
666	11244	35505
667	105002	4767
667	107247	13415
667	158816	7381
669	129061	599
669	129074	599
671	131030	1404
671	131040	1404
672	122797	1597
679	155529	5270
681	152975	20832
681	161945	25637
681	161962	25637
681	166575	1857
684	131458	829
684	137978	709
684	139205	12239
684	141263	21889
688	1070	434
688	15446	19019
688	46588	33410
690	128665	18992
690	133452	5308
690	134308	2688
696	92939	25652
696	93314	39324
698	122863	45
698	122876	45
698	123197	51
699	132864	16389
699	132866	16389
699	132882	16389
700	122866	45
700	122867	45
700	122868	45
705	150468	2600
705	157945	2600
705	157959	2600
705	167610	2600
707	138866	19500
707	161166	5792
708	129393	972
711	187464	22834
711	187466	22834
712	123606	367
712	123615	367
713	115881	15263
713	291178	43429
716	129581	159
716	129582	159
716	129583	159
718	129594	159
718	129596	159
718	129597	159
720	173578	21700
720	173579	21700
720	173580	21700
720	173582	21700
724	123283	3748
724	123284	3748
724	123285	3748
726	124445	345
727	124443	345
728	348	84
730	358	84
730	359	84
730	360	84
731	365	84
731	366	84
737	123441	11
737	123448	11
742	128033	1468
742	128034	1468
753	150477	977
753	166209	6684
753	32846	6880
764	132272	575
764	132280	575
766	127193	36
766	127195	36
770	131704	820
770	134592	269
770	43321	14021
774	127930	10373
777	126732	974
778	126734	974
779	123708	600
779	123709	600
779	123710	600
779	126735	974
780	126736	974
781	126737	974
781	127518	120
782	126738	974
783	126739	974
789	153211	2600
789	153215	2600
791	127519	120
792	127527	120
792	127528	120
797	127182	36
797	127183	36
803	139743	7477
803	139752	7477
803	139753	7477
806	123715	600
806	124221	6753
807	124223	6753
810	130095	73
810	130096	73
811	130143	514
811	130148	514
815	130105	73
815	130569	11938
816	2301	165
816	53638	24022
820	123133	2142
820	123135	2142
826	131108	4925
826	131124	4925
829	123190	51
829	123191	51
829	123192	51
830	130727	9464
830	130728	9464
831	130739	1264
831	130746	1264
834	130870	2488
834	130871	2488
835	130876	2488
836	130900	2488
836	131106	4925
839	130898	2488
844	133692	2833
844	133697	2833
844	135042	768
845	130982	1404
846	130984	1404
846	130985	1404
846	130986	1404
850	131003	1404
850	131004	1404
851	131029	1404
868	131294	769
868	131295	769
868	131296	769
876	126411	778
882	123266	3748
882	123267	3748
882	123268	3748
884	129800	1965
886	123272	3748
886	123273	3748
886	123274	3748
887	123289	3748
887	123290	3748
887	123291	3748
895	136366	2511
899	126232	153
899	126233	153
908	157963	574
908	31957	2002
909	131041	1404
909	131044	1404
909	131045	1404
911	128684	32547
911	130578	11938
915	163369	76
915	163370	76
915	163371	76
915	163372	76
920	668	28054
920	681	28054
921	127933	10373
921	127937	10373
922	132291	19471
922	132299	19471
922	132300	19471
923	132306	16
923	132307	16
925	8140	16739
925	8141	16739
925	8157	16739
927	132462	2554
927	132466	2554
937	121903	14328
937	131548	969
937	132849	3454
937	148985	3499
948	132705	1250
948	132707	1250
948	132710	1250
949	134657	732
949	134660	732
949	138545	16960
949	162667	2464
951	122301	4274
951	138582	4276
953	130625	308
954	130627	308
956	127929	10373
956	127932	10373
956	157879	10371
957	130588	17958
957	132537	3268
957	132568	3268
960	125241	14971
964	124560	24055
964	124569	24055
964	124570	24055
964	140397	17405
968	122544	3659
968	122545	3659
969	134362	967
969	134363	967
969	134373	967
976	131095	4925
976	131541	969
976	172189	4926
978	125137	883
978	132494	2554
979	128669	18992
979	128670	18992
979	128677	18992
979	128678	18992
982	133222	20190
982	133226	20190
984	137141	130
984	137154	130
985	126224	153
985	126226	153
985	126228	153
986	129388	972
1001	134707	1322
1001	134708	1322
1006	135212	537
1012	133424	16
1018	133447	5308
1018	135221	6709
1025	75365	15000
1025	92814	2776
1025	92820	2776
1027	125140	883
1027	125147	883
1028	133393	2865
1028	133395	2865
1031	133220	20190
1034	121119	1184
1040	133433	16
1046	133224	20190
1046	133225	20190
1049	133454	5308
1050	134119	3028
1050	134120	3028
1050	134121	3028
1051	133881	2788
1051	133883	2788
1051	133886	2788
1052	132776	2439
1052	139307	12163
1052	139308	12163
1053	132821	3454
1053	132850	3454
1053	289242	1184
1054	143005	15143
1058	131113	4925
1058	133263	815
1060	134451	416
1061	142358	507
1061	146197	721
1061	152224	5341
1065	134593	269
1065	134602	269
1065	134611	269
1065	135665	9662
1066	103481	16064
1066	4479	158
1066	5330	3322
1069	133699	2833
1069	133709	2833
1079	128631	18542
1079	128632	18542
1079	128633	18542
1079	128636	18542
1081	125237	14971
1081	128618	18542
1084	139230	12239
1084	145077	19403
1084	151395	1167
1085	138296	107
1085	156170	282
1085	169444	1079
1085	35680	10800
1088	129236	2944
1088	134315	2688
1088	134318	2688
1089	134686	4217
1089	134691	4217
1092	134562	2397
1092	134563	2397
1092	134568	2397
1092	134579	2397
1093	132891	556
1094	129661	4280
1094	157767	1153
1094	157768	1153
1096	128264	1998
1096	128265	1998
1096	128267	1998
1096	17320	2600
1097	136910	700
1097	136912	700
1097	136955	700
1098	133695	2833
1100	124547	543
1100	135264	544
1107	1042	434
1107	133254	20190
1107	133727	479
1107	134311	2688
1107	134313	2688
1110	134828	135
1110	134829	135
1110	136055	18891
1112	1043	434
1112	128136	14240
1112	128138	14240
1116	132847	3454
1116	132851	3454
1116	137572	20830
1121	132777	2439
1121	135824	2441
1121	176698	10418
1124	132846	3454
1124	134775	135
1132	138883	19500
1132	145024	17797
1152	126549	141
1152	126550	141
1154	129975	161
1154	129976	161
1154	134886	4524
1154	134887	4524
1160	134674	732
1160	139336	3755
1160	139717	20203
1160	139727	20203
1160	139730	20203
1161	135206	537
1165	135216	6709
1165	135220	6709
1166	136562	8457
1166	14986	7230
1168	134958	503
1171	130776	105
1171	134968	503
1175	126220	153
1175	126221	153
1179	136599	1423
1179	138367	564
1179	139203	12239
1182	133396	2865
1182	134316	2688
1182	134981	503
1183	124566	24055
1183	128659	18992
1183	133255	20190
1183	133256	20190
1184	135532	848
1184	135536	848
1184	135540	848
1187	136220	1000001
1187	136238	1000001
1187	136241	1000001
1188	133604	20019
1195	130164	514
1195	135814	2441
1195	37134	7129
1200	135043	768
1200	135059	768
1200	135067	768
1200	135068	768
1212	14653	481
1212	185485	26640
1212	75242	24482
1221	135766	33
1221	135767	33
1222	133834	786
1222	141174	944
1224	121064	1184
1225	129526	83
1225	129527	83
1225	129802	1965
1226	141268	21889
1226	141270	21889
1226	141279	21889
1230	1060	434
1230	1068	434
1230	139216	12239
1230	139225	12239
1235	135883	5664
1235	135884	5664
1235	135887	5664
1239	138254	83
1239	139609	4018
1241	121103	1184
1241	121106	1184
1241	137614	1251
1246	124548	543
1246	124550	543
1246	135815	2441
1250	135777	33
1250	135782	33
1252	134983	503
1255	138279	107
1255	74899	31274
1255	90407	3326
1255	90413	3326
1258	135062	768
1258	135063	768
1259	137770	2891
1259	27120	1342
1259	72927	3261
1260	139266	1041
1260	139267	1041
1260	139271	1041
1260	139272	1041
1261	127742	8183
1261	131411	731
1261	136350	2511
1263	138246	83
1263	139804	14770
1263	141777	19090
1264	129805	1965
1264	135033	956
1265	135635	580
1265	135636	580
1266	135837	2441
1266	136523	2130
1266	136524	2130
1271	128145	14240
1271	133279	815
1271	136861	8918
1272	128104	14240
1272	135031	956
1272	141231	21873
1274	121770	9301
1274	121771	9301
1280	135136	10708
1280	143268	21301
1283	129808	1965
1283	136983	1000012
1284	1180	955
1284	1181	955
1284	134647	732
1289	288043	6107
1289	288044	6107
1290	135762	33
1291	138096	2891
1291	138109	2891
1291	138273	107
1296	134434	416
1296	138074	2891
1298	1054	434
1298	142233	11127
1298	142236	11127
1311	134170	18492
1311	134176	18492
1313	135020	956
1313	135022	956
1313	136054	18891
1316	132782	2439
1316	132800	2439
1320	122612	940
1320	122617	940
1322	137588	1251
1322	137589	1251
1323	138548	16960
1323	138617	4583
1323	149236	2612
1331	155890	110
1331	155891	110
1331	155892	110
1334	135589	6471
1335	160602	163
1335	163935	25914
1335	27593	12069
1336	138113	10659
1336	138115	10659
1337	10673	128
1337	10674	128
1337	156963	12434
1341	9206	12758
1342	130497	18362
1342	133247	20190
1342	133248	20190
1343	139681	699
1343	158781	7381
1343	158796	7381
1347	135885	5664
1347	164338	1685
1348	135826	2441
1348	135832	2441
1349	135891	5664
1349	135892	5664
1353	121397	1259
1353	122456	1257
1353	134827	135
1355	39947	22775
1363	135842	2441
1363	139304	12163
1365	134804	135
1365	134825	135
1365	134830	135
1367	291931	19221
1367	291967	19221
1367	291968	19221
1370	138531	11116
1370	140972	21530
1373	132103	8994
1373	135029	956
1374	133833	786
1379	130486	18362
1379	130517	18362
1379	130529	18362
1379	130530	18362
1382	130492	18362
1382	130516	18362
1382	130548	18362
1382	130549	18362
1383	130489	18362
1383	130532	18362
1383	130533	18362
1384	130459	18362
1384	130460	18362
1384	130461	18362
1384	130462	18362
1384	130531	18362
1387	130989	1404
1387	130993	1404
1387	134991	503
1390	130493	18362
1390	130494	18362
1390	130495	18362
1392	128226	1998
1392	128240	1998
1392	135654	9662
1392	135659	9662
1392	140654	2017
1401	14358	4927
1401	146770	12460
1401	174511	5660
1403	130575	11938
1403	135907	5664
1403	138552	16960
1413	121799	15489
1414	130538	18362
1417	1532	2607
1417	1536	2607
1417	1539	2607
1421	8522	105
1421	8534	105
1421	8539	105
1422	146111	2233
1422	146123	2233
1422	149735	111
1425	139290	23
1425	139291	23
1425	139297	23
1430	1061	434
1430	139231	12239
1444	133287	815
1445	139387	102
1445	139397	102
1445	139404	102
1446	122614	940
1447	130550	18362
1447	130551	18362
1447	130552	18362
1447	17506	16566
1448	135894	5664
1455	134435	416
1455	138263	83
1456	130544	18362
1456	130545	18362
1456	130553	18362
1456	136846	8918
1456	139733	20795
1460	138289	107
1460	138290	107
1462	170138	94
1462	170142	94
1462	170145	94
1463	134463	559
1463	134465	559
1469	163403	76
1469	168608	135
1472	139797	14770
1472	142848	10136
1472	285314	10059
1473	135657	9662
1474	128275	1998
1474	128276	1998
1474	172821	889
1482	140067	1719
1482	140071	1719
1482	140072	1719
1485	121385	1259
1485	139314	12163
1487	133273	815
1492	11251	2686
1492	174461	26115
1492	55449	21816
1494	138315	107
1495	138027	5946
1498	140040	498
1498	140041	498
1502	122615	940
1502	122619	940
1505	1303	244
1505	1304	244
1509	143477	208
1509	145699	640
1509	145742	640
1513	140221	1635
1513	140222	1635
1535	141642	338
1535	141644	338
1536	137608	1251
1536	138488	2612
1536	141791	2612
1544	121402	1259
1544	121405	1259
1544	140055	498
1544	41167	1399
1545	160887	19993
1545	161007	19993
1547	130184	514
1552	140651	2017
1552	140656	2017
1552	141135	944
1553	140047	498
1553	140048	498
1556	139350	3091
1556	143307	8082
1559	139347	3091
1559	139353	3091
1563	137590	1251
1564	142299	4276
1566	133291	815
1566	153036	20092
1569	141081	108
1569	141082	108
1571	138486	2612
1571	141320	11231
1572	141715	18972
1572	141718	18972
1578	140045	498
1578	140049	498
1578	6379	21048
1579	128131	14240
1579	128140	14240
1579	128155	14240
1580	141083	108
1580	141084	108
1585	131718	820
1585	157660	20487
1593	175346	22759
1593	91064	35950
1593	94847	5875
1594	135914	5664
1595	132753	2439
1595	138031	5946
1601	136848	8918
1601	136862	8918
1603	139324	12163
1603	139325	12163
1603	140931	21813
1603	141713	18972
1607	134636	732
1607	149245	2612
1607	150715	735
1614	13759	173
1614	13785	173
1614	141486	15233
1614	167305	20636
1618	220956	19289
1618	32399	37134
1618	32402	37134
1618	32403	37134
1621	141592	10855
1621	141593	10855
1621	141595	10855
1621	141599	10855
1624	142933	3074
1624	168623	135
1629	139707	699
1629	139710	699
1630	102884	23136
1630	141772	2600
1630	73710	19771
1630	96099	11451
1633	141580	18190
1633	141584	18190
1633	150458	2600
1633	180292	1608
1634	141571	8390
1636	130501	18362
1636	130535	18362
1636	141789	2612
1638	84447	46
1638	84448	46
1639	132848	3454
1639	133290	815
1641	130503	18362
1641	130504	18362
1641	130505	18362
1643	138089	2891
1645	141819	124
1646	121406	1259
1646	121408	1259
1646	121409	1259
1647	140649	8813
1647	142742	5827
1648	144971	13249
1649	150127	1557
1649	5776	6086
1649	68762	13110
1650	157641	18096
1650	167613	2600
1650	173551	2600
1650	173552	2600
1651	136854	8918
1653	141272	21889
1653	142352	507
1653	142374	507
1664	122623	940
1664	137600	1251
1665	132826	3454
1665	136991	2600
1665	141758	2600
1668	136271	6093
1668	136280	6093
1673	143396	734
1673	143397	734
1674	142277	4276
1674	142298	4276
1678	142279	4276
1679	142280	4276
1679	142287	4276
1680	142282	4276
1681	142301	4276
1681	142313	4276
1685	146845	16728
1685	146847	16728
1685	146849	16728
1686	142278	4276
1688	142285	4276
1690	142293	4276
1691	142296	4276
1693	142302	4276
1695	142312	4276
1696	142314	4276
1699	141159	944
1699	141160	944
1701	141759	2600
1701	141760	2600
1704	142310	4276
1705	142318	4276
1708	142415	5720
1708	142417	246
1710	133294	815
1710	133295	815
1714	142291	4276
1715	142315	4276
1717	142305	4276
1721	142317	4276
1723	141149	944
1724	395	5682
1726	142316	4276
1731	142320	4276
1733	139046	3623
1734	142311	4276
1736	142281	4276
1736	152007	6688
1737	142396	291
1737	142397	291
1737	146161	21032
1737	148989	3499
1740	141148	944
1743	142912	3074
1743	142913	3074
1743	142914	3074
1746	143015	1312
1748	1560	325
1748	1562	325
1750	135624	580
1750	142369	507
1752	16632	15709
1754	137004	2600
1754	140639	8813
1756	134819	135
1756	134820	135
1757	128103	14240
1757	128127	14240
1760	143006	15143
1765	143010	15143
1767	142932	3074
1767	142941	3074
1767	142942	3074
1767	142944	3074
1769	143483	11136
1769	143484	11136
1769	143485	11136
1772	135621	580
1773	139602	4018
1773	145712	640
1773	145716	640
1773	145729	640
1776	139035	3623
1776	142744	5827
1777	142745	5827
1777	142750	5827
1779	142733	21077
1780	143478	208
1784	142294	4276
1789	137618	1251
1789	142896	1913
1795	142410	291
1795	142412	291
1800	142858	10136
1801	138032	5946
1804	131525	969
1804	131527	969
1804	170447	1827
1806	143946	940
1806	143948	940
1806	2536	2275
1809	143025	1312
1811	129443	20
1813	142304	4276
1815	143381	734
1815	143382	734
1815	143388	734
1815	9918	135
1819	144391	18190
1819	144398	18190
1819	144401	18190
1819	144402	18190
1825	135580	6471
1826	139361	3091
1826	142752	5827
1827	143625	871
1828	141203	5157
1841	150351	22302
1841	159771	24872
1841	179183	27683
1844	144486	766
1844	145713	640
1845	145083	19403
1845	145088	19403
1845	147962	19810
1846	144452	766
1846	144458	766
1849	138063	5946
1849	144965	13249
1851	148312	1430
1851	148962	2600
1851	151817	783
1859	145700	640
1859	145701	640
1859	145703	640
1863	142324	4276
1867	148436	11093
1867	154071	11880
1867	154075	11880
1868	145459	3688
1868	145473	3688
1868	2318	1477
1870	148296	1430
1870	164323	1685
1870	164330	1685
1874	143361	734
1874	165701	7347
1874	165702	7347
1874	89898	38326
1878	122452	1257
1878	122453	1257
1885	136863	8918
1898	145702	640
1898	145715	640
1898	145720	640
1898	145724	640
1901	146686	781
1901	147822	21728
1901	48014	1902
1901	60017	34448
1903	132499	2554
1913	143521	3155
1913	147989	19810
1913	147990	19810
1914	121446	1259
1914	121449	1259
1914	133440	35
1919	142785	10136
1920	147026	20912
1920	1793	2950
1923	155646	13833
1923	161972	12084
1923	161975	12084
1924	132574	3268
1924	132576	3268
1926	143879	2834
1926	147979	19810
1926	147987	19810
1931	156647	831
1933	146437	2814
1938	176228	5164
1938	180290	1608
1943	138033	5946
1944	159227	10360
1944	159228	10360
1944	159230	10360
1958	144503	766
1961	145733	640
1961	149738	111
1961	149739	111
1963	142393	507
1963	142776	10136
1963	147036	20912
1968	145732	640
1970	10594	21904
1970	26100	22781
1970	28415	19087
1974	139741	20795
1974	139742	20795
1977	133046	145
1977	147187	677
1985	144468	766
1987	144135	1081
1988	147956	19810
1988	148538	816
1988	24833	24921
1989	26962	24020
1992	141719	18972
1993	147149	2153
1993	147964	19810
1993	147965	19810
1993	147966	19810
1995	1826	15265
1995	1836	15265
1995	1837	15265
1998	15444	19019
1998	29454	28725
1998	29455	28725
2001	144499	766
2002	139469	18247
2003	143254	21301
2003	143255	21301
2004	147173	2153
2004	147967	19810
2004	147981	19810
2007	132570	3268
2007	149877	5267
2010	121416	1259
2010	147045	20912
2012	139355	3091
2012	139356	3091
2012	139358	3091
2013	147609	20740
2013	147610	20740
2021	169435	1079
2021	235244	8167
2021	235245	8167
2021	246946	5976
2026	22756	700
2026	81608	1023
2026	81609	1023
2033	164914	3436
2033	164915	3436
2033	164916	3436
2035	147960	19810
2035	147961	19810
2035	152373	6634
2039	141208	5157
2039	141209	5157
2042	134780	135
2042	136442	6593
2042	148298	1430
2045	158081	3604
2046	141204	5157
2046	178027	2600
2050	157659	20487
2050	164332	1685
2050	164335	1685
2051	153962	1906
2053	138888	19500
2053	138901	19500
2056	143893	2834
2060	147963	19810
2060	150843	2604
2060	150855	2604
2061	147110	6026
2062	109873	23735
2062	143900	2834
2063	148525	816
2063	148526	816
2067	143535	3155
2067	143536	3155
2068	146217	3435
2074	147193	677
2074	149033	21415
2074	159371	40359
2078	142845	10136
2085	147968	19810
2085	147970	19810
2085	147971	19810
2086	149214	77
2086	149220	77
2089	133059	145
2089	148992	3499
2089	148996	3499
2090	147030	20912
2090	149737	111
2090	151646	767
2092	145706	640
2092	145709	640
2093	143262	21301
2093	143264	21301
2093	143271	21301
2094	142345	507
2096	136868	8918
2100	138911	19500
