174_168635_000014_000000	CHAPTER III--TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE	CHAPTER three-TWO MISFORTUNES MAKE ONE PIECE OF GOOD FORTUNE
174_168635_000029_000000	And in truth, the mysterious impression produced on Cosette in the depths of the forest of Chelles by the hand of Jean Valjean grasping hers in the dark was not an illusion, but a reality.	And in truth, the mysterious impression produced on Cosette in the depths of the forest of Chelles by the hand of Jean Valjean grasping hers in the dark was not an illusion, but a reality.
174_168635_000029_000001	The entrance of that man into the destiny of that child had been the advent of God.	The entrance of that man into the destiny of that child had been the advent of God.
174_168635_000030_000000	Moreover, Jean Valjean had chosen his refuge well.	Moreover, Jean Valjean had chosen his refuge well.
174_168635_000030_000001	There he seemed perfectly secure.	There he seemed perfectly secure.
174_168635_000031_000000	The chamber with a dressing-room, which he occupied with Cosette, was the one whose window opened on the boulevard.	The chamber with a dressing room, which he occupied with Cosette, was the one whose window opened on the boulevard.
174_168635_000031_000001	This being the only window in the house, no neighbors' glances were to be feared from across the way or at the side.	This being the only window in the house, no neighbors' glances were to be feared from across the way or at the side.
174_168635_000032_000002	The first story contained, as we have said, numerous chambers and several attics, only one of which was occupied by the old woman who took charge of Jean Valjean's housekeeping; all the rest was uninhabited.	The first story contained, as we have said, numerous chambers and several attics, only one of which was occupied by the old woman who took charge of Jean Valjean's housekeeping; all the rest was uninhabited.
174_168635_000033_000000	It was this old woman, ornamented with the name of the principal lodger, and in reality intrusted with the functions of portress, who had let him the lodging on Christmas eve.	It was this old woman, ornamented with the name of the principal lodger, and in reality intrusted with the functions of portress, who had let him the lodging on Christmas eve.
174_168635_000033_000001	He had represented himself to her as a gentleman of means who had been ruined by Spanish bonds, who was coming there to live with his little daughter.	He had represented himself to her as a gentleman of means who had been ruined by Spanish bonds, who was coming there to live with his little daughter.
174_168635_000033_000003	It was this good woman who had lighted the fire in the stove, and prepared everything on the evening of their arrival.	It was this good woman who had lighted the fire in the stove, and prepared everything on the evening of their arrival.
174_168635_000035_000000	Cosette laughed, chattered, and sang from daybreak.	Cosette laughed, chattered, and sang from daybreak.
174_168635_000035_000001	Children have their morning song as well as birds.	Children have their morning song as well as birds.
174_168635_000036_000000	It sometimes happened that Jean Valjean clasped her tiny red hand, all cracked with chilblains, and kissed it.	It sometimes happened that Jean Valjean clasped her tiny red hand, all cracked with chilblains, and kissed it.
174_168635_000036_000001	The poor child, who was used to being beaten, did not know the meaning of this, and ran away in confusion.	The poor child, who was used to being beaten, did not know the meaning of this, and ran away in confusion.
174_168635_000037_000000	At times she became serious and stared at her little black gown.	At times she became serious and stared at her little black gown.
174_168635_000037_000001	Cosette was no longer in rags; she was in mourning.	Cosette was no longer in rags; she was in mourning.
174_168635_000037_000002	She had emerged from misery, and she was entering into life.	She had emerged from misery, and she was entering into life.
174_168635_000038_000000	Jean Valjean had undertaken to teach her to read.	Jean Valjean had undertaken to teach her to read.
174_168635_000038_000001	Sometimes, as he made the child spell, he remembered that it was with the idea of doing evil that he had learned to read in prison.	Sometimes, as he made the child spell, he remembered that it was with the idea of doing evil that he had learned to read in prison.
174_168635_000038_000002	This idea had ended in teaching a child to read.	This idea had ended in teaching a child to read.
174_168635_000039_000001	Good thoughts have their abysses as well as evil ones.	Good thoughts have their abysses as well as evil ones.
174_168635_000040_000000	To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence.	To teach Cosette to read, and to let her play, this constituted nearly the whole of Jean Valjean's existence.
174_168635_000040_000001	And then he talked of her mother, and he made her pray.	And then he talked of her mother, and he made her pray.
174_168635_000041_000000	She called him father, and knew no other name for him.	She called him father, and knew no other name for him.
174_168635_000042_000001	Life, henceforth, appeared to him to be full of interest; men seemed to him good and just; he no longer reproached any one in thought; he saw no reason why he should not live to be a very old man, now that this child loved him.	Life, henceforth, appeared to him to be full of interest; men seemed to him good and just; he no longer reproached any one in thought; he saw no reason why he should not live to be a very old man, now that this child loved him.
174_168635_000042_000002	He saw a whole future stretching out before him, illuminated by Cosette as by a charming light.	He saw a whole future stretching out before him, illuminated by Cosette as by a charming light.
174_168635_000042_000003	The best of us are not exempt from egotistical thoughts.	The best of us are not exempt from egotistical thoughts.
174_168635_000042_000004	At times, he reflected with a sort of joy that she would be ugly.	At times, he reflected with a sort of joy that she would be ugly.
174_168635_000043_000001	He had just viewed the malice of men and the misery of society under a new aspect--incomplete aspects, which unfortunately only exhibited one side of the truth, the fate of woman as summed up in Fantine, and public authority as personified in Javert.	He had just viewed the malice of men and the misery of society under a new aspect-incomplete aspects, which unfortunately only exhibited one side of the truth, the fate of woman as summed up in Fantine, and public authority as personified in Javert.
174_168635_000043_000004	He protected her, and she strengthened him.	He protected her, and she strengthened him.
174_168635_000043_000005	Thanks to him, she could walk through life; thanks to her, he could continue in virtue.	Thanks to him, she could walk through life; thanks to her, he could continue in virtue.
174_168635_000043_000006	He was that child's stay, and she was his prop.	He was that child's stay, and she was his prop.
