7976_105575_000000_000000	CHAPTER III	CHAPTER three	false	0.63	23.95	23.423512
7976_105575_000007_000002	It was the Iowa, the Missouri, and the Ohio boys against the boys of Alabama and Mississippi, and the grass and leaves were covered with the bodies in blue and gray.	It was the Iowa, the Missouri, and the Ohio boys against the boys of Alabama and Mississippi, and the grass and leaves were covered with the bodies in blue and gray.	true	235.76	246.22	22.561237
7976_105575_000007_000003	Not Balaklava, nor the Alma, saw such fighting.	Not Balaklava, nor the Alma, saw such fighting.	true	246.68	250.24	24.883102
7976_105575_000007_000004	It was a duel to the death.	It was a duel to the death.	false	250.49	252.34	22.242725
7976_105575_000007_000005	For hours the blue and the gray stood within forty yards of each other and poured in sheets of musketry. Every horse of the battery at the left of my regiment was killed, and every gunner but one or two was shot and lying among the debris.	For hours the blue and the gray stood within forty yards of each other and poured in sheets of musketry. Every horse of the battery at the left of my regiment was killed, and every gunner but one or two was shot and lying among the debris.	false	252.74	268.33	22.79044
7976_105575_000007_000006	No battery in the whole four years' war lost so many men in so short a time.	No battery in the whole four years' war lost so many men in so short a time.	false	268.94	274.06	20.850668
7976_105575_000007_000007	Antietam, Gettysburg, the Wilderness, could show nothing like it. Only the setting sun put an end to what was part of the time a hand to hand conflict.	Antietam, Gettysburg, the Wilderness, could show nothing like it. Only the setting sun put an end to what was part of the time a hand to hand conflict.	true	274.34	284.89	24.08849
7976_105575_000007_000008	One daring Rebel was shot down and bayoneted clear behind the line of Company B, where he had broken through to seize the flag of my regiment.	One daring Rebel was shot down and bayoneted clear behind the line of Company B, where he had broken through to seize the flag of my regiment.	true	285.32	294.13	23.456707
7976_105575_000008_000000	That night the enemy slipped away, leaving hundreds and hundreds of his dead and wounded on the field.	That night the enemy slipped away, leaving hundreds and hundreds of his dead and wounded on the field.	true	295.46	301.39	23.583202
7976_105575_000008_000001	With a few lanterns our men then went about and tried to gather up the wounded; the dead were left till morning.	With a few lanterns our men then went about and tried to gather up the wounded; the dead were left till morning.	true	301.85	308.5	21.85697
7976_105575_000008_000002	There were 782 Union men lying there in their blood that long night, 608 of them out of a single small brigade.	There were seven hundred eighty two Union men lying there in their blood that long night, six hundred eight of them out of a single small brigade.	true	309.08	318.75	22.322905
7976_105575_000008_000003	While mothers and sisters at home were praying for the safety of these dear ones at the front, their spirits that night were leaving their torn bodies in the dark and ascending heavenward.	While mothers and sisters at home were praying for the safety of these dear ones at the front, their spirits that night were leaving their torn bodies in the dark and ascending heavenward.	true	318.75	329.89	23.089575
7976_105575_000008_000004	Five of my eight messmates of the day before were shot.	Five of my eight messmates of the day before were shot.	true	330.56	334.12	21.582922
7976_105575_000008_000005	It was not a question who was dead, or wounded, but who was _not_.	It was not a question who was dead, or wounded, but who was underscore not underscore.	false	334.61	338.82	22.086882
7976_105575_000008_000006	Fifteen officers of our little half regiment were dead or wounded.	Fifteen officers of our little half regiment were dead or wounded.	true	338.82	342.79	23.230694
7976_105575_000008_000007	The enemy lost more than one thousand men in trying to destroy that single brigade and its Ohio battery.	The enemy lost more than one thousand men in trying to destroy that single brigade and its Ohio battery.	true	343.19	350.35	22.338821
7976_105575_000009_000000	The burying party the next morning found nineteen dead Rebels lying together at one place.	The burying party the next morning found nineteen dead Rebels lying together at one place.	true	350.96	356.44	22.719429
7976_105575_000009_000001	At another spot 182 Rebel corpses lay in a row covered by tarpaulins.	At another spot one hundred eighty two Rebel corpses lay in a row covered by tarpaulins.	true	356.78	362.68	24.5558
7976_105575_000009_000002	The enemy had not had time to bury them.	The enemy had not had time to bury them.	true	362.93	365.29	20.098616
7976_105575_000010_000000	It was a principle among our generals that if a command fought well in a battle or got cut all to pieces, that was the particular command to be put at the very front in the next hard scrap.	It was a principle among our generals that if a command fought well in a battle or got cut all to pieces, that was the particular command to be put at the very front in the next hard scrap.	false	366.17	378.25	23.259682
7976_105575_000010_000001	And so it was that within two weeks my regiment was placed outside the breastworks at Corinth, to wait and receive another awful assault.	And so it was that within two weeks my regiment was placed outside the breastworks at Corinth, to wait and receive another awful assault.	true	378.47	387.31	24.09017
7976_105575_000011_000000	The night before the battle of Corinth the Fifth Iowa Regiment lay across the Purdy road, in the bright moonlight.	The night before the battle of Corinth the Fifth Iowa Regiment lay across the Purdy road, in the bright moonlight.	true	388.25	395.445	24.303188
7976_105575_000011_000001	I remained awake all night, talking with a comrade who shared my blanket with me.	I remained awake all night, talking with a comrade who shared my blanket with me.	false	395.445	400.03	24.27278
7976_105575_000011_000002	Poor Jimmy King! he survived the war only to be murdered later on a plantation in Mississippi.	Poor Jimmy King! he survived the war only to be murdered later on a plantation in Mississippi.	true	400.34	406.66	21.115046
7976_105575_000011_000003	As we lay there in the wagon road, the awful losses of my regiment at Iuka kept us thinking there in the moonlight what would happen on the morrow.	As we lay there in the wagon road, the awful losses of my regiment at Iuka kept us thinking there in the moonlight what would happen on the morrow.	false	407.45	416.08	23.268545
7976_105575_000011_000004	When morning came the firing opened, and for all that day the battle raged fiercely at the left and center left, we getting the worst of it, too.	When morning came the firing opened, and for all that day the battle raged fiercely at the left and center left, we getting the worst of it, too.	true	416.6	426.07	25.071383
7976_105575_000011_000005	The Rebels were charging works that they themselves had built when they held the town during Halleck's siege. General Haccelman and many other of our officers had fallen.	The Rebels were charging works that they themselves had built when they held the town during Halleck's siege. General Haccelman and many other of our officers had fallen.	true	426.59	436.57	21.484188
7976_105575_000011_000006	Our own division, though fighting some, had lost but few men.	Our own division, though fighting some, had lost but few men.	true	437.06	441.22	22.619373
7976_105575_000011_000007	That evening an order came for us--Hamilton's Division--to assault the enemy's left flank at midnight.	That evening an order came for us-Hamilton's Division-to assault the enemy's left flank at midnight.	true	441.89	448.72	25.223953
7976_105575_000011_000008	Before the hour came, however, the move was decided to be too dangerous, and we changed our position to one nearer the forts.	Before the hour came, however, the move was decided to be too dangerous, and we changed our position to one nearer the forts.	true	449.33	456.94	23.775518
7976_105575_000011_000009	All the night we lay there under the brightest moonlight I ever saw.	All the night we lay there under the brightest moonlight I ever saw.	true	457.61	461.53	23.05704
7976_105575_000011_000010	Under the same quiet moonlight, and only six hundred yards away from us, also lay the victorious Rebel army.	Under the same quiet moonlight, and only six hundred yards away from us, also lay the victorious Rebel army.	true	462.02	468.85	23.715687
7976_105575_000011_000011	They believed Corinth as good as taken, but they had only captured our outer lines of forts.	They believed Corinth as good as taken, but they had only captured our outer lines of forts.	false	469.34	475.33	23.360735
7976_105575_000011_000012	Yet it looked very bad for us.	Yet it looked very bad for us.	true	475.7	477.67	21.366873
7976_105575_000011_000013	Every house in town was full of our wounded and our dead lay everywhere.	Every house in town was full of our wounded and our dead lay everywhere.	true	478.01	482.77	23.301105
7976_105575_000012_000000	Once in the night I slipped away from the bivouac and hurried to the old Tishimingo Hotel, to see a lieutenant of my company, who had been shot through the breast.	Once in the night I slipped away from the bivouac and hurried to the old Tishimingo Hotel, to see a lieutenant of my company, who had been shot through the breast.	true	483.59	493.27	24.088892
7976_105575_000012_000001	Never will I forget the horrible scenes of that night.	Never will I forget the horrible scenes of that night.	true	493.61	496.69	21.470564
7976_105575_000012_000002	The town seemed full of the groans of dying men.	The town seemed full of the groans of dying men.	true	496.91	499.69	20.770832
7976_105575_000012_000003	In one large room of the Tishimingo House surgeons worked all the night, cutting off arms and legs.	In one large room of the Tishimingo House surgeons worked all the night, cutting off arms and legs.	false	500.12	506.65	21.96525
7976_105575_000012_000004	I could not help my friend.	I could not help my friend.	true	507.05	508.815	19.56585
7976_105575_000012_000005	It was too late, for he was dying.	It was too late, for he was dying.	true	508.815	511	26.011566
7976_105575_000012_000006	"Go back to the regiment," he said, smiling, "all will be needed."	"Go back to the regiment," he said, smiling, "all will be needed."	true	511.46	515.38	22.516117
7976_105575_000013_000000	It was a relief to me to get back into the moonlight and out of the horror, yet out there lay thousands of others in line, only waiting the daylight to be also mangled and torn like these.	It was a relief to me to get back into the moonlight and out of the horror, yet out there lay thousands of others in line, only waiting the daylight to be also mangled and torn like these.	true	515.81	526.87	22.736647
7976_105575_000013_000001	The moon shone so brightly the men in the lines, tired though they were, could scarcely sleep.	The moon shone so brightly the men in the lines, tired though they were, could scarcely sleep.	true	527.48	533.62	22.50124
7976_105575_000013_000002	There the thousands lay, the blue and the gray, under the same peaceful moon, worshiping the same God, and each praying for dear ones North and South they would never again see.	There the thousands lay, the blue and the gray, under the same peaceful moon, worshiping the same God, and each praying for dear ones North and South they would never again see.	false	533.93	546.78	22.940702
7976_105575_000013_000003	God could not answer the prayers of the men in both armies that night.	God could not answer the prayers of the men in both armies that night.	true	546.78	550.39	22.032911
7976_105575_000013_000004	Had He done so, all would have been killed on the morrow.	Had He done so, all would have been killed on the morrow.	true	550.55	553.98	24.173475
7976_105575_000013_000005	At early daybreak I again went to see my lieutenant.	At early daybreak I again went to see my lieutenant.	false	553.98	558.19	23.973814
7976_105575_000013_000006	As I entered the building a cannonball from the enemy crashed through the house and killed four soldiers by the stairway.	As I entered the building a cannonball from the enemy crashed through the house and killed four soldiers by the stairway.	true	558.56	565.27	23.498116
7976_105575_000013_000007	My friend, with many others, was being carried out to die elsewhere.	My friend, with many others, was being carried out to die elsewhere.	true	565.79	570.43	24.884111
7976_105575_000014_000000	It was soon full day.	It was soon full day.	true	571.34	573.07	23.93588
7976_105575_000014_000001	In one of the rooms I saw the floors, tables, and chairs covered with amputated limbs, some white and some broken and bleeding.	In one of the rooms I saw the floors, tables, and chairs covered with amputated limbs, some white and some broken and bleeding.	true	573.26	581.41	22.898891
7976_105575_000014_000002	There were simply bushels of them, and the floor was running blood.	There were simply bushels of them, and the floor was running blood.	true	581.78	585.76	21.600136
7976_105575_000014_000003	It was a strange, horrible sight,--but it was war.	It was a strange, horrible sight,--but it was war.	true	585.95	589.51	23.162258
7976_105575_000014_000004	Yes, it was "hell." I hastened back to the lines.	Yes, it was "hell." I hastened back to the lines.	true	589.88	593.26	20.959015
7976_105575_000014_000005	Nine o'clock came, and now we knew that the great assault was to be made.	Nine o'clock came, and now we knew that the great assault was to be made.	true	593.51	598.09	24.740786
7976_105575_000014_000006	We looked for it against our own division, as we lay in the grass waiting.	We looked for it against our own division, as we lay in the grass waiting.	true	598.46	602.53	23.675035
7976_105575_000014_000007	Suddenly we heard something, almost like a distant whirlwind.	Suddenly we heard something, almost like a distant whirlwind.	true	603.17	606.97	21.84589
7976_105575_000014_000008	My regiment rose to its feet, fired a few moments at scattering Rebels in our front, and were amazed to see a great black column, ten thousand strong, moving like a mighty storm-cloud out of the woods and attacking the forts and troops at our left.	My regiment rose to its feet, fired a few moments at scattering Rebels in our front, and were amazed to see a great black column, ten thousand strong, moving like a mighty storm cloud out of the woods and attacking the forts and troops at our left.	true	607.43	623.44	23.418833
7976_105575_000014_000009	Instantly we changed direction a little and, without further firing, witnessed one of the greatest assaults of any war.	Instantly we changed direction a little and, without further firing, witnessed one of the greatest assaults of any war.	true	623.93	631.51	24.378168
7976_105575_000014_000010	It was the storming of Fort Robinett.	It was the storming of Fort Robinett.	true	631.88	634.15	26.265854
7976_105575_000014_000011	The cloud of Rebels we had seen divided itself into three columns.	The cloud of Rebels we had seen divided itself into three columns.	true	634.67	638.83	22.505
7976_105575_000014_000012	These recklessly advanced on the forts, climbing over the fallen trees and bending their heads against the awful storm of grape and canister from all our cannon.	These recklessly advanced on the forts, climbing over the fallen trees and bending their heads against the awful storm of grape and canister from all our cannon.	true	639.11	648.67	23.861431
7976_105575_000014_000013	A perfect blaze of close range musketry, too, mowed them down like grass.	A perfect blaze of close range musketry, too, mowed them down like grass.	true	649.31	654.1	23.522335
7976_105575_000014_000014	Even a foe could feel pity to see brave men so cruelly slaughtered.	Even a foe could feel pity to see brave men so cruelly slaughtered.	true	654.59	659.62	23.555193
7976_105575_000015_000000	When the assault had failed and the noise of battle was stilled, I hurried down in front of Robinett.	When the assault had failed and the noise of battle was stilled, I hurried down in front of Robinett.	true	659.75	665.44	21.85774
7976_105575_000015_000001	My canteen was full of water and I pressed it to the lips of many a dying enemy--enemy no longer.	My canteen was full of water and I pressed it to the lips of many a dying enemy-enemy no longer.	true	665.78	672.31	22.27701
7976_105575_000015_000002	Our grape shot had torn whole companies of men to pieces.	Our grape shot had torn whole companies of men to pieces.	true	672.62	676.15	22.892576
7976_105575_000015_000003	They lay in heaps of dozens, even close up to the works.	They lay in heaps of dozens, even close up to the works.	true	676.52	680.71	23.918991
7976_105575_000015_000004	General Rogers, who had led a brigade into the hopeless pit, lay on his back, dead, with his flag in his hand.	General Rogers, who had led a brigade into the hopeless pit, lay on his back, dead, with his flag in his hand.	true	681.41	688.32	23.35663
7976_105575_000015_000005	_He was the fifth one to die carrying that flag._ When I reached him some cruel one had stripped him of his boots.	underscore He was the fifth one to die carrying that flag.underscore When I reached him some cruel one had stripped him of his boots.	false	688.32	696.07	23.71222
7976_105575_000015_000006	Another had taken his fine gold watch.	Another had taken his fine gold watch.	true	696.29	698.98	22.421125
7976_105575_000016_000000	In this attack on Corinth the brave Southerners lost 5000 wounded, and we buried 1423 of their dead on the battlefield.	In this attack on Corinth the brave Southerners lost five thousand wounded, and we buried fourteen twenty three of their dead on the battlefield.	false	699.53	709.33	22.207815
7976_105575_000016_000001	Our own loss had been 2200 dead and wounded.	Our own loss had been two thousand two hundred dead and wounded.	true	709.76	713.71	23.3467
7976_105575_000016_000002	That night I stood guard under an oak tree on the battlefield among the unburied dead.	That night I stood guard under an oak tree on the battlefield among the unburied dead.	true	714.26	719.83	25.0179
7976_105575_000016_000003	Many of the wounded, even, had not yet been gathered up.	Many of the wounded, even, had not yet been gathered up.	true	720.41	724.06	23.746124
7976_105575_000016_000004	The moon shone as brightly as the night before, while thousands who had lain there under its peaceful rays before the battle were now again sleeping, but never to waken.	The moon shone as brightly as the night before, while thousands who had lain there under its peaceful rays before the battle were now again sleeping, but never to waken.	false	724.52	735.34	23.591766
7976_105575_000017_000000	Our regiment now pursued the flying Rebels with great vigor.	Our regiment now pursued the flying Rebels with great vigor.	true	736.67	740.26	23.051546
7976_105575_000017_000001	The quantities of broken batteries, wagons, tents, knapsacks, guns, etc., strewn along the roads behind them were immense.	The quantities of broken batteries, wagons, tents, knapsacks, guns, etc, strewn along the roads behind them were immense.	false	740.42	749.02	22.33749
7976_105575_000017_000002	At the Hatchie River the Rebels were momentarily headed off by a division under Hurlbut that had hurried across from Bolivar.	At the Hatchie River the Rebels were momentarily headed off by a division under Hurlbut that had hurried across from Bolivar.	false	749.72	757.81	22.760326
7976_105575_000017_000003	A seven hours' battle was fought at the bridge, but the Rebels got away in another direction.	A seven hours' battle was fought at the bridge, but the Rebels got away in another direction.	false	758.9	763.96	22.358839
7976_105575_000017_000004	Possibly the best friend I had in the world, save my kin, was killed at that bridge.	Possibly the best friend I had in the world, save my kin, was killed at that bridge.	true	764.39	769.54	23.303932
7976_105575_000017_000005	It was Lieutenant William Dodd, a classmate in school.	It was Lieutenant William Dodd, a classmate in school.	true	770.06	773.68	23.77155
7976_105575_000017_000006	His head was shot off by a cannonball just as his regiment was charging at the bridge.	His head was shot off by a cannonball just as his regiment was charging at the bridge.	true	773.96	779.05	22.652485
7976_105575_000018_000000	The pursuit of the enemy was being pushed with vigor when the army was ordered to desist and return to camp.	The pursuit of the enemy was being pushed with vigor when the army was ordered to desist and return to camp.	true	780.62	786.46	24.149057
7976_105575_000018_000001	It was an astounding order, as it was in our power to destroy the defeated and flying columns.	It was an astounding order, as it was in our power to destroy the defeated and flying columns.	true	786.86	792.49	23.39563
7976_105575_000018_000002	That order was one of the mistakes of Grant's earlier days as a commander.	That order was one of the mistakes of Grant's earlier days as a commander.	true	793.1	797.32	22.761944
7976_105575_000018_000003	Indeed, we of the rank and file had little confidence in Grant in those days.	Indeed, we of the rank and file had little confidence in Grant in those days.	true	797.78	802.51	22.673098
7976_105575_000018_000004	We reflected that at Shiloh he was miles away from the battlefield at the critical moment.	We reflected that at Shiloh he was miles away from the battlefield at the critical moment.	true	802.91	808.36	26.266438
7976_105575_000018_000005	Sherman had saved the Union army from destruction there.	Sherman had saved the Union army from destruction there.	true	808.61	811.75	21.527308
7976_105575_000018_000006	At Iuka, Grant, though commander, did not even know a battle was going on.	At Iuka, Grant, though commander, did not even know a battle was going on.	true	812.24	817.09	24.573761
7976_105575_000018_000007	At Corinth he was forty miles away, and now, when we had the enemy almost within our grasp, he suddenly called us back.	At Corinth he was forty miles away, and now, when we had the enemy almost within our grasp, he suddenly called us back.	true	818.09	826.27	24.742565
7976_105575_000018_000008	Rosecrans protested.	Rosecrans protested.	true	826.64	828.48	24.43835
7976_105575_000018_000009	It was in vain.	It was in vain.	true	828.48	829.66	19.526834
7976_105575_000018_000010	The order, more imperative than before, was repeated.	The order, more imperative than before, was repeated.	true	830.33	833.74	25.403084
7976_105575_000018_000011	It required months, and great events, to make Grant the hero of the army which he afterward became.	It required months, and great events, to make Grant the hero of the army which he afterward became.	true	833.87	840.13	22.237148
7976_105575_000019_000000	This entry I find in my diary in one of those days: "Our commander of the district is General U. S. Grant, who took Donelson; but aside from that one hour's fighting, and a little fighting at Shiloh, the troops know little about him.	This entry I find in my diary in one of those days: "Our commander of the district is General u s Grant, who took Donelson; but aside from that one hour's fighting, and a little fighting at Shiloh, the troops know little about him.	false	841.01	856.39	24.042557
7976_105575_000019_000001	Rosecrans is at present the hero of this army, and, with him leading it, the boys would storm Hades."	Rosecrans is at present the hero of this army, and, with him leading it, the boys would storm Hades."	true	856.79	863.02	24.230104
7976_105575_000020_000000	With the mercury at one hundred, the dust in the roads ankle deep, and the whole atmosphere yellow and full of it, the regiments exhausted by the pursuit, and yet disgusted at our recall, slowly tramped their way back to Corinth.	With the mercury at one hundred, the dust in the roads ankle deep, and the whole atmosphere yellow and full of it, the regiments exhausted by the pursuit, and yet disgusted at our recall, slowly tramped their way back to Corinth.	false	864.41	878.35	22.891722
7976_105575_000020_000001	Now I visited my wounded companions in the hospital.	Now I visited my wounded companions in the hospital.	true	878.96	882.55	19.717169
7976_105575_000020_000002	On inquiry for certain ones I learned that they were dead and lying out in the improvised graveyard near by.	On inquiry for certain ones I learned that they were dead and lying out in the improvised graveyard near by.	true	882.98	889.54	24.130438
7976_105575_000021_000000	For some reason the dead at Hatchie Bridge were not buried.	For some reason the dead at Hatchie Bridge were not buried.	true	890.66	894.07	23.376303
7976_105575_000021_000001	A week after the battle my brother rode by there on a cavalry expedition and made the horrible discovery that hogs were eating up the bodies of our dead heroes.	A week after the battle my brother rode by there on a cavalry expedition and made the horrible discovery that hogs were eating up the bodies of our dead heroes.	false	894.32	903.69	22.373783
7976_105575_000021_000002	_That too was war._	underscore That too was war.underscore	false	903.69	906.48	21.994148
7976_105575_000022_000000	We now camped on the edge of the town and went on building still other and greater forts.	We now camped on the edge of the town and went on building still other and greater forts.	true	906.48	911.77	24.035126
7976_105575_000022_000001	Many of the soldiers made huts for themselves.	Many of the soldiers made huts for themselves.	true	912.26	914.95	20.931263
7976_105575_000022_000002	It was getting cooler now, and little fireplaces were built in the huts and tents.	It was getting cooler now, and little fireplaces were built in the huts and tents.	true	915.2	919.9	25.05405
7976_105575_000022_000003	Brick was scarce, and in a few instances the men used the stone slabs from a graveyard close at hand.	Brick was scarce, and in a few instances the men used the stone slabs from a graveyard close at hand.	true	920.27	927.13	22.999151
7976_105575_000022_000004	It seemed vandalism, but the dead did not need them and the living did.	It seemed vandalism, but the dead did not need them and the living did.	false	927.5	942.72	21.379574
