2412_153947_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	2.85	4.74	17.039705
2412_153947_000017_000002	The fact is that "Erewhon" was finished, with the exception of the last twenty pages and a sentence or two inserted from time to time here and there throughout the book, before the first advertisement of "The Coming Race" appeared.	The fact is that "Erewhon" was finished, with the exception of the last twenty pages and a sentence or two inserted from time to time here and there throughout the book, before the first advertisement of "The Coming Race" appeared.	true	82.73	94.39	19
2412_153947_000017_000003	A friend having called my attention to one of the first of these advertisements, and suggesting that it probably referred to a work of similar character to my own, I took "Erewhon" to a well-known firm of publishers on the 1st of May 1871, and left it in their hands for consideration.	A friend having called my attention to one of the first of these advertisements, and suggesting that it probably referred to a work of similar character to my own, I took "Erewhon" to a well-known firm of publishers on the first of may eighteen seventy one, and left it in their hands for consideration.	true	94.91	110.89	19.37623
2412_153947_000017_000004	I then went abroad, and on learning that the publishers alluded to declined the MS., I let it alone for six or seven months, and, being in an out-of-the-way part of Italy, never saw a single review of "The Coming Race," nor a copy of the work.	I then went abroad, and on learning that the publishers alluded to declined the ms, I let it alone for six or seven months, and, being in an out of the way part of Italy, never saw a single review of "The Coming Race," nor a copy of the work.	false	113.21	126.73	18.125172
2412_153947_000017_000005	On my return, I purposely avoided looking into it until I had sent back my last revises to the printer.	On my return, I purposely avoided looking into it until I had sent back my last revises to the printer.	true	127.85	133.84	20
2412_153947_000017_000006	Then I had much pleasure in reading it, but was indeed surprised at the many little points of similarity between the two books, in spite of their entire independence to one another.	Then I had much pleasure in reading it, but was indeed surprised at the many little points of similarity between the two books, in spite of their entire independence to one another.	true	134.27	143.26	20.084496
2412_153947_000018_000000	I regret that reviewers have in some cases been inclined to treat the chapters on Machines as an attempt to reduce Mr. Darwin's theory to an absurdity.	I regret that reviewers have in some cases been inclined to treat the chapters on Machines as an attempt to reduce mr Darwin's theory to an absurdity.	true	145.46	153.55	17
2412_153947_000018_000001	Nothing could be further from my intention, and few things would be more distasteful to me than any attempt to laugh at Mr. Darwin; but I must own that I have myself to thank for the misconception, for I felt sure that my intention would be missed, but preferred not to weaken the chapters by explanation, and knew very well that Mr. Darwin's theory would take no harm.	Nothing could be further from my intention, and few things would be more distasteful to me than any attempt to laugh at mr Darwin; but I must own that I have myself to thank for the misconception, for I felt sure that my intention would be missed, but preferred not to weaken the chapters by explanation, and knew very well that mr Darwin's theory would take no harm.	true	154.01	173.08	19.519224
2412_153947_000018_000002	The only question in my mind was how far I could afford to be misrepresented as laughing at that for which I have the most profound admiration.	The only question in my mind was how far I could afford to be misrepresented as laughing at that for which I have the most profound admiration.	true	173.27	180.31	19
2412_153947_000018_000003	I am surprised, however, that the book at which such an example of the specious misuse of analogy would seem most naturally levelled should have occurred to no reviewer; neither shall I mention the name of the book here, though I should fancy that the hint given will suffice.	I am surprised, however, that the book at which such an example of the specious misuse of analogy would seem most naturally levelled should have occurred to no reviewer; neither shall I mention the name of the book here, though I should fancy that the hint given will suffice.	true	181.01	193.93	18.484695
2412_153947_000019_000000	I have been held by some whose opinions I respect to have denied men's responsibility for their actions.	I have been held by some whose opinions I respect to have denied men's responsibility for their actions.	true	195.65	201.34	19.962133
2412_153947_000019_000001	He who does this is an enemy who deserves no quarter.	He who does this is an enemy who deserves no quarter.	true	201.62	204.825	15
2412_153947_000019_000002	I should have imagined that I had been sufficiently explicit, but have made a few additions to the chapter on Malcontents, which will, I think, serve to render further mistake impossible.	I should have imagined that I had been sufficiently explicit, but have made a few additions to the chapter on Malcontents, which will, I think, serve to render further mistake impossible.	true	204.825	214.57	19
2412_153947_000020_000000	An anonymous correspondent (by the hand-writing presumably a clergyman) tells me that in quoting from the Latin grammar I should at any rate have done so correctly, and that I should have written "agricolas" instead of "agricolae".	An anonymous correspondent (by the hand writing presumably a clergyman) tells me that in quoting from the Latin grammar I should at any rate have done so correctly, and that I should have written "agricolas" instead of "agricolae".	false	216.77	229.66	19
2412_153947_000020_000001	He added something about any boy in the fourth form, &c., &c., which I shall not quote, but which made me very uncomfortable.	He added something about any boy in the fourth form, and c., and c., which I shall not quote, but which made me very uncomfortable.	false	230.33	237.22	19.029568
2412_153947_000020_000002	It may be said that I must have misquoted from design, from ignorance, or by a slip of the pen; but surely in these days it will be recognised as harsh to assign limits to the all-embracing boundlessness of truth, and it will be more reasonably assumed that each of the three possible causes of misquotation must have had its share in the apparent blunder.	It may be said that I must have misquoted from design, from ignorance, or by a slip of the pen; but surely in these days it will be recognised as harsh to assign limits to the all embracing boundlessness of truth, and it will be more reasonably assumed that each of the three possible causes of misquotation must have had its share in the apparent blunder.	false	237.59	256.66	19
2412_153947_000020_000003	The art of writing things that shall sound right and yet be wrong has made so many reputations, and affords comfort to such a large number of readers, that I could not venture to neglect it; the Latin grammar, however, is a subject on which some of the younger members of the community feel strongly, so I have now written "agricolas".	The art of writing things that shall sound right and yet be wrong has made so many reputations, and affords comfort to such a large number of readers, that I could not venture to neglect it; the Latin grammar, however, is a subject on which some of the younger members of the community feel strongly, so I have now written "agricolas".	true	256.91	274.75	19.380173
2412_153947_000020_000004	I have also parted with the word "infortuniam" (though not without regret), but have not dared to meddle with other similar inaccuracies.	I have also parted with the word "infortuniam" (though not without regret), but have not dared to meddle with other similar inaccuracies.	true	275.81	283.75	20.536217
2412_153947_000021_000000	For the inconsistencies in the book, and I am aware that there are not a few, I must ask the indulgence of the reader.	For the inconsistencies in the book, and I am aware that there are not a few, I must ask the indulgence of the reader.	false	284.96	291.13	19.605843
2412_153947_000021_000001	The blame, however, lies chiefly with the Erewhonians themselves, for they were really a very difficult people to understand.	The blame, however, lies chiefly with the Erewhonians themselves, for they were really a very difficult people to understand.	false	291.41	297.46	18
2412_153947_000021_000002	The most glaring anomalies seemed to afford them no intellectual inconvenience; neither, provided they did not actually see the money dropping out of their pockets, nor suffer immediate physical pain, would they listen to any arguments as to the waste of money and happiness which their folly caused them.	The most glaring anomalies seemed to afford them no intellectual inconvenience; neither, provided they did not actually see the money dropping out of their pockets, nor suffer immediate physical pain, would they listen to any arguments as to the waste of money and happiness which their folly caused them.	false	297.59	313.18	18
2412_153947_000021_000003	But this had an effect of which I have little reason to complain, for I was allowed almost to call them life-long self-deceivers to their faces, and they said it was quite true, but that it did not matter.	But this had an effect of which I have little reason to complain, for I was allowed almost to call them life-long self deceivers to their faces, and they said it was quite true, but that it did not matter.	true	314.45	325.45	18.17865
2412_153947_000022_000000	I must not conclude without expressing my most sincere thanks to my critics and to the public for the leniency and consideration with which they have treated my adventures.	I must not conclude without expressing my most sincere thanks to my critics and to the public for the leniency and consideration with which they have treated my adventures.	true	326.72	334.81	18
2412_153947_000023_000000	June 9, 1872	june ninth eighteen seventy two	true	335.36	337.72	21.124584
2412_153947_000024_000000	PREFACE TO THE REVISED EDITION	PREFACE TO THE REVISED EDITION	true	339.86	345.82	16.987566
2412_153947_000025_000000	My publisher wishes me to say a few words about the genesis of the work, a revised and enlarged edition of which he is herewith laying before the public.	My publisher wishes me to say a few words about the genesis of the work, a revised and enlarged edition of which he is herewith laying before the public.	true	345.83	354.25	19.293617
2412_153947_000025_000001	I therefore place on record as much as I can remember on this head after a lapse of more than thirty years.	I therefore place on record as much as I can remember on this head after a lapse of more than thirty years.	true	354.74	359.83	18.98808
2412_153947_000026_000000	The first part of "Erewhon" written was an article headed "Darwin among the Machines," and signed Cellarius.	The first part of "Erewhon" written was an article headed "Darwin among the Machines," and signed Cellarius.	true	360.59	366.25	19
2412_153947_000026_000001	It was written in the Upper Rangitata district of the Canterbury Province (as it then was) of New Zealand, and appeared at Christchurch in the Press Newspaper, June 13, 1863.	It was written in the Upper Rangitata district of the Canterbury Province (as it then was) of New Zealand, and appeared at Christchurch in the Press Newspaper, june thirteenth eighteen sixty three.	false	366.59	376.87	19
2412_153947_000026_000002	A copy of this article is indexed under my books in the British Museum catalogue.	A copy of this article is indexed under my books in the British Museum catalogue.	true	377.69	382.3	19
2412_153947_000026_000003	In passing, I may say that the opening chapters of "Erewhon" were also drawn from the Upper Rangitata district, with such modifications as I found convenient.	In passing, I may say that the opening chapters of "Erewhon" were also drawn from the Upper Rangitata district, with such modifications as I found convenient.	true	382.49	391.45	18.906195
2412_153947_000027_000000	A second article on the same subject as the one just referred to appeared in the Press shortly after the first, but I have no copy.	A second article on the same subject as the one just referred to appeared in the Press shortly after the first, but I have no copy.	true	392.39	399.76	19.225063
2412_153947_000027_000001	It treated Machines from a different point of view, and was the basis of pp. 270-274 of the present edition of "Erewhon." {1} This view ultimately led me to the theory I put forward in "Life and Habit," published in November 1877. I have put a bare outline of this theory (which I believe to be quite sound) into the mouth of an Erewhonian philosopher in Chapter XXVII. of this book.	It treated Machines from a different point of view, and was the basis of p p. two hundred seventy to two hundred seventy four of the present edition of "Erewhon." {one} This view ultimately led me to the theory I put forward in "Life and Habit," published in november eighteen seventy seven. I have put a bare outline of this theory (which I believe to be quite sound) into the mouth of an Erewhonian philosopher in Chapter twenty seven. of this book.	false	400.01	424.3	19
2412_153947_000028_000000	In 1865 I rewrote and enlarged "Darwin among the Machines" for the Reasoner, a paper published in London by Mr. G. J. Holyoake.	In one eight six five i rewrote and enlarged "Darwin among the Machines" for the Reasoner, a paper published in London by mr g j Holyoake.	false	425.27	434.2	18.642618
2412_153947_000028_000001	It appeared July 1, 1865, under the heading, "The Mechanical Creation," and can be seen in the British Museum.	It appeared july first eighteen sixty five, under the heading, "The Mechanical Creation," and can be seen in the British Museum.	true	434.36	441.46	18
2412_153947_000028_000002	I again rewrote and enlarged it, till it assumed the form in which it appeared in the first edition of "Erewhon."	I again rewrote and enlarged it, till it assumed the form in which it appeared in the first edition of "Erewhon."	true	441.92	447.55	17
2412_153947_000029_000000	The next part of "Erewhon" that I wrote was the "World of the Unborn," a preliminary form of which was sent to Mr. Holyoake's paper, but as I cannot find it among those copies of the Reasoner that are in the British Museum, I conclude that it was not accepted.	The next part of "Erewhon" that I wrote was the "World of the Unborn," a preliminary form of which was sent to mr Holyoake's paper, but as I cannot find it among those copies of the Reasoner that are in the British Museum, I conclude that it was not accepted.	true	448.19	462.88	20.315336
2412_153947_000029_000001	I have, however, rather a strong fancy that it appeared in some London paper of the same character as the Reasoner, not very long after July 1, 1865, but I have no copy.	I have, however, rather a strong fancy that it appeared in some London paper of the same character as the Reasoner, not very long after july first eighteen sixty five, but I have no copy.	true	463.31	475.44	19.584002
2412_153947_000030_000000	I also wrote about this time the substance of what ultimately became the Musical Banks, and the trial of a man for being in a consumption.	I also wrote about this time the substance of what ultimately became the Musical Banks, and the trial of a man for being in a consumption.	true	475.44	483.43	20.187479
2412_153947_000030_000001	These four detached papers were, I believe, all that was written of "Erewhon" before 1870.	These four detached papers were, I believe, all that was written of "Erewhon" before eighteen seventy.	true	484.1	489.55	17
2412_153947_000030_000002	Between 1865 and 1870 I wrote hardly anything, being hopeful of attaining that success as a painter which it has not been vouchsafed me to attain, but in the autumn of 1870, just as I was beginning to get occasionally hung at Royal Academy exhibitions, my friend, the late Sir F. N. (then Mr.) Broome, suggested to me that I should add somewhat to the articles I had already written, and string them together into a book.	Between eighteen sixty five and eighteen seventy i wrote hardly anything, being hopeful of attaining that success as a painter which it has not been vouchsafed me to attain, but in the autumn of eighteen seventy, just as I was beginning to get occasionally hung at Royal Academy exhibitions, my friend, the late Sir f n (then mr) Broome, suggested to me that I should add somewhat to the articles I had already written, and string them together into a book.	false	489.92	515.74	19.514145
2412_153947_000030_000003	I was rather fired by the idea, but as I only worked at the MS. on Sundays it was some months before I had completed it.	I was rather fired by the idea, but as I only worked at the ms on Sundays it was some months before I had completed it.	false	516.08	523.12	20.082773
2412_153947_000031_000000	I see from my second Preface that I took the book to Messrs.	I see from my second Preface that I took the book to Messrs.	false	524.57	527.52	19
2412_153947_000031_000001	Chapman & Hall May 1, 1871, and on their rejection of it, under the advice of one who has attained the highest rank among living writers, I let it sleep, till I took it to Mr. Trubner early in 1872.	Chapman and Hall may first eighteen seventy one, and on their rejection of it, under the advice of one who has attained the highest rank among living writers, I let it sleep, till I took it to mr Trubner early in eighteen seventy two.	true	527.52	541.03	17.96116
2412_153947_000031_000002	As regards its rejection by Messrs.	As regards its rejection by Messrs.	false	541.76	543.66	21.35677
2412_153947_000031_000003	Chapman & Hall, I believe their reader advised them quite wisely. They told me he reported that it was a philosophical work, little likely to be popular with a large circle of readers.	Chapman and Hall, I believe their reader advised them quite wisely. They told me he reported that it was a philosophical work, little likely to be popular with a large circle of readers.	false	543.66	553.69	19.444742
2412_153947_000031_000004	I hope that if I had been their reader, and the book had been submitted to myself, I should have advised them to the same effect.	I hope that if I had been their reader, and the book had been submitted to myself, I should have advised them to the same effect.	true	554.06	560.53	19.37129
2412_153947_000032_000000	"Erewhon" appeared with the last day or two of March 1872.	"Erewhon" appeared with the last day or two of march eighteen seventy two.	true	561.68	565.63	18.372278
2412_153947_000032_000001	I attribute its unlooked-for success mainly to two early favourable reviews--the first in the Pall Mall Gazette of April 12, and the second in the Spectator of April 20.	I attribute its unlooked for success mainly to two early favourable reviews-the first in the Pall Mall Gazette of april twelfth, and the second in the Spectator of april twentieth.	false	565.94	575.71	19.670994
2412_153947_000032_000002	There was also another cause.	There was also another cause.	true	576.32	577.95	18.31114
2412_153947_000032_000003	I was complaining once to a friend that though "Erewhon" had met with such a warm reception, my subsequent books had been all of them practically still- born.	I was complaining once to a friend that though "Erewhon" had met with such a warm reception, my subsequent books had been all of them practically still born.	true	577.95	585.64	19
2412_153947_000032_000004	He said, "You forget one charm that 'Erewhon' had, but which none of your other books can have." I asked what? and was answered, "The sound of a new voice, and of an unknown voice."	He said, "You forget one charm that 'Erewhon' had, but which none of your other books can have." I asked what? and was answered, "The sound of a new voice, and of an unknown voice."	true	585.8	595.69	19.073803
2412_153947_000033_000000	The first edition of "Erewhon" sold in about three weeks; I had not taken moulds, and as the demand was strong, it was set up again immediately.	The first edition of "Erewhon" sold in about three weeks; I had not taken moulds, and as the demand was strong, it was set up again immediately.	true	597.32	605.11	19
2412_153947_000033_000001	I made a few unimportant alterations and additions, and added a Preface, of which I cannot say that I am particularly proud, but an inexperienced writer with a head somewhat turned by unexpected success is not to be trusted with a preface.	I made a few unimportant alterations and additions, and added a Preface, of which I cannot say that I am particularly proud, but an inexperienced writer with a head somewhat turned by unexpected success is not to be trusted with a preface.	false	605.63	618.7	18
2412_153947_000033_000002	I made a few further very trifling alterations before moulds were taken, but since the summer of 1872, as new editions were from time to time wanted, they have been printed from stereos then made.	I made a few further very trifling alterations before moulds were taken, but since the summer of eighteen seventy two, as new editions were from time to time wanted, they have been printed from stereos then made.	true	619.34	631.54	18.768602
2412_153947_000034_000000	Having now, I fear, at too great length done what I was asked to do, I should like to add a few words on my own account.	Having now, I fear, at too great length done what I was asked to do, I should like to add a few words on my own account.	true	632.81	639.04	20
2412_153947_000034_000001	I am still fairly well satisfied with those parts of "Erewhon" that were repeatedly rewritten, but from those that had only a single writing I would gladly cut out some forty or fifty pages if I could.	I am still fairly well satisfied with those parts of "Erewhon" that were repeatedly rewritten, but from those that had only a single writing I would gladly cut out some forty or fifty pages if I could.	true	639.38	649.96	19
2412_153947_000035_000000	This, however, may not be, for the copyright will probably expire in a little over twelve years.	This, however, may not be, for the copyright will probably expire in a little over twelve years.	true	650.84	655.42	17
2412_153947_000035_000001	It was necessary, therefore, to revise the book throughout for literary inelegancies--of which I found many more than I had expected--and also to make such substantial additions as should secure a new lease of life--at any rate for the copyright.	It was necessary, therefore, to revise the book throughout for literary inelegancies-of which I found many more than I had expected-and also to make such substantial additions as should secure a new lease of life-at any rate for the copyright.	false	655.85	669.19	19
2412_153947_000035_000002	If, then, instead of cutting out, say fifty pages, I have been compelled to add about sixty invita Minerva--the blame rests neither with my publisher nor with me, but with the copyright laws.	If, then, instead of cutting out, say fifty pages, I have been compelled to add about sixty invita Minerva-the blame rests neither with my publisher nor with me, but with the copyright laws.	true	669.95	681.01	18.745577
2412_153947_000035_000003	Nevertheless I can assure the reader that, though I have found it an irksome task to take up work which I thought I had got rid of thirty years ago, and much of which I am ashamed of, I have done my best to make the new matter savour so much of the better portions of the old, that none but the best critics shall perceive at what places the gaps of between thirty and forty years occur.	Nevertheless I can assure the reader that, though I have found it an irksome task to take up work which I thought I had got rid of thirty years ago, and much of which I am ashamed of, I have done my best to make the new matter savour so much of the better portions of the old, that none but the best critics shall perceive at what places the gaps of between thirty and forty years occur.	false	681.62	701.74	19.518126
2412_153947_000036_000000	Lastly, if my readers note a considerable difference between the literary technique of "Erewhon" and that of "Erewhon Revisited," I would remind them that, as I have just shown, "Erewhon" look something like ten years in writing, and even so was written with great difficulty, while "Erewhon Revisited" was written easily between November 1900 and the end of April 1901.	Lastly, if my readers note a considerable difference between the literary technique of "Erewhon" and that of "Erewhon Revisited," I would remind them that, as I have just shown, "Erewhon" look something like ten years in writing, and even so was written with great difficulty, while "Erewhon Revisited" was written easily between november nineteen hundred and the end of april nineteen o one.	false	702.8	723.52	17.740747
2412_153947_000036_000001	There is no central idea underlying "Erewhon," whereas the attempt to realise the effect of a single supposed great miracle dominates the whole of its successor.	There is no central idea underlying "Erewhon," whereas the attempt to realise the effect of a single supposed great miracle dominates the whole of its successor.	true	723.89	732.55	19
2412_153947_000036_000002	In "Erewhon" there was hardly any story, and little attempt to give life and individuality to the characters; I hope that in "Erewhon Revisited" both these defects have been in great measure avoided.	In "Erewhon" there was hardly any story, and little attempt to give life and individuality to the characters; I hope that in "Erewhon Revisited" both these defects have been in great measure avoided.	false	733.28	743.35	18
2412_153947_000036_000003	"Erewhon" was not an organic whole, "Erewhon Revisited" may fairly claim to be one.	"Erewhon" was not an organic whole, "Erewhon Revisited" may fairly claim to be one.	true	743.66	748.48	19
2412_153947_000036_000004	Nevertheless, though in literary workmanship I do not doubt that this last-named book is an improvement on the first, I shall be agreeably surprised if I am not told that "Erewhon," with all its faults, is the better reading of the two.	Nevertheless, though in literary workmanship I do not doubt that this last named book is an improvement on the first, I shall be agreeably surprised if I am not told that "Erewhon," with all its faults, is the better reading of the two.	false	748.97	769.71	19.181368
