2428_83705_000000_000000	MR.	mr	true	19.62	19.98	27
2428_83705_000033_000001	I notice that they are generally persons who have already tendered their offerings.	I notice that they are generally persons who have already tendered their offerings.	false	678.71	684.28	22.943848
2428_83705_000033_000002	The fact of having given Mary Ann a wedding present seems to fill them with a feeling of rancorous acidity which, to me, is inexplicable.	The fact of having given Mary Ann a wedding present seems to fill them with a feeling of rancorous acidity which, to me, is inexplicable.	true	684.53	693.4	23.066628
2428_83705_000033_000003	My belief is that they have been induced to spend at least twice as much as they intended, and that they resent it.	My belief is that they have been induced to spend at least twice as much as they intended, and that they resent it.	true	693.86	701.59	23.329443
2428_83705_000033_000004	Such is the selfishness of human nature.	Such is the selfishness of human nature.	false	701.75	704.23	26.895548
2428_83705_000033_000005	But why, on that account, they should pity me, I altogether fail to understand.	But why, on that account, they should pity me, I altogether fail to understand.	true	704.57	710.59	27.86048
2428_83705_000034_000000	"We have all been giving Mary Ann presents, and I suppose you, Mr. Whiting, have been giving her something too." That was what Mrs. Macpherson said to me only the other day.	"We have all been giving Mary Ann presents, and I suppose you, mr Whiting, have been giving her something too." That was what mrs Macpherson said to me only the other day.	true	711.11	724.15	21.734606
2428_83705_000034_000001	I have given Mary Ann two or three trifles, and I said so.	I have given Mary Ann two or three trifles, and I said so.	true	724.52	728.74	22.790932
2428_83705_000034_000002	"And what," inquired Mrs. Macpherson, "has Mary Ann given you?"	"And what," inquired mrs Macpherson, "has Mary Ann given you?"	true	728.99	732.82	22.152454
2428_83705_000035_000000	"Her love."	"Her love."	true	733.31	734.38	23.795897
2428_83705_000036_000000	Someone sniggered.	Someone sniggered.	true	735.62	736.96	22.44389
2428_83705_000036_000001	I cannot pretend to explain why, except on the supposition that romance is dead; at least in that circle of society in which the Snellings move.	I cannot pretend to explain why, except on the supposition that romance is dead; at least in that circle of society in which the Snellings move.	true	737.57	746.56	24.119175
2428_83705_000036_000002	But that is not the only society the world contains.	But that is not the only society the world contains.	true	746.84	749.92	22.268759
2428_83705_000037_000000	As a matter of fact, Mary Ann has given me a pair of slippers, worked by her own hands.	As a matter of fact, Mary Ann has given me a pair of slippers, worked by her own hands.	false	750.38	755.86	22.728613
2428_83705_000037_000001	It is true that they are a trifle large for me, and that I shall never be able to keep them on my feet except when I am sitting still.	It is true that they are a trifle large for me, and that I shall never be able to keep them on my feet except when I am sitting still.	true	755.9	762.31	21
2428_83705_000037_000002	But Mary Ann does not seem to think that that matters, so why should I? Her youngest sister, Clara Louisa, has quite gratuitously informed me that she has had them by her for some considerable time, and that, not to put too fine a point on it, they were originally designed for another individual altogether--a Mr. Pilbeam.	But Mary Ann does not seem to think that that matters, so why should I? Her youngest sister, Clara Louisa, has quite gratuitously informed me that she has had them by her for some considerable time, and that, not to put too fine a point on it, they were originally designed for another individual altogether-a mr Pilbeam.	true	762.41	783.73	22.877111
2428_83705_000037_000003	But even supposing that what Clara Louisa says is true--of which I have no evidence--I have, surely, cause to congratulate myself on standing literally in Mr. Pilbeam's shoes, even if they are a little spacious.	But even supposing that what Clara Louisa says is true-of which I have no evidence-I have, surely, cause to congratulate myself on standing literally in mr Pilbeam's shoes, even if they are a little spacious.	false	783.89	800.17	21.311144
2428_83705_000038_000000	On the whole I do not know that I regret that accident I had with Mary Ann.	On the whole I do not know that I regret that accident I had with Mary Ann.	true	800.81	805.21	18
2428_83705_000038_000001	It is true that there are times when I am a little disposed to wish that she were not quite so good a manager; now and then every man likes to call his soul his own.	It is true that there are times when I am a little disposed to wish that she were not quite so good a manager; now and then every man likes to call his soul his own.	true	805.4	815.65	21.953577
2428_83705_000038_000002	On the other hand, she is well qualified to protect me from the rest of the family.	On the other hand, she is well qualified to protect me from the rest of the family.	true	815.99	820.93	25.788605
2428_83705_000038_000003	She will keep them at bay.	She will keep them at bay.	true	821.3	822.81	28.643623
2428_83705_000038_000004	Because it is beginning to dawn on me that, singlehanded, she is more than a match for them all.	Because it is beginning to dawn on me that, singlehanded, she is more than a match for them all.	false	822.81	828.36	21.77029
2428_83705_000038_000005	Which is just as well.	Which is just as well.	true	828.36	829.93	25.43162
2428_83705_000038_000006	If she had been like me they would have rent us limb from limb.	If she had been like me they would have rent us limb from limb.	true	830	834.03	23.10301
2428_83705_000038_000007	As it is, unless I am mistaken, some of the rending will be on our side.	As it is, unless I am mistaken, some of the rending will be on our side.	true	834.03	839.925	21.795927
2428_83705_000038_000008	And they know it!	And they know it!	true	839.925	840.97	23.050985
2428_83705_000039_000000	P.S.--The cards are out for the wedding.	p s--The cards are out for the wedding.	true	841.73	844.54	24.80281
2428_83705_000039_000001	It is to take place on Tuesday fortnight.	It is to take place on Tuesday fortnight.	true	844.61	847.15	25.457453
2428_83705_000039_000002	We are going for our honeymoon to Italy and the South of France.	We are going for our honeymoon to Italy and the South of France.	true	847.28	851.47	24.497175
2428_83705_000039_000003	A second cousin of Mary Ann's is in the Cook's Tours line.	A second cousin of Mary Ann's is in the Cook's Tours line.	true	851.57	855.52	23.107773
2428_83705_000039_000004	He has given us free passes all the way to the end of our journey, and all the way back again; and coupons for free board and lodging at the hotel.	He has given us free passes all the way to the end of our journey, and all the way back again; and coupons for free board and lodging at the hotel.	true	855.53	864.91	23.607672
2428_83705_000039_000005	It's a wedding present.	It's a wedding present.	true	865.1	866.68	28.812641
2428_83705_000039_000006	So that, as Mary Ann says, our honeymoon need cost us practically nothing.	So that, as Mary Ann says, our honeymoon need cost us practically nothing.	true	866.75	872.38	23.984526
2428_83705_000039_000007	Besides which we can always sell the coupons and railway passes which we don't use.	Besides which we can always sell the coupons and railway passes which we don't use.	true	872.57	878.41	23.678915
2428_83705_000040_000000	Nothing could be more delightful.	Nothing could be more delightful.	true	878.96	881.58	27.995876
2428_83705_000041_000000	A SUBSTITUTE.	A SUBSTITUTE.	false	881.58	882.45	-20
2428_83705_000042_000000	THE STORY OF MY LAST CRICKET-MATCH.	THE STORY OF MY LAST CRICKET MATCH.	false	882.45	883.62	23.500673
2428_83705_000043_000000	CHAPTER I.	CHAPTER one	false	883.62	883.68	-2
2428_83705_000044_000000	I AM APPOINTED CAPTAIN.	I a m APPOINTED CAPTAIN.	false	883.68	883.83	20
2428_83705_000045_000000	I have some idea of cricket--not much, perhaps, but I certainly have some.	I have some idea of cricket-not much, perhaps, but I certainly have some.	false	883.83	884.25	9
2428_83705_000045_000001	I was not in the 'Varsity team, nor near it; but I played in the Freshman's match, and provided myself with spectacles.	I was not in the 'Varsity team, nor near it; but I played in the Freshman's match, and provided myself with spectacles.	false	884.25	886.41	20.328274
2428_83705_000045_000002	I was nearly in the school team once.	I was nearly in the school team once.	false	886.41	888.24	19
2428_83705_000045_000003	That was when I carried my bat for forty-five.	That was when I carried my bat for forty five.	false	888.24	889.83	23.032219
2428_83705_000045_000004	I must own that my performance was a surprise to everyone--and to myself among the rest.	I must own that my performance was a surprise to everyone-and to myself among the rest.	false	889.83	890.19	8
2428_83705_000045_000005	But as I never repeated it--or anything like it--they left me, very wisely, out of the eleven.	But as I never repeated it-or anything like it-they left me, very wisely, out of the eleven.	false	890.19	890.25	3
