2803_154328_000002_000000	CHAPTER XII STRANGELY LIBERATED	CHAPTER twelve STRANGELY LIBERATED
2803_154328_000012_000002	My Lord, whichever of us survives the other will fulfill the wish of Lady Helena and Mary Grant."	My Lord, whichever of us survives the other will fulfill the wish of Lady Helena and Mary Grant."
2803_154328_000013_000000	After these words were said, a profound silence ensued.	After these words were said, a profound silence ensued.
2803_154328_000013_000002	I am not an advocate of irremediable measures."	I am not an advocate of irremediable measures."
2803_154328_000014_000000	"I did not speak for ourselves," said Glenarvan.	"I did not speak for ourselves," said Glenarvan.
2803_154328_000014_000001	"Be it as it may, we can face death!	"Be it as it may, we can face death!
2803_154328_000014_000003	Let us attack these wretches!' But with these poor girls--"	Let us attack these wretches!' But with these poor girls-"
2803_154328_000015_000000	At this moment John raised the mat, and counted twenty-five natives keeping guard on the Ware-Atoua.	At this moment john raised the mat, and counted twenty five natives keeping guard on the Ware Atoua.
2803_154328_000015_000002	But they all kept watchful guard on the hut confided to their care.	But they all kept watchful guard on the hut confided to their care.
2803_154328_000016_000001	The jailer may forget that he is on guard; the prisoner never forgets that he is guarded.	The jailer may forget that he is on guard; the prisoner never forgets that he is guarded.
2803_154328_000016_000002	The captive thinks oftener of escaping than the jailer of preventing his flight, and hence we hear of frequent and wonderful escapes.	The captive thinks oftener of escaping than the jailer of preventing his flight, and hence we hear of frequent and wonderful escapes.
2803_154328_000018_000004	All escape was thus hopeless, and Glenarvan having tried the walls for the twentieth time, was compelled to acknowledge that it was so.	All escape was thus hopeless, and Glenarvan having tried the walls for the twentieth time, was compelled to acknowledge that it was so.
2803_154328_000019_000000	The hours of this night, wretched as they were, slipped away.	The hours of this night, wretched as they were, slipped away.
2803_154328_000019_000001	Thick darkness had settled on the mountain.	Thick darkness had settled on the mountain.
2803_154328_000019_000002	Neither moon nor stars pierced the gloom.	Neither moon nor stars pierced the gloom.
2803_154328_000022_000000	"Listen," said he, motioning them to stoop.	"Listen," said he, motioning them to stoop.
2803_154328_000023_000000	The scratching became more and more audible; they could hear the little stones grate on a hard body and roll away.	The scratching became more and more audible; they could hear the little stones grate on a hard body and roll away.
2803_154328_000025_000000	Glenarvan struck his forehead.	Glenarvan struck his forehead.
2803_154328_000027_000000	"Animal or man," answered the Major, "I will soon find out!"	"Animal or man," answered the Major, "I will soon find out!"
2803_154328_000028_000000	Wilson and Olbinett joined their companions, and all united to dig through the wall--John with his dagger, the others with stones taken from the ground, or with their nails, while Mulrady, stretched along the ground, watched the native guard through a crevice of the matting.	Wilson and Olbinett joined their companions, and all united to dig through the wall-john with his dagger, the others with stones taken from the ground, or with their nails, while Mulrady, stretched along the ground, watched the native guard through a crevice of the matting.
2803_154328_000030_000000	The soil was light and friable, and below lay a bed of silicious tufa; therefore, even without tools, the aperture deepened quickly.	The soil was light and friable, and below lay a bed of silicious tufa; therefore, even without tools, the aperture deepened quickly.
2803_154328_000030_000001	It soon became evident that a man, or men, clinging to the sides of the "pah," were cutting a passage into its exterior wall.	It soon became evident that a man, or men, clinging to the sides of the "pah," were cutting a passage into its exterior wall.
2803_154328_000031_000000	The prisoners redoubled their efforts.	The prisoners redoubled their efforts.
2803_154328_000032_000000	Some minutes more passed, and the Major withdrew his hand from the stroke of a sharp blade.	Some minutes more passed, and the Major withdrew his hand from the stroke of a sharp blade.
2803_154328_000033_000000	John Mangles, inserting the blade of his poniard, avoided the knife which now protruded above the soil, but seized the hand that wielded it.	john Mangles, inserting the blade of his poniard, avoided the knife which now protruded above the soil, but seized the hand that wielded it.
2803_154328_000034_000000	It was the hand of a woman or child, a European!	It was the hand of a woman or child, a European!
2803_154328_000034_000002	It was evidently the cue of both sides to be silent.	It was evidently the cue of both sides to be silent.
2803_154328_000035_000000	"Is it Robert?" whispered Glenarvan.	"Is it Robert?" whispered Glenarvan.
2803_154328_000036_000000	But softly as the name was breathed, Mary Grant, already awakened by the sounds in the hut, slipped over toward Glenarvan, and seizing the hand, all stained with earth, she covered it with kisses.	But softly as the name was breathed, Mary Grant, already awakened by the sounds in the hut, slipped over toward Glenarvan, and seizing the hand, all stained with earth, she covered it with kisses.
2803_154328_000037_000000	"My darling Robert," said she, never doubting, "it is you! it is you!"	"My darling Robert," said she, never doubting, "it is you! it is you!"
2803_154328_000038_000000	"Yes, little sister," said he, "it is I am here to save you all; but be very silent."	"Yes, little sister," said he, "it is I am here to save you all; but be very silent."
2803_154328_000039_000000	"Brave lad!" repeated Glenarvan.	"Brave lad!" repeated Glenarvan.
2803_154328_000040_000000	"Watch the savages outside," said Robert.	"Watch the savages outside," said Robert.
2803_154328_000042_000001	"There are only four awake; the rest are asleep."	"There are only four awake; the rest are asleep."
2803_154328_000043_000001	Round his body was rolled a long coil of flax rope.	Round his body was rolled a long coil of flax rope.
2803_154328_000044_000000	"My child, my child," murmured Lady Helena, "the savages did not kill you!"	"My child, my child," murmured Lady Helena, "the savages did not kill you!"
2803_154328_000045_000001	I stole this knife and rope out of the desert hut.	I stole this knife and rope out of the desert hut.
2803_154328_000047_000000	"Let us be off!" said he, in a decided tone.	"Let us be off!" said he, in a decided tone.
2803_154328_000048_000000	"Is Paganel below?" asked Glenarvan.	"Is Paganel below?" asked Glenarvan.
2803_154328_000051_000000	"No, my Lord; but is he not here?" inquired Robert.	"No, my Lord; but is he not here?" inquired Robert.
2803_154328_000052_000000	"No, Robert!" answered Mary Grant.	"No, Robert!" answered Mary Grant.
2803_154328_000053_000002	Did you not get away together?"	Did you not get away together?"
2803_154328_000054_000000	"No, my Lord!" said Robert, taken aback by the disappearance of his friend Paganel.	"No, my Lord!" said Robert, taken aback by the disappearance of his friend Paganel.
2803_154328_000055_000000	"Well, lose no more time," said the Major.	"Well, lose no more time," said the Major.
2803_154328_000055_000001	"Wherever Paganel is, he cannot be in worse plight than ourselves.	"Wherever Paganel is, he cannot be in worse plight than ourselves.
2803_154328_000055_000002	Let us go."	Let us go."
2803_154328_000056_000001	They had to fly.	They had to fly.
2803_154328_000058_000000	The escape was commenced, and every precaution was taken.	The escape was commenced, and every precaution was taken.
2803_154328_000058_000002	John Mangles, before leaving the hut, disposed of all the evidences of their work, and in his turn slipped through the opening and let down over it the mats of the house, so that the entrance to the gallery was quite concealed.	john Mangles, before leaving the hut, disposed of all the evidences of their work, and in his turn slipped through the opening and let down over it the mats of the house, so that the entrance to the gallery was quite concealed.
2803_154328_000059_000000	The next thing was to descend the vertical wall to the slope below, and this would have been impracticable, but that Robert had brought the flax rope, which was now unrolled and fixed to a projecting point of rock, the end hanging over.	The next thing was to descend the vertical wall to the slope below, and this would have been impracticable, but that Robert had brought the flax rope, which was now unrolled and fixed to a projecting point of rock, the end hanging over.
2803_154328_000060_000000	John Mangles, before his friends trusted themselves to this flax rope, tried it; he did not think it very strong; and it was of importance not to risk themselves imprudently, as a fall would be fatal.	john Mangles, before his friends trusted themselves to this flax rope, tried it; he did not think it very strong; and it was of importance not to risk themselves imprudently, as a fall would be fatal.
2803_154328_000061_000000	"This rope," said he, "will only bear the weight of two persons; therefore let us go in rotation.	"This rope," said he, "will only bear the weight of two persons; therefore let us go in rotation.
2803_154328_000061_000001	Lord and Lady Glenarvan first; when they arrive at the bottom, three pulls at the rope will be a signal to us to follow."	Lord and Lady Glenarvan first; when they arrive at the bottom, three pulls at the rope will be a signal to us to follow."
2803_154328_000062_000000	"I will go first," said Robert.	"I will go first," said Robert.
2803_154328_000062_000001	"I discovered a deep hollow at the foot of the slope where those who come down can conceal themselves and wait for the rest."	"I discovered a deep hollow at the foot of the slope where those who come down can conceal themselves and wait for the rest."
2803_154328_000063_000000	"Go, my boy," said Glenarvan, pressing Robert's hand.	"Go, my boy," said Glenarvan, pressing Robert's hand.
2803_154328_000064_000000	Robert disappeared through the opening out of the grotto.	Robert disappeared through the opening out of the grotto.
2803_154328_000065_000000	Glenarvan and Lady Helena immediately ventured out of the grotto.	Glenarvan and Lady Helena immediately ventured out of the grotto.
2803_154328_000066_000001	She felt stronger and commenced her perilous descent.	She felt stronger and commenced her perilous descent.
2803_154328_000067_000000	Glenarvan first, then Lady Helena, let themselves down along the rope, till they came to the spot where the perpendicular wall met the top of the slope.	Glenarvan first, then Lady Helena, let themselves down along the rope, till they came to the spot where the perpendicular wall met the top of the slope.
2803_154328_000067_000001	Then Glenarvan going first and supporting his wife, began to descend backward.	Then Glenarvan going first and supporting his wife, began to descend backward.
2803_154328_000068_000001	Some birds, suddenly awakened, flew away, uttering feeble cries, and the fugitives trembled when a stone loosened from its bed rolled to the foot of the mountain.	Some birds, suddenly awakened, flew away, uttering feeble cries, and the fugitives trembled when a stone loosened from its bed rolled to the foot of the mountain.
2803_154328_000069_000000	They had reached half-way down the slope, when a voice was heard from the opening of the grotto.	They had reached half-way down the slope, when a voice was heard from the opening of the grotto.
2803_154328_000071_000000	Glenarvan, holding with one hand to a tuft of tetragonia, with the other holding his wife, waited with breathless anxiety.	Glenarvan, holding with one hand to a tuft of tetragonia, with the other holding his wife, waited with breathless anxiety.
2803_154328_000073_000000	One of the warriors on guard, startled by an unusual sound, rose and drew nearer to the Ware-Atoua.	One of the warriors on guard, startled by an unusual sound, rose and drew nearer to the Ware Atoua.
2803_154328_000073_000003	Then shaking his head like one who sees he is mistaken, he went back to his companions, took an armful of dead wood, and threw it into the smouldering fire, which immediately revived.	Then shaking his head like one who sees he is mistaken, he went back to his companions, took an armful of dead wood, and threw it into the smouldering fire, which immediately revived.
2803_154328_000075_000000	John signaled to Glenarvan to resume his descent.	john signaled to Glenarvan to resume his descent.
2803_154328_000077_000000	The rope was shaken three times, and in his turn John Mangles, preceding Mary Grant, followed in the dangerous route.	The rope was shaken three times, and in his turn john Mangles, preceding Mary Grant, followed in the dangerous route.
2803_154328_000080_000000	They walked quickly, trying to avoid the points where they might be seen from the pah.	They walked quickly, trying to avoid the points where they might be seen from the pah.
2803_154328_000080_000003	Where chance led them, but at any rate they were free.	Where chance led them, but at any rate they were free.
2803_154328_000081_000000	Toward five o'clock, the day began to dawn, bluish clouds marbled the upper stratum of clouds.	Toward five o'clock, the day began to dawn, bluish clouds marbled the upper stratum of clouds.
2803_154328_000081_000001	The misty summits began to pierce the morning mists.	The misty summits began to pierce the morning mists.
2803_154328_000083_000000	Another half an hour and the glorious sun would rise out of the mists of the horizon.	Another half an hour and the glorious sun would rise out of the mists of the horizon.
2803_154328_000083_000002	Paganel was not there to take the lead.	Paganel was not there to take the lead.
2803_154328_000083_000003	He was now the object of their anxiety, and whose absence was a black shadow between them and their happiness.	He was now the object of their anxiety, and whose absence was a black shadow between them and their happiness.
2803_154328_000083_000005	Soon they had reached a height of 500 feet above Lake Taupo, and the cold of the morning, increased by the altitude, was very keen.	Soon they had reached a height of five hundred feet above Lake Taupo, and the cold of the morning, increased by the altitude, was very keen.
2803_154328_000083_000006	Dim outlines of hills and mountains rose behind one another; but Glenarvan only thought how best to get lost among them. Time enough by and by to see about escaping from the labyrinth.	Dim outlines of hills and mountains rose behind one another; but Glenarvan only thought how best to get lost among them. Time enough by and by to see about escaping from the labyrinth.
2803_154328_000084_000000	At last the sun appeared and sent his first rays on their path.	At last the sun appeared and sent his first rays on their path.
2803_154328_000085_000000	Suddenly a terrific yell from a hundred throats rent the air.	Suddenly a terrific yell from a hundred throats rent the air.
2803_154328_000085_000001	It came from the pah, whose direction Glenarvan did not know.	It came from the pah, whose direction Glenarvan did not know.
2803_154328_000085_000002	Besides, a thick veil of fog, which, spread at his feet, prevented any distinct view of the valleys below.	Besides, a thick veil of fog, which, spread at his feet, prevented any distinct view of the valleys below.
2803_154328_000086_000000	But the fugitives could not doubt that their escape had been discovered; and now the question was, would they be able to elude pursuit?	But the fugitives could not doubt that their escape had been discovered; and now the question was, would they be able to elude pursuit?
2803_154328_000086_000001	Had they been seen?	Had they been seen?
2803_154328_000088_000000	While they looked they were seen.	While they looked they were seen.
