6345_93302_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
6345_93302_000037_000004	Her dress was brown, her jacket black, and her hat was home-trimmed.	Her dress was brown, her jacket black, and her hat was home trimmed.
6345_93302_000037_000006	He would hardly have known her in green and white muslin and an orchard, for their love had been born and bred in town--Highbury New Park, to be exact.	He would hardly have known her in green and white muslin and an orchard, for their love had been born and bred in town-Highbury New Park, to be exact.
6345_93302_000037_000007	He came towards her; he was five minutes late.	He came towards her; he was five minutes late.
6345_93302_000037_000008	She had grown anxious, as the one who waits always does, and she was extremely glad to see him, but she knew that a late lover should be treated with a provoking coldness (one can relent prettily later on), so she gave him a limp hand and no greeting.	She had grown anxious, as the one who waits always does, and she was extremely glad to see him, but she knew that a late lover should be treated with a provoking coldness (one can relent prettily later on), so she gave him a limp hand and no greeting.
6345_93302_000038_000000	"Let's go out," he said.	"Let's go out," he said.
6345_93302_000038_000001	"Shall we walk along the Embankment, or go somewhere on the Underground?"	"Shall we walk along the Embankment, or go somewhere on the Underground?"
6345_93302_000039_000000	It was bitterly cold, but the Embankment was more romantic than a railway carriage.	It was bitterly cold, but the Embankment was more romantic than a railway carriage.
6345_93302_000039_000001	He ought to insist on the railway carriage: he probably would.	He ought to insist on the railway carriage: he probably would.
6345_93302_000039_000002	So she said--	So she said-
6345_93302_000040_000000	"Oh, the Embankment, please!" and felt a sting of annoyance and disappointment when he acquiesced.	"Oh, the Embankment, please!" and felt a sting of annoyance and disappointment when he acquiesced.
6345_93302_000041_000000	They did not speak again till they had gone through the little back streets, past the police station and the mustard factory, and were on the broad pavement of Queen Victoria Street.	They did not speak again till they had gone through the little back streets, past the police station and the mustard factory, and were on the broad pavement of Queen Victoria Street.
6345_93302_000042_000000	He had been late: he had offered no excuse, no explanation.	He had been late: he had offered no excuse, no explanation.
6345_93302_000042_000001	She had done the proper thing; she had awaited these with dignified reserve, and now she was involved in the meshes of a silence that she could not break. How easy it would have been in the orchard!	She had done the proper thing; she had awaited these with dignified reserve, and now she was involved in the meshes of a silence that she could not break. How easy it would have been in the orchard!
6345_93302_000042_000002	She could have snapped off a blossoming branch and--and made play with it somehow.	She could have snapped off a blossoming branch and-and made play with it somehow.
6345_93302_000042_000003	Then he would have had to say something.	Then he would have had to say something.
6345_93302_000042_000004	But here--the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at.	But here-the only thing that occurred to her was to stop and look in one of the shops till he should ask her what she was looking at.
6345_93302_000042_000005	And how common and mean that would be compared with the blossoming bough; and besides, the shops they were passing had nothing in the windows except cheap pastry and models of steam-engines.	And how common and mean that would be compared with the blossoming bough; and besides, the shops they were passing had nothing in the windows except cheap pastry and models of steam engines.
6345_93302_000043_000000	Why on earth didn't he speak?	Why on earth didn't he speak?
6345_93302_000043_000001	He had never been like this before.	He had never been like this before.
6345_93302_000043_000002	She stole a glance at him, and for the first time it occurred to her that his "something to say" was not a mere excuse for being alone with her. He had something to say--something that was trying to get itself said. The keen wind thrust itself even inside the high collar of her jacket. Her hands and feet were aching with cold.	She stole a glance at him, and for the first time it occurred to her that his "something to say" was not a mere excuse for being alone with her. He had something to say-something that was trying to get itself said. The keen wind thrust itself even inside the high collar of her jacket. Her hands and feet were aching with cold.
6345_93302_000043_000003	How warm it would have been in the orchard!	How warm it would have been in the orchard!
6345_93302_000044_000000	"I'm freezing," she said suddenly; "let's go and have some tea."	"I'm freezing," she said suddenly; "let's go and have some tea."
6345_93302_000045_000000	"Of course, if you like," he said uncomfortably; yet she could see he was glad that she had broken that desolate silence.	"Of course, if you like," he said uncomfortably; yet she could see he was glad that she had broken that desolate silence.
6345_93302_000046_000000	Seated at a marble table--the place was nearly empty--she furtively watched his face in the glass, and what she saw there thrilled her.	Seated at a marble table-the place was nearly empty-she furtively watched his face in the glass, and what she saw there thrilled her.
6345_93302_000046_000001	Some great sorrow had come to him.	Some great sorrow had come to him.
6345_93302_000046_000002	And she had been sulking!	And she had been sulking!
6345_93302_000046_000003	The girl in the orchard would have known at a glance.	The girl in the orchard would have known at a glance.
6345_93302_000046_000005	She would have shared his sorrow, and shown herself "half wife, half angel from heaven" in this dark hour.	She would have shared his sorrow, and shown herself "half wife, half angel from heaven" in this dark hour.
6345_93302_000046_000006	Well, it was not too late.	Well, it was not too late.
6345_93302_000046_000007	She could begin now.	She could begin now.
6345_93302_000046_000008	But how?	But how?
6345_93302_000046_000010	Yet she must speak.	Yet she must speak.
6345_93302_000046_000011	When she did her words did not fit the mouth of the girl in the orchard--but then it would have been May there, and this was January.	When she did her words did not fit the mouth of the girl in the orchard-but then it would have been May there, and this was January.
6345_93302_000047_000000	"How frightfully cold it is!"	"How frightfully cold it is!"
6345_93302_000048_000000	"Yes, isn't it?" he said.	"Yes, isn't it?" he said.
6345_93302_000049_000000	The fine tact of a noble woman seemed to have deserted her.	The fine tact of a noble woman seemed to have deserted her.
6345_93302_000049_000003	I can't bear to see you looking so miserable," and there was another silence.	I can't bear to see you looking so miserable," and there was another silence.
6345_93302_000050_000000	The waitress brought the two thick cups of tea, and looked at him with a tepid curiosity.	The waitress brought the two thick cups of tea, and looked at him with a tepid curiosity.
6345_93302_000050_000001	As soon as the two were alone again he leaned his elbows on the marble and spoke.	As soon as the two were alone again he leaned his elbows on the marble and spoke.
6345_93302_000051_000000	"Look here, darling, I've got something to tell you, and I hope to God you'll forgive me and stand by me, and try to understand that I love you just the same, and whatever happens I shall always love you."	"Look here, darling, I've got something to tell you, and I hope to God you'll forgive me and stand by me, and try to understand that I love you just the same, and whatever happens I shall always love you."
6345_93302_000052_000000	This preamble sent a shiver of dread down her spine.	This preamble sent a shiver of dread down her spine.
6345_93302_000052_000001	What had he done--a murder--a bank robbery--married someone else?	What had he done-a murder-a bank robbery-married someone else?
6345_93302_000053_000000	It was on the tip of her tongue to say that she would stand by him whatever he had done; but if he had married someone else this would be improper, so she only said, "Well?" and she said it coldly.	It was on the tip of her tongue to say that she would stand by him whatever he had done; but if he had married someone else this would be improper, so she only said, "Well?" and she said it coldly.
6345_93302_000054_000002	Oh, Ethel, do try to forgive me!	Oh, Ethel, do try to forgive me!
6345_93302_000054_000003	I haven't answered her letter."	I haven't answered her letter."
6345_93302_000055_000000	"Well?" she said.	"Well?" she said.
6345_93302_000057_000000	She drew a deep breath.	She drew a deep breath.
6345_93302_000057_000003	What was it, compared with her fears?	What was it, compared with her fears?
6345_93302_000057_000004	She almost said, "Never mind, dear.	She almost said, "Never mind, dear.
6345_93302_000057_000006	What opinion would he form of the purity of her mind, the innocence of her soul, if an incident like this failed to shock her deeply?	What opinion would he form of the purity of her mind, the innocence of her soul, if an incident like this failed to shock her deeply?
6345_93302_000057_000007	He himself was evidently a prey to the most rending remorse.	He himself was evidently a prey to the most rending remorse.
6345_93302_000057_000008	He had told her of the thing as one tells of a crime.	He had told her of the thing as one tells of a crime.
6345_93302_000057_000009	As the confession of a crime she must receive it.	As the confession of a crime she must receive it.
6345_93302_000057_000010	How should she know that he had only told her because he feared that she would anyhow hear it through the indiscretion of the girl in pink, or of that other girl in blue who had seen and smiled?	How should she know that he had only told her because he feared that she would anyhow hear it through the indiscretion of the girl in pink, or of that other girl in blue who had seen and smiled?
6345_93302_000057_000011	How could she guess that he had tuned his confession to the key of what he believed would be an innocent girl's estimate of his misconduct?	How could she guess that he had tuned his confession to the key of what he believed would be an innocent girl's estimate of his misconduct?
6345_93302_000058_000000	Following the tingle of relief came a sharp, sickening pinch of jealousy and mortification.	Following the tingle of relief came a sharp, sickening pinch of jealousy and mortification.
6345_93302_000058_000001	These inspired her.	These inspired her.
6345_93302_000059_000001	"You don't love me--you've never loved me--I was an idiot to believe you did."	"You don't love me-you've never loved me-I was an idiot to believe you did."
6345_93302_000060_000000	"You know I do," he said; "it was hateful of me--but I couldn't help it."	"You know I do," he said; "it was hateful of me-but I couldn't help it."
6345_93302_000061_000000	Those four true words wounded her more than all the rest.	Those four true words wounded her more than all the rest.
6345_93302_000062_000000	"Couldn't help it?	"Couldn't help it?
6345_93302_000062_000001	Then how can I ever trust you?	Then how can I ever trust you?
6345_93302_000062_000002	Even if we were married I could never be sure you weren't kissing some horrid girl or other.	Even if we were married I could never be sure you weren't kissing some horrid girl or other.
6345_93302_000062_000003	No--it's no use--I can never, never forgive you--and it's all over.	No-it's no use-I can never, never forgive you-and it's all over.
6345_93302_000063_000000	He could not say, "And so I am, on the whole," which was what he thought.	He could not say, "And so I am, on the whole," which was what he thought.
6345_93302_000063_000001	Her tears were falling hot and fast between face and veil, for she had talked till she was very sorry indeed for herself.	Her tears were falling hot and fast between face and veil, for she had talked till she was very sorry indeed for herself.
6345_93302_000064_000000	"Forgive me, dear," he said.	"Forgive me, dear," he said.
6345_93302_000065_000000	Then she rose to the occasion.	Then she rose to the occasion.
6345_93302_000065_000001	"Never," she said, her eyes flashing through her tears.	"Never," she said, her eyes flashing through her tears.
6345_93302_000065_000002	"You've deceived me once--you'd do it again!	"You've deceived me once-you'd do it again!
6345_93302_000065_000003	No, it's all over--you've broken my heart and destroyed my faith in human nature. I hope I shall never see you again.	No, it's all over-you've broken my heart and destroyed my faith in human nature. I hope I shall never see you again.
6345_93302_000066_000000	"Do you think I'm not sorry now?"	"Do you think I'm not sorry now?"
6345_93302_000067_000001	At home she could at least have buried her face in the sofa cushions and resisted all his pleading,--at last, perhaps, letting him take one cold passive hand and shower frantic kisses upon it.	At home she could at least have buried her face in the sofa cushions and resisted all his pleading,--at last, perhaps, letting him take one cold passive hand and shower frantic kisses upon it.
6345_93302_000068_000000	He would come to-morrow, however, and then-- At present the thing to compass was a dignified parting.	He would come to morrow, however, and then- At present the thing to compass was a dignified parting.
6345_93302_000069_000000	"Good-bye," she said; "I'm going home.	"Good bye," she said; "I'm going home.
6345_93302_000069_000001	And it's good-bye for ever. No--it's only painful for both of us.	And it's good bye for ever. No-it's only painful for both of us.
6345_93302_000069_000002	There's no more to be said; you've betrayed me.	There's no more to be said; you've betrayed me.
6345_93302_000069_000003	I didn't think a decent man could do such things." She was pulling on her gloves.	I didn't think a decent man could do such things." She was pulling on her gloves.
6345_93302_000069_000004	"Go home and gloat over it all!	"Go home and gloat over it all!
6345_93302_000069_000006	This really was a master stroke of nobility.	This really was a master stroke of nobility.
6345_93302_000070_000000	He stood up suddenly.	He stood up suddenly.
6345_93302_000070_000001	"Do you mean it?" he said, and his tone should have warned her.	"Do you mean it?" he said, and his tone should have warned her.
6345_93302_000070_000002	"Are you really going to throw me over for a thing like this?"	"Are you really going to throw me over for a thing like this?"
6345_93302_000071_000000	The anger in his eyes frightened her, and the misery of his face wrung her heart; but how could she say--	The anger in his eyes frightened her, and the misery of his face wrung her heart; but how could she say-
6345_93302_000072_000001	I'm only talking as I know good girls ought to talk"?	I'm only talking as I know good girls ought to talk"?
6345_93302_000073_000000	So she said--	So she said-
6345_93302_000074_000000	"Yes.	"Yes.
6345_93302_000074_000001	Good-bye!"	Good bye!"
6345_93302_000075_000000	He stood up suddenly.	He stood up suddenly.
6345_93302_000075_000001	"Then good-bye," he said, "and may God forgive you as I do!" And he strode down between the marble tables and out by the swing-door.	"Then good bye," he said, "and may God forgive you as I do!" And he strode down between the marble tables and out by the swing door.
6345_93302_000075_000002	It was a very good exit.	It was a very good exit.
6345_93302_000075_000003	At the corner he remembered that he had gone away without paying for the tea, and his natural impulse was to go back and remedy that error.	At the corner he remembered that he had gone away without paying for the tea, and his natural impulse was to go back and remedy that error.
6345_93302_000075_000005	But how could he go back to say, "We are parting for ever; but still, I must insist on the sad pleasure of paying for our tea--for the last time"?	But how could he go back to say, "We are parting for ever; but still, I must insist on the sad pleasure of paying for our tea-for the last time"?
6345_93302_000075_000006	He checked the silly impulse.	He checked the silly impulse.
6345_93302_000075_000008	So she waited for him in vain, and at last paid for the tea herself, and went home to wait there--and there, too, in vain, for he never came back to her.	So she waited for him in vain, and at last paid for the tea herself, and went home to wait there-and there, too, in vain, for he never came back to her.
6345_93302_000075_000009	He loved her with all his heart, and he, also, had what she had never suspected in him--the literary sense.	He loved her with all his heart, and he, also, had what she had never suspected in him-the literary sense.
6345_93302_000075_000011	Because Destiny is almost without the literary sense, and Destiny carelessly decreed that he should die of enteric in a wretched hut, without so much as hearing a gun fired.	Because Destiny is almost without the literary sense, and Destiny carelessly decreed that he should die of enteric in a wretched hut, without so much as hearing a gun fired.
6345_93302_000075_000013	Yet perhaps, after all, that is not because of the literary sense. It may be because she loved him.	Yet perhaps, after all, that is not because of the literary sense. It may be because she loved him.
