6319_275224_000004_000000	THE WIND AND THE FLOWERS	THE WIND AND THE FLOWERS
6319_275224_000011_000004	Really, with your natural grace and beauty, I think you might be trusted to yourself a little more!"	Really, with your natural grace and beauty, I think you might be trusted to yourself a little more!"
6319_275224_000012_000000	And the Carnation began to think so, too; and her colour turned deeper as a feeling of indignation arose within her at the childish treatment to which she had been subjected.	And the Carnation began to think so, too; and her colour turned deeper as a feeling of indignation arose within her at the childish treatment to which she had been subjected.
6319_275224_000012_000001	"With my natural grace and beauty," repeated she to herself, "they might certainly trust me to myself a little more!"	"With my natural grace and beauty," repeated she to herself, "they might certainly trust me to myself a little more!"
6319_275224_000013_000001	What a difference in size, in colour and in fragrance!	What a difference in size, in colour and in fragrance!
6319_275224_000014_000001	And what is the matter with the beautiful straggling branches, that they are to be cut off as fast as they appear?	And what is the matter with the beautiful straggling branches, that they are to be cut off as fast as they appear?
6319_275224_000014_000002	Why not allow the healthy Rose Tree its free and glorious growth?	Why not allow the healthy Rose Tree its free and glorious growth?
6319_275224_000014_000005	Oh, Rose Tree, you know your own surpassing merits too well to make you think this possible!"	Oh, Rose Tree, you know your own surpassing merits too well to make you think this possible!"
6319_275224_000015_000000	And so she did, and a new light seemed to dawn upon her as she recollected the spring and autumnal prunings she regularly underwent, and the quantities of little branches that were yearly cut from her sides, and carried away in a wheel-barrow.	And so she did, and a new light seemed to dawn upon her as she recollected the spring and autumnal prunings she regularly underwent, and the quantities of little branches that were yearly cut from her sides, and carried away in a wheel barrow.
6319_275224_000016_000000	Then the Wind took another frolic round the garden, and made up to the large white Lily, into whose refined ear he whispered a doubt as to the necessity or advantage of her thick powerful stem being propped up against a stupid, ugly stick!	Then the Wind took another frolic round the garden, and made up to the large white Lily, into whose refined ear he whispered a doubt as to the necessity or advantage of her thick powerful stem being propped up against a stupid, ugly stick!
6319_275224_000016_000001	He really grieved to see it!	He really grieved to see it!
6319_275224_000016_000002	Did that lovely creature suppose that Nature, who had done so much for her that the fame of her beauty extended throughout the world, had yet left her so weak and feeble that she could not support herself in the position most calculated to give her ease and pleasure?	Did that lovely creature suppose that Nature, who had done so much for her that the fame of her beauty extended throughout the world, had yet left her so weak and feeble that she could not support herself in the position most calculated to give her ease and pleasure?
6319_275224_000016_000003	"Always this tying up and restraint!" pursued the Wind, with an angry puff.	"Always this tying up and restraint!" pursued the Wind, with an angry puff.
6319_275224_000016_000004	"Perhaps I am prejudiced; but as to be deprived of freedom would be to me absolute death, so my soul revolts from every shape and phase of slavery!"	"Perhaps I am prejudiced; but as to be deprived of freedom would be to me absolute death, so my soul revolts from every shape and phase of slavery!"
6319_275224_000017_000000	"Not more than mine does!" cried the proud white Lily, leaning as heavily as she could against the strip of matting that tied her to her stick.	"Not more than mine does!" cried the proud white Lily, leaning as heavily as she could against the strip of matting that tied her to her stick.
6319_275224_000017_000002	Indeed, not a flower escaped his mischievous suggestions.	Indeed, not a flower escaped his mischievous suggestions.
6319_275224_000017_000003	He murmured among them all--laughed the trim cut Box-edges to scorn--maliciously hoped the Sweet Peas enjoyed growing in a circle, and running up a quantity of crooked sticks--and told the flowers, generally, that he should report their unheard-of submission and meek obedience wherever he went.	He murmured among them all-laughed the trim cut Box edges to scorn-maliciously hoped the Sweet Peas enjoyed growing in a circle, and running up a quantity of crooked sticks-and told the flowers, generally, that he should report their unheard of submission and meek obedience wherever he went.
6319_275224_000018_000000	Then the white Lily called out to him in great wrath, and told him he mistook their characters altogether.	Then the white Lily called out to him in great wrath, and told him he mistook their characters altogether.
6319_275224_000018_000001	They only submitted to these degrading restraints because they could not help themselves; but if he would lend them his powerful aid, they might free themselves from at least a part of the unnatural bonds which enthralled them.	They only submitted to these degrading restraints because they could not help themselves; but if he would lend them his powerful aid, they might free themselves from at least a part of the unnatural bonds which enthralled them.
6319_275224_000019_000000	To which the wicked Wind, seeing that his temptations had succeeded, replied, in great glee, that he would do his best; and so he went away, chuckling at the discontent he had caused.	To which the wicked Wind, seeing that his temptations had succeeded, replied, in great glee, that he would do his best; and so he went away, chuckling at the discontent he had caused.
6319_275224_000021_000000	He managed the affair very cleverly, it must be confessed.	He managed the affair very cleverly, it must be confessed.
6319_275224_000021_000001	Making a sort of eddying circuit round the garden, he knocked over the Convolvulus-pole, tore the strips from the stick that held up the white Lily, loosed all the Carnation flowers from their fastenings, broke the Rose Tree down, and levelled the Sweet Peas to the ground.	Making a sort of eddying circuit round the garden, he knocked over the Convolvulus pole, tore the strips from the stick that held up the white Lily, loosed all the Carnation flowers from their fastenings, broke the Rose Tree down, and levelled the Sweet Peas to the ground.
6319_275224_000021_000002	In short, in one half-hour he desolated the pretty garden; and when his work was accomplished, he flew off.	In short, in one half hour he desolated the pretty garden; and when his work was accomplished, he flew off.
6319_275224_000022_000000	Meanwhile, how fared it with the flowers?	Meanwhile, how fared it with the flowers?
6319_275224_000022_000001	The Wind was scarcely gone before a sudden and heavy rain followed, so that all was confusion for some time.	The Wind was scarcely gone before a sudden and heavy rain followed, so that all was confusion for some time.
6319_275224_000022_000002	But towards the evening the weather cleared up, and our friends began to look around them.	But towards the evening the weather cleared up, and our friends began to look around them.
6319_275224_000022_000003	The white Lily still stood somewhat upright, though no friendly pole supported her juicy stem; but, alas! it was only by a painful effort she could hold herself in that position.	The white Lily still stood somewhat upright, though no friendly pole supported her juicy stem; but, alas! it was only by a painful effort she could hold herself in that position.
6319_275224_000022_000005	The Convolvulus fared still worse.	The Convolvulus fared still worse.
6319_275224_000022_000006	The garden beds sloped towards the south; and when our friend was laid on the earth--her pole having fallen--her lovely flowers were choked up by the wet soil which drained towards her.	The garden beds sloped towards the south; and when our friend was laid on the earth-her pole having fallen-her lovely flowers were choked up by the wet soil which drained towards her.
6319_275224_000022_000007	She felt the muddy weight as it soaked into her beautiful velvet bells, and could have cried for grief: she could never free herself from this nuisance.	She felt the muddy weight as it soaked into her beautiful velvet bells, and could have cried for grief: she could never free herself from this nuisance.
6319_275224_000022_000008	Oh that she were once more climbing up the friendly fir-pole!	Oh that she were once more climbing up the friendly fir pole!
6319_275224_000022_000009	The Honeysuckle escaped no better; and the Carnation was ready to die of vexation, at finding that her coveted freedom had levelled her to the dirt.	The Honeysuckle escaped no better; and the Carnation was ready to die of vexation, at finding that her coveted freedom had levelled her to the dirt.
6319_275224_000023_000000	Before the day closed, the gardener came whistling from his farm work, to look over his pretty charges.	Before the day closed, the gardener came whistling from his farm work, to look over his pretty charges.
6319_275224_000023_000002	But for the sight that awaited him he was not prepared at all. Struck dumb with astonishment, he never spoke at first, but kept lifting up the heads of the trailing, dirtied flowers in succession.	But for the sight that awaited him he was not prepared at all. Struck dumb with astonishment, he never spoke at first, but kept lifting up the heads of the trailing, dirtied flowers in succession.
6319_275224_000023_000004	It's all over with them, I fear;" and the gardener went his way.	It's all over with them, I fear;" and the gardener went his way.
6319_275224_000023_000005	Alas! what he said was true; and before many days had passed, the shattered Carnations were rotted with lying in the wet and dirt on the ground.	Alas! what he said was true; and before many days had passed, the shattered Carnations were rotted with lying in the wet and dirt on the ground.
6319_275224_000023_000007	Weeds meanwhile sprang up, and a dreary confusion reigned in the once orderly and brilliant little garden.	Weeds meanwhile sprang up, and a dreary confusion reigned in the once orderly and brilliant little garden.
6319_275224_000024_000000	At length, one day before the fortnight was over, the house-dog was heard to bark his noisy welcome, and servants bustled to and fro. The mistress had returned; and the young lady was with her, and hurried at once to her favourite garden.	At length, one day before the fortnight was over, the house dog was heard to bark his noisy welcome, and servants bustled to and fro. The mistress had returned; and the young lady was with her, and hurried at once to her favourite garden.
6319_275224_000024_000001	She came bounding towards the well-known spot with a song of joyous delight; but, on reaching it, suddenly stopped short, and in a minute after burst into a flood of tears!	She came bounding towards the well-known spot with a song of joyous delight; but, on reaching it, suddenly stopped short, and in a minute after burst into a flood of tears!
6319_275224_000024_000002	Presently, with sorrowing steps, she bent her way round the flower-beds, weeping afresh at every one she looked at; and then she sat down upon the lawn, and hid her face in her hands. In this position she remained, until a gentle hand was laid upon her shoulder.	Presently, with sorrowing steps, she bent her way round the flower beds, weeping afresh at every one she looked at; and then she sat down upon the lawn, and hid her face in her hands. In this position she remained, until a gentle hand was laid upon her shoulder.
6319_275224_000025_000000	"This is a sad sight, indeed, my darling," said her mother's voice.	"This is a sad sight, indeed, my darling," said her mother's voice.
6319_275224_000026_000000	"I am not thinking about the garden, mamma," replied the young girl, without lifting up her face; "we can plant new flowers, and tie up even some of these afresh.	"I am not thinking about the garden, mamma," replied the young girl, without lifting up her face; "we can plant new flowers, and tie up even some of these afresh.
6319_275224_000026_000003	But I cannot say so, now I see the result.	But I cannot say so, now I see the result.
