7850_111771_000000_000000	ULYSSES SIMPSON GRANT.	ULYSSES SIMPSON GRANT.
7850_111771_000005_000002	When the news of the fall of Fort Sumter reached Galena he immediately raised a company and marched to Springfield where they tendered their services to the governor.	When the news of the fall of Fort Sumter reached Galena he immediately raised a company and marched to Springfield where they tendered their services to the governor.
7850_111771_000005_000003	Grant acted as mustering officer until, being commissioned colonel of the Twenty-first Illinois Volunteers, he took the field.	Grant acted as mustering officer until, being commissioned colonel of the Twenty first Illinois Volunteers, he took the field.
7850_111771_000005_000004	His first great victory was the capture of Fort Donelson with 15,000 prisoners.	His first great victory was the capture of Fort Donelson with fifteen thousand prisoners.
7850_111771_000005_000006	I propose to move upon your works at once." The fall of Fort Donelson and the capture of its garrison being the first substantial victory that had crowned the Union cause, together with the above described answer to General Buckner, brought the name of General Grant prominently before the country.	I propose to move upon your works at once." The fall of Fort Donelson and the capture of its garrison being the first substantial victory that had crowned the Union cause, together with the above described answer to General Buckner, brought the name of General Grant prominently before the country.
7850_111771_000006_000000	Pittsburgh Landing followed and then Grant determined to take Vicksburg. All his generals declared the plan he proposed unmilitary and impossible, but after several unsuccessful attempts the Gibraltar of the Mississippi was captured, and this time 27,000 prisoners taken.	Pittsburgh Landing followed and then Grant determined to take Vicksburg. All his generals declared the plan he proposed unmilitary and impossible, but after several unsuccessful attempts the Gibraltar of the Mississippi was captured, and this time twenty seven thousand prisoners taken.
7850_111771_000006_000001	Now came the battle of Chattanooga.	Now came the battle of Chattanooga.
7850_111771_000006_000002	General Halleck in speaking of this battle said:	General Halleck in speaking of this battle said:
7850_111771_000007_000000	"Considering the strength of the rebel position, and the difficulty of storming his intrenchments, the battle of Chattanooga must be considered the most remarkable in history.	"Considering the strength of the rebel position, and the difficulty of storming his intrenchments, the battle of Chattanooga must be considered the most remarkable in history.
7850_111771_000007_000002	After Grant had turned the Confederate right flank, Sherman was intercepted between Longstreet and Bragg, thus cutting Longstreet entirely out, and preventing another junction being possible.	After Grant had turned the Confederate right flank, Sherman was intercepted between Longstreet and Bragg, thus cutting Longstreet entirely out, and preventing another junction being possible.
7850_111771_000007_000003	Resolutions of thanks were passed in Ohio and New York, and Congress created Grant a Lieutenant-General, a commission which had been held by no one since General Scott resigned.	Resolutions of thanks were passed in Ohio and New York, and Congress created Grant a Lieutenant General, a commission which had been held by no one since General Scott resigned.
7850_111771_000007_000004	Indeed, if ever a General deserved honor, Grant had won it; he had opened the Mississippi to navigation, and had captured nearly 100,000 prisoners and arms."	Indeed, if ever a General deserved honor, Grant had won it; he had opened the Mississippi to navigation, and had captured nearly one hundred thousand prisoners and arms."
7850_111771_000008_000000	He was now commander of all the Federal forces.	He was now commander of all the Federal forces.
7850_111771_000008_000001	He at once inaugurated two campaigns to be carried on at once.	He at once inaugurated two campaigns to be carried on at once.
7850_111771_000008_000002	One under Sherman, against Atlanta commanded by the skillful rebel General Johnson; the other under Meade, directed against Lee and the Confederate capitol.	One under Sherman, against Atlanta commanded by the skillful rebel General Johnson; the other under Meade, directed against Lee and the Confederate capitol.
7850_111771_000009_000000	The capture of Lee was a far more difficult undertaking.	The capture of Lee was a far more difficult undertaking.
7850_111771_000009_000001	After various flanking movements and costly assaults, the problem of taking Lee narrowed itself down to a siege of Petersburg.	After various flanking movements and costly assaults, the problem of taking Lee narrowed itself down to a siege of Petersburg.
7850_111771_000009_000002	Grant perceived that his only hope lie in literally starving the Confederate army out by cutting off all resources as far as practicable.	Grant perceived that his only hope lie in literally starving the Confederate army out by cutting off all resources as far as practicable.
7850_111771_000009_000003	Lee attempted to draw off attention toward Washington, but General Sheridan drove Early out of the Shenandoah Valley, devastating the country to such an extent that it was impossible to forage an army there should Lee attempt such a maneuver again.	Lee attempted to draw off attention toward Washington, but General Sheridan drove Early out of the Shenandoah Valley, devastating the country to such an extent that it was impossible to forage an army there should Lee attempt such a maneuver again.
7850_111771_000009_000004	Time wore away, and on the 9th of April, 1865, Grant captured the Confederate army under Lee, thus virtually ending the war.	Time wore away, and on the ninth of April, eighteen sixty five, Grant captured the Confederate army under Lee, thus virtually ending the war.
7850_111771_000010_000000	On July 25, 1866, he was made general of the United States army; the rank having been created for him, he was the first to hold it.	On july twenty fifth eighteen sixty six, he was made general of the United States army; the rank having been created for him, he was the first to hold it.
7850_111771_000010_000001	At the next Republican Convention, Grant was nominated for President on the first ballot, and was elected over Seymour, and was re-elected a second term by an increased majority.	At the next Republican Convention, Grant was nominated for President on the first ballot, and was elected over Seymour, and was re-elected a second term by an increased majority.
7850_111771_000011_000000	When his public services were finished he started in company with his wife, son Jesse, and a few friends.	When his public services were finished he started in company with his wife, son Jesse, and a few friends.
7850_111771_000011_000002	They visited nearly all the countries of Europe, and part of those of Africa and Asia.	They visited nearly all the countries of Europe, and part of those of Africa and Asia.
7850_111771_000011_000003	On this trip the Grant party were the guests of nearly all the crowned heads of those foreign countries, everywhere receiving the most exalted honors it has ever been the pleasure of an American to enjoy, and on his return to the United States they were the recipients of an ovation in many of the principal cities of this country.	On this trip the Grant party were the guests of nearly all the crowned heads of those foreign countries, everywhere receiving the most exalted honors it has ever been the pleasure of an American to enjoy, and on his return to the United States they were the recipients of an ovation in many of the principal cities of this country.
7850_111771_000012_000000	His success seems to have been the outgrowth of hard study and ability to perform the most exhaustive labor without fatigue.	His success seems to have been the outgrowth of hard study and ability to perform the most exhaustive labor without fatigue.
7850_111771_000012_000001	The scenes of his later days were clouded with the intrigues of a stock gambler, but the stain that the Grant-Ward failure seemed likely to throw on the spotless reputation of General Grant was wiped away when the facts were brought to light, and a new lustre was added to his fame by the self-sacrifice shown in the final settlement.	The scenes of his later days were clouded with the intrigues of a stock gambler, but the stain that the Grant Ward failure seemed likely to throw on the spotless reputation of General Grant was wiped away when the facts were brought to light, and a new lustre was added to his fame by the self sacrifice shown in the final settlement.
7850_111771_000013_000000	General Grant proved to be a writer of no low order, and his autobiography is a very readable book.	General Grant proved to be a writer of no low order, and his autobiography is a very readable book.
7850_111771_000013_000001	On July 23rd, 1885, the General surrendered to a loathsome cancer, and the testimonials of devotion shown the honored dead; and the bereaved family throughout the civilized world, indicated the stronghold upon the hearts of the people held by the dead General.	On july twenty third eighteen eighty five, the General surrendered to a loathsome cancer, and the testimonials of devotion shown the honored dead; and the bereaved family throughout the civilized world, indicated the stronghold upon the hearts of the people held by the dead General.
