5895_34615_000009_000000	Nature had been prodigal of her kindness to Gwynplaine.	Nature had been prodigal of her kindness to Gwynplaine.
5895_34615_000013_000011	It seemed evident that a mysterious and probably occult science, which was to surgery what alchemy was to chemistry, had chiselled his flesh, evidently at a very tender age, and manufactured his countenance with premeditation.	It seemed evident that a mysterious and probably occult science, which was to surgery what alchemy was to chemistry, had chiselled his flesh, evidently at a very tender age, and manufactured his countenance with premeditation.
5895_34615_000014_000000	Man is not born thus.	Man is not born thus.
5895_34615_000015_000000	However it may have been, the manipulation of Gwynplaine had succeeded admirably.	However it may have been, the manipulation of Gwynplaine had succeeded admirably.
5895_34615_000015_000001	Gwynplaine was a gift of Providence to dispel the sadness of man.	Gwynplaine was a gift of Providence to dispel the sadness of man.
5895_34615_000016_000000	Of what providence?	Of what providence?
5895_34615_000016_000001	Is there a providence of demons as well as of God? We put the question without answering it.	Is there a providence of demons as well as of God? We put the question without answering it.
5895_34615_000017_000000	Gwynplaine was a mountebank.	Gwynplaine was a mountebank.
5895_34615_000017_000001	He showed himself on the platform.	He showed himself on the platform.
5895_34615_000017_000002	No such effect had ever before been produced.	No such effect had ever before been produced.
5895_34615_000017_000003	Hypochondriacs were cured by the sight of him alone.	Hypochondriacs were cured by the sight of him alone.
5895_34615_000017_000004	He was avoided by folks in mourning, because they were compelled to laugh when they saw him, without regard to their decent gravity.	He was avoided by folks in mourning, because they were compelled to laugh when they saw him, without regard to their decent gravity.
5895_34615_000017_000005	One day the executioner came, and Gwynplaine made him laugh.	One day the executioner came, and Gwynplaine made him laugh.
5895_34615_000017_000006	Every one who saw Gwynplaine held his sides; he spoke, and they rolled on the ground.	Every one who saw Gwynplaine held his sides; he spoke, and they rolled on the ground.
5895_34615_000017_000007	He was removed from sadness as is pole from pole. Spleen at the one; Gwynplaine at the other.	He was removed from sadness as is pole from pole. Spleen at the one; Gwynplaine at the other.
5895_34615_000018_000000	Thus he rose rapidly in the fair ground and at the cross roads to the very satisfactory renown of a horrible man.	Thus he rose rapidly in the fair ground and at the cross roads to the very satisfactory renown of a horrible man.
5895_34615_000019_000000	It was Gwynplaine's laugh which created the laughter of others, yet he did not laugh himself.	It was Gwynplaine's laugh which created the laughter of others, yet he did not laugh himself.
5895_34615_000019_000002	The extraordinary face which chance or a special and weird industry had fashioned for him, laughed alone.	The extraordinary face which chance or a special and weird industry had fashioned for him, laughed alone.
5895_34615_000019_000003	Gwynplaine had nothing to do with it. The outside did not depend on the interior.	Gwynplaine had nothing to do with it. The outside did not depend on the interior.
5895_34615_000019_000004	The laugh which he had not placed, himself, on his brow, on his eyelids, on his mouth, he could not remove.	The laugh which he had not placed, himself, on his brow, on his eyelids, on his mouth, he could not remove.
5895_34615_000019_000005	It had been stamped for ever on his face.	It had been stamped for ever on his face.
5895_34615_000019_000006	It was automatic, and the more irresistible because it seemed petrified.	It was automatic, and the more irresistible because it seemed petrified.
5895_34615_000019_000008	Two convulsions of the face are infectious; laughing and yawning.	Two convulsions of the face are infectious; laughing and yawning.
5895_34615_000019_000009	By virtue of the mysterious operation to which Gwynplaine had probably been subjected in his infancy, every part of his face contributed to that rictus; his whole physiognomy led to that result, as a wheel centres in the nave.	By virtue of the mysterious operation to which Gwynplaine had probably been subjected in his infancy, every part of his face contributed to that rictus; his whole physiognomy led to that result, as a wheel centres in the nave.
5895_34615_000019_000010	All his emotions, whatever they might have been, augmented his strange face of joy, or to speak more correctly, aggravated it.	All his emotions, whatever they might have been, augmented his strange face of joy, or to speak more correctly, aggravated it.
5895_34615_000019_000011	Any astonishment which might seize him, any suffering which he might feel, any anger which might take possession of him, any pity which might move him, would only increase this hilarity of his muscles.	Any astonishment which might seize him, any suffering which he might feel, any anger which might take possession of him, any pity which might move him, would only increase this hilarity of his muscles.
5895_34615_000020_000000	It was like a head of Medusa, but Medusa hilarious.	It was like a head of Medusa, but Medusa hilarious.
5895_34615_000020_000001	All feeling or thought in the mind of the spectator was suddenly put to flight by the unexpected apparition, and laughter was inevitable.	All feeling or thought in the mind of the spectator was suddenly put to flight by the unexpected apparition, and laughter was inevitable.
5895_34615_000020_000002	Antique art formerly placed on the outsides of the Greek theatre a joyous brazen face, called comedy.	Antique art formerly placed on the outsides of the Greek theatre a joyous brazen face, called comedy.
5895_34615_000020_000003	It laughed and occasioned laughter, but remained pensive.	It laughed and occasioned laughter, but remained pensive.
5895_34615_000020_000004	All parody which borders on folly, all irony which borders on wisdom, were condensed and amalgamated in that face.	All parody which borders on folly, all irony which borders on wisdom, were condensed and amalgamated in that face.
5895_34615_000020_000006	One corner of the mouth was raised, in mockery of the human race; the other side, in blasphemy of the gods.	One corner of the mouth was raised, in mockery of the human race; the other side, in blasphemy of the gods.
5895_34615_000020_000007	Men confronted that model of the ideal sarcasm and exemplification of the irony which each one possesses within him; and the crowd, continually renewed round its fixed laugh, died away with delight before its sepulchral immobility of mirth.	Men confronted that model of the ideal sarcasm and exemplification of the irony which each one possesses within him; and the crowd, continually renewed round its fixed laugh, died away with delight before its sepulchral immobility of mirth.
5895_34615_000021_000000	One might almost have said that Gwynplaine was that dark, dead mask of ancient comedy adjusted to the body of a living man.	One might almost have said that Gwynplaine was that dark, dead mask of ancient comedy adjusted to the body of a living man.
5895_34615_000021_000001	That infernal head of implacable hilarity he supported on his neck.	That infernal head of implacable hilarity he supported on his neck.
5895_34615_000021_000002	What a weight for the shoulders of a man--an everlasting laugh!	What a weight for the shoulders of a man-an everlasting laugh!
5895_34615_000022_000000	An everlasting laugh!	An everlasting laugh!
5895_34615_000023_000000	Let us understand each other; we will explain.	Let us understand each other; we will explain.
5895_34615_000023_000001	The Manichaeans believed the absolute occasionally gives way, and that God Himself sometimes abdicates for a time.	The Manichaeans believed the absolute occasionally gives way, and that God Himself sometimes abdicates for a time.
5895_34615_000023_000002	So also of the will.	So also of the will.
5895_34615_000023_000003	We do not admit that it can ever be utterly powerless.	We do not admit that it can ever be utterly powerless.
5895_34615_000023_000004	The whole of existence resembles a letter modified in the postscript.	The whole of existence resembles a letter modified in the postscript.
5895_34615_000023_000005	For Gwynplaine the postscript was this: by the force of his will, and by concentrating all his attention, and on condition that no emotion should come to distract and turn away the fixedness of his effort, he could manage to suspend the everlasting rictus of his face, and to throw over it a kind of tragic veil, and then the spectator laughed no longer; he shuddered.	For Gwynplaine the postscript was this: by the force of his will, and by concentrating all his attention, and on condition that no emotion should come to distract and turn away the fixedness of his effort, he could manage to suspend the everlasting rictus of his face, and to throw over it a kind of tragic veil, and then the spectator laughed no longer; he shuddered.
5895_34615_000024_000001	It was a terrible effort, and an insupportable tension.	It was a terrible effort, and an insupportable tension.
5895_34615_000024_000002	Moreover, it happened that on the slightest distraction, or the slightest emotion, the laugh, driven back for a moment, returned like a tide with an impulse which was irresistible in proportion to the force of the adverse emotion.	Moreover, it happened that on the slightest distraction, or the slightest emotion, the laugh, driven back for a moment, returned like a tide with an impulse which was irresistible in proportion to the force of the adverse emotion.
5895_34615_000025_000000	With this exception, Gwynplaine's laugh was everlasting.	With this exception, Gwynplaine's laugh was everlasting.
5895_34615_000026_000000	On seeing Gwynplaine, all laughed.	On seeing Gwynplaine, all laughed.
5895_34615_000026_000002	Women especially shrank from him with horror.	Women especially shrank from him with horror.
5895_34615_000026_000003	The man was frightful.	The man was frightful.
5895_34615_000026_000004	The joyous convulsion of laughter was as a tribute paid; they submitted to it gladly, but almost mechanically.	The joyous convulsion of laughter was as a tribute paid; they submitted to it gladly, but almost mechanically.
5895_34615_000026_000005	Besides, when once the novelty of the laugh had passed over, Gwynplaine was intolerable for a woman to see, and impossible to contemplate.	Besides, when once the novelty of the laugh had passed over, Gwynplaine was intolerable for a woman to see, and impossible to contemplate.
5895_34615_000026_000006	But he was tall, well made, and agile, and no way deformed, excepting in his face.	But he was tall, well made, and agile, and no way deformed, excepting in his face.
5895_34615_000027_000000	This led to the presumption that Gwynplaine was rather a creation of art than a work of nature.	This led to the presumption that Gwynplaine was rather a creation of art than a work of nature.
5895_34615_000027_000001	Gwynplaine, beautiful in figure, had probably been beautiful in face.	Gwynplaine, beautiful in figure, had probably been beautiful in face.
5895_34615_000027_000003	They had left the body intact, and retouched only the face.	They had left the body intact, and retouched only the face.
5895_34615_000028_000000	Gwynplaine had been made to order--at least, that was probable.	Gwynplaine had been made to order-at least, that was probable.
5895_34615_000028_000002	The death's head retains them.	The death's head retains them.
5895_34615_000028_000004	Surgical sculpture of the kind could never have succeeded except on a very young child, and consequently on one having little consciousness of what happened to him, and who might easily take a wound for a sickness.	Surgical sculpture of the kind could never have succeeded except on a very young child, and consequently on one having little consciousness of what happened to him, and who might easily take a wound for a sickness.
5895_34615_000028_000005	Besides, we must remember that they had in those times means of putting patients to sleep, and of suppressing all suffering; only then it was called magic, while now it is called anaesthesia.	Besides, we must remember that they had in those times means of putting patients to sleep, and of suppressing all suffering; only then it was called magic, while now it is called anaesthesia.
5895_34615_000029_000000	Besides this face, those who had brought him up had given him the resources of a gymnast and an athlete.	Besides this face, those who had brought him up had given him the resources of a gymnast and an athlete.
5895_34615_000029_000001	His articulations usefully displaced and fashioned to bending the wrong way, had received the education of a clown, and could, like the hinges of a door, move backwards and forwards.	His articulations usefully displaced and fashioned to bending the wrong way, had received the education of a clown, and could, like the hinges of a door, move backwards and forwards.
5895_34615_000029_000002	In appropriating him to the profession of mountebank nothing had been neglected.	In appropriating him to the profession of mountebank nothing had been neglected.
5895_34615_000029_000004	Gwynplaine had yellow hair.	Gwynplaine had yellow hair.
5895_34615_000029_000005	His hair having probably been dyed with some corrosive preparation, had left it woolly and rough to the touch.	His hair having probably been dyed with some corrosive preparation, had left it woolly and rough to the touch.
5895_34615_000029_000006	Its yellow bristles, rather a mane than a head of hair, covered and concealed a lofty brow, evidently made to contain thought.	Its yellow bristles, rather a mane than a head of hair, covered and concealed a lofty brow, evidently made to contain thought.
5895_34615_000029_000007	The operation, whatever it had been, which had deprived his features of harmony, and put all their flesh into disorder, had had no effect on the bony structure of his head.	The operation, whatever it had been, which had deprived his features of harmony, and put all their flesh into disorder, had had no effect on the bony structure of his head.
5895_34615_000029_000008	The facial angle was powerful and surprisingly grand.	The facial angle was powerful and surprisingly grand.
5895_34615_000029_000009	Behind his laugh there was a soul, dreaming, as all our souls dream.	Behind his laugh there was a soul, dreaming, as all our souls dream.
5895_34615_000030_000000	However, his laugh was to Gwynplaine quite a talent.	However, his laugh was to Gwynplaine quite a talent.
5895_34615_000030_000001	He could do nothing with it, so he turned it to account.	He could do nothing with it, so he turned it to account.
5895_34615_000030_000002	By means of it he gained his living.	By means of it he gained his living.
