2277_149896_000008_000002	He began to feel the appetite that had been wanting before he had reached the office, and decided before going out to the park to meet Carrie to drop in at the Grand Pacific and have a pot of coffee and some rolls.	He began to feel the appetite that had been wanting before he had reached the office, and decided before going out to the park to meet Carrie to drop in at the Grand Pacific and have a pot of coffee and some rolls.
2277_149896_000008_000004	If he could only get plenty of time to think, perhaps something would turn up.	If he could only get plenty of time to think, perhaps something would turn up.
2277_149896_000009_000000	His spirits fell, however, when, upon reaching the park, he waited and waited and Carrie did not come.	His spirits fell, however, when, upon reaching the park, he waited and waited and Carrie did not come.
2277_149896_000009_000002	Could something have happened out there to keep her away?	Could something have happened out there to keep her away?
2277_149896_000009_000003	Could she have been reached by his wife?	Could she have been reached by his wife?
2277_149896_000009_000007	She had not been able to get away this morning.	She had not been able to get away this morning.
2277_149896_000010_000000	After a time he gave up waiting and drearily headed for the Madison car. To add to his distress, the bright blue sky became overcast with little fleecy clouds which shut out the sun.	After a time he gave up waiting and drearily headed for the Madison car. To add to his distress, the bright blue sky became overcast with little fleecy clouds which shut out the sun
2277_149896_000011_000000	He went in and examined his letters, but there was nothing from Carrie. Fortunately, there was nothing from his wife either.	He went in and examined his letters, but there was nothing from Carrie. Fortunately, there was nothing from his wife either.
2277_149896_000011_000001	He thanked his stars that he did not have to confront that proposition just now when he needed to think so much.	He thanked his stars that he did not have to confront that proposition just now when he needed to think so much.
2277_149896_000011_000002	He walked the floor again, pretending to be in an ordinary mood, but secretly troubled beyond the expression of words.	He walked the floor again, pretending to be in an ordinary mood, but secretly troubled beyond the expression of words.
2277_149896_000012_000001	He looked at the little chap with a feeling of doubt.	He looked at the little chap with a feeling of doubt.
2277_149896_000013_000000	"I'm to bring an answer," said the boy.	"I'm to bring an answer," said the boy.
2277_149896_000014_000000	Hurstwood recognised his wife's writing.	Hurstwood recognised his wife's writing.
2277_149896_000014_000001	He tore it open and read without a show of feeling.	He tore it open and read without a show of feeling.
2277_149896_000015_000001	I need it to carry out my plans.	I need it to carry out my plans.
2277_149896_000015_000002	You can stay away if you want to.	You can stay away if you want to.
2277_149896_000015_000005	So don't delay, but send it by the boy."	So don't delay, but send it by the boy."
2277_149896_000016_000001	The audacity of the thing took his breath.	The audacity of the thing took his breath.
2277_149896_000016_000002	It roused his ire also--the deepest element of revolt in him.	It roused his ire also-the deepest element of revolt in him.
2277_149896_000016_000003	His first impulse was to write but four words in reply--"Go to the devil!"--but he compromised by telling the boy that there would be no reply.	His first impulse was to write but four words in reply-"Go to the devil!"--but he compromised by telling the boy that there would be no reply.
2277_149896_000016_000004	Then he sat down in his chair and gazed without seeing, contemplating the result of his work.	Then he sat down in his chair and gazed without seeing, contemplating the result of his work.
2277_149896_000016_000005	What would she do about that?	What would she do about that?
2277_149896_000016_000006	The confounded wretch!	The confounded wretch!
2277_149896_000016_000008	He would go up there and have it out with her, that's what he would do.	He would go up there and have it out with her, that's what he would do.
2277_149896_000016_000009	She was carrying things with too high a hand.	She was carrying things with too high a hand.
2277_149896_000016_000010	These were his first thoughts.	These were his first thoughts.
2277_149896_000017_000000	Later, however, his old discretion asserted itself.	Later, however, his old discretion asserted itself.
2277_149896_000017_000003	He knew her well enough to know that when she had decided upon a plan she would follow it up.	He knew her well enough to know that when she had decided upon a plan she would follow it up.
2277_149896_000018_000000	"Damn her!" he said softly, with his teeth firmly set, "I'll make it hot for her if she causes me trouble.	"Damn her!" he said softly, with his teeth firmly set, "I'll make it hot for her if she causes me trouble.
2277_149896_000018_000001	I'll make her change her tone if I have to use force to do it!"	I'll make her change her tone if I have to use force to do it!"
2277_149896_000019_000000	He arose from his chair and went and looked out into the street.	He arose from his chair and went and looked out into the street.
2277_149896_000019_000002	Pedestrians had turned up collars, and trousers at the bottom.	Pedestrians had turned up collars, and trousers at the bottom.
2277_149896_000019_000003	Hands were hidden in the pockets of the umbrellaless; umbrellas were up.	Hands were hidden in the pockets of the umbrellaless; umbrellas were up.
2277_149896_000019_000004	The street looked like a sea of round black cloth roofs, twisting, bobbing, moving.	The street looked like a sea of round black cloth roofs, twisting, bobbing, moving.
2277_149896_000019_000006	He scarcely noticed the picture.	He scarcely noticed the picture.
2277_149896_000021_000001	He'd take it to her--he would go up there and have a talk with her, and that at once.	He'd take it to her-he would go up there and have a talk with her, and that at once.
2277_149896_000022_000000	He put on his hat and looked around for his umbrella.	He put on his hat and looked around for his umbrella.
2277_149896_000023_000001	On the way his temper cooled as he thought of the details of the case.	On the way his temper cooled as he thought of the details of the case.
2277_149896_000024_000000	He began to wish that he had compromised in some way or other--that he had sent the money.	He began to wish that he had compromised in some way or other-that he had sent the money.
2277_149896_000024_000001	Perhaps he could do it up here.	Perhaps he could do it up here.
2277_149896_000024_000003	He would have no row.	He would have no row.
2277_149896_000025_000000	By the time he reached his own street he was keenly alive to the difficulties of his situation and wished over and over that some solution would offer itself, that he could see his way out.	By the time he reached his own street he was keenly alive to the difficulties of his situation and wished over and over that some solution would offer itself, that he could see his way out.
2277_149896_000025_000001	He alighted and went up the steps to the front door, but it was with a nervous palpitation of the heart.	He alighted and went up the steps to the front door, but it was with a nervous palpitation of the heart.
2277_149896_000025_000002	He pulled out his key and tried to insert it, but another key was on the inside.	He pulled out his key and tried to insert it, but another key was on the inside.
2277_149896_000025_000003	He shook at the knob, but the door was locked.	He shook at the knob, but the door was locked.
2277_149896_000025_000005	No answer.	No answer.
2277_149896_000025_000006	He rang again--this time harder.	He rang again-this time harder.
2277_149896_000025_000008	He jangled it fiercely several times in succession, but without avail.	He jangled it fiercely several times in succession, but without avail.
2277_149896_000026_000001	What could it mean?	What could it mean?
2277_149896_000026_000002	He rang the bell and then waited.	He rang the bell and then waited.
2277_149896_000026_000003	Finally, seeing that no one was coming, he turned and went back to his cab.	Finally, seeing that no one was coming, he turned and went back to his cab.
2277_149896_000028_000000	"I saw a young girl up in that winder," returned the cabby.	"I saw a young girl up in that winder," returned the cabby.
2277_149896_000029_000000	Hurstwood looked, but there was no face there now.	Hurstwood looked, but there was no face there now.
2277_149896_000030_000000	So this was the game, was it?	So this was the game, was it?
2277_149896_000030_000001	Shut him out and make him pay.	Shut him out and make him pay.
