6241_66616_000000_000000	With the Indian's arm about his waist, the two set off into the tamaracks.	With the Indian's arm about his waist, the two set off into the tamaracks.	false	0	2.43	21.673075
6241_66616_000016_000005	Wabi loved his beautiful little sister beyond anything else on earth, and it was she more than his parents who finally induced him to go.	w a b i loved his beautiful little sister beyond anything else on earth, and it was she more than his parents who finally induced him to go.	false	427.95	435.28	19.81829
6241_66616_000017_000000	For three months Wabi devoted himself faithfully to his studies in Detroit.	For three months w a b i devoted himself faithfully to his studies in Detroit.	false	435.83	440.19	19
6241_66616_000017_000001	But each week added to his loneliness and his longings for Minnetaki and his forests.	But each week added to his loneliness and his longings for Minnetaki and his forests.	true	440.19	444.52	18
6241_66616_000017_000002	The passing of each day became a painful task to him.	The passing of each day became a painful task to him.	true	444.89	448.06	20.90917
6241_66616_000017_000003	To Minnetaki he wrote three times each week, and three times each week the little maiden at Wabinosh House wrote long, cheering letters to her brother--though they came to Wabi only about twice a month, because only so often did the mail-carrier go out from the Post.	To Minnetaki he wrote three times each week, and three times each week the little maiden at Wabinosh House wrote long, cheering letters to her brother-though they came to w a b i only about twice a month, because only so often did the mail carrier go out from the Post.	false	448.73	462.4	18
6241_66616_000018_000000	It was at this time in his lonely school life that Wabigoon became acquainted with Roderick Drew.	It was at this time in his lonely school life that Wabigoon became acquainted with Roderick Drew.	false	462.95	467.98	17
6241_66616_000018_000001	Roderick, even as Wabi fancied himself to be just at this time, was a child of misfortune.	Roderick, even as w a b i fancied himself to be just at this time, was a child of misfortune.	false	468.14	473.26	18.924952
6241_66616_000018_000002	His father had died before he could remember, and the property he had left had dwindled slowly away during the passing of years.	His father had died before he could remember, and the property he had left had dwindled slowly away during the passing of years.	true	473.57	479.89	15
6241_66616_000018_000003	Rod was spending his last week in school when he met Wabigoon.	Rod was spending his last week in school when he met Wabigoon.	false	480.41	483.915	19.146267
6241_66616_000018_000004	Necessity had become his grim master, and the following week he was going to work.	Necessity had become his grim master, and the following week he was going to work.	true	483.915	488.32	17.988398
6241_66616_000018_000005	As the boy described the situation to his Indian friend, his mother "had fought to the last ditch to keep him in school, but now his time was up." Wabi seized upon the white youth as an oasis in a vast desert.	As the boy described the situation to his Indian friend, his mother "had fought to the last ditch to keep him in school, but now his time was up." w a b i seized upon the white youth as an oasis in a vast desert.	false	488.93	501.28	19.670794
6241_66616_000018_000006	After a little the two became almost inseparable, and their friendship culminated in Wabi's going to live in the Drew home.	After a little the two became almost inseparable, and their friendship culminated in Wabi's going to live in the Drew home.	true	501.47	508.24	19.548538
6241_66616_000018_000007	Mrs. Drew was a woman of education and refinement, and her interest in Wabigoon was almost that of a mother.	mrs Drew was a woman of education and refinement, and her interest in Wabigoon was almost that of a mother.	false	508.55	514.51	17
6241_66616_000018_000008	In this environment the ragged edges were smoothed away from the Indian boy's deportment, and his letters to Minnetaki were more and more filled with enthusiastic descriptions of his new friends.	In this environment the ragged edges were smoothed away from the Indian boy's deportment, and his letters to Minnetaki were more and more filled with enthusiastic descriptions of his new friends.	true	514.94	523.99	19.785263
6241_66616_000018_000009	After a little Mrs. Drew received a grateful letter of thanks from the princess mother at Wabinosh House, and thus a pleasant correspondence sprang up between the two.	After a little mrs Drew received a grateful letter of thanks from the princess mother at Wabinosh House, and thus a pleasant correspondence sprang up between the two.	true	524.21	532.78	19.276665
6241_66616_000019_000000	There were now few lonely hours for the two boys.	There were now few lonely hours for the two boys.	true	533.72	536.29	21.557291
6241_66616_000019_000001	During the long winter evenings, when Roderick was through with his day's work and Wabi had completed his studies, they would sit before the fire and the Indian youth would describe the glorious life of the vast northern wilderness; and day by day, and week by week, there steadily developed within Rod's breast a desire to see and live that life.	During the long winter evenings, when Roderick was through with his day's work and w a b i had completed his studies, they would sit before the fire and the Indian youth would describe the glorious life of the vast northern wilderness; and day by day, and week by week, there steadily developed within Rod's breast a desire to see and live that life.	false	536.48	553.45	18
6241_66616_000019_000002	A thousand plans were made, a thousand adventures pictured, and the mother would smile and laugh and plan with them.	A thousand plans were made, a thousand adventures pictured, and the mother would smile and laugh and plan with them.	true	553.76	559.99	18.826492
6241_66616_000020_000000	But in time the end of it all came, and Wabi went back to the princess mother, to Minnetaki, and to his forests.	But in time the end of it all came, and w a b i went back to the princess mother, to Minnetaki, and to his forests.	false	560.42	567.07	22.996103
6241_66616_000020_000001	There were tears in the boys' eyes when they parted, and the mother cried for the Indian boy who was returning to his people.	There were tears in the boys' eyes when they parted, and the mother cried for the Indian boy who was returning to his people.	true	567.8	573.64	19
6241_66616_000020_000002	Many of the days that followed were painful to Roderick Drew.	Many of the days that followed were painful to Roderick Drew.	true	574.01	576.97	18.960962
6241_66616_000020_000003	Eight months had bred a new nature in him, and when Wabi left it was as if a part of his own life had gone with him.	Eight months had bred a new nature in him, and when w a b i left it was as if a part of his own life had gone with him.	false	577.28	583.12	16
6241_66616_000020_000004	Spring came and passed, and then summer.	Spring came and passed, and then summer.	true	583.46	585.97	18.817776
6241_66616_000020_000005	Every mail from Wabinosh House brought letters for the Drews, and never did an Indian courier drop a pack at the Post that did not carry a bundle of letters for Wabigoon.	Every mail from Wabinosh House brought letters for the Drews, and never did an Indian courier drop a pack at the Post that did not carry a bundle of letters for Wabigoon.	false	586.34	596.34	18.802242
6241_66616_000021_000000	Then in the early autumn, when September frosts were turning the leaves of the North to red and gold, there came the long letter from Wabi which brought joy, excitement and misgiving into the little home of the mother and her son.	Then in the early autumn, when September frosts were turning the leaves of the North to red and gold, there came the long letter from w a b i which brought joy, excitement and misgiving into the little home of the mother and her son.	false	596.34	608.05	19.495022
6241_66616_000021_000001	It was accompanied by one from the factor himself, another from the princess mother, and by a tiny note from Minnetaki, who pleaded with the others that Roderick and Mrs. Drew might spend the winter with them at Wabinosh House.	It was accompanied by one from the factor himself, another from the princess mother, and by a tiny note from Minnetaki, who pleaded with the others that Roderick and mrs Drew might spend the winter with them at Wabinosh House.	true	608.18	619.36	20.552498
6241_66616_000022_000000	"You need not fear about losing your position." wrote Wabigoon.	"You need not fear about losing your position." wrote Wabigoon.	false	620.03	623.145	17
6241_66616_000022_000001	"We shall make more money up here this winter than you could earn in Detroit in three years.	"We shall make more money up here this winter than you could earn in Detroit in three years.	true	623.145	627.19	17
6241_66616_000022_000002	We will hunt wolves.	We will hunt wolves.	true	627.35	628.38	21
6241_66616_000022_000003	The country is alive with them, and the government gives a bounty of fifteen dollars for every scalp taken. Two winters ago I killed forty and I did not make a business of it at that.	The country is alive with them, and the government gives a bounty of fifteen dollars for every scalp taken. Two winters ago I killed forty and I did not make a business of it at that.	true	628.38	637.81	21.088758
6241_66616_000022_000004	I have a tame wolf which we use as a decoy.	I have a tame wolf which we use as a decoy.	true	638.09	640.6	19.119232
6241_66616_000022_000005	Don't bother about a gun or anything like that.	Don't bother about a gun or anything like that.	true	640.82	642.855	14
6241_66616_000022_000006	We have everything here."	We have everything here."	true	642.855	644.32	24.132563
6241_66616_000023_000000	For several days Mrs. Drew and her son deliberated upon the situation before a reply was sent to the Newsomes.	For several days mrs Drew and her son deliberated upon the situation before a reply was sent to the Newsomes.	false	645.41	652.17	17.91987
6241_66616_000023_000001	Roderick pleaded, pictured the glorious times they would have, the health that it would give them, and marshaled in a dozen different ways his arguments in favor of accepting the invitation.	Roderick pleaded, pictured the glorious times they would have, the health that it would give them, and marshaled in a dozen different ways his arguments in favor of accepting the invitation.	true	652.17	661.63	19.57223
6241_66616_000023_000002	On the other hand, his mother was filled with doubt. Their finances were alarmingly low, and Rod would be giving up a sure though small income, which was now supporting them comfortably.	On the other hand, his mother was filled with doubt. Their finances were alarmingly low, and Rod would be giving up a sure though small income, which was now supporting them comfortably.	true	662.24	672.04	19.8871
6241_66616_000023_000003	His future was bright, and that winter would see him promoted to ten dollars a week in the mercantile house where he was employed.	His future was bright, and that winter would see him promoted to ten dollars a week in the mercantile house where he was employed.	true	672.35	678.31	16
6241_66616_000023_000004	In the end they came to an understanding.	In the end they came to an understanding.	true	678.95	680.98	21.892668
6241_66616_000023_000005	Mrs. Drew would not go to Wabinosh House, but she would allow Roderick to spend the winter there--and word to this effect was sent off into the wilderness.	mrs Drew would not go to Wabinosh House, but she would allow Roderick to spend the winter there-and word to this effect was sent off into the wilderness.	true	681.11	688.96	17.76106
6241_66616_000024_000000	Three weeks later came Wabigoon's reply.	Three weeks later came Wabigoon's reply.	true	689.78	692.02	18.497778
6241_66616_000024_000001	On the tenth of October he would meet Rod at Sprucewood, on the Black Sturgeon River.	On the tenth of October he would meet Rod at Sprucewood, on the Black Sturgeon River.	true	692.33	696.37	20.208597
6241_66616_000024_000002	Thence they would travel by canoe up the Sturgeon River to Sturgeon Lake, take portage to Lake Nipigon, and arrive at Wabinosh House before the ice of early winter shut them in.	Thence they would travel by canoe up the Sturgeon River to Sturgeon Lake, take portage to Lake Nipigon, and arrive at Wabinosh House before the ice of early winter shut them in.	false	696.47	705.54	19.126446
6241_66616_000024_000003	There was little time to lose in making preparations, and the fourth day following the receipt of Wabi's letter found Rod and his mother waiting for the train which was to whirl the boy into his new life.	There was little time to lose in making preparations, and the fourth day following the receipt of Wabi's letter found Rod and his mother waiting for the train which was to whirl the boy into his new life.	false	705.54	716.32	19.695213
6241_66616_000024_000004	Not until the eleventh did he arrive at Sprucewood.	Not until the eleventh did he arrive at Sprucewood.	true	716.93	719.64	20.650785
6241_66616_000024_000005	Wabi was there to meet him, accompanied by an Indian from the Post; and that same afternoon the journey up Black Sturgeon River was begun.	w a b i was there to meet him, accompanied by an Indian from the Post; and that same afternoon the journey up Black Sturgeon River was begun.	false	719.64	734.01	18.079966
