6319_57405_000000_000000	"And Io," said Hercules, "was the mother of the race from which I am sprung."	"And i o," said Hercules, "was the mother of the race from which I am sprung."	false	1.8	18.72	18.469812
6319_57405_000011_000004	He was very tall, with blue eyes and yellow hair.	He was very tall, with blue eyes and yellow hair.	true	307.01	310.6	19.650993
6319_57405_000011_000005	There were wings on his shoes and on his cap, and in his hands he bore a staff with golden serpents twined around it.	There were wings on his shoes and on his cap, and in his hands he bore a staff with golden serpents twined around it.	false	311.21	318.43	17
6319_57405_000011_000006	They knew at once that he was Mercury, the swift messenger of the Mighty Ones, and they waited to hear what he would say.	They knew at once that he was Mercury, the swift messenger of the Mighty Ones, and they waited to hear what he would say.	true	319.19	327.28	19.959301
6319_57405_000012_000000	"Is there anything that you wish?" he asked.	"Is there anything that you wish?" he asked.	true	328.49	331.51	21.267601
6319_57405_000012_000001	"Tell me, and you shall have whatever you desire."	"Tell me, and you shall have whatever you desire."	true	331.91	334.84	18.569376
6319_57405_000013_000000	"We should like, above all things," said Deucalion, "to see this land full of people once more; for without neighbors and friends, the world is a very lonely place indeed."	"We should like, above all things," said Deucalion, "to see this land full of people once more; for without neighbors and friends, the world is a very lonely place indeed."	true	336.32	348.13	19.243534
6319_57405_000014_000000	"Go on down the mountain," said Mercury, "and as you go, cast the bones of your mother over your shoulders behind you;" and, with these words, he leaped into the air and was seen no more.	"Go on down the mountain," said Mercury, "and as you go, cast the bones of your mother over your shoulders behind you;" and, with these words, he leaped into the air and was seen no more.	false	349.16	363.88	20.21613
6319_57405_000015_000000	"What did he mean?" asked Pyrrha.	"What did he mean?" asked Pyrrha.	true	364.94	367.66	17.332794
6319_57405_000016_000000	"Surely I do not know," said Deucalion.	"Surely I do not know," said Deucalion.	true	368.42	371.35	21.457623
6319_57405_000016_000001	"But let us think a moment.	"But let us think a moment.	true	372.17	373.69	20.813177
6319_57405_000016_000002	Who is our mother, if it is not the Earth, from whom all living things have sprung?	Who is our mother, if it is not the Earth, from whom all living things have sprung?	true	374.18	380.2	20.427382
6319_57405_000016_000003	And yet what could he mean by the bones of our mother?"	And yet what could he mean by the bones of our mother?"	true	380.87	384.72	23.206842
6319_57405_000017_000000	[Illustration: "AS THEY WALKED THEY PICKED UP THE LOOSE STONES IN THEIR WAY."]	[Illustration: "AS THEY WALKED THEY PICKED UP THE LOOSE STONES IN THEIR WAY."]	false	384.72	385.95	-20
6319_57405_000018_000000	"Perhaps he meant the stones of the earth," said Pyrrha.	"Perhaps he meant the stones of the earth," said Pyrrha.	true	385.95	389.35	24.635418
6319_57405_000018_000001	"Let us go on down the mountain, and as we go, let us pick up the stones in our path and throw them over our shoulders behind us."	"Let us go on down the mountain, and as we go, let us pick up the stones in our path and throw them over our shoulders behind us."	true	389.93	397.63	20
6319_57405_000019_000000	"It is rather a silly thing to do," said Deucalion; "and yet there can be no harm in it, and we shall see what will happen."	"It is rather a silly thing to do," said Deucalion; "and yet there can be no harm in it, and we shall see what will happen."	true	398.36	406.51	20.853699
6319_57405_000020_000000	And so they walked on, down the steep slope of Mount Parnassus, and as they walked they picked up the loose stones in their way and cast them over their shoulders; and strange to say, the stones which Deucalion threw sprang up as full-grown men, strong, and handsome, and brave; and the stones which Pyrrha threw sprang up as full-grown women, lovely and fair.	And so they walked on, down the steep slope of Mount Parnassus, and as they walked they picked up the loose stones in their way and cast them over their shoulders; and strange to say, the stones which Deucalion threw sprang up as full grown men, strong, and handsome, and brave; and the stones which Pyrrha threw sprang up as full grown women, lovely and fair.	true	408.08	435.37	19.119436
6319_57405_000020_000001	When at last they reached the plain they found themselves at the head of a noble company of human beings, all eager to serve them.	When at last they reached the plain they found themselves at the head of a noble company of human beings, all eager to serve them.	true	436.34	444.13	18
6319_57405_000021_000000	So Deucalion became their king, and he set them in homes, and taught them how to till the ground, and how to do many useful things; and the land was filled with people who were happier and far better than those who had dwelt there before the flood.	So Deucalion became their king, and he set them in homes, and taught them how to till the ground, and how to do many useful things; and the land was filled with people who were happier and far better than those who had dwelt there before the flood.	true	445.64	460.9	19.610073
6319_57405_000021_000001	And they named the country Hellas, after Hellen, the son of Deucalion and Pyrrha; and the people are to this day called Hellenes.	And they named the country Hellas, after Hellen, the son of Deucalion and Pyrrha; and the people are to this day called Hellenes.	false	461.84	473.58	20.022324
6319_57405_000022_000000	But we call the country GREECE.	But we call the country GREECE.	true	473.58	479.49	16.885578
6319_57405_000023_000000	[Illustration]	[Illustration]	false	479.49	479.67	-20
6319_57405_000024_000000	THE STORY OF IO.	THE STORY OF i o	false	479.67	480.69	-20
6319_57405_000025_000000	In the town of Argos there lived a maiden named Io.	In the town of Argos there lived a maiden named i o	false	480.69	481.41	13.046097
6319_57405_000025_000001	She was so fair and good that all who knew her loved her, and said that there was no one like her in the whole world.	She was so fair and good that all who knew her loved her, and said that there was no one like her in the whole world.	false	481.41	481.59	1
6319_57405_000025_000002	When Jupiter, in his home in the clouds, heard of her, he came down to Argos to see her.	When Jupiter, in his home in the clouds, heard of her, he came down to Argos to see her.	false	481.59	481.71	18
6319_57405_000025_000003	She pleased him so much, and was so kind and wise, that he came back the next day and the next and the next; and by and by he stayed in Argos all the time so that he might be near her.	She pleased him so much, and was so kind and wise, that he came back the next day and the next and the next; and by and by he stayed in Argos all the time so that he might be near her.	false	481.71	481.98	4
6319_57405_000025_000004	She did not know who he was, but thought that he was a prince from some far-off land; for he came in the guise of a young man, and did not look like the great king of earth and sky that he was.	She did not know who he was, but thought that he was a prince from some far off land; for he came in the guise of a young man, and did not look like the great king of earth and sky that he was.	false	481.98	490.35	16.40346
